#1.3
2429	22	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K99107520-summary	BRD-K70401845-summary	BRD-A73368467-summary	BRD-K08206212-summary	BRD-K32977963-summary	BRD-A07395371-summary	BRD-K51677086-summary	BRD-A02367930-summary	BRD-K70301876-summary	BRD-A30815329-summary	BRD-K13514097-summary	BRD-A54880345-summary	BRD-K63630713-summary	BRD-K76617868-summary	BRD-K54472332-summary	BRD-A50684349-summary	BRD-K37798499-summary	BRD-A74667430-summary	BRD-A18917088-summary	BRD-K45033733-summary	BRD-A73741725-summary	BRD-K00673382-summary
BRD-K60274257	CP	dephostatin	tyrosine phosphatase inhibitor	PTPN1, PTPN6		5.29, 1.92	44.56	1.38, 0.31	99.11	39.68	41.95	23.03	77.83	22.93	24.61	81.85	85.21	47.17	6.98	52.71	85.66	89.64	94.78	14.62	20.32	93.73	12.85	2.01	41.81	96.89
BRD-K32755366	CP	reserpic-acid	norepinephrine transporter inhibitor			3.85, 1.44	44.56	0.93, 0.38	53.46	14.53	23.96	98.45	44.08	67.84	42.10	57.90	79.28	82.64	39.79	6.56	25.41	58.68	60.09	90.08	-26.46	76.26	0.85	26.65	45.03	14.31
BRD-K39823328	CP	VU-0366037-2	glutamate receptor modulator	GRM4		3.37, 1.92	44.53	0.86, 0.16	54.37	90.89	41.54	74.57	95.20	14.59	69.37	79.71	1.73	38.51	20.33	11.77	-11.28	49.87	55.92	46.80	7.64	42.27	19.04	20.19	74.98	51.34
BRD-A29437505	CP	RWJ-21757	toll-like receptor ligand	TLR7		4.81, 2.40	44.52	0.69, 0.20	60.27	46.43	53.90	75.11	57.95	92.22	70.15	35.33	37.69	36.46	1.37	23.71	-15.00	89.23	48.78	56.28	7.43	42.61	20.91	9.60	16.51	51.73
BRD-K41170226	CP	deoxycholic-acid	biliverdin reductase A activator, G protein coupled receptor agonist, unidentified pharmacological activity	GPBAR1, EFTUD1, FPR1		6.73, 4.33	44.52	0.91, 0.28	68.43	43.63	99.19	81.31	86.67	57.93	94.32	47.34	19.96	55.74	1.73	36.66	-11.72	45.40	-18.25	93.67	6.10	0.00	7.33	8.18	4.69	46.94
BRD-K68336408	CP	tyrphostin-AG-1478	EGFR inhibitor	EGFR, MAPK14	EGFR inhibitor	4.33, 1.44	44.50	1.60, 0.51	49.87	99.82	3.68	48.75	38.46	-9.13	65.45	15.64	11.98	20.70	93.13	63.28	1.52	32.61	90.69	23.69	89.30	45.43	91.48	0.60	58.10	43.57
BRD-K74733595	CP	APHA-compound-8	HDAC inhibitor	HDAC8	HDAC inhibitor	6.25, 3.37	44.50	1.50, 0.48	25.36	14.69	20.99	44.70	57.43	40.77	49.47	59.40	27.01	45.30	99.08	17.70	81.05	64.55	82.31	10.60	82.75	29.39	49.67	9.80	12.37	44.29
BRD-A13188892	CP	doxazosin	adrenergic receptor antagonist	ADRA1D, ADRA1A, ADRA1B, CYP2C19, KCNH2, KCNH6, KCNH7		3.65, 1.56	44.48	1.22, 0.38	74.63	23.22	23.35	50.34	7.33	53.98	96.19	49.23	17.29	47.60	41.37	17.00	53.90	57.45	75.90	51.07	39.59	7.90	-1.40	27.12	79.32	32.86
BRD-K30743633	CP	TCPOBOP	constitutive androstane receptor (CAR) agonist	NR1I3		9.13, 6.25	44.42	1.01, 0.31	97.15	98.87	99.30	99.15	91.29	65.44	80.07	36.89	18.17	45.17	3.45	30.04	71.74	68.94	43.68	11.49	9.62	0.39	32.10	19.02	29.91	97.92
BRD-K45861246	CP	azaperone	dopamine receptor antagonist	DRD2, DRD3		5.77, 1.44	44.39	0.59, 0.11	45.14	37.15	83.94	87.55	36.98	43.63	70.10	10.37	54.25	80.93	6.67	15.34	28.23	91.09	10.95	-10.12	19.28	61.99	47.92	31.51	75.16	75.80
BRD-U73238814	CP	QL-XI-92	DDR1 inhibitor	DDR1		3.85, 1.44	44.38	1.31, 0.35	18.72	92.01	79.79	85.38	16.96	47.66	45.94	11.08	89.99	73.34	38.15	10.76	99.22	13.59	42.82	6.74	83.58	47.56	39.32	2.87	90.27	16.69
BRD-K60511616	CP	pravastatin	HMGCR inhibitor	HMGCR, SLCO1B1		4.33, 0.96	44.35	0.49, 0.17	44.24	52.25	41.12	79.85	44.46	42.58	49.01	41.59	56.14	71.44	30.15	42.31	29.51	28.47	74.65	40.52	35.36	56.13	13.03	44.75	63.03	74.26
BRD-K44849676	CP	capsazepine	TRPV agonist, TRPV antagonist	TRPV1, TRPV4		4.81, 1.44	44.33	1.49, 0.49	26.72	20.25	46.58	53.90	40.21	35.38	34.15	7.75	95.70	39.75	68.51	12.00	98.75	72.71	97.26	3.03	90.35	54.42	75.51	40.61	93.74	42.07
BRD-K23369905	CP	oxiconazole	cell wall synthesis inhibitor, sterol demethylase inhibitor			6.25, 2.84	44.31	1.25, 0.40	66.43	15.21	16.08	30.13	26.64	58.58	63.96	1.97	82.98	42.53	30.70	53.32	92.15	41.14	80.16	75.66	57.02	41.18	46.08	35.50	69.95	14.24
BRD-K46556543	CP	canrenoic-acid	aldosterone antagonist			5.77, 4.33	44.30	1.34, 0.40	90.65	80.64	98.82	74.93	9.89	62.05	69.43	74.86	35.72	8.57	37.97	19.13	86.75	98.10	28.81	19.67	39.14	26.27	90.13	49.46	29.69	34.13
BRD-K08219523	CP	5-nonyloxytryptamine	serotonin receptor agonist	HTR1B, HTR1D		2.88, 1.92	44.30	1.58, 0.38	1.62	80.16	6.49	-4.54	-21.76	40.04	13.52	33.75	83.05	15.20	98.20	65.94	61.10	48.55	76.57	51.83	78.95	-0.56	63.56	4.74	55.20	33.12
BRD-A43974575	CP	tranylcypromine	cytochrome P450 inhibitor, histone lysine demethylase inhibitor, monoamine oxidase inhibitor	MAOA, MAOB, KDM1A, CYP2A6		5.21, 3.65	44.27	1.14, 0.30	8.77	19.39	50.65	84.06	82.70	89.77	49.72	46.25	74.85	57.60	8.81	7.95	27.29	59.25	42.30	42.22	7.01	75.70	40.81	71.43	13.01	28.27
BRD-K87990216	CP	piretanide	diuretic, glucocorticoid receptor agonist	SLC12A1, SLC12A2		3.85, 2.40	44.27	1.20, 0.41	63.73	68.61	80.73	59.67	44.26	-25.10	80.50	31.72	82.96	-5.16	13.57	59.05	44.29	73.60	35.83	-8.97	10.53	93.45	31.33	12.58	6.83	97.92
BRD-K28806945	CP	L-750667	dopamine receptor antagonist	DRD4		1.92, 1.44	44.24	0.98, 0.35	52.66	87.58	45.02	86.81	78.06	24.07	86.01	43.46	24.79	55.60	20.88	45.83	33.70	33.67	55.27	19.93	21.68	30.91	8.45	6.40	88.65	89.82
BRD-K83963101	CP	MLN-8054	Aurora kinase inhibitor, mitotic inhibitor, protein kinase inhibitor	AURKA		3.37, 2.40	44.23	1.11, 0.33	21.56	83.30	92.35	29.59	45.06	16.63	80.24	43.39	46.35	84.22	-2.85	80.99	13.54	33.54	82.18	91.59	-3.91	28.75	7.35	34.24	68.50	87.06
BRD-K45330754	CP	diethylstilbestrol	estrogen receptor agonist, chloride channel blocker	ESR1, ESR2, ESRRG, ESRRB	Estrogen receptor agonist	0.96, 0.48	44.20	0.41, 0.31	50.50	60.71	75.97	36.52	46.79	80.85	54.80	28.53	77.16	41.61	9.23	31.83	12.89	36.95	56.03	31.00	27.53	56.94	62.62	28.01	28.75	63.45
BRD-A75478957	CP	PD-166793	collagenase inhibitor, metalloproteinase inhibitor, stromelysin inhibitor	MMP13, MMP2, MMP3		6.25, 3.37	44.20	1.16, 0.31	-16.66	36.87	48.91	38.65	88.87	64.09	60.70	98.20	53.95	37.31	24.14	40.21	28.44	94.77	91.85	-30.04	10.31	84.08	54.02	28.41	11.84	48.19
BRD-K07265709	CP	razoxane	topoisomerase inhibitor, chelating agent	TOP2A, TOP2B		1.92, 1.44	44.16	0.93, 0.33	13.24	10.31	79.92	93.89	83.52	77.15	12.48	-0.25	18.67	18.00	18.03	63.62	87.62	78.63	55.45	4.58	70.74	78.25	37.65	43.77	44.55	-8.80
BRD-K11433652	CP	aspirin	cyclooxygenase inhibitor, nitric oxide donor, platelet aggregation inhibitor, thromboxane synthase inhibitor, TP53 expression enhancer	PTGS1, PTGS2, TP53, AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, RPS6KA3		3.13, 1.56	44.16	1.47, 0.43	72.45	52.45	10.92	42.24	88.85	92.43	94.40	86.46	54.13	79.22	6.33	35.91	75.98	-13.16	7.73	2.68	11.18	81.37	36.24	11.24	18.65	46.07
BRD-A87479750	CP	tenidap	cyclooxygenase inhibitor, lipoxygenase inhibitor, prostanoid receptor antagonist	ALOX5, KCNJ4, PTGS1		4.33, 2.88	44.13	0.78, 0.24	92.04	57.01	54.61	43.86	26.34	29.00	57.31	49.24	32.81	62.42	1.62	9.10	44.39	54.08	52.23	42.27	-4.26	60.76	6.61	6.81	48.81	34.66
BRD-A16754160	CP	ampicillin	cell wall synthesis inhibitor	SLC15A1		6.77, 3.13	44.08	1.13, 0.38	65.43	91.21	53.34	43.84	24.14	76.99	96.45	25.85	45.69	0.00	6.08	48.73	6.78	61.54	35.26	7.29	46.32	5.16	20.68	7.83	70.44	44.31
BRD-A80574334	CP	oxalomalic-acid	isocitrate dehydrogenase inhibitor	ACO1, IDH1		5.77, 3.37	44.06	1.95, 0.58	40.08	62.64	46.47	29.94	89.73	49.08	74.90	74.79	64.26	62.42	5.07	36.38	3.19	41.65	99.82	94.88	33.56	-41.60	31.24	36.84	26.33	75.77
BRD-K64935403	CP	ebelactone-b	pancreatic lipase inhibitor	PNLIP		6.25, 3.37	44.02	1.40, 0.40	50.43	22.09	42.48	99.75	45.57	88.68	0.21	18.14	27.22	73.99	2.22	22.86	92.44	29.24	83.03	71.91	21.61	90.92	86.54	19.39	50.00	12.50
BRD-K01638814	CP	rilmenidine	adrenergic receptor agonist, imidazoline receptor agonist	NISCH	Imidazoline ligand	5.77, 3.37	44.01	2.49, 0.59	71.59	15.15	20.08	93.32	82.66	92.26	97.02	41.51	83.00	76.40	-45.44	15.31	46.52	18.73	22.12	88.56	-38.66	69.89	1.83	91.20	31.01	28.33
BRD-K86600316	CP	RS-79948	adrenoreceptor antagonist			6.25, 3.13	44.01	0.88, 0.23	79.92	53.00	14.60	93.71	98.21	28.27	91.79	73.86	28.53	46.48	29.06	17.39	78.29	7.68	15.93	54.27	24.56	41.54	55.68	25.69	21.66	57.21
BRD-K57718010	CP	pentylenetetrazol	GABA receptor antagonist		GABA receptor antagonist	7.21, 1.92	44.00	1.01, 0.26	19.73	94.70	93.79	74.70	94.94	90.98	90.81	38.27	15.13	30.04	7.41	49.73	17.94	65.26	25.09	10.19	33.72	65.68	57.23	32.60	16.29	60.58
BRD-K02265150	CP	amoxapine	adrenergic transmitter uptake inhibitor, dopamine receptor, norepinephrine reputake inhibitor, serotonin receptor antagonist, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, HTR2A, HTR6, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR7, SLC6A3	Norepinephrine reuptake inhibitor	3.85, 1.92	43.98	1.20, 0.32	49.96	7.13	14.04	9.56	67.92	71.19	63.40	64.44	35.36	61.42	65.35	97.42	20.54	52.29	90.09	38.00	17.33	96.47	-0.21	10.90	14.32	26.63
BRD-U08759356	CP	EI-346-erlotinib-analog	epidermal growth factor receptor (EGFR) inhibitor	EGFR		5.77, 3.85	43.97	1.74, 0.51	12.66	99.22	-0.95	52.68	43.24	-34.07	53.10	57.64	3.88	36.38	97.71	73.05	56.21	31.54	95.99	35.76	78.71	33.45	42.68	7.34	44.70	89.67
BRD-K36862742	CP	hydroflumethiazide	sodium/potassium/chloride transporter inhibitor	SLC12A1, ATP1A1, CA1, CA12, CA2, CA4, CA9, KCNMA1		6.77, 1.56	43.97	1.64, 0.39	27.26	19.40	86.40	65.10	95.72	21.18	75.55	97.41	17.19	37.87	19.59	84.88	84.83	22.31	73.37	21.73	16.75	50.07	3.72	11.13	56.20	95.34
BRD-K85119730	CP	tolbutamide	ATP channel blocker	ABCC8, CYP2B6, CYP2C19, CYP2C8, KCNJ1, KCNJ11, KCNJ8		3.37, 0.48	43.93	1.03, 0.28	14.95	44.53	43.08	74.18	77.91	43.33	55.65	48.99	31.60	89.35	12.97	85.47	10.63	61.14	49.27	40.21	26.64	85.78	85.50	16.50	37.74	20.79
BRD-K03642198	CP	AY-9944	hedgehog pathway inhibitor			4.33, 3.37	43.91	1.05, 0.19	93.51	2.04	28.94	84.13	78.25	47.31	67.54	23.90	57.23	35.34	47.50	24.32	45.56	94.29	-36.18	38.20	16.87	49.16	42.25	-5.85	79.24	22.80
BRD-K38197229	CP	bumetanide	diuretic, solute carrier family member inhibitor	SLC12A1, SLC12A2, CFTR, GPR35, SLC12A4, SLC12A5		1.92, 1.44	43.90	1.00, 0.23	64.78	38.43	70.82	42.69	63.22	80.80	78.55	76.18	26.64	18.79	34.81	45.11	18.37	35.14	54.97	24.96	16.07	61.73	13.10	65.61	37.13	65.61
BRD-K12002134	CP	megestrol	progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor	PGR	Progesterone receptor agonist	7.81, 4.69	43.87	1.36, 0.45	14.54	77.59	58.27	87.47	37.08	-2.15	24.20	11.21	86.52	57.01	27.99	99.93	23.29	50.66	27.79	7.33	8.42	79.10	89.22	-8.60	96.06	70.22
BRD-A21723284	CP	naltriben	opioid receptor antagonist	OPRD1, OPRK1, OPRM1		2.88, 1.92	43.86	1.01, 0.31	95.16	44.18	55.18	61.16	97.67	73.28	78.79	35.30	43.55	47.74	5.07	23.33	42.25	38.42	74.87	70.92	36.29	88.48	13.56	27.66	14.91	1.73
BRD-A83695761	CP	chromanol	potassium channel blocker		Potassium channel blocker	2.60, 1.04	43.86	1.01, 0.31	71.29	11.29	20.80	60.42	88.38	62.13	25.63	87.75	16.51	80.95	29.98	63.76	88.30	77.00	43.04	91.48	26.68	39.24	17.20	5.18	44.69	10.17
BRD-K41567364	CP	SB-334867	orexin receptor antagonist	HCRTR1, HCRTR2		2.40, 0.48	43.86	1.28, 0.47	-16.56	44.02	80.01	50.49	-16.38	37.47	95.03	92.75	10.41	39.80	55.41	17.01	85.64	75.02	61.46	28.04	27.73	46.46	31.14	17.82	47.75	43.71
BRD-K86465814	CP	HO-013	PPAR receptor agonist	PPARG	PPAR receptor agonist	6.25, 3.85	43.84	1.10, 0.34	88.92	65.64	15.44	71.56	68.12	95.27	7.87	80.08	45.29	20.87	42.39	62.74	55.70	39.13	98.38	28.57	15.08	5.39	12.45	16.85	13.90	71.43
BRD-K02404261	CP	caffeine	adenosine receptor antagonist, ATM kinase inhibitor, ATR kinase inhibitor	ADORA1, ADORA2A, ADORA2B, ATM, ITPR1, RYR1, ADORA3, ATR, ITPR2, ITPR3, PDE10A, PDE11A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, PIK3CA, PIK3CB, PIK3CD, PRKDC, RYR2, RYR3		5.77, 2.40	43.83	0.43, 0.13	40.67	34.10	65.27	29.34	52.98	70.07	2.34	26.66	38.95	73.82	13.76	53.23	8.47	59.29	67.81	46.99	20.71	30.35	63.71	89.08	30.47	66.06
BRD-K54665485	CP	R-59022	diacylglycerol kinase inhibitor, protein kinase inhibitor	DGKA		9.90, 8.33	43.80	1.57, 0.51	29.58	35.09	68.72	63.58	99.89	32.01	85.44	99.93	76.89	16.63	60.02	40.26	99.05	25.66	10.62	30.17	20.52	64.85	4.69	5.87	47.34	88.62
BRD-A47513740	CP	calyculin	protein phosphatase inhibitor	PPP1CA, PPP1CC, PPP2CA		3.13, 0.52	43.80	2.60, 0.66	-41.51	45.66	-2.85	78.83	-58.82	68.43	30.03	41.93	65.44	10.68	24.60	51.73	15.93	78.14	49.34	15.63	63.74	-16.27	52.83	5.23	46.22	52.94
BRD-K39746403	CP	erythromycin	NFkB pathway inhibitor, 50S ribosomal subunit inhibitor, motilin receptor agonist, RPLV inhibitor	CYP3A4, MLNR		3.37, 1.44	43.78	0.74, 0.14	99.01	42.93	31.30	61.82	9.55	92.91	18.59	36.70	13.93	88.53	30.00	48.67	91.63	21.85	71.66	78.42	30.03	97.00	26.27	30.98	44.63	58.35
BRD-K79124250	CP	ioxaglic-acid	iodine contrast agent			2.40, 0.96	43.77	1.26, 0.44	70.43	88.41	89.13	91.61	93.79	35.15	74.55	51.48	19.09	41.28	24.84	76.47	0.07	68.70	46.11	41.43	8.60	-0.73	22.22	13.16	14.07	82.83
BRD-K78122587	CP	NNC-55-0396	T-type calcium channel blocker	CATSPER1, CATSPER2, CATSPER3, CATSPER4	T-type calcium channel blocker	1.92, 0.96	43.76	1.65, 0.48	10.06	99.30	36.81	6.59	43.09	13.52	55.98	70.40	12.29	7.23	95.45	10.60	82.72	61.59	76.62	17.77	81.29	31.52	44.44	8.52	71.96	51.28
BRD-A83326220	CP	brazilin	nitric oxide production inhibitor, nitric oxide synthase expression inhibitor, telomerase inhibitor			3.37, 2.88	43.75	1.50, 0.50	13.04	81.40	40.52	55.11	15.62	62.17	23.55	43.29	31.37	31.29	80.87	33.25	99.93	67.89	87.86	21.40	90.90	44.21	83.48	6.86	93.23	35.67
BRD-K04210847	CP	tamoxifen	estrogen receptor antagonist, selective estrogen receptor modulator (SERM), estrogen receptor agonist, estrogen receptor modulator, PKC inhibitor	ESR1, ESR2, CYP3A5, EBP, GPER1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCI, PRKCQ, PRKCZ	Estrogen receptor antagonist	1.04, 0.00	43.75	1.98, 0.59	55.95	61.03	9.74	47.84	27.34	1.92	9.74	16.39	49.37	14.58	82.45	29.48	62.60	71.58	51.36	29.08	68.56	51.14	35.69	2.47	76.89	39.65
BRD-K60298136	CP	ITE	aryl hydrocarbon receptor agonist, aryl hydrocarbon receptor ligand	AHR		2.40, 0.48	43.73	1.24, 0.36	28.45	60.81	45.55	74.05	41.91	48.09	24.84	-5.36	18.31	82.62	31.05	12.73	88.20	80.32	49.48	11.79	49.80	52.25	28.01	16.96	51.33	-13.88
BRD-A31800922	CP	procyclidine	anticholinergic	CHRM1, CHRM2, CHRM3, CHRM4		5.21, 2.08	43.70	1.05, 0.30	66.11	33.93	94.01	60.99	42.55	55.85	51.87	18.96	97.80	79.76	4.39	96.97	3.70	46.93	38.20	11.62	44.85	92.02	9.98	18.81	17.34	31.21
BRD-A52660433	CP	tetrindole	monoamine oxidase inhibitor	MAOA		1.04, 0.00	43.69	1.74, 0.63	35.99	95.77	-13.54	31.37	40.13	67.38	40.76	-10.77	84.98	14.61	92.49	20.24	87.53	83.94	92.46	54.84	46.63	-3.84	52.45	21.81	62.71	-20.03
BRD-M40783228	CP	mesna	sulfhydryl compound that inactivates toxic metabolites of some chemotherapeutics			5.73, 2.08	43.69	0.85, 0.32	59.53	39.34	81.76	78.53	58.55	77.96	97.08	0.25	55.27	4.50	4.47	48.04	7.25	79.26	-87.45	25.30	35.63	29.63	61.12	5.46	56.11	20.54
BRD-K71512533	CP	SNS-314	Aurora kinase inhibitor	AURKA, AURKB, AURKC	Aurora kinase inhibitor	4.81, 2.40	43.63	0.99, 0.30	50.66	99.15	57.71	36.59	58.39	29.81	86.99	26.34	20.03	11.40	1.80	62.57	9.64	57.35	65.57	22.05	67.51	-15.42	23.65	12.38	58.29	64.83
BRD-A29289453	CP	PCA-4248	platelet activating factor receptor antagonist	PTAFR		3.37, 1.44	43.61	0.76, 0.15	31.63	68.17	46.32	67.64	55.99	77.99	59.21	35.88	39.66	79.75	24.23	11.92	23.48	45.68	29.25	61.12	16.72	61.95	87.39	21.01	41.54	21.11
BRD-K19295594	CP	gossypol	BCL inhibitor, MCL1 inhibitor, 11-beta hydroxysteroid dehydrogenase inhibitor, growth factor receptor modulator, lipid peroxidase inhibitor	BCL2, BCL2L1, MCL1, BCL2L2, CTGF, EGF	BCL inhibitor	7.21, 2.88	43.57	1.26, 0.22	80.67	98.41	82.31	70.26	44.54	27.90	23.24	14.68	11.85	55.01	80.52	31.01	0.11	32.35	99.61	10.31	97.94	72.92	64.85	31.85	13.07	42.59
BRD-K13664374	CP	dichloroacetic-acid	pyruvate dehydrogenase kinase inhibitor, pyruvate dehydrogenase stimulant	PDK1		3.41, 1.70	43.54	1.33, 0.38	7.72	62.46	8.99	30.66	71.85	73.67	23.20	20.48	18.69	4.32	31.70	73.93	8.31	87.12	90.81	42.55	80.69	44.53	76.70	4.73	49.96	89.32
BRD-A14798026	CP	mestranol	estrogen receptor agonist	ESR1	Estrogen receptor agonist	5.77, 0.00	43.53	0.83, 0.28	93.39	94.53	31.65	97.41	76.42	37.93	90.20	30.76	21.73	61.81	9.66	9.92	14.72	76.82	24.00	79.52	11.28	57.91	94.54	11.00	49.14	36.86
BRD-K10065684	CP	dantron	stimulant laxative			4.81, 2.40	43.53	0.89, 0.15	53.47	78.89	65.27	79.72	76.85	48.84	38.23	27.07	24.84	37.16	19.52	77.44	6.08	66.67	23.89	1.93	33.54	57.67	85.10	7.83	91.80	31.91
BRD-K81225797	CP	SCH-58261	adenosine receptor antagonist	ADORA2A, ADORA1, ADORA2B, ADORA3		2.88, 1.44	43.53	1.01, 0.42	1.06	83.69	50.51	64.25	42.71	17.71	15.47	38.59	0.99	-16.74	38.73	43.76	80.13	98.47	79.90	11.50	62.41	84.42	43.31	19.86	72.79	81.67
BRD-K24656285	CP	farnesol	amine oxidase B inhibitor, FXR agonist	MAOB, MVK, NR1H4		4.81, 2.88	43.49	2.13, 0.48	86.51	38.98	33.00	99.68	60.55	80.22	48.01	71.13	28.74	51.82	-17.69	-8.32	85.27	-14.88	15.00	69.39	-13.33	78.27	21.94	79.38	21.60	-62.82
BRD-A48570745	CP	ivermectin	GABA receptor agonist, acetylcholine receptor allosteric modulator, GABA release stimulant, purinergic receptor allosteric modulator	CHRNA7, GABRB3, GLRA3, P2RX7		4.33, 1.92	43.48	1.89, 0.43	35.57	99.89	66.25	54.74	-7.15	39.84	47.51	7.77	70.63	25.62	34.90	41.47	95.28	22.98	91.15	5.74	66.09	15.75	45.48	3.45	53.94	65.99
BRD-K98684188	CP	GSK-0660	PPAR receptor inhibitor	PPARD		4.81, 3.37	43.48	1.11, 0.32	46.49	36.49	9.58	60.39	87.22	89.72	74.20	64.50	-0.85	30.64	73.69	7.35	96.58	30.09	99.05	72.15	40.46	-54.66	1.90	8.42	25.26	50.70
BRD-K17378184	CP	prestwick-559	dopamine receptor agonist	DRD3, ADRA1A, ADRA1D, ADRA2A, DRD1, DRD2, DRD4, HTR1A, HTR2B		3.85, 0.96	43.47	0.68, 0.16	59.11	2.85	95.76	82.55	18.39	51.83	64.95	76.30	69.87	36.85	16.42	44.18	14.52	41.44	47.83	6.41	8.81	42.76	25.26	79.22	51.49	23.81
BRD-K31627533	CP	rimexolone	glucocorticoid receptor agonist, immunosuppressant, mineralocorticoid receptor agonist	NR3C1, SERPINA6	Glucocorticoid receptor agonist	5.77, 1.92	43.43	1.19, 0.47	43.14	67.53	16.03	71.40	87.00	57.27	89.01	-4.56	55.69	37.85	3.03	82.13	7.82	29.42	33.31	81.35	-32.12	61.96	77.17	28.40	43.73	-6.52
BRD-K01624546	CP	docosatrienoic-acid	inhibitor of LTB4 binding to neutrophils			7.21, 3.37	43.42	1.52, 0.59	86.48	-1.87	51.44	35.41	97.67	88.97	54.77	29.60	22.58	58.10	4.97	24.24	21.03	-36.07	59.78	88.12	6.38	89.64	53.35	29.36	75.08	5.85
BRD-K80970344	CP	pyrrolidine-dithiocarbamate	NFkB pathway inhibitor	HSD11B1, RELA	NFkB pathway inhibitor	4.81, 3.37	43.41	1.64, 0.73	64.97	65.52	26.84	43.85	62.73	42.98	84.55	31.50	32.85	88.37	85.72	42.96	98.80	-48.93	36.48	19.87	94.70	12.10	12.22	12.94	98.51	48.62
BRD-K50388907	CP	fenofibrate	PPAR receptor agonist, apolipoprotein expression enhancer, lipase clearing factor inhibitor	PPARA, APOA1, CYP2C19, CYP2C8, MMP25		4.33, 3.85	43.40	1.01, 0.25	69.71	5.87	39.40	48.50	5.21	75.09	80.73	-7.45	16.29	22.40	0.78	47.40	11.09	71.68	85.05	53.95	6.17	9.86	51.89	9.95	67.79	86.25
BRD-A01145011	CP	zebularine	DNA methyltransferase inhibitor, cytidine deaminase inhibitor	CDA, DNMT1		3.37, 1.44	43.40	0.63, 0.20	16.69	34.24	44.09	79.49	60.68	51.59	64.28	61.09	79.37	42.70	4.45	76.09	18.37	33.15	41.22	45.60	31.73	14.48	13.15	44.62	8.62	46.16
BRD-K17497770	CP	butein	angiotensin converting enzyme inhibitor, epidermal growth factor receptor (EGFR) inhibitor, interleukin synthesis inhibitor, NFkB pathway inhibitor, SIRT activator, Src tyrosine kinase inhibitor, steroid 5alpha-reductase inhibitor, tumor necrosis factor production inhibitor	ACE, CXCL8, IL6, SIRT1, SRD5A1, SRD5A2, TNF		4.33, 2.88	43.39	1.52, 0.56	6.31	60.80	16.06	41.92	74.88	3.39	18.16	35.13	11.03	56.38	87.43	30.45	99.51	36.77	96.09	4.51	73.94	73.09	83.16	10.10	98.41	44.87
BRD-K46068882	CP	eugenitol	androgen receptor (AR) inhibitor, free radical scavenger, monoamine oxidase inhibitor, quorum sensing signaling modulator	AR, MAOA		5.29, 2.40	43.34	1.18, 0.30	93.81	6.22	43.27	34.44	67.75	65.07	85.90	43.42	82.60	98.53	6.98	49.79	6.35	54.60	-6.91	96.39	-11.21	43.18	45.13	8.97	18.45	30.38
BRD-K93176058	CP	AC-55649	RAR agonist, retinoid receptor agonist	RARB, RARA	Retinoid receptor agonist	3.85, 1.44	43.33	1.35, 0.26	50.99	13.36	79.02	81.26	95.26	80.58	37.66	52.76	97.40	38.73	-5.94	89.54	-6.94	45.96	46.16	38.61	8.41	83.59	10.58	40.70	35.58	-72.30
BRD-K63089472	CP	farnesylthioacetic-acid	inhibitor of methyl esterification of farnesylated proteins			6.73, 3.37	43.31	1.24, 0.35	53.45	4.26	92.75	47.04	86.08	80.41	8.16	2.29	55.15	65.46	1.59	25.70	3.19	39.57	-19.84	91.55	-33.84	97.18	7.88	47.44	49.76	15.58
BRD-K88551539	CP	CAY-10585	hypoxia inducible factor inhibitor	HIF1A		3.37, 0.96	43.28	1.76, 0.75	43.24	98.46	34.86	66.94	91.99	93.05	58.73	89.40	13.65	49.50	50.28	8.79	15.87	35.84	90.59	43.32	39.10	5.65	0.35	5.97	0.00	63.67
BRD-A51182606	CP	chloramphenicol	30S ribosomal protein inhibitor, 50S ribosomal subunit inhibitor, antibacterial agent	CD55, CYP2C19		3.65, 2.60	43.28	1.82, 0.47	80.27	40.33	-84.24	84.48	36.99	43.60	98.91	74.24	63.72	25.68	27.13	55.13	20.16	62.85	15.72	42.96	49.02	-9.05	55.56	9.44	1.07	51.37
