#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K71799949-summary	BRD-K93034159-summary	BRD-K17075857-summary	BRD-K02637541-summary	BRD-K43164539-summary	BRD-K37289225-summary	BRD-K33106058-summary	BRD-A91699651-summary	BRD-K19111024-summary	BRD-A17411484-summary	BRD-A10977446-summary	BRD-K78431006-summary	BRD-K28143534-summary	BRD-K29950728-summary	BRD-K98530306-summary	BRD-K29458283-summary	BRD-K56614220-summary	BRD-K15916496-summary	BRD-K52989797-summary	BRD-A04553218-summary
BRD-K80325895	CP	eicosadienoic-acid	in touchstone			6.82, 1.70	42.99	1.49, 0.41	69.94	21.07	25.86	50.01	71.21	50.38	44.00	95.55	36.14	88.88	11.15	41.97	27.78	40.41	97.99	32.07	75.69	70.65	15.95	8.45
BRD-K09497549	CP	kawain	calcium channel modulator, mTOR inhibitor, Sodium Channel  Blockers	MTOR		3.41, 1.70	42.98	1.07, 0.28	32.88	37.89	12.79	47.13	78.20	54.36	35.89	63.18	81.29	66.01	5.18	15.68	93.12	22.41	56.10	33.79	23.81	73.64	38.83	97.33
BRD-K57930253	CP	nitrazepam	GABA benzodiazepine site receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, SCN1A	Benzodiazepine receptor agonist	7.55, 3.77	42.98	1.19, 0.33	62.43	31.57	20.59	64.81	94.72	51.46	64.76	99.43	34.50	95.17	93.57	-0.11	14.73	28.34	15.96	17.57	82.94	95.21	7.27	15.88
BRD-K47679368	CP	bromfenac	cyclooxygenase inhibitor	PTGS1, PTGS2		5.68, 3.98	42.93	1.44, 0.48	91.69	34.12	35.59	89.64	74.65	98.80	12.79	9.23	54.04	86.71	19.06	21.76	31.56	36.20	15.30	43.48	61.39	88.04	42.38	53.13
BRD-K44442813	CP	pidotimod	interferon receptor agonist, interleukin receptor agonist, T cell stimulant			3.77, 3.14	42.91	1.86, 0.65	43.20	42.61	24.03	23.16	38.65	56.27	96.65	76.92	67.17	87.37	16.62	82.76	11.84	77.61	42.03	53.58	32.29	99.82	34.84	41.94
BRD-K80672993	CP	M2-PK-activator	pyruvate kinase isozyme activator	PKM		5.76, 2.62	42.89	0.49, 0.08	20.02	21.75	34.22	47.78	84.40	35.74	36.78	83.97	48.43	38.00	14.00	59.21	29.93	11.11	94.15	62.20	56.61	63.53	19.60	77.06
BRD-K77908580	CP	entinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC9	HDAC inhibitor	1.05, 0.00	42.88	1.00, 0.38	58.53	65.04	72.65	4.55	18.70	27.79	55.22	14.21	57.67	65.74	42.52	43.24	35.85	81.78	6.56	13.83	70.49	25.59	9.91	56.54
BRD-K96799727	CP	pifithrin-mu	HSP inhibitor	HSPA1A, TP53		1.05, 0.52	42.83	1.05, 0.24	40.70	8.96	78.36	8.51	10.49	26.43	9.08	13.73	50.05	44.95	11.93	52.68	60.27	51.59	11.24	50.44	89.70	69.25	63.10	35.14
BRD-K53857191	CP	risperidone	dopamine receptor antagonist, serotonin receptor antagonist, adrenergic receptor antagonist	DRD2, HTR2A, ADRA1A, ADRA1B, DRD3, HRH1, HTR1A, HTR1D, HTR2C, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CYP3A5, DRD1, DRD4, HTR1B, HTR1E, HTR1F, HTR6, HTR7		4.71, 2.62	42.80	0.63, 0.11	31.44	21.97	47.08	56.69	65.26	51.83	44.78	25.48	44.84	88.33	28.06	22.57	26.20	5.14	37.67	80.70	73.95	87.39	16.66	40.82
BRD-M47937986	CP	cefatrizine	cell wall synthesis inhibitor			5.03, 1.89	42.79	0.83, 0.25	0.21	2.04	2.35	73.25	54.50	29.66	36.18	53.18	73.31	88.56	76.46	-33.50	22.71	4.64	59.75	48.59	56.04	36.99	32.11	75.56
BRD-A09472452	CP	flecainide	sodium channel blocker, sodium channel inhibitor, voltage-gated sodium channel blocker	SCN5A, KCNA5, KCNA7, SCN4A		4.71, 3.14	42.78	0.55, 0.09	4.30	33.51	61.01	41.93	86.50	43.86	5.52	68.18	91.62	63.68	81.50	36.14	21.56	48.25	16.37	3.98	70.68	29.77	43.64	17.70
BRD-K09485525	CP	GANT-61	GLI antagonist	DHH, IHH		4.19, 2.62	42.78	0.76, 0.11	3.14	39.70	45.87	6.75	70.19	95.70	33.61	5.21	13.20	88.58	92.32	76.88	36.79	93.73	23.15	4.71	83.78	37.83	51.29	61.20
BRD-K42142750	CP	retrorsine	mutagenic, antimitotic, cytotoxic			2.27, 1.70	42.77	0.97, 0.31	13.28	46.65	6.06	43.90	30.04	41.64	44.73	24.84	21.05	65.13	29.06	5.39	82.39	20.72	67.03	83.80	83.24	90.55	58.34	27.25
BRD-K77390737	CP	xanthohumol	aromatase inhibitor, diacylglycerol O acyltransferase inhibitor, valosin containing protein inhibitor	CYP19A1, VCP		4.19, 2.09	42.77	1.35, 0.38	85.30	27.82	83.63	35.22	99.08	31.18	5.81	82.59	43.80	87.63	9.57	44.36	33.55	51.28	84.59	37.84	57.35	41.74	19.83	9.44
BRD-K33308633	CP	INCA-6	calcineurin inhibitor, Inhibitor of interaction between calcineurin and its substrate nuclear factor of activated T cells (NFAT)	NFATC1		5.24, 2.62	42.73	0.63, 0.18	19.54	40.38	87.44	40.20	61.18	55.22	68.09	39.87	89.72	42.95	83.04	15.33	42.50	47.07	42.47	80.71	24.76	37.90	12.23	92.43
BRD-K63343048	CP	orlistat	cholesterol inhibitor, diacylglycerol lipase inhibitor, fatty acid synthase inhibitor, gastric triacylglycerol lipase inhibitor, Hypolipemic pancreatic, gastric and carboxylester lipase inhibitor, lipase inhibitor, pancreatic lipase inhibitor	PNLIP, DAGLA, FASN, LIPF, CNR1, DAGLB		6.29, 4.40	42.72	1.16, 0.32	2.96	67.77	57.55	13.77	19.26	47.19	77.23	43.60	27.92	72.44	13.33	66.59	90.57	72.01	26.52	11.69	41.85	98.59	41.36	10.81
BRD-A01145011	CP	zebularine	DNA methyltransferase inhibitor, cytidine deaminase inhibitor	CDA, DNMT1		5.76, 4.19	42.70	0.63, 0.20	25.11	15.40	-2.01	71.82	36.91	53.00	4.26	46.90	44.27	66.70	27.25	-7.50	77.04	10.77	98.09	48.39	51.68	65.75	2.57	41.13
BRD-K36740062	CP	GSK-1070916	Aurora kinase inhibitor	AURKB, AURKC, AURKA, CYP2D6, CYP3A4	Aurora kinase inhibitor	5.24, 3.14	42.69	1.24, 0.53	7.50	10.67	42.10	0.49	54.99	56.45	10.24	43.28	72.63	65.32	44.61	99.01	44.68	74.41	5.74	3.26	13.57	39.51	86.18	22.48
BRD-K27737647	CP	H-89	AKT inhibitor, cAMP dependent protein kinase inhibitor, PKA inhibitor, voltage-gated potassium channel blocker	PRKACA, GSG2, KCNA2, KCNA3, KCNA5, KCNAB2, KCNC1, KCNC2, KCNC3, KCNE1, KCNE2, KCNE3, KCNE4, KCNH1, KCNH2, KCNQ1, KCNQ2, KCNQ3, KCNQ5, KCNS3, PKIA	PKA inhibitor	10.47, 5.76	42.68	1.58, 0.55	38.97	53.79	40.19	45.18	28.21	99.89	7.05	59.15	-12.70	-35.80	98.41	96.42	-0.95	99.01	47.82	28.81	16.12	84.06	99.65	5.10
BRD-K44497846	CP	enalapril	angiotensin converting enzyme inhibitor, angiotensin receptor blocker	ACE		6.82, 2.27	42.68	1.09, 0.33	9.74	63.67	2.83	19.76	94.08	74.18	9.84	13.46	71.71	12.25	80.10	46.27	0.00	14.20	42.82	43.57	42.54	56.09	5.71	52.47
BRD-A79672927	CP	tropicamide	acetylcholine receptor antagonist, anticholinergic	CHRM3, CHRM4, CHRM1, CHRM2		2.27, 0.57	42.68	1.06, 0.39	21.83	10.63	23.18	18.15	64.33	49.69	6.64	57.36	69.46	82.75	35.69	4.79	56.78	10.83	35.09	49.67	57.88	76.48	15.72	81.51
BRD-K47943470	CP	tyrphostin-51	EGFR inhibitor			5.76, 2.62	42.67	1.35, 0.39	15.54	26.22	43.41	62.20	99.30	3.76	53.33	98.63	67.40	61.69	41.94	3.21	54.87	3.98	37.75	18.86	98.84	95.12	11.39	35.81
BRD-K98763141	CP	niflumic-acid	cyclooxgenase inhibitor	CLCNKA, PTGS2, ANO1, CLCN1, CLCNKB, KCNQ1, PLA2G1B, PLA2G4A, PTGS1, UGT1A9		8.52, 2.84	42.65	1.09, 0.39	87.69	83.24	14.54	67.15	94.19	97.03	22.75	14.01	88.62	38.84	12.33	0.00	36.34	68.39	46.46	87.43	1.44	47.02	3.10	19.54
BRD-K24240364	CP	GYKI-52466	glutamate receptor antagonist, kainate receptor antagonist	GRIA1, GRIA2, GRIA3, GRIA4		3.14, 1.05	42.63	1.10, 0.34	63.87	10.93	41.12	44.14	87.16	12.10	4.75	95.59	9.06	88.58	91.54	53.27	11.76	47.56	87.40	21.12	25.70	38.38	37.88	47.73
BRD-A79237180	CP	ascorbic-acid	vitamin C, antioxidant	AKR1B1		10.23, 5.11	42.63	1.89, 0.52	-51.68	44.47	51.81	36.09	43.96	97.55	10.70	6.01	69.14	75.46	-3.45	4.62	92.69	42.40	6.71	6.97	-63.55	82.62	99.27	42.85
BRD-A02710418	CP	meptazinol	opioid receptor agonist	BCHE		10.99, 5.24	42.56	1.05, 0.41	84.19	40.32	41.10	84.83	96.31	34.80	27.88	99.44	25.53	99.82	92.70	20.80	34.67	29.14	26.67	44.53	45.20	41.12	43.99	78.06
BRD-K05658747	CP	raltegravir	HIV integrase inhibitor			8.38, 4.71	42.49	0.99, 0.31	40.07	45.51	-30.30	17.25	84.57	30.08	52.84	99.47	34.96	79.98	8.79	-0.70	7.96	22.24	89.20	8.26	72.66	91.82	61.85	44.92
BRD-K71860425	CP	CDK2-5-inhibitor	inhibitor of CDK2/cyclin E and CDK5/p25	CDK2, CDK5		5.24, 2.62	42.48	1.09, 0.31	13.45	28.64	61.18	22.00	51.68	45.11	18.96	70.36	78.76	85.06	-38.47	31.92	9.09	10.58	5.96	74.27	39.85	79.24	70.81	88.87
BRD-K22878149	CP	SB-205607	delta 1 opioid receptor agonist, opioid receptor agonist	OPRD1, OPRK1, OPRM1		5.24, 2.09	42.48	1.65, 0.52	59.81	45.74	8.90	22.31	61.84	75.02	37.77	6.06	-12.57	96.29	85.27	33.54	79.68	55.61	38.41	2.38	39.21	63.04	16.50	61.17
BRD-K87048468	CP	RS-102221	serotonin receptor antagonist	HTR2C, HTR2A, HTR2B		3.14, 0.00	42.46	1.13, 0.25	14.92	4.12	27.53	78.45	84.40	93.68	35.91	72.41	96.72	10.99	50.94	8.10	6.15	64.01	96.37	40.38	16.35	44.54	68.66	33.31
BRD-K68341547	CP	W-9	calmodulin antagonist	CALM2	Calmodulin antagonist	3.14, 1.57	42.42	0.93, 0.22	-3.21	25.01	6.93	73.69	63.41	72.87	14.55	79.80	46.49	80.71	47.40	84.79	41.34	7.61	17.53	36.43	16.68	52.92	43.50	21.54
BRD-K12513978	CP	fenbufen	cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor	4.71, 2.62	42.41	0.89, 0.24	63.82	23.15	30.82	35.36	69.64	69.46	51.82	98.43	74.94	63.01	6.19	3.21	17.73	29.54	46.57	55.84	18.58	79.89	27.91	38.24
BRD-K26117720	CP	gingerol	nitric oxide synthase inhibitor			4.55, 2.27	42.40	0.75, 0.14	7.33	61.85	57.63	17.38	38.08	13.60	51.44	19.93	73.63	46.71	26.83	54.45	34.87	25.01	35.58	12.80	70.51	72.44	54.59	68.57
BRD-K49404994	CP	levetiracetam	acetylcholine receptor agonist, N-type calcium channel blocker, synaptic vesicle glycoprotein ligand	SV2A, CACNA1B, SCN1A		4.40, 1.26	42.40	0.77, 0.24	43.43	18.84	2.87	77.99	40.62	66.52	57.50	52.74	79.15	88.35	41.36	36.93	0.60	43.51	17.12	7.44	66.66	86.63	23.98	27.63
BRD-A65449987	CP	flunisolide	cytochrome P450 inhibitor, corticosteroid agonist, corticosteroid hormone receptor agonist, glucocorticoid receptor agonist, immunosuppressant	NR3C1	Glucocorticoid receptor agonist	8.90, 5.76	42.38	1.23, 0.76	99.93	16.17	55.71	99.22	27.59	80.24	17.54	56.53	23.58	56.96	3.95	44.17	30.74	61.68	43.59	22.40	35.80	40.44	87.33	41.17
BRD-K24201553	CP	SB-269970	serotonin receptor antagonist	HTR7		3.66, 2.09	42.34	0.86, 0.31	1.37	2.35	4.55	82.19	51.64	18.59	7.22	56.22	45.16	39.53	62.20	34.90	19.05	61.10	85.33	35.23	20.91	47.38	70.14	53.31
BRD-K89930444	CP	AG-592	tyrosine kinase inhibitor			5.24, 4.19	42.32	1.82, 0.48	0.99	93.92	99.93	5.01	-60.47	20.82	73.36	-46.20	38.23	32.58	65.99	78.34	92.28	43.87	6.45	48.69	99.93	80.47	40.77	23.47
BRD-K48923948	CP	BMS-641988	androgen receptor antagonist	AR		10.47, 7.33	42.27	2.52, 0.60	99.47	37.03	16.96	93.72	99.37	62.38	4.16	99.93	91.19	54.49	10.61	-4.37	10.55	51.28	100.00	10.38	41.06	43.47	27.25	16.11
BRD-A97437073	CP	rosiglitazone	PPAR receptor agonist, insulin sensitizer, thiazolidinedione	PPARG, ACSL4, CYP2C8, FFAR1, INS, TRPC5, TRPM3	PPAR receptor agonist	5.24, 2.62	42.25	0.39, 0.11	18.35	76.79	28.86	76.35	46.16	38.55	50.63	22.05	48.93	76.05	83.73	27.95	45.88	65.92	35.82	38.62	16.70	70.53	20.81	31.63
BRD-K31542390	CP	mycophenolic-acid	dehydrogenase inhibitor, immunosuppressant, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor	IMPDH1, IMPDH2	IMPDH inhibitor	9.42, 6.28	42.25	0.92, 0.33	7.43	97.62	69.16	6.75	90.28	21.11	96.90	71.58	56.06	38.67	45.83	9.08	23.32	25.08	20.22	98.98	48.41	80.17	9.94	8.67
BRD-K62736196	CP	guanabenz	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C		5.76, 2.09	42.21	0.53, 0.08	82.70	10.15	57.74	48.19	82.44	10.71	53.85	36.23	71.04	31.14	30.62	10.47	10.62	12.72	28.92	87.87	88.79	87.77	9.69	77.53
BRD-A88282067	CP	delcorine	ganglioblocking, antiarrhythmic			3.14, 1.57	42.20	1.53, 0.42	20.95	2.04	86.23	84.22	55.86	73.60	4.02	27.42	70.12	62.83	71.00	10.25	5.34	17.61	64.71	24.35	28.53	76.69	69.38	10.61
BRD-A34706053	CP	CGP-12177	adrenergic receptor agonist	ADRB1, ADRB2, ADRB3		2.09, 1.05	42.19	0.94, 0.32	53.84	5.29	42.49	81.63	59.97	9.30	6.82	98.13	62.50	60.90	14.26	0.92	28.77	17.46	28.76	41.89	50.39	70.52	6.50	87.48
BRD-A08877921	CP	cephalotaxine	protein synthesis inhibitor			5.21, 2.08	42.12	1.22, 0.17	31.21	67.06	70.70	46.04	40.49	17.35	4.35	11.38	11.42	1.41	77.75	6.41	7.19	62.98	85.63	43.74	57.52	68.18	33.13	76.97
BRD-A02481876	CP	importazole	importin-beta transport receptor inhibitor	KPNB1		5.76, 2.09	42.11	1.51, 0.24	24.06	96.50	82.81	-4.10	43.97	19.37	89.86	13.39	15.64	67.89	5.74	94.05	82.52	70.47	40.25	98.98	33.96	63.18	6.27	10.59
BRD-K86887724	CP	dofetilide	polarization inhibitor, potassium channel antagonist, potassium channel blocker	KCNH2, KCNH1, KCNJ12, KCNK2		6.92, 3.77	42.08	1.25, 0.40	3.39	39.44	18.36	44.72	-16.15	87.23	83.93	11.48	61.61	67.08	-0.03	0.11	10.35	2.96	95.09	14.40	62.49	87.15	82.57	99.54
BRD-K09471561	CP	levofloxacin	topoisomerase inhibitor, DNA gyrase inhibitor	TOP2A		2.52, 1.26	42.07	1.83, 0.38	27.14	29.17	21.44	10.52	62.22	40.85	43.45	24.56	66.98	58.81	11.95	43.30	52.48	13.78	23.47	47.75	21.70	70.61	51.02	71.27
BRD-A27554692	CP	altrenogest	progestogen steroid hormone	PGR		2.09, 2.09	42.06	0.70, 0.16	87.75	9.22	17.48	93.49	43.68	82.83	6.99	38.64	70.79	93.81	77.86	11.75	31.77	44.71	24.00	4.72	42.77	41.34	85.51	16.61
BRD-A99411506	CP	esculin	antioxidant, unidentified pharmacological activity			2.62, 2.09	42.06	0.77, 0.30	7.93	6.77	76.94	4.02	87.11	37.47	7.23	0.00	48.70	90.96	8.85	5.88	51.64	61.59	43.12	58.55	90.79	40.99	15.01	75.42
BRD-K17868609	CP	BRL-54443	serotonin receptor agonist	HTR1E, HTR1F		4.19, 2.09	42.06	0.97, 0.26	85.40	48.08	15.55	89.43	69.49	81.95	2.50	9.99	96.61	73.11	38.83	32.50	31.51	84.37	41.41	11.49	42.70	4.78	80.39	5.92
BRD-A01593789	CP	chlormadinone	progesterone receptor agonist	PGR		4.71, 3.14	42.04	0.64, 0.23	98.45	17.57	1.44	71.38	61.65	4.66	21.64	30.20	-7.99	87.68	12.53	11.34	34.82	23.36	58.92	49.26	49.68	71.09	63.01	93.80
BRD-K38477985	CP	malonoben	protein tyrosine kinase inhibitor, tyrosine kinase inhibitor	EGFR		5.76, 3.14	42.03	1.84, 0.60	33.60	97.49	99.19	34.22	-18.33	35.30	80.11	17.21	38.51	85.17	45.55	99.08	72.97	92.47	2.49	33.99	99.93	79.29	36.63	28.37
BRD-K10176267	CP	L-701252	glutamate receptor antagonist	GRIN1		2.09, 0.00	42.02	1.18, 0.38	83.39	8.41	21.42	42.54	83.63	8.10	0.39	16.72	71.82	57.92	0.95	4.37	75.06	42.29	41.74	50.83	43.86	11.83	66.67	27.63
BRD-K17743125	CP	belinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor	1.57, 0.00	41.98	1.84, 0.53	43.25	64.10	62.85	0.00	-6.84	15.83	94.99	4.93	13.07	12.05	63.42	20.56	4.40	82.45	10.54	40.71	71.55	89.00	69.74	79.59
BRD-K02113016	CP	olaparib	PARP inhibitor, DNA repair enzyme inhibitor	PARP1, PARP2, PARP3	PARP inhibitor	6.28, 3.66	41.98	0.59, 0.13	47.30	97.08	46.27	59.81	47.29	5.92	91.33	25.03	43.72	40.23	21.79	52.13	10.66	35.44	6.22	27.40	22.09	52.36	4.93	50.24
BRD-K97863768	CP	prothionamide	mycobacterium tuberculosis enoyl-[acyl-carrier-protein] reductase [NADH] (inhA) inhibitor			3.14, 1.05	41.98	1.07, 0.39	39.34	80.52	42.63	32.66	41.32	60.55	78.32	79.83	50.16	28.80	73.04	3.62	11.84	55.05	56.23	68.87	0.63	-17.84	30.86	17.53
BRD-K69763916	CP	LY-341495	glutamate receptor antagonist	GRM2, GRM3		4.19, 2.09	41.95	1.00, 0.32	82.31	9.43	-7.31	79.23	46.47	41.13	2.15	6.45	96.44	78.87	94.65	6.44	30.22	49.04	48.20	28.88	79.86	42.77	7.86	36.30
BRD-K49890030	CP	gavestinel	glutamate receptor antagonist, glycine receptor antagonist	GLRB		5.24, 2.62	41.95	1.19, 0.34	15.23	46.98	84.06	59.61	76.14	63.69	23.49	77.27	31.39	10.40	7.62	49.74	60.67	17.03	79.82	20.84	19.75	36.92	14.70	63.83
BRD-A06784547	CP	MRS-1334	adenosine receptor antagonist			2.62, 0.00	41.94	0.56, 0.14	10.78	49.41	54.01	78.42	73.13	55.10	11.05	95.47	50.86	74.91	38.60	37.98	43.70	40.19	15.92	20.00	34.99	34.10	78.70	36.28
BRD-K97181089	CP	amiloride	sodium channel blocker, diuretic, epithelial sodium channel blocker, sodium/hydrogen exchanger inhibitor	SCNN1A, ASIC1, ASIC2, SCNN1B, SCNN1G, AOC1, ASIC3, PKD2, PKD2L1, PLAU, SCNN1D, SLC9A1, TRPC7, TRPV2		3.66, 2.09	41.94	0.32, 0.06	34.32	5.50	8.27	87.58	82.42	5.52	23.28	72.12	80.19	64.00	30.65	16.19	26.24	21.19	77.20	49.57	80.24	50.92	25.23	65.07
BRD-K64514229	CP	toltrazuril	anti-protozoal			8.90, 6.28	41.92	0.67, 0.16	56.11	17.45	5.41	52.68	74.99	85.54	34.62	98.38	86.62	81.96	99.47	34.80	12.31	36.06	36.29	62.34	38.32	22.35	15.82	45.53
BRD-K89210380	CP	biotin	vitamin cofactor for many metabolic reactions	ACACA, ACACB, HLCS, MCCC1, MCCC2, PC, PCCA, PCCB, SLC5A6		3.14, 1.05	41.89	1.50, 0.53	28.72	3.13	7.64	63.80	46.89	15.73	14.87	83.25	70.09	75.09	35.99	20.26	52.25	67.79	91.00	22.86	0.21	65.88	45.13	38.65
BRD-A17411484	CP	carprofen	cyclooxygenase inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1		10.47, 6.28	41.86	0.85, 0.24	8.69	41.94	3.54	5.46	98.15	70.11	33.26	58.75	43.90	99.98	88.53	39.48	40.01	20.24	80.11	55.83	90.46	41.78	14.13	8.57
BRD-K46742498	CP	alosetron	serotonin receptor antagonist	HTR3A		7.55, 4.40	41.85	1.31, 0.35	19.85	19.47	0.07	77.75	14.52	99.40	62.48	5.25	21.22	95.69	6.43	-0.15	9.59	2.08	98.31	86.74	93.05	68.19	95.08	96.47
BRD-K60511616	CP	pravastatin	HMGCR inhibitor	HMGCR, SLCO1B1		2.09, 0.52	41.84	0.49, 0.17	27.61	41.73	45.78	80.51	58.60	26.22	11.13	20.42	91.10	93.94	30.14	11.32	10.39	46.48	67.76	35.42	80.24	39.80	66.70	41.96
BRD-A17535965	CP	gelsemine	acetylcholine receptor antagonist, glycine receptor antagonist	GLRA3		2.27, 1.14	41.84	0.97, 0.31	38.50	45.18	23.51	-88.32	-19.23	59.89	15.10	3.52	63.38	60.26	4.38	8.78	50.98	60.29	15.53	70.94	70.35	92.77	9.96	99.82
BRD-K97752965	CP	nicorandil	ATP channel activator, nitric oxide donor, potassium channel agonist	ABCC9, KCNJ11, KCNJ8		10.69, 7.55	41.82	2.11, 0.73	97.99	54.35	42.32	41.31	23.34	62.45	98.10	54.43	28.23	26.22	6.07	10.99	29.27	21.83	98.40	61.93	-0.62	99.93	17.19	59.66
BRD-K66788707	CP	fludarabine	DNA synthesis inhibitor, DNA repair enzyme inhibitor, purine antagonist, ribonucleotide reductase inhibitor	ADA, DCK, POLA1, RRM1, RRM2	DNA synthesis inhibitor, Ribonucleotide reductase inhibitor	11.93, 7.95	41.81	0.98, 0.33	91.36	98.56	20.75	38.42	45.20	96.92	92.85	19.30	86.47	69.36	10.61	25.73	34.17	59.74	24.10	99.58	17.08	37.51	32.24	68.98
BRD-K50135270	CP	GBR-12935	dopamine uptake inhibitor	AGTR1, SLC6A3		4.19, 2.09	41.80	1.25, 0.36	21.15	39.18	80.55	79.60	31.06	98.80	11.15	11.76	42.59	50.80	81.84	45.47	20.23	94.35	33.96	35.24	41.01	39.96	98.97	90.66
BRD-A39747742	CP	estradiol-valerate	estrogen receptor agonist	ESR1	Estrogen receptor agonist	5.24, 3.66	41.78	1.16, 0.43	82.55	-0.42	32.91	87.40	49.88	85.35	-9.81	10.02	94.14	24.78	56.93	21.54	53.82	64.55	11.95	8.45	22.50	44.76	38.81	53.85
BRD-A46186775	CP	hydrocortisone	corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist	6.82, 5.11	41.78	1.44, 0.70	99.93	61.13	19.76	98.77	84.09	15.27	45.59	83.78	39.11	21.80	16.46	10.10	14.75	25.80	61.30	3.69	44.46	53.69	99.30	-1.48
BRD-K40965114	CP	cyanopindolol	adrenergic receptor antagonist	HTR1D		2.84, 1.70	41.77	1.40, 0.47	43.86	27.51	41.92	17.73	81.10	77.00	31.75	43.42	22.35	47.03	8.07	3.91	23.60	67.56	92.98	28.89	41.62	60.31	3.63	53.70
BRD-K47150025	CP	KI-8751	PDGFR alpha and c-Kit inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	KDR	PDGFR/KIT inhibitor	2.27, 0.57	41.73	2.49, 0.72	16.69	81.87	88.09	31.96	15.87	39.80	91.02	5.61	43.67	51.00	5.42	51.84	76.34	33.53	11.21	37.88	56.42	37.81	72.92	57.17
BRD-K72024482	CP	MRS-1754	adenosine receptor antagonist	ADORA2B, ADORA1, ADORA2A, ADORA3		6.28, 2.09	41.66	0.80, 0.20	38.22	19.17	36.41	89.44	76.18	41.91	24.40	96.72	55.34	41.40	71.67	-1.02	10.36	4.78	79.07	91.91	11.36	88.71	7.07	92.01
BRD-K41337261	CP	ZM-306416	Src and Abl inhibitor, vascular endothelial growth factor receptor 1 (VEGFR1) inhibitor	FLT1, KDR, EGFR, FLT4	SRC inhibitor, VEGFR inhibitor	3.14, 1.57	41.64	0.83, 0.25	31.77	31.02	56.30	67.12	71.93	32.85	35.01	56.73	48.24	79.77	-5.18	43.39	1.20	39.88	7.35	17.71	29.86	64.33	66.61	90.30
BRD-K86600316	CP	RS-79948	adrenoreceptor antagonist			1.70, 0.57	41.63	0.88, 0.23	59.56	51.25	11.69	31.51	50.29	94.76	56.41	76.91	32.97	19.44	17.53	13.22	55.35	24.42	8.93	55.59	32.26	51.12	12.13	59.26
BRD-K80639402	CP	SB-258585	serotonin receptor antagonist	HTR6		2.27, 1.14	41.58	0.99, 0.26	19.56	40.11	43.05	50.28	-55.36	58.44	18.79	20.24	35.51	32.08	56.00	69.59	18.81	46.10	19.64	26.43	96.36	90.06	47.37	98.22
BRD-K07265709	CP	razoxane	topoisomerase inhibitor, chelating agent	TOP2A, TOP2B		4.71, 3.14	41.57	0.93, 0.33	96.39	40.31	24.82	34.13	98.98	8.04	42.82	87.60	92.17	84.34	70.70	17.42	83.10	-3.74	25.01	15.85	65.87	62.83	2.33	9.17
BRD-K03557653	CP	sappanone-a	melanogenesis inhibitor, tyrosinase inhibitor			5.76, 3.14	41.53	1.13, 0.48	41.39	80.97	85.95	69.00	65.26	54.38	10.34	40.61	28.77	93.46	-3.52	-15.76	74.44	22.43	89.29	98.94	38.15	41.68	14.47	26.80
BRD-K36737713	CP	AG-957	Abl kinase inhibitor, protein tyrosine kinase inhibitor	ABL1, EGFR		2.62, 1.57	41.53	1.59, 0.56	0.75	83.36	93.73	19.45	14.76	12.07	17.52	7.22	90.79	39.46	58.92	77.00	46.84	89.64	7.81	94.71	89.90	43.61	16.14	38.09
BRD-A20239487	CP	atenolol	adrenergic receptor antagonist	ADRB1, ADRB2		3.98, 2.27	41.52	1.47, 0.41	76.31	43.54	8.02	44.32	97.22	99.44	19.83	25.36	39.51	66.27	61.37	34.86	16.44	79.70	22.60	36.60	-94.89	79.35	77.33	12.71
BRD-K03109492	CP	NSC-663284	CDC inhibitor	CDC25A, CDC25B, CDC25C		10.47, 5.24	41.52	1.94, 0.48	81.33	99.02	91.49	24.21	-6.38	15.66	79.84	-16.83	16.43	38.44	3.52	98.48	98.10	21.93	2.65	99.47	95.78	61.08	17.88	44.60
BRD-K04196797	CP	oxcarbazepine	voltage-gated sodium channel blocker, Sodium Channel  Blockers	CYP2C19, CYP3A4, CYP3A5, SCN1A, SCN3A, SCN5A		6.92, 3.14	41.50	1.35, 0.35	23.35	30.47	3.56	38.12	89.64	0.32	75.73	80.19	97.22	96.27	83.93	9.96	7.82	24.54	48.15	88.24	93.39	-22.61	44.88	27.56
