#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A92630576-summary	BRD-K32107296-summary	BRD-K89732114-summary	BRD-K77695569-summary	BRD-K29653726-summary	BRD-K63675182-summary	BRD-K92049597-summary	BRD-K06335600-summary	BRD-K32164935-summary	BRD-K73999723-summary	BRD-K85119730-summary	BRD-A19195498-summary	BRD-K00603606-summary	BRD-K68132782-summary	BRD-K97309399-summary	BRD-A62025033-summary	BRD-K59574735-summary	BRD-K81916719-summary	BRD-K53414658-summary	BRD-K31283835-summary
BRD-K82941592	CP	rosuvastatin	HMGCR inhibitor	HMGCR	HMGCR inhibitor	9.09, 4.81	52.15	0.58, 0.19	15.57	44.61	44.40	77.30	32.90	88.13	80.43	38.58	43.95	24.56	78.38	91.50	38.26	10.00	64.73	85.95	28.73	59.68	75.57	98.63
BRD-A52172093	CP	VU-0413807-2	calcium channel blocker	CACNA1G, CACNA1H, CACNA1I		4.79, 1.20	52.06	1.13, 0.25	47.35	82.17	27.81	70.76	52.58	9.87	22.13	52.41	92.78	59.72	35.27	51.66	73.89	4.85	14.73	62.49	83.32	51.71	17.46	54.84
BRD-K64402243	CP	ivachtin	caspase inhibitor	CASP3		4.81, 3.21	52.06	1.60, 0.39	56.19	99.93	-8.59	60.58	51.87	24.83	98.36	52.24	59.74	50.62	82.16	38.25	63.12	5.77	13.43	53.41	28.91	59.07	27.82	44.71
BRD-K22010301	CP	JLK-6	gamma secretase inhibitor, antiamyloidogenic agent	PSEN1	Gamma secretase inhibitor	2.67, 1.07	52.04	1.88, 0.56	63.72	28.54	53.37	76.82	19.70	83.63	81.67	27.44	11.47	69.76	5.58	31.75	49.65	42.97	93.48	62.63	98.98	24.71	73.94	50.71
BRD-K89732114	CP	trifluoperazine	breast cancer resistance protein inhibitor, calcium/calmodulin dependent protein kinase inhibitor, dopamine receptor, dopamine receptor antagonist, sodium channel blocker	DRD2, ABCG2, ADRA1A, CALM1, CALY, CAMK2A, DRD4, HRH1, HTR2A, HTR2C, S100A4, SCN4A, SCN9A, TNNC1	Dopamine receptor antagonist	14.97, 12.83	52.02	1.24, 0.32	36.48	65.23	99.82	30.34	43.47	97.50	24.36	35.55	7.60	76.36	46.80	97.92	50.11	56.63	92.73	77.50	38.71	30.46	92.42	53.93
BRD-A10355991	CP	norketamine	glutamate receptor antagonist	CYP2B6, CYP2C19, CYP3A5, GRIN1		4.81, 2.14	51.98	1.31, 0.39	53.57	51.93	90.21	62.60	64.44	21.66	60.63	81.00	77.46	31.38	53.93	46.69	24.18	15.55	-0.84	52.02	18.09	17.52	6.13	89.62
BRD-A26845397	CP	isamoltan	adrenergic receptor antagonist	ADRB1, ADRB2		3.74, 0.53	51.98	0.98, 0.34	27.21	97.00	1.30	44.84	56.68	27.42	67.99	68.76	8.79	83.68	91.79	11.80	20.99	79.28	31.25	47.27	77.15	91.73	-3.00	72.25
BRD-K64881305	CP	ispinesib	kinesin family member inhibitor, kinesin inhibitor, Kinesin-Like Spindle Protein  KIF11 (KSP, Eg5) Inhibitors	KIF11		9.63, 4.28	51.94	1.68, 0.51	59.62	4.58	98.94	18.40	56.38	98.33	20.75	36.39	11.21	0.70	23.47	99.22	2.04	69.99	96.93	73.30	47.49	93.58	80.93	30.51
BRD-A76279427	CP	myriocin	sphingolipid biosynthesis inhibitor	AKT1, SPTLC1, SPTLC2, SPTLC3		5.88, 2.67	51.93	0.90, 0.24	18.33	99.12	29.33	16.71	67.34	63.03	80.23	16.32	96.09	20.31	54.34	15.08	93.80	49.52	19.70	66.83	67.16	32.43	92.90	23.16
BRD-A83326220	CP	brazilin	nitric oxide production inhibitor, nitric oxide synthase expression inhibitor, telomerase inhibitor			1.60, 1.07	51.91	1.50, 0.50	17.23	17.09	1.69	54.52	53.46	42.09	72.17	26.37	80.26	31.35	51.94	69.23	29.48	29.43	92.21	86.87	46.67	51.88	89.51	58.23
BRD-K39120595	CP	bithionol	autotaxin inhibitor	ESR1, ESR2, MCL1		6.95, 1.07	51.83	1.89, 0.60	44.74	-15.57	39.77	41.36	78.63	96.76	68.18	57.38	8.95	25.62	16.10	71.58	22.71	78.68	79.36	76.95	46.28	91.41	97.50	16.64
BRD-K11696279	CP	BU-239	imidazoline receptor agonist, imidazoline receptor ligand		Imidazoline ligand	4.81, 3.21	51.82	1.22, 0.47	14.58	74.94	1.73	74.78	48.14	62.83	95.88	87.74	83.13	4.73	51.11	18.47	52.52	55.91	46.14	18.07	97.52	84.08	25.00	36.82
BRD-K88759641	CP	EMD-66684	angiotensin receptor antagonist	AGTR1		5.88, 4.28	51.81	1.19, 0.43	51.61	66.47	17.35	50.39	70.70	9.67	94.66	96.76	48.46	87.62	52.00	39.65	18.50	21.21	54.64	47.71	91.04	53.57	20.32	86.29
BRD-A14574269	CP	UB-165	acetylcholine receptor agonist	CHRNA3, CHRNA4, CHRNB2		2.67, 2.14	51.78	1.14, 0.43	54.37	48.89	68.46	77.44	57.28	9.55	86.70	91.95	42.45	49.20	35.23	35.91	67.29	39.01	34.79	57.65	77.62	11.67	17.91	75.51
BRD-K63874012	CP	thioperamide	histamine receptor antagonist, histamine receptor inverse agonist	HRH3, HRH4		3.21, 1.07	51.77	0.66, 0.16	46.11	57.43	1.49	31.81	81.31	21.04	37.59	84.95	19.89	63.66	30.80	68.45	37.77	74.04	1.23	66.38	96.05	85.28	45.95	74.28
BRD-A29734509	CP	disopyramide	voltage-gated sodium channel blocker	SCN5A, CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2		4.81, 3.21	51.76	0.70, 0.20	60.37	29.25	1.20	50.13	95.19	29.62	63.78	89.34	39.51	82.54	55.70	28.76	79.76	53.39	28.98	55.98	95.73	13.78	42.19	44.61
BRD-A25234499	CP	aminoglutethimide	antiglucocorticoid, aromatase inhibitor, corticosteroid antagonist, steroid sulfatase inhibitor	CYP19A1, CYP11A1, NR3C1		4.81, 2.14	51.72	0.45, 0.10	50.02	75.63	9.18	92.81	92.52	1.09	94.41	53.41	26.20	68.65	21.06	34.74	75.05	68.64	13.80	16.64	74.85	41.15	36.60	55.55
BRD-A56012032	CP	thiorphan	membrane metalloendopeptidase inhibitor	MME		6.95, 4.28	51.72	1.03, 0.25	54.16	91.12	7.75	97.98	72.01	14.60	49.27	23.63	98.06	36.20	15.32	18.97	97.97	58.35	58.47	14.67	73.50	-14.60	37.09	96.45
BRD-K63165456	CP	norcyclobenzaprine	adrenergic receptor ligand, serotonin receptor ligand	HTR2A	Serotonin receptor antagonist	9.09, 5.35	51.71	0.90, 0.20	18.61	27.62	92.98	78.26	31.80	92.31	4.06	44.41	17.90	28.22	46.07	97.89	63.14	27.78	93.97	15.18	68.94	65.44	83.63	57.35
BRD-K33211335	CP	dextromethorphan	glutamate receptor antagonist, sigma receptor agonist	SIGMAR1, CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, CYP3A5, GRIN1, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SLC6A2, SLC6A4		7.49, 3.21	51.70	0.61, 0.14	54.51	92.98	0.97	98.05	77.23	30.21	71.49	77.15	12.61	41.92	43.89	9.69	48.99	54.41	24.50	62.35	70.26	96.24	47.87	21.56
BRD-K62810658	CP	PD-98059	MEK inhibitor, MAP kinase inhibitor	MAP2K1, AKT1, CHEK1, GSK3B, LCK, MAP2K2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK3, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1	MEK inhibitor	5.88, 2.67	51.67	0.90, 0.23	48.26	99.18	-7.65	80.60	75.32	27.77	20.40	76.59	93.89	66.46	15.42	38.43	54.65	58.89	34.30	48.68	33.51	26.34	92.76	98.24
BRD-A31801025	CP	formestane	aromatase inhibitor	CYP19A1	Aromatase inhibitor	5.88, 3.74	51.66	0.95, 0.25	40.53	59.39	40.87	97.90	26.76	15.55	99.55	43.94	17.92	95.70	63.06	16.67	74.80	68.18	43.35	63.63	88.31	-49.99	20.73	91.31
BRD-K95921201	CP	reserpine	vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1		11.76, 6.95	51.66	1.59, 0.30	11.59	9.90	99.01	28.63	61.64	98.80	41.68	68.54	2.33	68.12	17.92	94.71	25.21	7.50	96.97	90.01	83.14	39.95	95.70	8.70
BRD-K40578143	CP	GR-79236	adenosine receptor agonist	ADORA1, ADORA2A	Adenosine receptor agonist	6.42, 1.60	51.66	1.09, 0.34	34.69	65.09	2.28	78.76	89.71	-3.17	87.99	44.86	62.10	23.37	61.32	10.57	77.76	22.51	-3.84	0.00	41.77	66.34	84.34	58.45
BRD-K59570838	CP	homoveratrylamine	dopamine analog			5.88, 3.21	51.65	1.41, 0.34	50.40	87.20	29.26	99.15	88.88	3.95	21.67	52.25	6.43	18.93	57.12	55.96	51.05	82.10	39.49	9.92	96.97	92.19	32.93	62.90
BRD-K27721098	CP	clopidogrel	purinergic receptor antagonist, platelet aggregation inhibitor, purinergic receptor inhibitor	P2RY12, CYP2B6, CYP2C19, CYP3A5		4.81, 2.14	51.64	2.81, 0.70	33.73	-9.28	97.16	37.49	88.28	20.26	20.25	94.50	14.44	67.75	5.67	25.49	73.07	19.34	69.70	67.01	98.59	-34.56	86.62	65.78
BRD-A39646320	CP	HC-toxin	HDAC inhibitor	HDAC1	HDAC inhibitor	2.67, 0.53	51.63	1.55, 0.53	46.39	29.70	85.16	49.42	45.50	85.35	4.12	62.09	1.13	72.63	54.51	67.76	53.83	12.36	90.89	36.00	14.38	14.47	88.59	97.54
BRD-A95096829	CP	PNU-96415E	dopamine receptor antagonist			1.60, 1.07	51.60	0.91, 0.20	61.83	47.59	-18.63	74.16	41.61	11.85	90.26	83.67	55.62	69.68	23.41	-18.95	22.43	40.84	2.71	85.70	71.20	-43.54	64.03	96.08
BRD-K17378184	CP	prestwick-559	dopamine receptor agonist	DRD3, ADRA1A, ADRA1D, ADRA2A, DRD1, DRD2, DRD4, HTR1A, HTR2B		9.09, 4.28	51.60	0.68, 0.16	16.70	88.47	42.58	40.23	17.43	41.98	80.23	61.40	12.16	78.99	99.04	86.82	52.34	5.72	72.49	50.86	52.63	19.61	58.67	33.70
BRD-K73978287	CP	hydrocortisone	corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist	12.43, 6.21	51.59	1.49, 0.48	84.74	83.85	-4.62	44.52	75.64	7.73	11.15	98.48	94.93	24.98	53.69	3.01	92.90	96.28	32.12	51.05	52.14	33.29	45.08	98.21
BRD-A37492983	CP	iocetamic-acid	molecule used as a contrast medium			3.95, 0.56	51.58	0.77, 0.35	35.68	83.07	74.29	19.92	89.38	5.56	49.82	71.32	12.72	93.94	6.28	-6.51	54.86	3.91	17.60	53.35	6.94	62.10	78.32	96.19
BRD-A10903566	CP	imiloxan	adrenergic receptor antagonist	ADRA2B		2.82, 1.69	51.56	1.17, 0.44	90.43	29.83	3.24	46.97	76.70	13.32	33.29	56.15	94.38	77.97	28.18	3.11	81.34	33.35	15.57	84.14	96.38	58.47	83.98	40.10
BRD-K61314889	CP	IWR-1-ENDO	PARP inhibitor	TNKS, TNKS2	PARP inhibitor	4.28, 1.07	51.56	0.58, 0.15	37.75	79.85	12.95	46.40	41.79	3.63	59.88	87.51	73.29	92.78	43.91	5.75	46.73	15.77	2.26	68.41	61.87	56.38	92.79	78.54
BRD-K34995470	CP	SU-1498	receptor tyrosine protein kinase inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	ERBB2, KDR		5.35, 3.21	51.55	0.81, 0.25	18.51	20.08	1.09	57.35	90.30	27.80	96.73	11.42	51.49	62.44	8.47	0.53	5.57	51.61	66.76	75.39	99.68	92.15	85.99	-4.65
BRD-K84987553	CP	MDM2-inhibitor	MDM inhibitor	MDM2	MDM inhibitor	2.67, 1.07	51.55	1.22, 0.52	11.43	19.31	57.46	36.60	63.69	53.90	59.78	71.65	2.63	10.16	46.99	94.47	32.52	40.40	55.61	59.39	12.00	49.19	76.06	75.46
BRD-A65013509	CP	oxybutynin	acetylcholine receptor antagonist	CHRM3, CHRM1, CHRM2, CHRM4		7.34, 5.65	51.52	1.14, 0.34	27.25	69.14	79.37	6.05	52.97	17.90	13.05	89.53	58.09	9.13	21.23	55.16	42.74	11.01	50.06	20.95	87.39	70.18	75.71	60.79
BRD-A75455249	CP	kavain	calcium channel modulator, mTOR inhibitor, Sodium Channel  Blockers	MTOR		8.56, 4.81	51.51	0.56, 0.16	22.36	10.99	-25.51	99.48	89.62	50.87	66.12	73.75	28.56	30.52	34.84	25.02	52.15	65.67	10.48	52.65	73.92	23.83	68.05	54.54
BRD-A54845972	CP	dihydroergotamine	serotonin receptor agonist, adrenergic receptor partial agonist, dopamine receptor agonist	HTR1D, HTR1B, ADRA2A, DRD2, HTR1E, HTR1F, HTR2B, HTR7		5.65, 1.13	51.50	1.47, 0.50	33.60	75.73	82.54	53.02	95.17	20.71	20.47	14.22	32.35	86.08	3.66	45.96	3.23	30.00	71.52	68.64	73.87	96.07	92.03	49.98
BRD-K78633253	CP	EXO-1	ARF inhibitor			4.28, 0.53	51.48	0.30, 0.06	19.51	70.28	10.96	85.69	85.57	46.19	31.09	34.86	33.70	44.42	10.92	17.25	57.72	41.69	64.30	78.70	67.62	88.15	67.58	56.78
BRD-K35960502	CP	niclosamide	DNA replication inhibitor, STAT inhibitor	STAT3		4.28, 0.53	51.47	2.25, 0.74	38.91	-59.04	27.44	19.47	50.52	99.22	78.31	52.41	23.40	59.38	31.69	52.71	63.00	53.80	96.05	87.40	48.46	42.53	92.11	20.98
BRD-K40645748	CP	mefloquine	acidifying agent non gastric, adenosine receptor antagonist, calmodulin antagonist, hemoglobin antagonist, pannexin inhibitor	ADORA2A, HBA1, PANX1		11.30, 7.91	51.45	1.34, 0.28	38.25	45.82	96.51	11.35	90.84	93.54	3.95	98.94	35.68	68.16	23.07	96.68	61.15	20.66	97.74	79.76	47.04	9.65	55.87	46.64
BRD-K05104363	CP	PD-184352	MEK inhibitor, MAP kinase inhibitor	MAP2K1, MAP2K2, MAP3K1, MAP3K2	MEK inhibitor	4.28, 1.60	51.44	1.43, 0.49	45.16	28.70	30.31	49.91	81.69	89.80	27.56	73.58	53.20	10.52	54.90	0.92	56.13	44.55	50.20	86.73	8.91	52.68	96.97	93.50
BRD-A97104540	CP	fenoterol	adrenergic receptor agonist	ADRB2, ADRB1, ADRB3	Beta-adrenergic receptor agonist	5.35, 2.14	51.38	0.97, 0.36	31.01	88.14	2.34	65.87	44.35	52.20	65.19	47.08	50.56	94.15	97.82	72.55	6.13	77.04	44.84	47.21	58.67	60.81	40.80	37.26
BRD-K77947974	CP	fluspirilene	dopamine receptor, dopamine receptor antagonist	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	Dopamine receptor antagonist	8.02, 4.81	51.38	0.94, 0.14	42.74	28.94	99.47	68.66	31.67	93.41	45.62	49.18	65.06	30.55	53.58	93.08	43.73	26.34	94.79	68.92	48.36	4.79	90.72	72.05
BRD-A85587465	CP	bemesetron	serotonin receptor antagonist	HTR3A, HTR3B	Serotonin receptor antagonist	4.81, 3.21	51.34	0.69, 0.13	46.03	69.33	96.20	42.64	41.69	66.19	20.30	79.84	24.20	31.74	56.65	66.62	42.95	45.29	70.96	4.96	57.18	17.63	60.26	64.23
BRD-K78959463	CP	FPL-64176	calcium channel agonist, L-type calcium channel activator	CACNA1C, CACNA1S		3.74, 2.14	51.34	0.98, 0.39	49.64	99.16	-2.97	91.15	48.65	30.66	93.39	30.87	50.11	36.64	27.99	53.19	10.45	62.85	53.05	52.56	10.83	89.46	57.96	58.49
BRD-K97799481	CP	theophylline	adenosine receptor antagonist, chitinase inhibitor, GABA receptor antagonist, phosphodiesterase inhibitor	ADORA1, ADORA2A, ADORA2B, ADORA3, CHIA, CYP2E1, CYP3A4, HDAC2, PDE3A, PDE4A, PDE4B, PDE5A		10.73, 6.21	51.25	1.84, 0.49	83.44	78.64	-0.63	54.41	91.13	13.41	34.08	98.45	77.86	14.80	97.74	72.09	88.17	40.45	25.20	22.20	32.23	40.03	60.11	48.10
BRD-K73589401	CP	corticosterone	mineralocorticoid receptor agonist	HSD11B1, NR3C2, NCOA1		4.81, 2.14	51.21	1.63, 0.55	69.26	89.09	58.19	1.95	13.00	27.94	6.56	88.93	99.61	53.27	34.93	31.95	62.82	58.46	49.15	3.35	58.26	16.73	54.73	28.41
BRD-K70883034	CP	nimetazepam	chloride channel agonist, GABA receptor agonist, potassium channel agonist	GABRA1, GABRA2, GABRA3, GABRA5		12.50, 6.25	51.20	0.99, 0.27	83.46	95.34	11.14	43.14	99.51	18.05	43.63	76.11	7.85	36.02	51.18	-23.79	96.16	86.06	51.23	80.32	6.44	99.05	8.32	94.58
BRD-A15415227	CP	GW-1929	PPAR receptor agonist, insulin sensitizer	INS, PPARG	PPAR receptor agonist	7.49, 3.74	51.15	1.10, 0.28	12.77	57.32	87.51	96.67	20.04	22.42	22.60	14.63	29.35	99.89	35.00	12.83	97.37	63.26	70.75	44.97	93.70	30.79	86.35	78.84
BRD-K74765201	CP	tomelukast	leukotriene receptor antagonist	CYSLTR1		3.39, 1.13	51.14	0.76, 0.10	62.95	96.52	19.69	54.06	71.82	33.43	45.24	55.98	64.15	65.13	34.37	54.27	22.57	69.89	48.21	33.65	31.41	66.09	40.25	31.74
BRD-K46937689	CP	phenazone	cyclooxygenase inhibitor	PTGS1, PTGS2		2.67, 2.14	51.13	0.56, 0.14	20.27	23.37	1.30	41.55	77.59	1.09	57.65	58.19	4.02	30.89	71.21	-4.60	77.87	82.83	3.50	50.27	90.60	86.46	52.62	51.99
BRD-A36074203	CP	remacemide	glutamate receptor antagonist, glutamate receptor agonist	GRIN1		6.42, 2.67	51.13	0.93, 0.22	50.73	43.17	84.46	26.24	86.71	17.99	31.38	88.68	53.69	40.30	38.64	4.93	90.93	42.25	51.53	44.21	84.56	59.65	60.31	73.72
BRD-K47761761	CP	PD-168077	dopamine receptor agonist	DRD2, DRD4		4.52, 2.26	51.10	1.06, 0.20	49.35	85.23	2.89	92.60	98.63	24.96	45.19	59.15	26.73	22.32	81.78	1.69	70.20	52.85	-30.63	11.53	58.10	83.12	18.08	67.00
BRD-K13664374	CP	dichloroacetic-acid	pyruvate dehydrogenase kinase inhibitor, pyruvate dehydrogenase stimulant	PDK1		4.38, 1.88	51.09	1.33, 0.38	59.89	-81.64	95.91	26.99	98.84	8.49	-0.04	52.33	0.35	99.33	9.81	56.25	94.24	-4.84	2.01	76.66	49.85	81.94	64.21	18.37
BRD-A38030642	CP	cyclosporin-a	calcineurin inhibitor, cyclophilin inhibitor, immunosuppressant, insulin expression inhibitor, T cell inhibitor	PPIA, ABCB11, CAMLG, CYP3A5, CYP3A7, FPR1, PPID, PPIF, PPP3CA, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3		2.67, 0.53	51.08	2.28, 0.90	35.49	-33.56	85.79	36.44	37.35	88.97	53.00	59.66	29.45	47.33	31.42	76.42	44.34	68.57	91.58	82.61	56.05	49.15	97.38	11.65
BRD-K93280214	CP	gabazine	GABA receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRG2		2.67, 1.60	51.08	0.88, 0.17	40.31	91.93	-5.08	40.30	89.86	14.15	78.41	81.55	81.95	55.76	90.22	56.83	24.90	43.31	30.92	29.62	51.75	50.77	9.01	51.38
BRD-A80213327	CP	NSC-23766	RAC1 GTPase inhibitor			4.28, 1.60	51.05	0.67, 0.17	29.98	98.22	85.18	57.35	50.14	9.25	16.96	20.60	53.51	67.94	35.02	11.98	68.42	51.95	14.47	82.63	32.13	62.12	15.02	96.48
BRD-K17075857	CP	chloroxine	opioid receptor inhibitor	OPRK1		4.28, 2.67	51.02	1.31, 0.13	13.82	-72.52	33.10	41.35	21.95	96.61	66.34	52.38	15.94	60.39	43.94	48.19	75.03	68.15	94.10	84.97	99.47	60.02	49.66	18.86
BRD-K80451230	CP	zamifenacin	acetylcholine receptor antagonist	CHRM3		6.21, 1.69	51.01	1.13, 0.31	82.90	98.13	50.54	38.62	49.61	51.47	41.09	88.70	35.02	81.97	70.12	45.96	90.45	35.99	27.93	39.33	96.57	30.84	79.10	63.17
BRD-A21723284	CP	naltriben	opioid receptor antagonist	OPRD1, OPRK1, OPRM1		3.74, 1.07	50.97	1.01, 0.31	31.56	93.09	7.32	63.48	19.70	38.45	69.71	4.30	37.13	75.96	84.44	81.18	24.82	81.10	16.37	7.04	24.23	80.01	77.19	65.95
BRD-K48300629	CP	zonisamide	GABA receptor agonist, Sodium Channel  Blockers, T-type calcium channel blocker	CA1, CA12, CA7, SCN1A, CA10, CA11, CA13, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA8, CA9, CACNA1G, CACNA1H, CACNA1I, MAOA, MAOB, SCN11A, SCN1B, SCN2A, SCN2B, SCN3A, SCN3B, SCN4A, SCN4B, SCN5A, SCN9A		3.95, 0.56	50.96	0.80, 0.19	28.40	47.61	59.86	48.09	88.88	39.12	77.12	66.97	91.14	23.79	30.53	51.35	50.57	53.92	20.37	70.09	84.81	74.31	38.36	32.01
BRD-K94689771	CP	pinocembrin	androgen receptor ligand, CYP1B1 inhibitor, reducing agent, steroid 5alpha-reductase inhibitor	AR, CYP1B1, SRD5A1, SRD5A2		5.35, 3.74	50.96	0.90, 0.34	37.30	98.87	-1.30	88.43	28.58	48.85	93.16	52.03	7.99	67.22	70.65	49.89	71.34	45.37	4.20	40.75	27.75	56.65	55.26	85.78
BRD-K71266197	CP	PSB-06126	NTPDase inhibitor	ENTPD3		4.28, 2.67	50.95	0.70, 0.15	83.71	11.98	39.51	91.13	86.61	7.17	18.48	90.30	-10.71	48.78	84.24	-17.82	99.08	25.09	53.13	25.97	87.66	62.55	27.07	82.33
BRD-A79237180	CP	ascorbic-acid	vitamin C, antioxidant	AKR1B1		10.73, 8.47	50.92	1.89, 0.52	19.40	13.60	1.80	97.64	58.66	1.27	90.20	38.05	6.77	89.47	93.15	15.77	72.32	71.12	-1.90	56.50	99.89	-8.82	45.33	98.52
BRD-K18742343	CP	H-8	PKA inhibitor	PKIA, PRKACA	PKA inhibitor	5.88, 3.74	50.90	1.00, 0.30	38.89	51.54	1.16	90.73	58.63	38.06	53.57	85.09	13.30	50.25	41.66	16.42	42.08	1.23	56.94	44.17	80.08	87.69	89.92	98.52
BRD-A43671941	CP	oxprenolol	adrenergic receptor antagonist	ADRB1, ADRB2		2.26, 1.69	50.88	0.88, 0.22	60.53	72.04	-0.99	44.96	67.32	5.54	37.50	36.77	75.64	91.66	17.90	14.64	72.09	20.71	4.93	56.79	64.49	82.28	80.29	28.36
BRD-K49890030	CP	gavestinel	glutamate receptor antagonist, glycine receptor antagonist	GLRB		5.35, 3.21	50.87	1.19, 0.34	62.95	82.22	2.85	34.66	19.83	74.57	95.44	59.72	6.53	52.58	38.31	6.68	49.15	16.82	26.08	64.46	29.42	72.09	59.47	63.11
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			2.40, 1.20	50.83	1.27, 0.26	91.05	48.20	72.41	65.81	67.23	24.72	68.94	47.28	88.67	24.11	78.25	43.12	43.32	25.45	35.14	48.95	86.44	30.33	74.32	52.71
BRD-K78294846	CP	osthol	ACAT inhibitor, GABA receptor modulator			2.67, 1.07	50.81	0.73, 0.13	12.44	94.18	35.12	56.06	48.86	52.75	74.39	17.82	56.16	28.31	96.71	15.79	17.37	82.09	66.38	-6.18	72.38	84.96	15.14	26.01
BRD-K29555132	CP	arachidonamide	cannabinoid receptor agonist	CNR1, CNR2		8.02, 5.35	50.79	1.13, 0.35	46.57	-9.79	83.53	88.26	55.01	10.64	15.41	73.08	95.18	80.54	26.15	-7.29	90.35	45.07	35.85	74.87	99.93	38.83	28.84	99.06
BRD-K05977823	CP	tenovins	SIRT inhibitor, TP53 activator	SIRT1, SIRT2		4.28, 3.21	50.77	1.14, 0.36	51.86	-21.73	1.30	76.85	95.40	6.62	49.06	54.70	21.00	68.57	0.49	5.53	34.38	89.39	48.74	72.86	98.12	91.77	50.11	51.44
BRD-A88774919	CP	doxycycline	metalloproteinase inhibitor, 30S ribosomal protein inhibitor, matrix metalloprotease inhibitor, protein arginine deiminase inhibitor	MMP8, MMP1	Bacterial 30S ribosomal subunit inhibitor	5.65, 3.95	50.76	0.78, 0.23	-2.40	86.42	-4.31	97.99	65.79	44.03	84.07	93.22	0.00	10.46	86.31	1.53	13.73	84.39	62.22	86.57	22.37	35.20	41.62	57.50
BRD-K12002134	CP	megestrol	progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor	PGR	Progesterone receptor agonist	3.95, 1.13	50.72	1.36, 0.45	5.16	55.92	50.21	46.28	-19.69	1.23	73.71	57.29	51.23	43.33	81.26	65.80	13.83	97.18	28.99	43.49	54.43	43.64	70.81	70.81
BRD-K28761384	CP	zuclopenthixol	dopamine receptor antagonist	DRD2, DRD1, ADRA1A, ADRA2A, DRD5, HRH1, HTR2A		7.49, 3.21	50.70	0.95, 0.25	79.73	96.58	78.91	50.47	74.67	48.40	26.04	20.58	23.35	47.28	27.23	72.46	50.93	62.01	64.21	75.28	48.83	35.21	68.49	49.15
BRD-K09397065	CP	SR-57227A	serotonin receptor agonist, serotonin release enhancer	HTR3A		5.35, 4.28	50.66	0.53, 0.13	51.61	43.76	12.93	75.07	80.41	28.09	77.12	64.42	46.08	95.15	35.76	20.20	72.06	8.65	49.70	73.59	47.84	76.03	35.68	77.46
BRD-K59522102	CP	piperine	monoamine oxidase inhibitor, ACAT inhibitor	MAOA, MAOB, TRPV1		6.42, 3.21	50.64	0.70, 0.17	33.05	35.89	-1.69	71.28	67.91	79.84	81.10	36.58	23.47	81.85	37.11	67.36	97.64	36.52	64.09	48.57	76.12	18.04	52.71	47.19
BRD-A02990301	CP	lofexidine	adrenergic receptor agonist	ADRA2A		6.42, 4.28	50.62	1.19, 0.33	35.41	75.22	1.73	62.93	94.61	11.72	64.86	90.87	27.83	50.50	19.79	20.32	84.40	25.13	53.81	50.74	73.28	-2.57	15.98	65.80
BRD-K42748308	CP	XE-991	acetylcholine release enhancer, potassium channel blocker, voltage-gated potassium channel blocker	KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5		6.95, 3.21	50.61	0.73, 0.24	79.19	99.68	8.38	66.26	31.19	91.39	24.71	46.32	11.35	18.70	52.51	72.89	53.00	20.69	61.29	21.80	6.00	54.86	48.72	63.87
BRD-A78295502	CP	hydroquinine	anti-arrhythmia agent			2.26, 0.56	50.61	1.10, 0.39	48.05	58.85	15.76	89.13	94.06	39.50	11.61	40.46	54.56	49.76	26.50	53.87	74.30	39.39	51.46	81.08	10.46	38.82	53.49	97.41
BRD-K82823804	CP	SA-792987	PKC inhibitor	WEE1	PKC inhibitor	3.21, 0.53	50.60	1.32, 0.30	44.95	-99.67	8.34	51.01	89.02	96.09	19.90	77.58	2.71	5.01	57.12	63.57	15.05	18.50	92.88	97.54	50.20	64.14	97.36	7.40
BRD-K26674531	CP	GR-235	FXR antagonist, cholesterol inhibitor, estrogen receptor agonist, IKK inhibitor, progesterone receptor agonist, PXR agonist	ESR1, IKBKB, NR1H4, NR1I2, PGR	FXR antagonist	3.21, 0.00	50.59	1.27, 0.40	0.28	51.74	2.61	38.28	20.22	75.05	67.22	52.08	16.69	49.43	37.32	88.31	73.97	89.86	54.64	67.23	16.86	42.94	26.40	78.97
