#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K28936863-summary	BRD-K78659596-summary	BRD-K37516142-summary	BRD-K93618743-summary	BRD-K49404994-summary	BRD-K49671696-summary	BRD-K08547377-summary	BRD-K92723993-summary	BRD-K38436528-summary	BRD-K93460210-summary	BRD-K78692225-summary	BRD-A72711497-summary	BRD-K02992638-summary	BRD-K60038276-summary	BRD-K10961822-summary	BRD-K09471561-summary	BRD-A48570745-summary	BRD-A95869247-summary	BRD-K88789588-summary	BRD-A90799790-summary
BRD-A15131297	CP	benazepril	angiotensin converting enzyme inhibitor	ACE		7.78, 3.33	41.03	0.78, 0.15	92.48	9.10	31.92	46.86	95.26	70.02	8.29	6.87	7.26	51.19	25.06	-1.09	77.37	98.77	27.09	71.78	10.63	35.21	99.20	96.63
BRD-K53523901	CP	arctigenin	adiponectin receptor agonist, AP inhibitor, aryl hydrocarbon receptor antagonist, HIV integrase inhibitor, MEK inhibitor, NFkB pathway inhibitor, topoisomerase inhibitor	ADIPOR1, AHR, CHUK, MAP2K1		5.56, 3.33	41.02	0.69, 0.15	-8.45	39.99	27.36	58.48	29.13	51.41	74.96	95.68	16.68	35.94	1.66	83.56	13.14	42.04	62.95	9.43	83.27	19.61	66.36	75.62
BRD-K02283807	CP	GR-32191	thromboxane receptor antagonist, prostanoid receptor antagonist	TBXA2R	Thromboxane receptor antagonist	6.11, 4.44	41.01	0.80, 0.28	75.66	63.03	39.59	13.23	43.46	98.62	2.75	37.21	7.32	27.07	95.16	-41.92	64.45	24.19	5.80	73.42	17.33	68.04	85.07	42.43
BRD-K19796430	CP	erismodegib	hedgehog pathway inhibitor, smoothened receptor antagonist	SMO		4.44, 0.00	40.99	2.52, 0.73	41.72	6.23	21.86	45.71	40.25	38.35	-3.96	95.77	3.88	4.16	65.72	49.72	49.70	55.48	17.00	69.97	62.22	21.76	72.13	2.90
BRD-K71823332	CP	epothilone-a	microtubule stabilizing agent			5.00, 1.67	40.98	1.02, 0.40	17.42	81.20	87.96	34.81	58.31	-28.40	-47.54	13.74	4.83	33.23	17.32	-66.19	25.45	70.97	74.01	63.51	47.15	59.26	77.40	87.30
BRD-A17428743	CP	BW-723C86	serotonin receptor agonist	HTR2B, HTR2A, HTR2C		3.89, 3.33	40.97	0.78, 0.22	28.86	7.16	58.85	-10.63	26.11	99.79	59.80	26.37	69.24	61.31	85.62	53.55	17.06	8.25	40.84	9.88	68.44	41.09	38.02	41.17
BRD-K99946902	CP	hexylresorcinol	polyphenol oxidase inhibitor	TYR		2.35, 1.18	40.97	1.05, 0.36	31.07	58.53	63.62	41.68	56.54	35.31	40.25	60.93	2.81	25.06	33.71	63.75	13.40	11.41	43.64	17.98	24.68	42.21	43.74	72.30
BRD-K60923938	CP	veratridine	sodium channel activator	SCN1A, SCN3A, SCN8A, SCN9A		4.44, 1.67	40.94	1.07, 0.30	5.21	11.96	10.67	41.03	67.76	9.14	6.80	-50.81	29.00	86.89	71.23	-28.01	50.25	54.65	30.37	43.56	44.10	47.05	51.85	40.85
BRD-K92984783	CP	melperone	dopamine receptor antagonist, serotonin receptor antagonist	DRD2, HTR1A, HTR2A		5.00, 1.11	40.91	0.91, 0.20	82.83	10.45	65.22	50.08	95.60	83.91	25.29	45.53	33.02	34.17	65.80	-2.61	30.97	17.82	60.89	53.12	9.65	45.21	-10.38	36.62
BRD-A43671941	CP	oxprenolol	adrenergic receptor antagonist	ADRB1, ADRB2		4.71, 2.35	40.90	0.88, 0.22	14.60	15.17	69.12	85.45	87.56	27.32	4.30	21.19	91.86	70.46	39.77	-1.55	4.09	53.26	52.34	13.29	5.34	98.48	81.17	42.03
BRD-K62810658	CP	PD-98059	MEK inhibitor, MAP kinase inhibitor	MAP2K1, AKT1, CHEK1, GSK3B, LCK, MAP2K2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK3, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1	MEK inhibitor	2.78, 1.67	40.86	0.90, 0.23	30.21	-34.51	20.26	95.40	61.10	45.46	-2.78	-81.21	82.61	41.11	93.37	-74.89	7.58	87.40	31.10	40.94	3.63	41.97	45.78	40.79
BRD-K35458079	CP	edaravone	free radical scavenger	BCL2		5.88, 1.18	40.82	1.28, 0.38	37.48	12.01	81.10	44.15	81.50	8.69	8.44	76.05	8.97	89.94	99.24	-1.23	57.31	9.19	69.42	22.73	16.38	17.76	83.81	97.02
BRD-K36153907	CP	KU-C103885	cystic fibrosis transmembrane conductance regulator inhibitor			9.38, 5.63	40.79	1.35, 0.26	22.57	45.97	92.99	31.40	67.47	89.38	35.82	98.12	30.94	77.33	85.80	32.12	99.65	31.23	22.08	78.74	30.47	45.76	26.39	35.74
BRD-K85603128	CP	resorcinol	phosphodiesterase inhibitor	CA12, CA14, CA2, PTGS1		5.56, 3.33	40.77	1.27, 0.31	53.18	-27.54	24.31	60.62	63.34	-38.12	62.55	15.57	7.94	40.30	-4.65	-1.13	41.24	96.65	29.18	84.07	7.54	59.96	88.84	73.90
BRD-K51476772	CP	ST-638	tyrosine kinase inhibitor			6.47, 3.53	40.76	0.95, 0.25	14.59	28.92	84.70	71.41	63.33	78.37	13.35	7.15	65.60	9.93	11.87	30.70	0.00	13.18	50.81	84.15	25.03	91.67	95.77	97.57
BRD-A18579359	CP	wiskostatin	neural Wiskott-Aldrich syndrome protein inhibitor	WAS, WASL		1.67, 0.56	40.75	1.68, 0.72	2.89	77.74	26.15	27.26	51.89	36.99	12.07	51.51	71.66	65.69	27.08	86.48	19.02	2.68	44.51	30.16	84.25	76.00	16.08	60.34
BRD-K17306061	CP	aprepitant	tachykinin antagonist	TACR1, CYP2C19		1.11, 0.56	40.70	1.22, 0.30	4.76	2.85	93.34	38.56	87.33	90.72	25.87	85.62	8.85	45.68	42.85	1.42	2.51	36.62	29.64	88.80	73.55	60.79	20.70	74.88
BRD-A15914070	CP	4-hydroxy-2-nonenal	cytotoxic lipid peroxidation product	IKBKB		2.73, 1.82	40.67	1.76, 0.58	0.00	95.00	74.79	16.06	67.76	14.93	86.82	51.12	5.71	10.27	3.66	78.99	10.99	61.38	85.00	60.52	-84.03	86.23	5.30	30.23
BRD-K48115423	CP	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	matrix metalloprotease inhibitor	MMP13		5.00, 3.33	40.64	0.84, 0.20	-45.52	2.25	53.95	32.83	76.76	71.96	34.15	17.20	57.71	85.63	31.46	0.62	19.60	72.31	54.60	47.12	-13.69	98.80	-46.84	90.63
BRD-A08877921	CP	cephalotaxine	protein synthesis inhibitor			2.22, 2.22	40.60	1.22, 0.17	65.64	69.05	69.10	56.99	66.57	42.27	38.94	16.74	58.16	3.31	7.86	-1.59	38.36	99.68	20.24	34.53	69.71	61.95	16.60	37.41
BRD-K53263234	CP	CITCO	constitutive androstane receptor (CAR) agonist	NR1I3		8.24, 5.88	40.60	1.18, 0.35	20.36	17.24	95.39	73.08	37.14	29.67	2.61	0.00	87.55	38.30	42.91	3.28	76.15	86.76	58.83	60.83	30.95	99.93	11.96	99.75
BRD-K37561857	CP	zardaverine	phosphodiesterase inhibitor	PDE4D, PDE3A, PDE4A, PDE4B, PDE4C		5.56, 2.22	40.58	0.61, 0.11	45.36	8.05	58.79	74.09	58.34	79.85	19.41	16.74	73.99	72.62	95.57	-1.55	22.43	27.53	65.43	44.12	33.81	19.17	25.05	37.04
BRD-K47192521	CP	icosapent	fatty acid with anti-inflammatory, antithrombotic and immunomodulatory properties	PTGS1, PTGS2, ACSL3, ACSL4, FADS1, FFAR1, PPARD, PPARG, SLC8A1, TRPV1		5.88, 3.53	40.56	1.13, 0.30	2.13	3.17	63.80	58.16	86.56	76.04	3.17	16.43	21.08	60.48	64.28	-7.43	34.45	17.71	46.66	76.98	17.72	95.69	-16.05	98.99
BRD-K99498722	CP	NPI-2358	tubulin inhibitor, angiogenesis inhibitor, tubulin polymerisation inhibitor		Tubulin inhibitor	3.89, 1.67	40.46	1.63, 0.59	13.69	91.08	84.67	92.60	64.16	-1.69	25.52	42.72	43.93	8.89	28.50	66.27	10.80	22.92	70.24	76.95	38.20	4.49	27.37	93.47
BRD-K99616396	CP	motesanib	KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor, angiogenesis inhibitor, RET tyrosine kinase inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor, VEGFR antagonist	FLT1, FLT4, KDR, KIT, PDGFRA, RET	PDGFR/KIT inhibitor	4.44, 2.22	40.46	0.64, 0.17	20.63	28.40	43.15	72.28	25.82	16.85	5.54	88.55	97.08	48.76	48.68	37.77	5.70	56.58	55.15	28.27	67.16	11.27	18.62	62.24
BRD-A56987319	CP	SQ-22536	adenylyl cyclase inhibitor	ADCY1, ADCY5		2.22, 0.00	40.45	1.06, 0.40	10.96	0.74	64.51	69.87	92.46	71.99	-13.73	38.31	-1.76	42.58	42.76	0.64	37.96	51.31	4.55	73.34	6.03	82.08	6.02	59.98
BRD-A54487287	CP	cortisone	glucocorticoid receptor agonist	NR3C1		5.00, 1.67	40.43	0.72, 0.15	4.37	0.67	48.93	28.44	59.67	18.84	40.36	84.83	97.89	16.11	38.91	0.99	42.46	53.20	40.51	70.80	11.12	94.26	23.84	81.41
BRD-A92670106	CP	tocainide	sodium channel blocker, voltage-gated sodium channel blocker	SCN5A		7.06, 4.71	40.36	0.43, 0.11	7.95	4.39	76.53	21.77	78.53	39.40	31.68	97.98	30.37	60.28	44.32	1.55	34.94	41.31	74.48	78.81	2.54	24.21	85.78	67.10
BRD-K76698671	CP	HNHA	HDAC inhibitor	HDAC1		5.00, 2.22	40.35	0.94, 0.40	41.53	13.13	46.12	60.01	98.77	32.37	72.11	95.02	35.19	49.94	10.54	7.84	12.15	35.16	56.33	39.18	72.16	11.40	6.08	89.29
BRD-K89930444	CP	AG-592	tyrosine kinase inhibitor			12.78, 6.67	40.32	1.82, 0.48	4.47	98.56	92.20	15.75	62.52	66.53	94.49	38.80	56.10	14.01	34.13	99.40	16.57	13.83	41.83	35.81	98.48	3.21	6.73	42.62
BRD-K11801786	CP	trimidox	antimetabolite, ribonucleoside reductase inhibitor, ribonucleotide reductase inhibitor	RRM1		2.35, 0.59	40.25	1.60, 0.43	2.75	4.99	48.15	36.91	79.53	-36.82	26.37	46.51	9.46	31.00	81.86	10.77	-20.52	76.76	71.97	54.47	62.18	59.46	21.93	43.58
BRD-A54490543	CP	pirlindole	monoamine oxidase inhibitor	MAOA, SLC6A2, SLC6A4		5.29, 1.76	40.23	0.98, 0.24	-3.70	2.89	30.17	50.32	25.80	54.64	5.46	7.39	97.33	84.92	65.06	31.55	48.92	23.65	54.31	87.18	3.28	96.88	16.94	95.54
BRD-K78637815	CP	LY-320135	cannabinoid receptor antagonist	CNR1		5.00, 3.89	40.22	1.63, 0.51	49.89	23.82	31.78	48.52	60.62	4.02	3.59	4.89	90.08	37.66	98.98	-1.02	42.78	90.56	6.29	63.78	11.60	14.40	94.29	78.28
BRD-K55748775	CP	SCH-28080	ATPase inhibitor, potassium-competitive acid antagonist	ATP4A		5.88, 1.76	40.20	0.70, 0.25	16.56	30.91	57.17	62.34	95.91	24.47	6.84	11.52	91.62	40.93	32.78	11.11	20.03	4.55	39.47	52.64	87.73	79.84	65.04	83.55
BRD-K04414442	CP	SB-222200	tachykinin antagonist	TACR3		4.44, 1.67	40.18	1.33, 0.55	18.34	37.78	72.47	82.76	42.58	-50.50	11.30	42.88	21.46	26.33	34.47	44.27	17.04	82.81	84.02	65.58	22.18	55.08	15.62	98.14
BRD-K59331372	CP	SB-366791	TRPV antagonist	TRPV1		3.33, 1.11	40.17	0.92, 0.26	62.75	7.01	33.18	55.16	81.29	89.17	17.32	48.27	35.56	7.86	96.76	1.16	37.82	76.32	5.29	-43.82	72.79	56.01	42.52	-7.79
BRD-K80325895	CP	eicosadienoic-acid	in touchstone			2.35, 1.18	40.11	1.49, 0.41	3.64	40.49	53.87	34.10	74.98	15.00	11.13	10.15	52.36	81.09	15.66	2.78	22.40	58.17	47.80	44.01	11.01	94.41	39.72	88.70
BRD-K06208435	CP	YS-035	calcium channel blocker			3.89, 1.11	40.10	1.06, 0.41	56.37	2.18	47.24	87.47	92.70	43.13	4.19	66.37	6.96	31.60	91.12	19.25	37.06	85.65	56.11	13.89	15.93	18.44	31.45	75.50
BRD-A95513702	CP	androsta-1,4-dien-3,17-dione	aromatase inhibitor	CYP19A1	Aromatase inhibitor	2.22, 2.22	40.09	0.66, 0.23	79.71	47.10	65.85	17.03	64.75	48.85	30.41	31.01	0.81	20.90	76.41	58.40	33.09	78.92	10.21	19.60	69.56	17.86	22.81	55.42
BRD-K02265150	CP	amoxapine	adrenergic transmitter uptake inhibitor, dopamine receptor, norepinephrine reputake inhibitor, serotonin receptor antagonist, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, HTR2A, HTR6, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR7, SLC6A3	Norepinephrine reuptake inhibitor	1.67, 0.00	40.09	1.20, 0.32	1.02	21.27	38.82	47.56	33.77	95.36	2.40	4.97	73.18	3.93	15.14	83.44	33.75	72.59	41.36	60.50	57.12	62.15	8.88	52.77
BRD-K08132273	CP	tyrphostin	epidermal growth factor receptor (EGFR) inhibitor, receptor tyrosine protein kinase inhibitor	ERBB2		5.00, 1.67	40.09	1.00, 0.28	25.27	33.45	44.89	39.26	73.71	89.03	94.61	54.88	-3.52	64.36	18.37	-20.61	69.87	30.50	51.56	40.92	0.95	10.14	5.69	55.17
BRD-A52660433	CP	tetrindole	monoamine oxidase inhibitor	MAOA		7.06, 5.29	40.05	1.74, 0.63	-2.33	79.49	61.32	36.51	71.83	79.80	35.66	99.89	20.36	11.15	4.90	98.91	10.81	24.33	34.66	43.58	91.58	99.26	-3.56	91.89
BRD-K86509404	CP	iso-olomoucine	cyclin-related kinase inhibitor			7.65, 3.53	40.04	1.30, 0.28	39.45	3.42	40.63	91.85	85.83	70.73	3.14	11.18	99.82	42.53	17.99	18.11	38.85	33.09	59.68	96.12	16.61	20.78	61.80	95.77
BRD-K33551950	CP	radicicol	HSP inhibitor, ATP citrase lyase inhibitor, MAP kinase inhibitor, opioid receptor ligand, pyruvate dehydrogenase kinase inhibitor	ACLY, DLAT, HSP90AB1, HSP90B1, MAP3K7, OPRM1, PDK3	HSP inhibitor	11.67, 6.67	40.00	2.09, 0.76	10.97	99.53	27.93	68.56	93.14	35.05	93.07	41.44	99.72	-1.44	32.02	95.83	28.01	40.77	57.93	39.23	97.32	14.32	7.71	20.41
BRD-A84481105	CP	thioridazine	acetylcholine receptor ligand, dopamine receptor, dopamine receptor antagonist, mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor	DRD1, DRD2, HTR2A, ADRA1A, ADRA1B, CHRNA7, DRD5, HRH1, HTR1A, HTR2C, HTR6, HTR7, KCNH2, MALT1	Dopamine receptor antagonist	6.67, 3.33	39.99	1.84, 0.60	21.93	73.15	22.52	36.49	40.73	38.15	22.96	52.26	99.82	23.38	42.55	96.16	39.24	9.46	38.17	59.05	85.69	59.13	16.53	41.22
BRD-K08287586	CP	butylparaben	antimicrobial preservative			7.22, 5.00	39.98	0.50, 0.10	59.76	46.93	90.68	97.27	68.76	79.30	10.27	24.70	13.58	30.04	99.79	31.87	29.59	33.02	89.75	56.10	58.43	29.43	27.27	27.81
BRD-K30570479	CP	VU-0400195-3	glutamate receptor modulator	GRM4		2.78, 1.67	39.98	1.07, 0.27	-2.75	1.34	49.66	86.53	94.30	22.37	5.60	67.78	5.74	56.24	31.04	-12.16	45.34	50.38	34.61	64.54	2.57	75.01	66.33	21.97
BRD-K18855837	CP	varenicline	acetylcholine receptor partial agonist	CHRNA4, CHRNA3, CHRNA6, CHRNA7, CHRNB2		5.29, 2.35	39.95	1.34, 0.34	7.38	0.00	81.11	39.60	25.90	94.96	-11.20	98.01	21.19	46.35	43.51	-1.34	67.34	4.32	54.08	40.30	7.36	42.91	20.28	50.28
BRD-K12260308	CP	xanthoxyline	plant-derived antifungal			6.11, 2.78	39.94	0.93, 0.28	99.93	0.00	17.39	60.93	94.71	62.54	66.01	6.67	1.55	35.59	58.83	-1.27	41.03	93.30	34.67	22.63	76.91	11.83	38.86	59.18
BRD-A55484088	CP	BNTX	opioid receptor antagonist	OPRD1, OPRK1, OPRM1		5.88, 5.88	39.94	2.36, 0.59	7.37	99.65	47.21	43.87	80.90	36.01	35.31	33.86	77.69	3.81	51.63	91.77	9.36	31.12	20.72	68.09	69.36	8.41	4.29	86.28
BRD-A07824748	CP	flavanone	11-beta hydroxysteroid dehydrogenase inhibitor	ADORA3, HSD11B1		4.71, 2.35	39.93	1.26, 0.28	20.15	50.38	24.04	93.30	42.57	-34.05	2.40	1.34	97.19	28.83	94.16	0.88	41.44	38.42	82.41	27.26	6.06	55.44	93.04	98.48
BRD-A27887842	CP	prednisolone	glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist	2.22, 0.00	39.92	1.15, 0.44	13.49	15.47	54.16	72.49	67.03	91.64	4.24	42.07	18.58	66.75	49.99	23.34	44.85	79.35	20.10	22.28	45.75	21.29	37.78	4.99
BRD-K70330367	CP	amantadine	glutamate receptor antagonist, acetylcholine channel inhibitor, dopamine receptor agonist	DRD2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A		2.78, 2.22	39.90	0.81, 0.13	55.97	35.15	-23.87	26.44	32.57	89.02	8.48	83.09	26.74	49.19	75.81	-9.32	65.18	22.75	27.41	14.67	78.12	44.64	88.72	79.51
BRD-K04185004	CP	oxybuprocaine	anesthetic	SCN10A		5.56, 2.78	39.89	0.92, 0.35	3.24	7.29	75.77	13.17	84.25	65.07	36.76	53.75	13.54	9.16	43.03	-12.89	89.49	97.55	6.55	86.52	31.43	66.81	-19.36	47.41
BRD-K32247306	CP	primidone	GABA receptor antagonist, unidentified pharmacological activity	GABRA1, CHRNA4, CHRNA7, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2		2.78, 1.11	39.89	0.44, 0.11	69.37	5.53	83.43	80.07	96.33	14.77	-1.02	20.20	10.49	67.92	82.30	-1.80	33.93	82.61	28.75	16.47	67.00	45.85	19.46	59.01
BRD-A02333338	CP	cyclopamine	smoothened receptor antagonist, hedgehog pathway inhibitor	SMO, DHH, IHH, PTCH1		6.11, 3.89	39.89	1.39, 0.55	4.86	0.00	44.76	82.00	10.08	93.43	87.48	99.54	38.19	18.05	15.75	7.29	41.58	21.91	16.82	49.23	12.13	42.38	79.61	57.59
BRD-K67868012	CP	PI-103	PI3K inhibitor, mTOR inhibitor	PIK3CA, PIK3CG, MTOR, PIK3CB, PIK3CD, PRKDC	MTOR inhibitor, PI3K inhibitor	1.67, 0.00	39.86	1.93, 0.66	40.36	-85.13	10.94	57.09	84.45	47.11	-85.85	24.90	19.23	29.05	92.48	65.74	26.61	27.76	51.82	58.47	58.44	39.36	53.37	9.68
BRD-A88282067	CP	delcorine	ganglioblocking, antiarrhythmic			4.44, 3.33	39.83	1.53, 0.42	31.02	9.16	36.20	69.29	55.23	89.58	56.48	5.15	5.45	79.46	10.59	3.01	62.02	88.11	39.99	39.67	9.27	53.76	19.26	90.82
BRD-K03440695	CP	boldine	acetylcholine receptor inhibitor, dopamine receptor antagonist	CHRNA4, CHRNB2, DRD1, DRD2		4.44, 2.78	39.82	0.75, 0.24	42.57	-18.36	75.37	69.75	-18.46	54.84	12.42	50.84	66.52	63.89	23.36	12.16	90.01	66.00	2.01	48.12	37.07	16.57	4.77	30.23
BRD-K15502390	CP	nevirapine	non-nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor	CYP2B6, CYP2C19, CYP3A4	Reverse transcriptase inhibitor	7.06, 3.53	39.82	0.91, 0.23	11.38	3.59	80.66	88.83	86.68	54.89	72.85	2.33	25.57	79.30	19.28	-20.33	-6.28	36.79	91.90	46.30	3.21	42.85	5.42	82.57
BRD-K70401845	CP	erlotinib	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR, NR1I2	EGFR inhibitor	6.11, 3.33	39.81	1.18, 0.40	11.56	68.40	88.25	18.57	95.52	42.88	13.77	72.79	35.11	31.95	52.10	68.72	18.76	83.21	40.91	27.66	96.05	36.37	38.70	33.76
BRD-K57033106	CP	tripelennamine	histamine receptor antagonist	HRH1		3.33, 1.11	39.80	0.50, 0.18	7.89	11.93	49.63	16.42	-52.84	65.24	-1.94	59.79	36.33	68.55	71.86	-1.34	70.47	12.00	27.43	90.51	38.19	69.16	80.29	41.42
BRD-A14966924	CP	alaproclate	serotonin receptor antagonist, serotonin reuptake inhibitor	SLC6A4		6.11, 2.22	39.80	0.58, 0.13	74.19	-2.22	38.88	74.26	89.99	33.52	29.99	45.81	5.64	20.22	45.79	-21.13	59.15	98.52	40.72	42.87	34.56	18.42	91.66	15.92
BRD-A45889380	CP	mepacrine	NFkB pathway inhibitor, cytokine production inhibitor, TP53 expression enhancer, acetylcholinesterase inhibitor, AKT inhibitor, apoptosis stimulant, DNA inhibitor, mTOR inhibitor, phospholipase inhibitor, PI3K inhibitor, secretory phospholipase inhibitor, TP53 activator	TP53, AKT1, MTOR, NFKB1, PLA2G1B, PLA2G2A, PLA2G2D, PLA2G4A, PLA2G6, PLCL1	NFkB pathway inhibitor	3.33, 1.67	39.80	1.22, 0.24	25.87	43.30	23.44	47.97	35.75	35.15	72.20	15.57	71.61	19.55	86.26	54.19	46.13	36.56	36.91	86.39	16.18	57.26	16.75	42.68
BRD-K98763141	CP	niflumic-acid	cyclooxgenase inhibitor	CLCNKA, PTGS2, ANO1, CLCN1, CLCNKB, KCNQ1, PLA2G1B, PLA2G4A, PTGS1, UGT1A9		4.12, 2.35	39.78	1.09, 0.39	0.85	9.28	67.67	80.09	96.59	86.21	40.81	8.93	74.79	34.41	-36.72	0.00	34.53	90.22	17.00	44.26	38.76	66.54	3.00	57.16
BRD-K13810148	CP	givinostat	HDAC inhibitor, interleukin receptor antagonist, interleukin synthesis inhibitor, tumor necrosis factor receptor antagonist, tumor necrosis factor release inhibitor	HDAC2, HDAC1, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IL1B, IL1R2, IL6R, TNF	HDAC inhibitor	2.94, 1.18	39.77	1.35, 0.48	0.67	87.64	54.44	35.96	94.21	33.35	27.42	-4.59	6.07	24.01	55.29	85.98	43.59	59.09	68.39	63.85	57.31	16.78	9.67	2.24
BRD-K58772419	CP	AZD-6482	PI3K inhibitor	PIK3CD, PIK3CG, PIK3CA, PIK3CB	PI3K inhibitor	1.67, 0.56	39.74	1.38, 0.60	7.81	-74.36	61.01	29.34	84.56	46.64	10.57	10.31	45.05	50.29	93.30	1.02	28.35	40.89	29.26	38.58	75.91	46.61	11.96	50.04
BRD-K14965640	CP	ibuprofen	cyclooxygenase inhibitor, NFkB pathway inhibitor	PTGS2, PTGS1, ASIC1, BCL2, CFTR, CYP2C8, FABP2, PLAT, PPARG, SLC5A8, THBD		4.44, 2.22	39.71	0.76, 0.26	10.58	48.61	99.65	35.16	94.14	73.56	46.25	4.95	1.59	59.27	50.00	0.92	29.76	27.15	18.89	44.26	48.35	27.00	-0.02	59.30
BRD-K72703948	CP	ZM-447439	Aurora kinase inhibitor	AURKA, AURKB	Aurora kinase inhibitor	1.11, 0.00	39.70	0.55, 0.18	2.64	43.93	58.18	53.11	56.85	8.95	43.69	37.69	23.03	2.92	18.63	52.75	35.48	44.02	41.71	46.80	47.72	11.03	10.28	32.94
BRD-A64228451	CP	terreic-acid	Bruton's tyrosine kinase (BTK) inhibitor	BTK		6.67, 5.00	39.64	1.56, 0.52	7.89	96.58	89.08	56.01	70.96	28.97	92.95	8.17	57.00	17.90	25.59	79.56	16.25	38.44	40.84	77.03	82.90	26.38	7.76	12.04
BRD-K14888893	CP	minoxidil	antialopecia agent, ATP channel activator, ATP-sensitive potassium channel agonist, KATP activator, Kir6 channel (KATP) activator, polarization activator, renin secretion stimulant	KCNJ8, ABCC9, KCNJ1, KCNJ10, KCNJ11, PTGS1, REN		2.78, 0.56	39.61	1.34, 0.35	63.54	4.05	35.48	65.58	55.37	36.85	3.48	79.27	20.54	14.15	67.05	-1.52	56.90	60.65	65.92	25.24	-11.96	9.75	78.18	42.38
BRD-A70407468	CP	PSB-36	adenosine receptor antagonist	ADORA1, ADORA2A, ADORA2B, ADORA3		4.71, 3.53	39.60	1.01, 0.23	11.57	33.80	37.55	42.51	93.22	25.50	12.43	17.25	99.93	41.66	7.43	71.69	2.75	16.72	70.26	47.60	70.27	92.56	35.46	99.58
BRD-K96263742	CP	GW-7647	PPAR receptor agonist	PPARA	PPAR receptor agonist	4.44, 1.67	39.58	0.85, 0.20	79.46	17.88	21.26	8.66	36.78	77.87	11.81	42.39	47.44	78.43	69.79	0.00	33.75	99.68	45.99	30.26	0.92	74.48	50.04	2.23
BRD-K56115039	CP	BU-226	imidazoline 2 receptor ligand		Imidazoline ligand	4.71, 2.94	39.53	1.64, 0.49	32.74	61.33	13.70	61.38	68.79	5.85	40.16	12.76	98.28	17.44	38.90	2.77	16.80	32.77	62.42	33.66	51.44	99.74	94.61	94.01
BRD-K89046952	CP	ciclacillin	cell wall synthesis inhibitor			2.22, 1.67	39.52	1.22, 0.27	6.06	16.91	24.46	11.11	43.74	71.63	64.68	42.64	8.38	48.65	25.69	-4.86	83.81	79.40	74.47	6.42	5.51	72.32	61.10	36.41
BRD-K13926615	CP	vardenafil	phosphodiesterase inhibitor	PDE5A, CYP2C19, CYP2C8, CYP3A5, PDE6G, PDE6H		5.00, 2.78	39.49	0.99, 0.28	48.79	4.63	63.55	93.56	38.02	73.49	51.64	32.74	30.23	28.68	7.91	-22.87	81.00	40.95	26.76	86.06	45.11	34.18	14.03	90.10
BRD-U82589721	CP	HG-5-113-01	protein kinase inhibitor	ABL1, LTK, STK10		2.22, 2.22	39.48	1.97, 0.53	41.19	74.62	62.47	53.19	97.56	30.54	89.78	38.82	12.70	9.73	24.66	56.60	28.10	62.91	40.13	24.28	68.64	3.28	0.95	22.43
BRD-K64670467	CP	JNJ-16259685	glutamate receptor antagonist	GRM1		3.33, 1.67	39.47	1.05, 0.33	5.35	-24.89	69.69	65.79	77.45	84.70	36.09	27.54	25.77	8.32	48.15	-29.16	42.84	90.84	52.14	49.94	2.75	30.01	-2.04	45.00
BRD-A73581086	CP	ergometrine	adrenergic receptor stimulatant, serotonin receptor stimulant	ADRA1A, HTR1E, HTR2A		3.89, 0.56	39.46	0.98, 0.39	41.25	29.65	23.19	47.33	27.54	-1.80	4.44	7.36	80.81	61.62	97.02	-23.80	19.04	73.58	37.67	45.58	54.94	29.53	88.58	52.94
BRD-K29313308	CP	HDAC3-selective	HDAC inhibitor	HDAC3		2.50, 1.25	39.45	0.56, 0.36	10.34	71.66	39.15	41.47	44.97	57.79	5.16	24.13	61.87	38.17	7.08	1.66	31.84	39.74	28.95	60.46	49.73	51.55	14.59	71.93
