#1.3
2429	32	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K31627533-summary	BRD-A08187463-summary	BRD-K28183345-summary	BRD-A55913614-summary	BRD-K95921201-summary	BRD-A39390670-summary	BRD-K49111258-summary	BRD-K51485625-summary	BRD-K21283037-summary	BRD-A10070317-summary	BRD-A62525898-summary	BRD-A26334849-summary	BRD-K48168960-summary	BRD-K72222507-summary	BRD-K19352500-summary	BRD-K28667793-summary	BRD-K70505054-summary	BRD-K30563334-summary	BRD-K88429204-summary	BRD-K05658747-summary	BRD-A21858158-summary	BRD-K75699339-summary	BRD-A59174698-summary	BRD-K68867920-summary	BRD-K97399794-summary	BRD-K59273480-summary	BRD-A97674275-summary	BRD-K53857191-summary	BRD-K42098891-summary	BRD-K01638814-summary	BRD-K32247306-summary	BRD-K63828191-summary
BRD-K47761761	CP	PD-168077	dopamine receptor agonist	DRD2, DRD4		3.89, 1.41	42.33	1.06, 0.20	61.43	10.09	28.68	21.20	49.39	59.03	81.00	4.76	54.59	78.70	57.54	36.27	72.13	42.21	20.80	35.11	61.60	9.77	11.80	90.32	61.38	11.64	48.84	28.76	79.02	8.18	48.96	42.46	64.01	41.86	40.80	21.40
BRD-K10466330	CP	AVA	nucleophosmin inhibitor		Nucleophosmin inhibitor	3.99, 1.45	42.32	0.59, 0.35	1.52	20.41	-1.83	4.03	14.25	62.94	31.56	-15.52	0.78	70.33	0.99	67.73	56.99	27.01	30.05	77.87	87.31	85.96	73.28	64.08	95.20	0.63	63.36	67.79	23.09	71.58	13.90	14.59	48.23	57.55	36.41	99.89
BRD-A16665823	CP	butoconazole	cell wall synthesis inhibitor, sterol demethylase inhibitor			8.12, 3.57	42.31	0.58, 0.18	81.16	22.47	91.65	34.11	88.84	31.51	13.99	94.11	52.52	17.66	3.44	56.32	48.75	71.50	35.87	19.60	84.08	12.10	98.61	85.61	26.08	32.31	22.68	58.94	49.50	6.59	4.78	34.63	96.72	56.75	13.46	83.45
BRD-K62363391	CP	dapsone	dihydrofolate reductase inhibitor, dihydropteroate synthase inhibitor, FOLP inhibitor	DHFR	Dihydrofolate reductase inhibitor	10.25, 6.01	42.31	1.40, 0.41	0.00	21.03	53.99	33.86	-13.92	77.82	5.75	70.04	-64.60	99.51	-1.80	96.84	98.59	24.06	9.33	99.44	96.28	25.73	90.74	96.37	93.05	50.75	30.68	67.60	14.59	93.64	3.28	18.53	56.36	77.80	14.13	0.95
BRD-K45542189	CP	diethylcarbamazine	lipoxygenase inhibitor	ALOX5, PTGS1		4.22, 1.95	42.30	0.70, 0.16	5.98	79.34	21.33	11.31	70.33	45.52	2.58	45.15	13.41	-26.24	32.11	14.07	26.98	35.78	6.84	75.93	90.97	26.05	60.11	87.13	86.55	56.45	21.39	65.32	14.36	86.46	53.80	47.96	39.44	94.34	49.79	3.45
BRD-K26521938	CP	dinoprostone	prostanoid receptor agonist	PTGER2, PTGER1, PTGER3, PTGER4, CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGDR2, PTGFR, TBXA2R		2.60, 1.95	42.27	0.90, 0.27	14.64	50.41	46.71	65.02	69.55	36.10	12.04	31.06	49.89	77.91	88.25	24.64	71.28	73.63	4.93	25.11	25.86	29.68	41.20	64.97	61.09	16.44	77.40	9.95	39.78	1.87	46.52	80.12	0.46	43.34	70.37	0.32
BRD-A93477898	CP	PETCM	caspase activator	CASP3		4.59, 1.77	42.25	0.94, 0.27	38.30	34.83	44.60	20.61	44.20	84.14	15.33	85.25	13.41	24.88	12.53	43.44	94.15	98.94	18.58	41.07	43.50	82.31	16.62	87.74	92.85	67.08	84.16	31.02	11.30	53.51	67.05	10.63	9.68	75.89	30.93	34.27
BRD-A22713669	CP	BVT-948	tyrosine phosphatase inhibitor	PTPN1, PTPN11, PTPN2		1.77, 0.71	42.24	2.32, 0.45	-55.60	40.62	21.99	74.05	73.28	87.14	95.90	78.28	-3.35	52.06	69.49	9.42	45.96	6.00	26.33	20.97	31.52	43.86	7.48	-56.87	73.57	-11.35	38.62	23.70	72.14	79.47	71.39	88.16	69.52	8.40	26.26	88.70
BRD-A12016240	CP	LY-278584	serotonin receptor antagonist	HTR3A		4.22, 2.60	42.24	0.68, 0.18	79.04	14.19	81.21	27.88	46.03	20.93	12.31	87.31	98.10	56.02	88.34	9.62	83.11	49.31	3.14	0.00	42.84	40.72	66.52	98.97	70.82	-7.54	6.77	3.82	41.63	54.07	61.36	31.62	4.55	70.51	10.03	-43.54
BRD-A17453586	CP	MDL-72832	serotonin receptor agonist	HTR1A		2.27, 1.30	42.22	0.91, 0.24	53.81	74.30	31.99	83.66	5.81	29.47	19.72	94.92	6.69	97.61	80.41	73.33	81.56	29.85	35.34	30.02	21.67	39.67	3.70	43.12	67.26	85.81	27.35	20.90	69.96	41.32	61.30	54.68	44.79	18.11	66.92	39.54
BRD-K28029915	CP	dolasetron	serotonin receptor antagonist	HTR3A		4.22, 1.62	42.20	1.38, 0.42	15.36	34.75	38.09	48.08	26.38	88.35	26.20	3.81	24.03	85.40	30.31	39.45	90.89	-0.03	40.57	56.16	43.84	51.15	63.26	80.04	68.67	37.44	-3.20	48.25	43.88	13.57	59.24	79.63	84.10	31.59	63.45	-0.03
BRD-K80778372	CP	RO-19-4605	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5		2.60, 1.62	42.19	0.72, 0.19	31.09	34.05	14.37	2.65	43.25	91.65	59.41	66.62	64.55	55.57	13.80	59.35	51.38	61.20	4.30	80.34	4.70	45.21	14.48	44.87	9.38	3.78	68.34	5.09	65.66	65.02	41.13	14.07	27.49	91.22	18.08	0.28
BRD-K28453807	CP	nitrocaramiphen	acetylcholine receptor antagonist			6.49, 2.60	42.14	0.66, 0.20	76.50	95.05	80.49	33.73	41.35	8.49	87.24	33.68	10.35	-3.44	0.02	51.03	80.87	58.22	1.09	37.03	68.47	17.68	37.20	77.03	42.93	1.97	43.41	50.73	27.14	56.37	31.55	13.15	85.23	51.35	98.94	1.09
BRD-K87696786	CP	LY-456236	glutamate receptor antagonist	GRM1		3.25, 1.95	42.14	0.98, 0.27	83.14	19.30	25.50	7.07	-5.23	42.11	27.04	64.10	69.14	15.34	3.78	38.53	85.82	50.03	47.23	38.06	83.80	49.50	4.47	15.46	42.17	78.80	91.04	80.66	59.11	8.29	40.12	67.20	70.97	44.76	36.56	-2.04
BRD-K82216340	CP	medroxyprogesterone	progesterone receptor agonist	PGR, ESR1	Progesterone receptor agonist	7.42, 5.65	42.13	1.81, 0.60	91.08	68.45	27.35	50.13	74.05	88.65	1.68	70.19	-24.07	82.60	15.70	99.93	97.71	9.20	22.32	99.86	84.68	31.45	88.03	41.73	91.50	42.53	23.18	35.29	16.16	30.14	31.48	1.73	66.35	3.07	18.25	97.39
BRD-K12513978	CP	fenbufen	cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor	6.17, 3.25	42.12	0.89, 0.24	52.12	11.91	30.91	42.77	33.69	17.37	31.27	-29.42	2.58	58.56	77.60	67.23	80.00	93.92	-0.60	61.16	71.08	15.72	28.68	84.10	41.47	-36.47	45.89	44.55	30.08	58.39	39.31	87.31	42.79	90.91	9.16	-0.39
BRD-K56064827	CP	EI-273	PKC inhibitor	PRKCA, PRKCG		6.49, 3.57	42.08	2.13, 0.88	15.85	7.49	31.04	42.01	29.08	73.18	3.29	89.96	82.16	77.62	11.93	37.94	98.11	55.65	4.92	94.67	21.46	9.55	13.69	14.02	70.07	42.15	52.44	90.01	43.66	23.09	44.46	58.93	68.73	52.97	0.86	4.69
BRD-K26818574	CP	BIX-01294	DNA methyltransferase inhibitor, histone lyinse methyltransferase inhibitor, histone lysine methyltransferase inhibitor	EHMT1, EHMT2		4.95, 3.18	42.08	0.95, 0.15	41.31	39.18	70.85	64.81	81.40	12.59	74.82	78.17	69.47	36.10	1.80	30.35	40.33	34.94	96.45	57.66	42.84	55.85	94.68	44.25	-12.10	9.26	17.28	72.57	75.82	-2.40	3.62	19.94	92.08	9.36	3.95	99.47
BRD-K79877282	CP	PF-543	sphingosine kinase inhibitor	SPHK1		2.90, 1.45	42.07	0.60, 0.36	42.85	12.89	11.01	20.80	47.20	6.61	21.80	4.26	40.07	40.81	1.90	59.98	42.56	20.90	41.58	46.11	49.27	54.32	27.89	55.67	66.87	35.47	63.51	52.65	37.19	49.56	54.74	52.77	25.50	65.53	17.27	99.72
BRD-K17705806	CP	JTC-801	opioid receptor antagonist	OPRL1		3.66, 1.57	42.05	2.92, 0.63	46.94	14.63	37.17	99.33	82.22	73.57	13.74	94.67	23.47	88.70	72.13	-8.71	31.30	7.19	98.06	19.11	94.20	54.34	-0.42	-12.22	74.99	-18.79	51.80	2.36	87.69	15.48	96.48	10.43	66.53	-7.50	6.05	99.08
BRD-K78431006	CP	crizotinib	ALK tyrosine kinase receptor inhibitor, c-Met inhibitor, hepatocyte growth factor receptor inhibitor, tyrosine kinase inhibitor	ALK, MET, CYP2B6, CYP3A5, MST1R, ROS1		3.25, 1.95	42.05	0.97, 0.19	27.36	48.93	31.14	41.90	75.55	18.57	41.69	56.15	1.13	86.59	40.11	64.78	40.86	21.30	86.02	38.40	90.94	57.26	44.05	33.58	54.62	1.02	43.10	23.56	74.20	15.96	61.59	49.24	42.19	2.47	6.98	100.00
BRD-K50168500	CP	canertinib	EGFR inhibitor, EGFR antagonist, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, ERBB4, AKT1	EGFR inhibitor	3.57, 0.97	42.03	1.59, 0.39	67.94	40.69	66.75	74.35	96.17	23.10	37.84	64.18	16.94	85.76	77.71	29.25	25.73	54.46	43.37	20.42	60.30	16.23	20.53	19.42	61.73	8.01	34.93	55.78	98.68	3.26	49.37	28.47	81.45	13.69	9.55	98.82
BRD-K76907295	CP	VU-0418947-2	hypoxia inducible factor activator		HIF activator	2.54, 1.81	42.00	1.82, 0.63	63.26	12.70	38.13	99.75	93.55	48.55	43.78	40.23	28.29	-33.81	26.82	2.23	87.52	77.95	51.14	36.40	65.61	36.10	76.84	0.00	36.98	23.77	-3.21	53.66	99.82	14.03	62.73	65.99	84.41	-36.02	9.93	99.75
BRD-K83794624	CP	pirarubicin	topoisomerase inhibitor	TOP2A	Topoisomerase inhibitor	4.55, 1.30	41.99	3.16, 0.95	0.67	59.64	1.20	32.40	4.44	3.66	24.13	31.85	63.03	83.56	97.38	57.43	38.89	51.30	74.37	3.55	86.67	37.95	7.16	32.01	83.83	23.30	74.27	39.60	92.95	45.26	96.51	96.97	44.39	9.97	14.71	81.49
BRD-A24543851	CP	nornicotine	acetylcholine receptor agonist			8.63, 5.49	41.92	0.83, 0.20	20.63	14.64	54.60	68.94	1.16	-6.54	57.58	96.19	94.80	73.31	94.08	5.43	91.44	37.70	98.42	82.70	55.12	5.94	1.59	90.40	7.40	13.49	86.46	73.56	46.14	32.39	34.50	6.24	60.72	18.07	11.99	0.04
BRD-A79314293	CP	cephalosporanic-acid	core structure for synthesis of cephalosporin antibiotics			5.43, 3.26	41.91	1.76, 0.66	54.48	37.81	76.94	40.66	61.94	87.72	3.66	57.42	3.35	62.47	26.87	98.29	92.67	43.15	-5.56	87.55	99.51	9.53	90.64	74.16	31.98	-9.05	72.75	2.29	27.47	7.16	3.18	83.36	0.00	66.44	23.25	5.72
BRD-A70514680	CP	articaine	local anesthetic			2.12, 0.71	41.89	1.18, 0.34	52.06	40.49	65.72	33.53	10.37	41.20	21.81	36.99	7.65	58.96	35.66	23.55	61.46	66.38	38.00	42.57	59.52	69.78	10.34	88.03	79.61	24.67	50.47	-15.22	24.98	88.73	90.08	45.16	18.30	57.24	50.58	5.49
BRD-K71731651	CP	PNU-120596	acetylcholine receptor modulator, acetylcholine receptor positive allosteric modulator	CHRNA7		7.14, 3.25	41.88	1.24, 0.47	87.49	74.51	38.02	3.04	52.11	12.86	72.66	37.72	-1.53	-3.10	0.95	98.03	46.33	98.52	-0.39	98.10	91.42	45.73	97.79	95.79	12.26	28.88	88.48	37.21	55.66	53.11	23.03	18.65	11.98	85.98	2.68	0.60
BRD-A19248578	CP	latrunculin-b	actin destabilizer, unidentified pharmacological activity	ACTA1, MKL1, SPIRE2		1.41, 0.71	41.86	1.32, 0.42	10.87	24.97	72.73	88.02	92.36	43.26	75.40	76.19	3.14	86.59	66.59	70.41	82.52	10.15	86.78	17.39	66.70	40.01	13.17	26.66	27.16	-14.42	54.88	40.47	86.22	5.51	29.89	11.92	64.57	5.76	-3.94	98.80
BRD-K11107424	CP	tiotidine	histamine receptor antagonist	HRH2		6.49, 3.25	41.86	0.97, 0.36	77.73	8.26	77.48	39.20	-8.08	0.40	48.73	71.48	84.09	26.30	17.99	24.60	81.84	44.52	7.36	84.73	95.81	10.66	54.59	-27.39	77.18	9.26	88.39	85.94	3.82	5.67	-3.62	68.38	81.33	46.63	10.39	-12.55
BRD-K49890030	CP	gavestinel	glutamate receptor antagonist, glycine receptor antagonist	GLRB		3.90, 1.62	41.86	1.19, 0.34	80.55	77.60	44.19	15.82	17.12	74.06	64.52	69.28	38.26	41.25	20.52	11.68	72.51	65.79	42.47	81.84	23.81	20.04	20.42	83.29	77.14	34.51	12.52	71.93	20.77	27.43	28.46	89.47	82.50	94.68	28.08	0.60
BRD-K83322645	CP	L-693403	sigma receptor antagonist, sigma receptor ligand	DRD2, SIGMAR1		3.57, 1.62	41.85	1.06, 0.28	64.34	71.88	63.20	30.10	31.24	83.85	19.99	39.95	-10.25	35.72	6.34	81.73	72.21	78.21	5.13	64.43	-2.18	43.75	70.34	95.35	8.95	5.31	88.41	18.20	15.24	99.34	16.56	58.40	86.41	98.56	1.94	38.92
BRD-A95696820	CP	acadesine	adenosine release stimulant, AMPK activator, AMPK stimulant			8.70, 5.43	41.83	2.15, 0.51	55.58	17.67	36.79	62.46	65.15	46.35	-50.23	3.66	78.87	69.81	91.87	99.93	21.07	33.54	2.15	99.23	51.53	44.21	8.75	23.69	96.29	2.64	79.08	0.00	43.00	95.78	9.67	96.97	15.20	12.82	40.67	-7.00
BRD-K11905747	CP	spectinomycin	30S ribosomal subunit inhibitor		Bacterial 30S ribosomal subunit inhibitor	4.24, 2.12	41.83	0.88, 0.34	67.61	2.18	54.71	43.23	24.73	29.47	0.02	26.69	31.44	42.55	19.81	95.08	90.64	10.43	0.02	89.20	42.49	13.28	67.57	58.29	87.97	25.32	54.34	13.32	6.58	37.79	2.71	68.35	80.82	51.45	41.16	66.07
BRD-K15891719	CP	tenofovir	reverse transcriptase inhibitor, nucleoside reverse transcriptase inhibitor, nucleotide reverse transcriptase inhibitor			7.47, 3.90	41.82	3.25, 0.93	40.42	72.21	-2.26	62.74	3.70	93.91	24.64	-21.75	17.51	99.06	25.98	5.88	83.00	96.47	52.65	43.23	88.08	11.81	10.79	34.84	90.78	63.65	96.01	66.48	40.42	11.46	94.60	58.02	56.80	25.07	23.19	1.30
BRD-A61793559	CP	metolazone	carbonic anhydrase inhibitor, quinazoline diuretic, inhibitor of sodium chloride symporters	SLC12A3, CA2, CA7		7.14, 2.60	41.82	0.48, 0.10	71.73	9.40	80.45	18.37	33.63	22.94	19.58	24.78	97.41	44.53	65.44	57.06	83.06	88.65	14.24	97.79	46.94	28.55	74.52	75.57	30.93	17.94	71.79	25.85	18.70	74.71	2.79	39.11	87.24	80.56	9.68	12.00
BRD-K78599730	CP	manumycin-a	farnesyltransferase inhibitor, NFkB pathway inhibitor, ras farnesyltransferase inhibitor	FNTA, IKBKB	NFkB pathway inhibitor	1.30, 0.32	41.80	2.32, 0.57	50.42	25.08	50.64	73.04	73.85	47.79	25.15	76.32	4.87	74.05	44.66	4.23	57.11	60.02	45.91	15.30	21.06	25.29	32.17	60.57	24.84	5.07	5.07	22.96	72.99	38.93	87.38	24.40	47.08	6.86	26.94	95.03
BRD-K73293050	CP	WZ-3146	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor	EGFR		3.90, 1.95	41.78	1.74, 0.50	83.49	30.09	91.67	51.03	92.13	21.25	78.13	84.09	17.79	91.60	45.21	7.03	31.45	23.42	96.79	11.80	34.69	38.35	5.07	12.10	23.93	3.62	80.98	91.57	34.20	4.86	83.50	64.59	92.64	47.66	6.55	99.37
BRD-K92817986	CP	BJM-CSC-19	compound cytotoxic to breast cancer stem cells			0.97, 0.32	41.74	0.58, 0.14	78.59	46.71	58.83	33.73	40.67	51.00	26.50	38.35	79.82	56.22	42.81	9.48	89.53	55.16	4.55	37.69	40.66	23.57	59.60	71.98	78.01	15.12	60.12	37.38	27.08	39.09	37.34	8.21	55.24	67.24	48.91	-0.60
BRD-K89162000	CP	tandutinib	FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor	FLT3, KIT, PDGFRA, PDGFRB, CSF1R, PDGFD	PDGFR/KIT inhibitor	6.49, 3.57	41.72	0.97, 0.28	63.04	38.91	44.29	51.60	20.41	52.54	0.95	88.57	32.98	90.54	78.80	25.13	39.14	17.40	69.39	93.44	49.40	2.22	-12.01	77.93	68.68	26.50	38.74	59.86	2.71	74.15	12.28	18.14	91.16	52.33	12.45	30.80
BRD-U01690642	CP	acetyl-geranyl-cysteine	Ras carboxyl methylation inhibitor			4.87, 1.95	41.71	1.15, 0.40	15.72	5.19	35.45	14.50	18.79	0.32	77.55	-6.14	58.20	15.82	8.20	62.50	81.56	66.62	11.20	95.12	57.31	22.46	69.87	91.04	25.78	1.38	55.82	56.75	21.45	66.48	7.45	37.22	63.45	72.00	46.20	60.99
BRD-K05901394	CP	terguride	adrenergic receptor antagonist, dopamine autoreceptor agonist, dopamine receptor agonist, dopamine receptor partial agonist, platelet aggregation inhibitor, prolactin secretion inhibitor, serotonin receptor antagonist	DRD2, HTR2A, HTR2B, ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD3, DRD4, HTR1A, HTR1B, HTR1D, HTR2C, PRL		3.90, 1.30	41.66	1.16, 0.42	96.13	34.87	95.74	6.50	2.97	26.33	40.67	43.97	43.75	13.24	14.36	31.39	74.41	22.74	20.30	42.66	48.91	54.77	53.92	84.83	66.51	6.86	73.18	40.25	33.07	4.26	2.92	93.74	68.43	76.00	53.63	-20.37
BRD-K67439147	CP	SIB-1893	glutamate receptor antagonist	GRM5, GRM4		6.17, 3.25	41.66	1.10, 0.41	54.87	39.97	77.62	62.22	14.47	2.96	29.63	7.21	49.80	55.05	55.23	5.11	25.85	87.67	34.31	73.90	69.40	28.78	49.53	13.45	32.50	65.58	88.76	58.45	95.20	16.46	41.73	78.87	41.60	40.22	8.54	13.52
BRD-K63533170	CP	AM-630	cannabinoid receptor antagonist, cannabinoid receptor inverse agonist	CNR2, CNR1		4.55, 2.27	41.65	1.25, 0.43	76.74	94.47	70.22	46.51	44.60	31.05	7.23	32.09	41.28	59.63	75.31	80.46	83.95	24.08	33.87	35.12	87.30	20.15	42.02	28.01	81.66	1.45	38.01	39.82	55.43	2.29	37.79	3.88	89.90	54.39	61.11	1.41
BRD-A83937277	CP	mephenytoin	cytochrome P450 substrate	SCN5A, CYP2C19		2.83, 1.06	41.63	1.45, 0.38	55.62	69.40	93.53	37.28	9.47	12.62	12.16	43.75	32.07	47.65	19.04	13.22	88.78	72.55	25.19	12.79	80.04	39.51	68.41	86.56	76.15	37.64	23.72	25.78	37.35	21.30	82.56	12.84	62.53	94.45	58.52	46.14
BRD-K92428232	CP	GSK-461364	PLK inhibitor	PLK1		4.87, 2.27	41.61	1.40, 0.31	59.18	17.06	12.18	51.50	94.65	32.13	81.42	78.48	-0.99	40.48	58.72	38.61	43.99	42.75	89.31	20.94	21.05	7.15	21.78	92.53	-23.05	7.35	80.85	56.81	81.89	33.55	27.69	1.16	94.17	76.40	-6.66	98.45
BRD-K53570330	CP	carbofuran	cholinesterase inhibitor			1.30, 0.32	41.61	0.91, 0.31	58.43	68.37	57.57	22.35	34.03	29.46	14.75	50.49	12.64	17.60	4.72	66.38	85.98	60.32	29.55	83.27	78.95	18.59	87.09	35.77	33.31	22.96	47.45	49.93	27.52	3.91	4.62	91.77	72.50	78.62	50.00	5.22
BRD-A47829399	CP	artesunate	DNA synthesis inhibitor			1.62, 0.97	41.60	1.72, 0.51	68.30	33.47	45.20	79.84	52.08	18.60	81.02	15.49	15.79	38.50	7.90	22.50	44.78	37.88	9.23	50.93	31.66	74.07	15.81	65.17	23.02	12.22	25.27	10.10	44.71	47.29	46.02	60.80	36.65	62.95	45.46	64.46
BRD-K56343971	CP	vemurafenib	RAF inhibitor, protein kinase inhibitor	BRAF, CYP2C19, CYP3A4, CYP3A5, RAF1	RAF inhibitor	2.27, 1.30	41.59	1.58, 0.60	60.65	61.49	53.59	70.59	84.67	15.07	18.62	64.25	40.42	68.49	81.71	13.80	59.32	5.07	35.88	42.76	45.09	26.74	0.35	13.25	55.19	22.99	53.96	56.01	94.35	7.14	16.14	44.97	17.41	10.39	12.05	-80.58
BRD-A71157293	CP	fursultiamine	thiamine deriviative			3.18, 1.06	41.58	1.40, 0.47	55.55	56.71	26.35	36.32	13.36	8.56	5.48	46.97	11.57	67.66	12.21	15.99	32.26	70.34	61.77	13.99	41.89	47.70	71.83	94.01	23.78	41.89	77.85	10.50	51.41	73.27	35.02	32.61	41.27	60.83	62.35	-3.84
BRD-K62792802	CP	LY-83583	inhibitor of soluble guanylyl cyclase, leukotriene synthesis inhibitor	GUCY1A2		7.58, 4.33	41.58	2.01, 0.45	12.49	39.92	-2.22	36.11	3.56	23.42	14.67	81.54	2.29	91.07	92.53	31.23	85.64	11.27	25.99	94.01	90.95	95.21	10.16	78.61	99.68	99.68	63.01	35.11	62.39	14.49	55.01	18.29	19.92	43.24	94.14	45.82
BRD-K18250272	CP	propoxycaine	anesthetic			8.44, 4.55	41.55	0.56, 0.15	92.84	36.60	14.37	12.78	41.97	22.94	14.08	20.68	25.87	41.13	14.38	76.05	70.24	80.22	-7.37	58.01	79.56	69.19	65.67	95.94	18.62	-3.45	27.10	-15.90	35.04	79.96	27.87	76.62	59.37	97.85	46.72	50.66
BRD-K32906660	CP	bis-tyrphostin	EGFR inhibitor, dynamin GTPase inhibitor	DNM1, EGFR		5.52, 2.92	41.55	0.93, 0.33	33.99	33.91	10.39	18.14	22.59	35.23	6.33	42.58	-0.39	97.62	0.28	67.73	90.23	91.88	-44.04	39.36	95.10	67.87	58.83	64.29	40.52	20.97	82.40	51.77	80.00	19.97	76.26	97.60	36.22	74.83	95.04	-0.46
BRD-K41868777	CP	W-5	calmodulin antagonist			1.06, 0.71	41.52	1.07, 0.31	26.05	42.89	58.12	57.56	4.02	41.54	36.96	66.86	-8.29	32.73	35.21	11.00	42.46	5.29	45.08	34.88	27.80	71.93	18.56	51.69	79.14	57.35	51.75	-3.84	20.87	94.35	85.07	41.50	51.40	58.73	30.26	2.60
BRD-A87848830	CP	bimatoprost	prostanoid receptor agonist	PTGFR, AKR1C3, PTGER1, PTGER3		4.95, 1.41	41.52	1.51, 0.40	0.00	34.74	0.00	14.98	76.47	85.83	4.15	-89.03	3.38	84.73	43.27	7.08	77.66	6.92	40.76	81.57	89.71	70.08	37.90	55.42	90.79	-23.82	25.99	42.28	46.59	29.24	83.59	85.26	3.38	19.51	82.53	94.43
BRD-K80431395	CP	triciribine	AKT inhibitor	AKT1, AKT2, AKT3		2.60, 0.65	41.52	1.44, 0.15	80.57	50.40	39.62	45.86	38.84	41.38	99.01	34.84	29.49	7.62	17.15	4.01	81.60	49.79	25.16	54.01	63.46	12.80	61.45	41.65	27.49	66.66	22.27	65.69	53.10	8.58	20.77	0.78	72.96	72.72	23.53	70.01
BRD-K11636097	CP	JNJ-7706621	CDK inhibitor, Aurora kinase inhibitor	CDK1, CDK2, AURKA, AURKB	CDK inhibitor	5.84, 1.30	41.51	4.50, 1.56	69.88	98.76	31.46	74.90	0.00	9.49	14.70	18.20	24.02	86.67	95.33	2.01	81.20	74.12	73.50	41.11	82.06	25.08	0.63	36.85	75.96	14.20	72.54	2.98	94.67	86.82	43.95	72.73	41.90	-3.56	12.82	25.45
BRD-K93618743	CP	ipriflavone	bone resorption inhibitor			5.10, 2.35	41.50	1.25, 0.25	3.33	29.13	48.79	16.83	10.07	21.03	31.58	73.68	67.75	78.56	99.86	24.01	58.67	6.48	47.87	52.92	6.74	83.80	35.14	91.37	85.36	15.17	2.75	6.03	63.54	19.35	78.81	20.07	52.58	55.75	72.83	5.91
BRD-A14574269	CP	UB-165	acetylcholine receptor agonist	CHRNA3, CHRNA4, CHRNB2		8.12, 3.90	41.44	1.14, 0.43	69.44	34.09	29.30	32.99	13.95	59.49	51.60	10.93	95.82	74.56	96.82	71.60	95.88	10.42	14.94	96.65	67.03	14.93	-5.60	-20.10	74.92	99.54	47.57	97.00	91.43	16.94	14.15	22.66	76.29	35.31	22.16	0.42
BRD-K10467831	CP	tibolone	estrogen receptor agonist, androgen receptor agonist, progesterone receptor agonist, selective estrogen receptor modulator (SERM), steryl sulfatase inhibitor	AR, ESR1, PGR, STS	Androgen receptor modulator	6.17, 3.57	41.44	1.91, 0.58	5.04	11.05	11.25	36.10	8.53	66.71	8.84	-12.96	28.60	98.44	43.30	53.85	51.30	57.19	36.17	75.89	92.25	60.17	45.55	63.86	94.97	2.47	93.55	6.77	60.12	24.34	90.23	57.62	13.00	39.58	17.69	0.49
BRD-K13390322	CP	AT-7519	CDK inhibitor, cell cycle inhibitor	CDK2, CDK5, CDK1, CDK4, CDK6, CDK9	CDK inhibitor	1.95, 0.32	41.44	2.49, 0.85	-0.63	52.48	27.06	27.63	0.00	19.40	41.42	56.41	69.68	66.10	57.50	29.99	84.05	56.24	45.24	17.79	88.90	41.46	0.35	84.30	72.58	9.56	73.64	9.47	94.44	13.77	94.20	55.24	32.73	2.61	7.47	0.42
BRD-A48570745	CP	ivermectin	GABA receptor agonist, acetylcholine receptor allosteric modulator, GABA release stimulant, purinergic receptor allosteric modulator	CHRNA7, GABRB3, GLRA3, P2RX7		2.92, 1.62	41.41	1.89, 0.43	41.68	51.73	76.26	81.34	98.60	20.84	46.82	82.97	7.86	61.75	48.04	41.13	73.74	20.23	34.75	19.55	83.31	23.50	28.11	23.92	83.42	17.60	45.87	36.19	97.67	2.36	21.19	10.36	72.10	-25.87	18.03	98.63
BRD-A73581086	CP	ergometrine	adrenergic receptor stimulatant, serotonin receptor stimulant	ADRA1A, HTR1E, HTR2A		5.84, 3.25	41.40	0.98, 0.39	53.09	95.17	53.06	15.71	25.50	28.96	11.68	3.25	23.03	44.89	33.33	54.35	75.73	66.94	7.08	14.30	81.92	37.90	99.01	94.90	35.00	1.76	2.89	5.68	46.73	35.39	52.81	45.20	66.15	88.93	62.38	2.52
BRD-U25771771	CP	WZ-4-145	EGFR inhibitor	CSF1R, DDR1, EGFR, PDGFRA, TIE1	EGFR inhibitor	3.90, 1.30	41.39	1.70, 0.58	51.69	70.36	76.28	50.97	99.44	70.64	60.81	90.19	22.04	70.10	14.86	17.52	40.48	0.70	68.82	18.34	44.21	25.34	16.11	40.82	57.94	41.09	31.81	31.77	97.44	6.02	20.63	41.68	61.38	-31.58	9.56	99.37
BRD-K12357156	CP	AG-490	epidermal growth factor receptor (EGFR) inhibitor, ErbB2 and JAK2 inhibitor, JAK inhibitor	JAK2, JAK3, EGFR, STAT3		2.92, 1.62	41.33	1.31, 0.45	67.87	93.95	14.35	65.57	56.39	15.86	6.13	67.67	23.69	16.12	21.68	9.76	63.78	46.38	41.01	33.87	59.79	49.46	41.31	0.00	40.05	-5.29	77.54	33.17	87.86	37.30	18.13	47.73	41.34	84.44	68.50	81.05
