#1.3
2429	29	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A58048407-summary	BRD-K21680192-summary	BRD-A26711594-summary	BRD-K13646352-summary	BRD-K78485176-summary	BRD-A65280694-summary	BRD-K67080878-summary	BRD-A24228527-summary	BRD-A64977602-summary	BRD-A19736161-summary	BRD-K77771411-summary	BRD-K52020312-summary	BRD-K35960502-summary	BRD-K85606544-summary	BRD-A01787639-summary	BRD-K81528515-summary	BRD-K18895904-summary	BRD-K91263825-summary	BRD-K05395900-summary	BRD-K76775527-summary	BRD-K28912512-summary	BRD-A03623303-summary	BRD-K07237224-summary	BRD-K02113016-summary	BRD-K76810206-summary	BRD-K15502390-summary	BRD-K44353683-summary	BRD-K74141488-summary	BRD-A53576514-summary
BRD-K73293050	CP	WZ-3146	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor	EGFR		6.15, 1.54	39.05	1.74, 0.50	4.32	17.21	59.07	96.51	72.70	6.36	5.25	34.00	62.08	63.43	31.04	23.43	33.04	88.84	94.66	64.09	39.05	97.55	14.61	74.41	38.04	0.00	77.90	33.04	83.68	25.46	14.99	40.66	80.31
BRD-K81847782	CP	scandenin	plant compound with antimicrobiial activity			1.53, 0.00	39.03	0.79, 0.17	88.73	2.54	86.24	40.63	37.40	47.37	37.43	20.09	36.73	0.32	-73.23	83.42	7.85	71.37	96.86	6.01	92.02	26.22	33.08	25.24	31.20	80.76	54.84	NaN	56.57	76.39	4.72	94.82	83.68
BRD-K31542390	CP	mycophenolic-acid	dehydrogenase inhibitor, immunosuppressant, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor	IMPDH1, IMPDH2	IMPDH inhibitor	3.46, 2.31	38.96	0.92, 0.33	27.41	97.64	71.34	38.96	87.93	13.64	81.00	27.93	9.88	43.03	19.93	76.08	31.47	15.27	48.25	69.69	41.08	30.84	41.60	38.33	53.68	89.14	18.08	0.81	15.53	25.70	77.77	78.43	25.66
BRD-K54233340	CP	dorsomorphin	AMPK inhibitor, DNA damaging, TGF beta receptor inhibitor	ACVR1, BMPR1A, BMPR1B, EPHA2, FKBP1A, FLT1, FLT3, KDR, LCK, MKNK1, PRKAA1, RPS6KA1, SRC		6.92, 3.46	38.95	1.16, 0.24	38.95	98.41	95.99	90.12	87.07	26.35	48.47	-70.17	74.34	21.46	31.76	82.09	90.31	75.93	-43.05	98.94	22.16	88.16	35.24	29.08	82.17	54.15	36.35	-79.83	5.36	10.23	23.06	35.52	44.41
BRD-A18620900	CP	estriol	estrogen receptor agonist, estrogen receptor antagonist	ESR1, ESR2	Estrogen receptor agonist	4.08, 1.22	38.93	1.24, 0.34	89.91	56.78	38.93	55.76	43.38	42.58	7.61	61.83	81.59	33.58	6.37	39.32	3.21	2.01	85.42	23.14	90.80	21.23	83.94	29.92	15.04	68.27	36.57	4.19	35.24	68.28	28.92	-7.99	96.09
BRD-A68930007	CP	ouabain	ATPase inhibitor, alpha subunit binder	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, FXYD2	ATPase inhibitor	3.46, 1.54	38.92	2.09, 0.56	18.33	89.01	93.03	89.44	45.47	31.11	5.71	16.75	48.98	3.02	6.57	48.33	93.98	80.97	38.92	98.84	33.53	48.77	18.27	30.41	50.78	48.55	20.58	-0.49	-15.92	2.22	31.40	81.99	58.22
BRD-A99449986	CP	MT-21	adenine nucleotide translocase inhibitor, caspase activator, neurotrophic agent	CYCS, SLC25A4		3.08, 1.54	38.91	0.67, 0.20	20.59	31.33	32.20	47.19	52.20	79.98	-20.11	56.86	11.33	42.40	36.75	28.31	69.14	22.50	84.76	91.98	69.89	77.36	26.19	24.48	38.91	56.08	12.00	62.29	32.64	-11.60	44.60	8.21	44.55
BRD-K34995470	CP	SU-1498	receptor tyrosine protein kinase inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	ERBB2, KDR		3.46, 1.92	38.91	0.81, 0.25	65.73	4.33	7.32	80.56	2.86	40.68	65.32	38.91	10.63	23.25	14.13	34.36	81.43	37.48	39.02	99.54	1.43	71.71	53.00	82.34	20.43	29.04	14.69	91.09	58.49	87.54	38.28	53.86	16.45
BRD-K11663430	CP	pyroxamide	HDAC inhibitor, cell cycle inhibitor	HDAC1	HDAC inhibitor	0.77, 0.00	38.89	1.53, 0.64	5.81	66.40	43.80	37.09	17.48	26.18	31.73	7.40	11.76	14.76	38.89	80.78	67.74	62.02	61.66	80.14	73.12	71.40	14.48	38.19	59.24	45.32	24.54	-59.04	9.83	17.13	57.22	65.29	41.66
BRD-K51967704	CP	BIIB021	HSP inhibitor	AOX1, HSP90AA1	HSP inhibitor	3.85, 1.92	38.89	1.28, 0.52	11.66	73.63	30.43	23.98	69.44	-2.43	34.61	-26.04	3.39	42.26	10.01	60.12	65.16	95.94	45.34	98.59	53.83	30.84	41.43	56.63	45.64	5.21	42.53	3.89	38.89	2.78	52.46	1.60	7.75
BRD-A09472452	CP	flecainide	sodium channel blocker, sodium channel inhibitor, voltage-gated sodium channel blocker	SCN5A, KCNA5, KCNA7, SCN4A		2.31, 1.92	38.86	0.55, 0.09	89.38	-10.47	2.44	18.96	14.05	12.79	54.08	81.97	42.65	50.65	40.34	50.19	0.00	1.94	38.86	19.04	86.71	24.30	67.35	85.93	6.55	3.96	44.63	77.21	75.09	34.96	16.24	62.17	30.16
BRD-A82656074	CP	naltrindole	opioid receptor antagonist	OPRD1, OPRK1, OPRM1		5.00, 3.46	38.86	0.94, 0.36	9.13	59.71	41.91	38.86	38.22	44.84	30.57	87.49	13.01	33.99	54.73	52.14	10.60	41.17	-72.45	-0.63	52.03	62.90	14.74	48.50	64.32	36.30	-16.15	-99.89	99.93	35.09	8.36	72.99	60.52
BRD-K89162000	CP	tandutinib	FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor	FLT3, KIT, PDGFRA, PDGFRB, CSF1R, PDGFD	PDGFR/KIT inhibitor	3.85, 2.69	38.86	0.97, 0.28	14.45	15.88	68.75	47.34	43.48	3.80	16.39	25.97	8.12	45.39	14.19	38.67	-8.91	74.95	53.54	2.18	50.50	82.07	38.86	51.39	38.94	63.14	22.94	-15.59	59.83	49.04	27.20	62.69	34.84
BRD-K53913732	CP	SB-408124	orexin receptor antagonist, orexin type 1 receptor antagonist	HCRTR1, HCRTR2		5.00, 2.31	38.84	0.93, 0.22	74.29	-5.36	93.53	64.39	80.84	42.06	47.90	38.84	-53.10	12.82	8.76	34.73	21.30	9.78	99.00	21.42	99.30	26.93	0.25	95.87	3.70	91.83	31.62	99.68	77.05	27.64	41.78	18.91	53.32
BRD-A43671941	CP	oxprenolol	adrenergic receptor antagonist	ADRB1, ADRB2		6.53, 4.08	38.83	0.88, 0.22	98.38	27.82	90.95	6.41	45.99	3.87	38.83	38.20	52.74	44.57	56.56	32.25	4.23	4.30	96.42	2.64	81.07	23.59	31.09	44.83	15.92	22.04	30.40	62.79	65.31	77.61	25.92	43.68	50.91
BRD-K40578143	CP	GR-79236	adenosine receptor agonist	ADORA1, ADORA2A	Adenosine receptor agonist	6.54, 3.08	38.81	1.09, 0.34	26.49	13.26	-4.28	20.23	4.83	91.66	83.44	70.61	38.81	4.15	24.69	69.08	-2.82	33.53	78.47	-3.20	61.15	40.14	93.95	96.04	-13.10	98.87	26.52	94.06	23.29	67.17	32.56	66.77	97.53
BRD-A43331270	CP	niguldipine	adrenergic receptor antagonist, calcium channel blocker, calcium channel antagonist, calcium channel inhibitor	ADRA1A, CACNA1C, ADRA1B, ADRA1D		8.85, 4.23	38.80	2.22, 0.72	38.80	41.80	75.47	91.30	10.58	4.05	14.37	46.97	8.63	6.41	3.63	48.68	96.76	99.12	74.93	99.93	42.79	96.06	35.50	21.69	8.15	3.76	4.00	37.55	81.35	69.17	24.38	10.99	44.49
BRD-K47943470	CP	tyrphostin-51	EGFR inhibitor			4.62, 2.69	38.76	1.35, 0.39	40.45	30.10	6.61	46.08	0.63	88.35	67.49	98.56	98.69	4.58	10.47	30.23	-77.60	0.95	2.85	-74.90	22.82	39.43	38.76	36.65	-3.84	39.75	45.77	-78.45	95.78	45.81	74.91	81.60	87.69
BRD-K79930101	CP	GW-583340	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor, ErbB2 tyrosine kinase inhibitor, receptor tyrosine protein kinase inhibitor	EGFR, ERBB2		6.54, 4.23	38.76	0.94, 0.33	26.19	10.83	17.67	38.76	14.80	24.74	99.40	73.45	37.08	8.74	11.46	63.91	2.26	48.33	45.71	2.71	72.38	8.21	46.48	85.42	60.58	60.11	3.84	53.46	69.15	18.77	18.20	98.40	75.52
BRD-A45498368	CP	WYE-125132	mTOR inhibitor, PI3K inhibitor	MTOR, PIK3CA	MTOR inhibitor	7.31, 1.54	38.74	1.59, 0.50	8.96	48.23	63.79	93.03	39.72	12.49	3.49	31.28	6.74	19.51	38.74	95.58	90.10	75.92	88.64	99.54	94.43	92.95	5.85	43.13	12.69	45.89	8.10	-34.40	0.00	20.82	32.41	36.37	52.58
BRD-K47693913	CP	evoxine	antagonist of strychnine and pentylenetrazole; enhances effects of narcotics			1.54, 0.77	38.73	0.94, 0.32	15.31	-11.59	10.51	42.20	80.69	-12.69	18.72	49.03	3.59	39.24	38.73	16.48	-5.88	3.70	61.20	24.29	50.30	19.06	88.59	12.35	55.02	40.47	39.72	0.85	89.12	78.12	21.16	91.40	55.35
BRD-K34415467	CP	trimethobenzamide	histamine receptor antagonist	DRD2		3.08, 1.54	38.67	0.81, 0.31	4.85	23.93	49.40	8.10	80.57	10.61	21.10	74.14	9.80	38.67	73.77	58.45	1.48	9.44	65.06	0.53	86.54	32.76	68.34	68.24	47.13	50.02	11.85	-4.23	-26.34	73.05	22.98	84.40	49.77
BRD-K78485176	CP	olmesartan	angiotensin receptor antagonist, angiotensin antagonist	AGTR1	Angiotensin receptor antagonist	9.62, 6.54	38.67	0.98, 0.26	48.38	96.96	80.95	18.84	99.99	12.79	9.48	34.73	29.00	14.21	15.39	67.15	2.08	38.67	83.66	29.25	93.47	17.90	13.24	93.73	87.29	69.64	52.01	-65.84	-80.46	8.87	85.70	85.94	84.07
BRD-K34608650	CP	BRD-K34608650	cannabinoid receptor agonist	CNR2		5.38, 2.69	38.64	1.24, 0.35	76.84	14.46	91.27	6.03	82.67	88.88	20.11	70.10	57.39	4.12	6.21	15.72	1.30	7.33	99.47	18.06	96.08	4.06	52.99	97.60	38.54	92.83	38.64	-26.26	-0.46	41.01	37.17	74.36	63.10
BRD-K19796430	CP	erismodegib	hedgehog pathway inhibitor, smoothened receptor antagonist	SMO		3.08, 2.31	38.61	2.52, 0.73	9.55	84.36	99.89	10.54	74.19	27.51	29.46	-25.00	43.68	24.77	34.06	52.73	-10.60	46.06	45.36	6.51	74.45	30.76	-76.54	42.61	90.05	38.61	61.13	-99.93	18.17	6.07	49.39	49.11	96.08
BRD-K35960502	CP	niclosamide	DNA replication inhibitor, STAT inhibitor	STAT3		8.46, 5.38	38.61	2.25, 0.74	38.71	85.05	53.70	99.12	82.46	16.14	-20.00	-32.49	15.79	32.42	22.41	67.32	99.97	99.15	85.76	99.93	76.64	97.85	25.86	38.61	26.02	24.78	36.50	29.58	81.36	52.48	23.33	12.49	33.76
BRD-A20968261	CP	WAY-213613	glutamate transporter inhibitor	SLC1A2		2.69, 0.77	38.60	0.76, 0.27	36.71	10.31	2.11	38.69	4.62	62.74	86.98	72.72	5.88	90.70	21.51	9.78	0.00	17.64	63.67	2.54	53.82	13.28	60.29	55.82	57.95	44.40	12.12	38.60	68.28	83.82	25.94	85.34	0.53
BRD-K89930444	CP	AG-592	tyrosine kinase inhibitor			5.77, 3.08	38.59	1.82, 0.48	38.59	81.76	6.79	94.83	60.16	7.68	3.46	42.01	30.81	1.42	55.52	25.77	99.01	96.84	26.72	99.96	19.89	86.41	34.58	78.26	20.40	39.92	17.63	-0.85	50.50	0.00	15.80	62.79	64.18
BRD-K18757346	CP	U-46619	thromboxane receptor agonist	PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R		3.85, 2.31	38.57	0.91, 0.20	29.62	14.92	47.45	37.79	28.26	5.95	17.98	52.75	38.57	5.73	8.50	46.91	0.00	1.97	68.20	2.71	51.65	58.40	43.65	90.06	9.08	49.10	94.03	15.28	36.26	79.25	71.46	57.00	76.74
BRD-A36318220	CP	necrostatin-1	RIPK inhibitor, indoleamine 2,3-dioxygenase inhibitor	IDO1, KRR1, RIPK1		2.69, 1.15	38.56	0.58, 0.11	82.84	-22.14	31.76	57.52	31.69	3.81	59.42	81.90	38.56	75.19	67.37	34.40	15.80	34.62	30.67	15.84	89.40	53.65	28.12	76.85	33.46	33.77	43.52	-0.04	74.29	77.93	21.35	88.98	70.68
BRD-K90524085	CP	MY-5445	phosphodiesterase inhibitor, platelet aggregation inhibitor	PDE5A		4.23, 2.31	38.56	0.70, 0.18	10.35	38.56	74.66	71.33	47.59	41.98	25.37	25.74	91.19	88.08	4.66	27.21	37.68	41.93	84.27	30.25	84.53	35.91	27.71	59.70	61.50	92.22	15.07	-95.11	30.16	6.03	33.70	99.40	90.87
BRD-A53952395	CP	prilocaine	anesthetic	SCN5A		6.53, 3.67	38.54	1.05, 0.44	11.85	16.61	70.72	7.76	8.70	36.23	74.80	99.65	10.29	89.64	17.84	85.66	0.99	1.76	84.55	3.14	68.50	0.99	61.89	81.06	46.77	38.54	27.75	99.08	-44.64	64.49	6.23	59.86	95.46
BRD-K90543092	CP	levonorgestrel	estrogen receptor agonist, glucocorticoid receptor antagonist, progesterone receptor agonist, progesterone receptor antagonist	PGR, AR, CYP2E1, ESR1, SRD5A1	Progesterone receptor agonist	4.49, 2.04	38.54	1.13, 0.44	1.50	46.47	13.37	57.71	37.03	32.96	95.82	62.29	29.97	13.50	32.03	45.72	20.71	46.31	92.94	10.82	50.24	11.37	52.99	11.19	61.02	38.54	65.24	-42.35	5.89	81.18	27.14	47.09	70.37
BRD-K12244279	CP	MEK1-2-inhibitor	MEK inhibitor	MAP2K1, MAP2K2	MEK inhibitor	3.08, 1.15	38.53	1.14, 0.49	11.31	22.02	5.18	79.26	20.49	51.27	30.26	53.61	24.92	45.49	13.88	69.27	0.00	88.21	85.59	12.15	40.44	83.38	8.15	65.81	45.76	39.14	38.53	1.49	19.40	35.99	59.41	29.38	89.58
BRD-K49328571	CP	dasatinib	KIT inhibitor, src inhibitor, Bcr-Abl kinase inhibitor, ephrin receptor inhibitor, PDGFR tyrosine kinase receptor inhibitor, yes kinase inhibitor, Abl kinase inhibitor, Bruton's tyrosine kinase (BTK) inhibitor, discoidin domain containing receptor Inhibitor, lymphocyte specific tyrosine kinase inhibitor, tyrosine kinase inhibitor	ABL1, FYN, LCK, SRC, KIT, YES1, BCR, EPHA2, LYN, PDGFRB, ABL2, BTK, DDR1, DDR2, PDGFRA, STAT5B	SRC inhibitor	5.77, 3.08	38.53	1.44, 0.53	50.02	73.79	36.70	99.19	19.98	35.98	0.95	-11.42	77.18	17.44	0.74	92.49	61.70	92.32	98.11	86.69	37.18	94.43	21.45	88.28	38.53	12.63	13.36	-61.50	35.78	48.49	29.66	39.36	96.09
BRD-A15034104	CP	bergenin	anti-arthritic compound that modulates Th1/Th2 cytokine balance	PTPN1		6.12, 4.08	38.52	1.19, 0.32	63.91	20.12	70.27	8.48	47.92	90.51	22.61	24.17	35.07	55.34	71.85	72.83	1.20	33.76	45.92	3.07	56.62	21.25	99.19	69.67	38.52	90.84	96.30	-6.95	-6.29	35.19	24.32	40.67	4.53
BRD-K79404599	CP	enzastaurin	PKC inhibitor, AKT inhibitor, angiogenesis inhibitor, apoptosis stimulant, PI3K inhibitor	PRKCB, AKT1, GSK3B, PRKCA, PRKCD, PRKCG	PKC inhibitor	2.69, 0.77	38.49	0.86, 0.27	16.83	75.51	63.58	61.65	33.55	41.86	8.84	38.62	12.62	71.43	18.26	48.43	36.43	92.18	47.33	90.71	84.80	72.12	19.96	23.80	34.46	38.49	1.83	17.93	77.81	26.03	30.66	34.72	61.07
BRD-A02333338	CP	cyclopamine	smoothened receptor antagonist, hedgehog pathway inhibitor	SMO, DHH, IHH, PTCH1		4.62, 1.54	38.47	1.39, 0.55	29.35	98.34	27.00	34.55	85.55	92.72	43.68	96.66	21.50	38.47	0.00	46.98	0.00	28.55	36.33	6.72	64.07	71.36	26.26	61.24	51.37	25.60	68.92	-76.69	0.67	5.89	73.45	65.74	96.90
BRD-A46179541	CP	doxapram	potassium channel blocker	KCNK3, KCNK9	Potassium channel blocker	3.46, 2.31	38.47	1.13, 0.48	14.42	-3.77	7.99	40.83	44.57	22.47	5.57	53.46	-0.99	75.23	7.84	55.84	8.71	54.48	90.85	20.33	88.43	73.92	27.43	50.49	59.59	72.82	38.47	2.22	37.07	67.29	19.56	50.50	15.78
BRD-K68332390	CP	ponalrestat	aldose reductase inhibitor, reductase inhibitor	AKR1B1		3.08, 1.54	38.43	1.34, 0.30	35.67	8.28	28.26	24.83	59.52	3.59	64.87	46.37	11.91	49.70	43.79	38.43	2.82	5.29	42.33	6.83	60.48	13.83	39.00	91.81	42.77	31.63	71.93	86.80	62.48	12.13	26.50	80.81	3.07
BRD-K07881437	CP	danusertib	Aurora kinase inhibitor, growth factor receptor inhibitor, Abl kinase inhibitor, Bcr-Abl kinase inhibitor, FGFR inhibitor, mitotic inhibitor, protein kinase inhibitor, RET tyrosine kinase inhibitor	AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, BCR, SLK	Aurora kinase inhibitor	4.62, 1.92	38.42	2.02, 0.48	34.41	87.39	47.75	94.95	83.69	22.07	13.27	38.42	54.98	28.32	5.84	31.30	31.18	15.27	95.69	3.27	72.72	78.90	57.52	54.33	71.72	19.99	58.40	4.54	77.13	6.59	34.43	16.73	58.24
BRD-K65285700	CP	BRD-K65285700	cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist	3.08, 1.92	38.40	0.86, 0.26	54.41	9.13	8.50	75.47	8.85	69.05	12.08	38.40	61.91	15.00	27.62	59.51	57.43	39.98	29.99	94.94	90.16	85.75	18.79	94.98	38.32	81.63	-6.69	0.78	48.88	7.14	8.83	66.19	37.81
BRD-K40965114	CP	cyanopindolol	adrenergic receptor antagonist	HTR1D		3.27, 2.04	38.38	1.40, 0.47	38.38	19.05	77.27	25.51	27.35	25.83	9.21	37.22	53.70	92.07	65.03	89.59	-2.71	22.58	99.08	6.76	46.74	40.61	73.02	57.18	25.48	50.75	73.98	16.40	31.82	77.07	7.19	24.89	50.07
BRD-K57304726	CP	PRE-084	alpha receptor agonist, sigma receptor agonist	SIGMAR1		5.38, 2.69	38.36	0.73, 0.20	77.35	19.13	99.40	13.30	56.04	18.95	21.63	63.12	22.21	42.83	13.49	52.39	1.48	3.70	99.19	17.44	91.16	30.04	22.93	65.10	82.27	82.51	40.29	1.87	28.12	28.66	38.36	91.54	63.56
BRD-A03216249	CP	mepivacaine	potassium channel antagonist, voltage-gated sodium channel blocker	SCN10A, SCN9A		5.00, 2.31	38.35	1.41, 0.36	66.34	84.99	84.03	22.45	68.96	66.68	0.99	20.53	20.56	41.21	61.79	49.94	5.19	31.31	52.63	0.00	35.31	14.59	45.06	75.41	89.25	26.41	83.43	30.71	38.35	91.67	34.95	8.49	20.15
BRD-K85606544	CP	neratinib	EGFR inhibitor, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, ERBB4, KDR	EGFR inhibitor	9.62, 6.92	38.35	1.48, 0.31	15.81	63.99	32.58	94.86	59.96	30.67	7.55	-68.25	8.88	96.00	2.85	68.43	92.39	99.99	37.69	99.93	22.48	95.53	65.62	26.10	57.58	48.64	33.77	39.53	81.70	16.03	38.35	7.60	27.25
BRD-A66199457	CP	asiaticoside	possible antitumor agent			5.71, 3.27	38.34	1.50, 0.44	99.47	39.45	99.23	30.69	2.53	99.54	25.41	27.93	45.22	67.88	87.64	88.58	0.00	23.10	9.53	5.89	74.31	46.25	98.07	84.21	9.07	70.69	29.65	-4.23	38.34	35.91	11.06	9.91	90.92
BRD-K88625236	CP	nonoxynol-9	interacts with the lipids in the membranes of the acrosome and the midpiece of the sperm			5.00, 2.31	38.32	1.23, 0.22	71.79	61.77	66.44	94.71	68.82	18.89	28.77	56.53	17.98	38.32	47.41	93.49	91.98	81.43	36.40	99.93	12.35	75.46	23.86	32.02	74.96	67.40	-0.75	-27.85	20.32	22.77	29.19	27.19	10.86
BRD-U94846492	CP	quinine	cytochrome P450 inhibitor, hemozoin biocrystallization inhibitor, P glycoprotein inhibitor	KCNN4, ABCB1, CYP2D6, GP9, KCNB2, SLC29A4		3.08, 1.15	38.32	2.16, 0.49	65.69	-10.18	93.24	7.89	34.54	12.79	78.92	70.96	38.32	20.06	84.75	79.34	3.34	77.12	85.38	-26.07	89.98	10.66	20.07	55.37	26.88	68.35	15.19	7.76	7.61	87.61	82.01	85.87	30.24
BRD-K32318651	CP	acyclovir	DNA polymerase inhibitor, DNA directed DNA polymerase inhibitor	PNP		8.46, 4.62	38.31	1.99, 0.50	19.64	61.77	83.98	18.18	39.14	7.12	66.13	-31.84	12.55	99.89	71.57	52.13	8.36	10.89	76.92	26.02	76.85	32.24	97.59	-26.25	96.86	48.37	33.49	-20.68	0.78	72.52	27.15	62.91	38.31
BRD-A73605923	CP	mocimycin	protein synthesis inhibitor			5.38, 3.46	38.28	0.90, 0.30	11.33	-40.60	38.28	20.64	17.53	29.61	13.47	51.35	11.93	45.11	25.58	49.19	2.82	14.55	70.33	1.90	97.89	43.04	14.41	65.71	12.29	91.97	63.32	99.86	54.62	69.66	21.91	63.22	50.98
BRD-K85015012	CP	NNC-05-2090	GABA uptake inhibitor, GAT inhibitor	SLC6A11, SLC6A12, SLC6A13		9.62, 6.54	38.25	1.48, 0.51	23.38	20.61	95.72	94.53	11.44	10.67	33.93	43.51	68.30	10.83	31.93	50.98	88.61	98.52	62.90	98.97	46.09	99.40	17.31	31.94	32.90	7.48	2.57	-2.47	99.19	38.25	56.50	27.95	90.65
BRD-K08219523	CP	5-nonyloxytryptamine	serotonin receptor agonist	HTR1B, HTR1D		8.46, 4.62	38.24	1.58, 0.38	54.04	24.05	90.49	97.02	29.09	75.43	11.99	53.20	63.14	16.41	69.62	71.98	97.28	99.79	74.89	99.93	25.84	98.20	34.61	22.05	13.29	27.99	-6.84	-14.00	77.14	30.40	38.24	7.01	22.04
BRD-K82381502	CP	acetylcholine	neurotransmitter of the peripheral and central nervous systems	ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2		4.90, 2.45	38.24	2.52, 0.67	30.16	92.83	55.16	35.97	77.08	74.24	82.55	-79.55	17.07	27.12	17.13	57.58	1.16	31.00	96.50	81.95	81.85	14.00	83.17	8.89	55.89	39.46	27.49	7.61	29.56	86.82	38.24	43.48	20.90
BRD-K69837166	CP	trap-101	nociceptin/orphanin FQ (NOP) receptor antagonist, opioid receptor antagonist	OPRL1		6.54, 2.69	38.23	0.89, 0.22	-2.57	17.16	44.82	7.87	98.10	14.14	-3.87	17.71	35.84	38.21	58.45	38.23	10.66	44.25	91.52	97.33	63.51	33.29	-25.68	94.38	78.42	85.36	-15.15	0.00	14.90	49.01	58.53	99.72	75.22
BRD-K64402243	CP	ivachtin	caspase inhibitor	CASP3		4.23, 2.69	38.20	1.60, 0.39	41.99	-34.90	6.76	30.95	42.77	32.43	96.62	51.64	80.68	35.91	99.72	75.48	1.87	14.17	26.16	-91.24	-35.92	5.54	75.56	93.18	8.95	46.77	12.15	69.83	48.33	96.83	38.20	90.08	3.17
BRD-A97739905	CP	ketoprofen	cyclooxygenase inhibitor	PTGS2, PTGS1, CXCR1, SLC5A8		6.92, 2.69	38.19	1.07, 0.39	3.35	24.92	97.44	3.77	73.58	38.19	7.82	96.42	52.68	65.36	91.66	5.53	2.29	2.36	98.87	5.94	99.31	30.59	54.50	95.54	38.05	37.41	58.52	62.04	-19.23	52.11	38.11	3.96	92.96
BRD-A87606379	CP	nadolol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRB3		5.00, 2.31	38.18	0.72, 0.11	40.42	35.18	1.23	26.04	38.18	19.30	74.00	92.24	23.35	37.12	58.51	69.18	-1.09	22.14	82.65	1.83	49.56	2.62	27.80	84.16	51.88	72.78	38.57	16.21	18.55	63.00	10.79	69.63	64.62
BRD-K68756823	CP	FR-180204	MAP kinase inhibitor	MAPK1, MAPK3		6.54, 4.62	38.18	0.89, 0.24	10.36	47.23	10.01	38.18	71.08	0.03	16.74	17.24	13.89	97.99	85.75	30.39	10.67	75.83	65.09	94.98	86.78	63.87	32.00	71.90	89.65	77.85	29.58	33.54	60.20	27.70	80.59	2.04	16.74
BRD-A13946108	CP	sulindac	ABC transporter expression enhancer, cyclooxygenase inhibitor, NFkB pathway inhibitor	AKR1B1, PTGS1, PTGS2, MAPK3, PPARD, PTGDR2		5.31, 1.22	38.17	1.27, 0.35	5.58	38.17	37.02	52.85	50.35	5.78	6.74	74.26	20.29	20.18	47.32	81.71	2.82	-10.12	81.02	2.75	97.25	41.58	45.89	51.42	-9.34	4.33	57.73	99.19	11.35	94.77	17.78	22.74	67.26
BRD-K98157055	CP	SIB-1757	glutamate receptor antagonist	GRM5		6.92, 4.23	38.16	1.11, 0.28	-24.43	95.48	99.51	14.71	97.68	40.33	18.29	27.42	10.64	38.16	26.92	36.04	-3.14	57.09	-8.95	52.11	93.29	24.95	63.19	90.86	83.07	89.40	63.58	-0.88	20.30	26.32	67.25	73.50	21.76
BRD-K31912990	CP	CGP-71683	neuropeptide receptor antagonist	NPY5R		8.46, 5.00	38.09	1.72, 0.61	67.06	57.83	82.72	98.62	73.72	2.85	-26.35	29.90	13.07	13.50	15.37	75.01	99.37	99.12	54.99	99.96	73.68	98.48	9.13	21.45	22.16	5.30	6.20	14.45	81.03	38.09	47.55	32.31	17.79
BRD-A48809242	CP	IB-MECA	adenosine receptor agonist, granulocyte colony stimulating factor agonist	ADORA3, ADORA1, ADORA2A, ADORA2B	Adenosine receptor agonist	5.71, 2.45	38.03	0.89, 0.24	96.24	-10.68	71.05	8.53	-29.23	93.34	8.30	61.87	99.68	49.92	3.00	29.55	1.83	19.75	67.05	2.64	49.63	62.16	57.88	84.52	38.35	14.07	-8.97	63.13	35.24	14.32	16.44	38.03	45.68
BRD-K49294207	CP	BIBU-1361	EGFR inhibitor	EGFR	EGFR inhibitor	9.39, 4.90	38.03	1.69, 0.69	3.77	38.03	78.43	95.48	13.59	3.04	10.27	13.92	19.99	63.26	25.83	85.14	95.88	99.89	69.32	99.47	46.26	98.99	15.82	64.08	34.92	4.72	32.38	0.00	58.23	46.45	70.57	7.20	15.94
BRD-A64227845	CP	SKF-77434	dopamine receptor agonist, dopamine receptor partial agonist	DRD1		3.46, 2.69	37.94	0.84, 0.34	6.75	94.56	53.89	29.43	89.14	3.88	96.56	37.94	99.24	25.29	77.95	87.81	-5.87	32.20	35.39	-6.36	-15.21	14.75	91.01	44.62	55.76	19.71	67.65	-86.35	81.17	65.52	62.89	34.66	37.22
BRD-K71289571	CP	zafirlukast	leukotriene receptor antagonist	CYSLTR1, CYSLTR2		4.90, 2.86	37.94	0.97, 0.27	76.56	26.82	8.05	17.18	23.65	21.59	95.86	49.35	8.88	39.24	6.09	76.45	4.98	37.94	93.94	53.09	81.35	34.65	92.98	6.13	24.60	94.81	61.32	7.10	37.02	87.73	82.68	76.89	32.87
