#1.3
2429	14	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K73196317-summary	BRD-K45158365-summary	BRD-K81418486-summary	BRD-K56343971-summary	BRD-K72093121-summary	BRD-A09533288-summary	BRD-K40227168-summary	BRD-K29582115-summary	BRD-A24514565-summary	BRD-A56359832-summary	BRD-K41260949-summary	BRD-K71289571-summary	BRD-K53318339-summary	BRD-K13926615-summary
BRD-A19248578	CP	latrunculin-b	actin destabilizer, unidentified pharmacological activity	ACTA1, MKL1, SPIRE2		8.26, 5.79	50.26	1.32, 0.42	70.50	52.34	98.98	93.73	46.34	8.72	84.01	92.17	15.92	31.36	-11.75	48.18	-12.12	64.91
BRD-A48430263	CP	pioglitazone	PPAR receptor agonist, insulin sensitizer, adiponectin expression enhancer, thiazolidinedione	PPARG, INS, TRPM3	PPAR receptor agonist	7.94, 2.38	50.24	0.41, 0.10	45.05	21.91	1.37	5.34	50.24	14.03	40.54	71.76	99.72	77.29	86.83	95.38	80.71	50.24
BRD-A52588987	CP	SKF-83566	dopamine receptor antagonist	DRD1, DRD5		4.96, 3.31	50.23	0.19, 0.01	92.03	11.62	5.19	69.79	38.53	41.15	75.79	71.09	81.65	26.37	35.47	60.26	1.76	59.30
BRD-K46056750	CP	AZD-7762	CHK inhibitor	CHEK1, CHEK2		1.59, 0.79	50.19	1.49, 0.57	77.04	37.17	91.15	95.55	7.95	20.77	73.16	9.06	28.56	22.02	-34.21	85.48	63.21	74.00
BRD-K73196317	CP	urapidil	adrenergic receptor antagonist, serotonin receptor agonist	HTR1A		14.41, 9.91	50.10	1.93, 0.51	99.99	25.15	23.14	37.93	98.77	33.52	77.39	56.82	69.98	99.79	-4.52	-15.99	43.38	86.94
BRD-A47144777	CP	dihydro-7-desacetyldeoxygedunin	HSP90 inhibitor	HSP90AA1		4.96, 4.13	50.06	1.03, 0.27	22.21	10.91	4.91	60.34	16.66	69.07	83.88	57.78	67.10	42.49	51.03	49.08	34.21	58.24
BRD-A92537424	CP	danazol	estrogen receptor antagonist, luteinizing hormone releasing hormone antagonist, progesterone receptor agonist, steroid derivative with antigonadotropic and anti-estrogenic activities, tumor necrosis factor modulator	ESR1, GNRHR, AR, CCL2, CYP2C8, GNRHR2, PGR, TNF		7.14, 3.97	50.01	1.02, 0.32	-21.36	99.05	1.90	15.60	43.90	68.53	71.10	78.48	11.81	39.40	62.34	30.15	88.94	56.12
BRD-K88560311	CP	rucaparib	PARP inhibitor	PARP1, PARP2	PARP inhibitor	7.14, 3.97	50.01	1.41, 0.26	38.02	55.27	0.60	24.14	94.52	98.14	88.41	4.19	85.39	47.98	91.33	10.04	36.70	52.04
BRD-K62206109	CP	VUF-5681	histamine receptor antagonist	HRH3		7.14, 3.17	49.96	0.89, 0.35	57.84	99.05	1.48	19.43	28.10	42.08	66.78	82.94	38.25	11.14	59.43	92.46	91.06	-0.53
BRD-K93258693	CP	GW-9662	PPAR receptor antagonist	PPARG, NCOA2, RXRA		6.35, 4.76	49.95	1.00, 0.25	53.74	46.16	1.58	23.00	36.55	100.00	37.75	40.09	84.60	85.22	82.63	79.57	85.49	12.76
BRD-K18036262	CP	L-168049	glucagon receptor antagonist, human glucagon receptor antagonist	GCGR		7.44, 1.65	49.94	1.31, 0.35	22.27	46.44	8.05	95.10	97.49	57.22	97.09	78.37	38.76	53.45	36.07	80.21	42.83	20.02
BRD-A56675431	CP	altizide	thiazide diuretic		Na-K-Cl transporter inhibitor	5.79, 3.31	49.92	1.28, 0.43	47.07	9.86	0.00	6.05	6.80	97.33	90.81	89.53	98.94	30.82	73.34	33.46	53.91	52.78
BRD-K85090592	CP	pilocarpine	acetylcholine receptor agonist	CHRM3, CHRM1, CHRM2, CHRM4, CHRM5		6.31, 4.50	49.90	1.15, 0.33	93.93	99.89	0.39	83.52	72.17	37.22	34.08	62.57	20.38	91.80	11.73	86.91	22.12	10.59
BRD-K48367671	CP	febuxostat	xanthine oxidase inhibitor	XDH		4.76, 3.17	49.88	0.91, 0.20	21.47	4.05	17.60	-7.81	28.69	98.91	87.87	7.86	98.51	64.91	93.52	82.28	80.13	34.85
BRD-K66412701	CP	pazufloxacin	topoisomerase inhibitor			8.11, 4.50	49.88	1.58, 0.75	95.95	54.68	0.18	33.87	11.21	93.98	55.89	86.23	17.21	99.82	33.07	11.88	45.08	59.28
BRD-K24681473	CP	YM-155	survivin inhibitor, XIAP expression inhibitor	BIRC5		0.00, 0.00	49.86	2.30, 0.64	63.05	43.26	86.94	72.50	56.46	2.64	71.63	92.46	3.56	83.34	-18.43	30.16	-42.87	22.67
BRD-K42098891	CP	protriptyline	tricyclic antidepressant (TCA)	SLC6A2, SLC6A4	Tricyclic antidepressant	4.76, 1.59	49.85	1.17, 0.33	14.57	87.27	18.55	22.10	5.67	78.53	44.94	64.33	54.76	12.22	84.55	17.80	65.79	83.56
BRD-K00662280	CP	CL-218872	GABA receptor agonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2		6.35, 3.97	49.84	1.31, 0.27	53.06	24.20	27.11	18.77	92.09	48.68	88.00	83.47	68.47	47.97	22.84	50.99	98.63	24.48
BRD-K35430135	CP	SR-59230A	adrenergic receptor antagonist	ADRB3, ADRB1, ADRB2		4.76, 2.38	49.83	0.66, 0.16	68.14	58.85	25.95	90.62	40.00	89.39	40.14	64.58	26.84	46.57	77.91	19.50	53.09	40.45
BRD-K66782112	CP	BRD-K66782112	histamine receptor antagonist	HRH2		7.14, 3.17	49.83	1.41, 0.41	75.70	23.38	2.40	56.82	96.65	39.71	42.83	99.65	-11.13	30.01	-33.09	78.62	68.39	78.88
BRD-K90524085	CP	MY-5445	phosphodiesterase inhibitor, platelet aggregation inhibitor	PDE5A		5.56, 2.38	49.83	0.70, 0.18	28.65	84.18	60.17	85.53	48.32	100.00	94.25	51.33	18.20	11.70	26.73	42.26	82.29	21.40
BRD-K73838513	CP	cinacalcet	calcimimetic that activates calcium-sensing receptors	CASR		2.38, 2.38	49.78	1.19, 0.41	48.22	52.42	-68.86	15.06	25.96	93.45	49.23	62.64	88.17	62.34	41.57	48.86	61.92	50.33
BRD-K37447567	CP	hydrocotarnine	non-narcotic opium alkaloid used in cancer pain treatment			5.79, 2.48	49.76	1.43, 0.45	49.00	87.68	4.09	25.90	50.53	85.85	83.41	59.39	71.17	16.96	46.36	18.02	51.33	2.54
BRD-K31054881	CP	BMY-7378	serotonin receptor antagonist, adrenergic receptor antagonist	HTR1A, ADRA1D, ADRA1A, ADRA1B		7.94, 3.97	49.75	1.25, 0.47	55.10	25.11	5.51	18.36	49.24	99.58	49.31	87.26	26.05	50.18	45.77	80.48	97.82	58.99
BRD-K16554956	CP	PTB1	AMPK activator, tyrosine phosphatase inhibitor	PTPN1		7.14, 3.97	49.74	0.93, 0.32	54.62	94.29	-25.37	15.92	27.15	91.66	48.83	50.64	62.46	60.88	99.05	37.77	30.56	33.18
BRD-K54416256	CP	methimazole	antithyroid Drugs	TPO		11.57, 9.09	49.73	0.90, 0.34	27.33	1.81	38.81	52.89	98.71	46.77	52.68	8.84	99.61	35.47	56.25	97.55	12.73	58.02
BRD-K03670461	CP	tyrphostin-AG-82	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR, LCK		5.56, 2.38	49.66	0.80, 0.15	85.90	76.45	9.59	46.76	26.74	62.13	92.71	29.57	50.07	40.76	34.62	49.26	94.92	71.34
BRD-K01253243	CP	SB-590885	RAF inhibitor	BRAF	RAF inhibitor	6.35, 3.17	49.62	0.90, 0.41	72.59	25.44	89.67	67.27	61.69	17.99	74.59	84.69	17.29	48.22	8.44	51.02	9.96	36.06
BRD-K22193694	CP	dioxybenzone	topical sunscreen agent			2.38, 1.59	49.61	0.84, 0.14	86.46	3.61	1.37	33.42	67.48	45.45	90.49	60.24	22.57	39.35	32.02	53.77	84.78	66.88
BRD-K56429665	CP	calcipotriol	vitamin D receptor agonist	VDR	Vitamin D receptor agonist	2.48, 2.48	49.60	1.07, 0.26	67.08	13.44	60.35	49.03	60.79	36.66	94.89	50.18	16.34	20.28	-48.47	61.87	39.74	59.13
BRD-K38903228	CP	hesperidin	free radical scavenger	CACNA1B		8.73, 5.56	49.57	1.34, 0.50	50.53	67.63	2.84	35.50	91.66	98.60	75.80	48.61	35.67	24.64	32.29	32.14	98.28	68.68
BRD-A39415247	CP	norethisterone	ovulation inhibitor	PGR	Progesterone receptor agonist	3.17, 2.38	49.53	0.76, 0.27	11.78	41.82	19.74	46.82	76.50	21.66	88.19	72.27	22.24	68.46	65.25	17.46	60.19	52.24
BRD-K16977723	CP	PP-3	EGFR kinase inhibitor			3.17, 1.59	49.52	0.85, 0.35	6.59	47.88	0.42	29.68	61.45	74.00	62.30	87.18	54.15	13.51	51.15	35.00	80.26	11.38
BRD-K33211335	CP	dextromethorphan	glutamate receptor antagonist, sigma receptor agonist	SIGMAR1, CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, CYP3A5, GRIN1, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SLC6A2, SLC6A4		3.17, 1.59	49.51	0.61, 0.14	23.61	8.23	0.09	55.76	46.03	49.74	77.27	49.28	20.81	33.45	55.23	82.10	56.70	70.21
BRD-K96084870	CP	DMBI	platelet-derived growth factor receptor (PDGFR) inhibitor, tyrosine kinase inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor	PDGFRB		4.76, 3.17	49.50	0.66, 0.17	34.79	45.85	6.06	50.00	48.99	50.40	75.23	96.83	35.77	1.48	18.15	72.78	69.45	50.41
BRD-K44779798	CP	miglitol	glucosidase inhibitor, sodium/glucose cotransporter activator	GAA, MGAM, GANAB, GANC, SLC5A4		7.21, 2.70	49.48	1.74, 0.57	99.85	18.98	11.03	38.43	33.09	97.48	74.90	86.49	48.68	96.83	69.32	29.93	36.24	50.28
BRD-K53263234	CP	CITCO	constitutive androstane receptor (CAR) agonist	NR1I3		4.96, 3.31	49.48	1.18, 0.35	28.93	32.76	-1.69	74.92	72.60	43.28	90.92	36.76	83.02	83.12	39.34	21.18	75.92	55.68
BRD-K46317332	CP	proadifen	nitric oxide synthase inhibitor, cytochrome P450 inhibitor, potassium channel blocker	NOS1		3.17, 0.79	49.44	0.60, 0.16	60.02	50.39	41.84	48.84	14.24	94.28	80.47	43.54	35.53	32.56	70.37	50.05	45.24	50.93
BRD-K39462424	CP	dexchlorpheniramine	histamine receptor antagonist			5.56, 3.17	49.44	1.17, 0.39	93.79	71.34	30.00	11.09	58.05	55.04	93.18	71.71	41.93	25.57	-22.22	17.44	43.84	99.86
BRD-K07762753	CP	aminopurvalanol-a	CDK inhibitor, tyrosine kinase inhibitor	CDK1, CDK2, CDK5, CDK6	CDK inhibitor	4.76, 1.59	49.42	1.91, 0.49	66.95	6.76	97.31	98.38	77.70	8.99	77.15	58.39	-23.72	12.34	-11.06	64.32	3.88	40.46
BRD-K28183345	CP	proguanil	dihydrofolate reductase inhibitor	CYP2C19, DHFR		7.14, 3.97	49.35	0.90, 0.27	42.04	97.58	12.17	35.71	93.47	93.09	-2.28	53.50	7.33	24.90	56.16	50.67	66.40	48.04
BRD-K30697463	CP	desoximetasone	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	3.97, 0.79	49.35	1.52, 0.51	90.37	74.99	0.74	4.19	7.77	23.29	29.96	75.58	36.21	64.65	88.67	46.76	51.94	87.96
BRD-K76723084	CP	isotretinoin	retinoid receptor agonist, microbial collagenase inhibitor, protein synthesis inhibitor, RAR agonist	CYP2B6, CYP2C19, CYP2C8, CYP3A5, CYP3A7, NR2C2, PPARD, RARA, RARB, RARG, RORB, RORC	Retinoid receptor agonist	12.70, 5.56	49.33	0.82, 0.27	32.60	34.64	1.94	84.50	98.59	64.02	83.71	-84.81	78.70	15.80	-30.13	94.27	95.64	9.12
BRD-K69556541	CP	ryanodine	calcium channel inhibitor	RYR1, RYR2, RYR3		6.35, 3.97	49.31	1.49, 0.45	17.77	33.33	4.61	26.04	56.65	47.53	51.10	58.42	19.75	59.33	38.71	78.52	77.12	67.15
BRD-K40758068	CP	efavirenz	HIV reverse transcriptase inhibitor, non-nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor	CYP2B6, CYP2C19, CYP2C8, CYP3A4, CYP3A5		6.31, 2.70	49.27	0.74, 0.20	97.15	50.44	0.32	60.68	39.21	48.11	63.29	63.58	-0.39	33.76	19.50	69.08	78.96	30.70
BRD-K66707493	CP	lawsone	coloring agent			2.38, 1.59	49.26	0.91, 0.26	15.25	90.01	8.48	64.06	64.32	37.56	6.45	60.96	5.55	25.99	91.00	85.34	62.45	13.36
BRD-K09635314	CP	M-3M3FBS	phospholipase activator	PLCB2, PLCB3, PLCD1, PLCG1, PLCG2		5.56, 3.17	49.25	0.63, 0.10	51.07	32.10	2.33	31.76	90.47	60.07	95.01	23.89	47.44	30.85	84.01	68.88	94.61	21.38
BRD-K06593056	CP	LE-135	retinoid receptor agonist	RARB		3.97, 2.38	49.25	0.53, 0.05	34.30	71.73	72.78	90.74	94.63	39.72	82.24	68.83	42.51	30.08	52.45	30.12	32.52	46.04
BRD-K67578145	CP	GDC-0879	RAF inhibitor	BRAF	RAF inhibitor	2.38, 0.79	49.24	1.20, 0.40	44.40	18.90	92.21	16.38	52.72	73.77	79.78	74.16	22.24	60.80	45.76	27.73	19.31	54.74
BRD-K08996725	CP	zolantidine	histamine receptor antagonist			5.56, 4.76	49.19	1.06, 0.39	22.71	19.68	35.69	84.45	79.46	69.46	96.11	72.38	23.69	28.83	62.70	91.13	17.51	7.94
BRD-A93659613	CP	GR-89696	opioid receptor agonist	OPRK1		6.35, 4.76	49.17	0.76, 0.16	90.41	35.31	0.53	41.86	33.71	18.27	58.68	67.09	96.11	97.18	37.73	42.88	55.46	91.42
BRD-K15592317	CP	CP466722	ATM kinase inhibitor	ATM		7.14, 3.97	49.16	2.06, 0.59	52.03	46.32	50.84	98.52	53.53	33.03	80.47	56.21	-5.83	4.58	-16.78	71.07	47.48	37.24
BRD-A80638690	CP	floxuridine	DNA synthesis inhibitor, MDCK inhibitor, PEPT1 inhibitor, pyrimidine antagonist	TYMS	DNA synthesis inhibitor	9.92, 4.96	49.14	1.23, 0.32	80.82	24.52	93.72	84.06	99.93	13.74	88.87	16.49	31.16	7.26	14.45	94.05	52.84	45.44
BRD-K72024482	CP	MRS-1754	adenosine receptor antagonist	ADORA2B, ADORA1, ADORA2A, ADORA3		5.56, 2.38	49.09	0.80, 0.20	31.63	72.97	-0.74	4.83	53.23	62.60	85.35	70.35	9.93	58.63	29.51	44.95	88.03	37.75
BRD-A75769826	CP	SDM25N	opioid receptor antagonist	OPRD1		5.56, 2.38	49.05	0.41, 0.07	38.11	10.05	22.59	71.45	45.20	85.36	67.68	80.41	70.34	50.60	64.70	47.51	40.79	27.19
BRD-A42831637	CP	tetrahydrocannabinol-7-oic-acid	analgesic, anti-inflammatory			3.31, 2.48	49.04	1.08, 0.25	62.80	9.23	4.16	28.10	80.65	58.13	53.99	27.95	78.28	82.44	61.89	36.87	30.06	44.08
BRD-A10523515	CP	GSK-429286A	ROCK inhibitor	ROCK1		4.76, 3.17	49.00	0.80, 0.28	18.84	49.25	-1.13	48.75	29.38	75.09	51.08	79.07	82.25	39.12	59.67	11.18	46.87	64.63
BRD-K64341947	CP	CFM-1571	guanylate cyclase activator			3.17, 2.38	49.00	0.94, 0.24	49.42	80.25	74.23	59.41	39.67	23.67	25.62	-39.22	58.98	10.24	18.12	48.58	82.81	50.96
BRD-A70514680	CP	articaine	local anesthetic			3.31, 1.65	48.99	1.18, 0.34	84.64	14.89	10.16	6.00	49.60	40.78	81.75	71.08	51.73	50.54	37.96	48.39	65.68	37.45
BRD-A17411484	CP	carprofen	cyclooxygenase inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1		8.73, 5.56	48.99	0.85, 0.24	25.90	99.93	-2.14	5.45	25.04	96.57	64.75	-6.91	85.10	47.25	96.09	17.60	50.73	78.08
BRD-A00267231	CP	hemado	adenosine receptor agonist	ADORA3, ADORA1, ADORA2A, ADORA2B		2.38, 0.00	48.99	0.85, 0.32	76.49	93.67	0.46	74.33	-10.90	26.44	57.92	55.93	11.90	25.26	42.04	56.15	72.58	35.40
BRD-K38615104	CP	A-443644	AKT inhibitor	AKT1, AKT2, AKT3, CDC42BPB, GSK3B, PHKG1, PKIA, PRKACA		3.97, 3.17	48.94	2.41, 0.84	98.12	48.44	94.54	92.43	41.27	3.81	49.94	49.44	-21.70	17.37	-18.72	94.41	53.42	35.82
BRD-A34751532	CP	homosalate	HSP activator			3.17, 3.17	48.91	0.73, 0.31	66.86	38.54	6.67	67.92	31.85	91.74	68.70	70.93	39.12	58.70	-18.74	34.79	38.34	77.10
BRD-K53979406	CP	ALX-5407	glycine transporter inhibitor, GlyT-1 inhibitor	SLC6A9		7.44, 2.48	48.90	1.20, 0.44	29.53	33.08	3.56	53.51	25.39	95.37	98.31	66.76	99.72	94.20	65.79	44.29	31.22	12.57
BRD-K36529613	CP	PU-H71	HSP inhibitor	HSP90AA1	HSP inhibitor	2.38, 0.79	48.90	1.07, 0.36	21.77	62.29	74.22	77.25	35.72	93.54	62.07	23.77	85.64	75.63	21.28	8.70	19.36	16.15
BRD-A58157837	CP	butabindide	tripeptidyl peptidase inhibitor	TPP2		5.56, 1.59	48.88	0.98, 0.26	58.32	51.51	2.41	8.14	68.75	21.01	46.26	96.86	66.79	0.04	-69.05	90.01	-29.28	87.28
BRD-K28806945	CP	L-750667	dopamine receptor antagonist	DRD4		6.35, 2.38	48.84	0.98, 0.35	69.62	48.38	11.14	76.14	77.93	22.20	14.56	49.30	31.34	15.91	-21.17	79.97	72.15	97.44
BRD-K49865102	CP	PD-0325901	MEK inhibitor, MAP kinase inhibitor, protein kinase inhibitor	MAP2K1, MAP2K2	MEK inhibitor	3.97, 3.17	48.83	1.34, 0.64	49.73	21.66	47.93	67.80	41.35	29.51	78.29	62.11	19.48	84.91	26.40	69.00	43.92	68.57
BRD-K35377380	CP	I-OMe-AG-538	inhibitor of insulin growth factor 1 receptor protein tyrosine kinase			5.79, 2.48	48.80	1.02, 0.26	43.21	12.72	7.94	17.74	10.78	53.19	93.20	44.41	98.81	72.43	91.42	59.77	70.11	14.53
BRD-K09537769	CP	NU-7026	DNA dependent protein kinase inhibitor, mTOR inhibitor, PI3K inhibitor	PRKDC	DNA dependent protein kinase inhibitor, MTOR inhibitor, PI3K inhibitor	3.17, 3.17	48.79	1.02, 0.35	71.82	59.28	12.92	97.58	48.66	16.07	37.01	79.66	66.77	48.92	73.85	25.71	37.87	47.77
BRD-K70241288	CP	L-692585	growth hormone releasing peptide ligand agonist, growth hormone secretagogue	GH1, GHSR		0.79, 0.79	48.70	1.06, 0.24	12.81	41.25	2.08	0.00	89.43	57.51	80.15	56.15	72.75	32.57	68.14	-4.05	73.44	-0.18
BRD-K09255212	CP	clioquinol	chelating agent, antiamyloidogenic agent, beta amyloid antagonist, carbonic anhydrase inhibitor	OPRK1		4.13, 3.31	48.65	0.92, 0.15	53.83	26.39	12.74	68.84	43.47	97.55	97.31	60.54	77.51	37.44	18.29	39.77	74.07	8.31
BRD-K26117720	CP	gingerol	nitric oxide synthase inhibitor			6.61, 0.83	48.65	0.75, 0.14	96.02	45.71	45.90	60.46	75.21	78.84	96.16	56.51	51.39	23.77	34.72	45.58	41.39	25.52
BRD-K58299615	CP	RO-90-7501	amyloid precursor protein inhibitor, beta amyloid aggregation inhibitor	APP		5.79, 2.48	48.60	1.18, 0.27	70.80	7.66	25.49	57.72	28.69	36.97	68.70	96.86	42.47	24.99	74.13	95.86	54.73	7.60
BRD-K61323504	CP	SB-225002	CC chemokine receptor antagonist, Chemokine CXCR2  (IL-8 beta Receptor) Antagonists	CXCR2		4.76, 3.97	48.60	1.27, 0.60	19.41	22.80	3.38	59.60	9.53	40.16	99.27	77.77	87.65	32.35	57.04	38.55	80.00	75.71
BRD-K01192156	CP	tyrphostin-AG-112	protein tyrosine kinase inhibitor	EGFR		6.35, 4.76	48.57	1.78, 0.49	31.50	88.24	-5.28	6.84	15.66	65.64	93.60	24.10	92.63	18.75	93.37	24.21	67.89	72.51
BRD-K10995081	CP	perphenazine	dopamine receptor, dopamine receptor antagonist	DRD2, CALM1, DRD1, HRH1, HTR2A, HTR2C, HTR6, HTR7	Dopamine receptor antagonist	0.00, 0.00	48.56	1.30, 0.53	12.03	54.48	68.49	3.63	66.62	93.91	68.10	70.62	20.35	42.63	31.53	63.61	5.60	13.47
BRD-K52989797	CP	clomipramine	serotonin transporter (SERT) inhibitor, dopamine transporter (DAT) inhibitor, norepinephrine transporter (NET) inhibitor	SLC6A4, SLC6A2, CYP2C19, GSTP1, HTR2A, HTR2B, HTR2C, SLC6A3	Tricyclic antidepressant	4.76, 0.79	48.54	0.86, 0.22	84.19	17.60	32.87	68.87	67.83	42.67	72.98	58.16	22.76	77.70	26.83	54.42	38.80	39.52
BRD-A22256192	CP	terazosin	adrenergic receptor antagonist	ADRA1D, ADRA1A, ADRA1B, KCNH2, KCNH6, KCNH7		5.56, 3.17	48.49	0.55, 0.11	74.89	25.49	0.85	6.63	46.70	53.11	32.04	90.13	49.45	40.65	85.42	62.40	47.53	65.59
BRD-K27499107	CP	carbacyclin	IP receptor activator, PPARbeta receptor activator	PPARD, PTGDR, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R		6.35, 3.97	48.45	0.73, 0.19	45.10	57.65	0.78	6.80	7.51	82.93	51.80	29.06	52.90	24.21	30.20	98.48	88.70	66.76
BRD-A48720949	CP	testosterone	androgen receptor (AR) agonist, androgen receptor agonist, testosterone receptor agonist	AR, CYP19A1, CYP2C19, CYP2C8, CYP3A5	Androgen receptor modulator	7.14, 3.97	48.37	0.82, 0.19	87.08	99.61	5.11	19.57	43.24	64.07	16.56	88.38	26.70	36.06	69.20	25.80	53.49	87.02
BRD-A15034104	CP	bergenin	anti-arthritic compound that modulates Th1/Th2 cytokine balance	PTPN1		4.96, 1.65	48.36	1.19, 0.32	70.32	12.64	3.08	35.50	71.41	26.05	98.64	79.93	81.19	36.81	29.04	59.90	87.09	33.89
BRD-K50891186	CP	GR-103691	dopamine receptor antagonist		Dopamine receptor antagonist	1.65, 0.00	48.32	1.63, 0.51	27.02	22.37	73.92	29.84	89.07	66.84	86.59	66.79	24.54	12.85	94.38	72.85	26.50	5.83
BRD-K53790871	CP	triamcinolone	antiinflammatory agent, corticosteroid agonist, corticosteroid binding globulin binder, corticosteroid hormone receptor agonist, cytochrome P450 inhibitor, glucocorticoid receptor agonist, immunosuppressant, immunosuppressive agent	NR3C1, CYP3A5, CYP3A7, SERPINA6	Glucocorticoid receptor agonist	4.13, 1.65	48.31	1.48, 0.52	48.57	6.75	62.05	67.83	48.05	32.78	82.00	77.68	29.80	32.10	40.75	79.92	0.00	95.24
BRD-A80960055	CP	celastrol	anti-inflammatory agent, antioxidant, HSP90 Inhibitor, NFKB pathway inhibitor, topoisomerase inhibitor	IL1B, TNF	Topoisomerase inhibitor	4.76, 4.76	48.30	1.88, 0.49	87.71	32.04	62.11	26.09	71.42	42.51	70.58	99.12	18.09	30.98	-21.54	78.19	-4.67	54.10
BRD-K35498378	CP	alrestatin	aldose reductase inhibitor	AKR1B1		3.17, 0.79	48.29	1.06, 0.25	5.07	13.68	4.58	-16.34	-12.51	88.89	51.23	84.72	45.35	54.42	69.56	17.08	85.12	85.94
BRD-A89672324	CP	CGP-55845	GABA receptor antagonist	GABBR1, GABBR2, KCTD12, KCTD16, KCTD8		0.79, 0.79	48.26	1.06, 0.30	28.56	23.00	-75.03	46.56	49.95	59.99	81.00	86.99	19.74	50.96	34.48	81.83	59.22	-12.71
BRD-K17705806	CP	JTC-801	opioid receptor antagonist	OPRL1		2.38, 1.19	48.23	2.92, 0.63	36.73	80.37	98.70	81.95	59.72	7.94	76.06	93.29	0.00	12.82	-42.04	83.58	6.55	2.46
BRD-K83322645	CP	L-693403	sigma receptor antagonist, sigma receptor ligand	DRD2, SIGMAR1		4.76, 3.17	48.20	1.06, 0.28	77.89	25.79	8.50	57.55	48.45	39.01	61.99	42.97	51.15	98.73	98.93	7.91	47.95	42.06
BRD-K81528515	CP	nilotinib	Bcr-Abl kinase inhibitor, Abl kinase inhibitor, discoidin domain containing receptor inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor	ABL1, KIT, BCR, CYP2B6, CYP2C8, DDR1, DDR2, PDGFRA	FLT3 inhibitor	3.17, 0.79	48.19	0.60, 0.17	45.06	36.02	57.19	93.30	49.19	25.64	34.29	67.27	47.20	62.52	65.16	42.07	30.50	65.62
BRD-K56047318	CP	RHC-80267	triacylglycerol lipase inhibitor	DAGLA, DAGLB, LIPC, LIPE, LIPG		1.59, 1.59	48.16	0.72, 0.19	66.05	22.55	4.09	4.66	32.30	36.30	82.58	78.07	51.73	91.73	44.59	74.20	36.33	86.12
BRD-K14200658	CP	syrosingopine	vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1		3.17, 1.59	48.16	0.92, 0.30	21.16	29.11	63.73	67.47	65.83	73.88	88.30	54.47	16.89	-11.38	19.60	41.84	85.45	5.93
BRD-K50135270	CP	GBR-12935	dopamine uptake inhibitor	AGTR1, SLC6A3		3.17, 1.59	48.15	1.25, 0.36	31.11	76.99	13.44	70.28	24.10	59.77	98.08	92.67	36.53	17.01	29.32	74.32	29.48	91.67
BRD-K50214219	CP	CS-1657	PARP inhibitor	PARP1		3.31, 1.65	48.15	0.98, 0.32	69.16	40.03	13.27	28.08	64.21	56.60	87.09	12.26	49.84	25.51	46.46	62.90	88.63	5.47
BRD-K52850071	CP	JAK3-Inhibitor-II	JAK inhibitor, ALK tyrosine kinase receptor inhibitor, EGFR inhibitor	EGFR, ALK, JAK1, JAK2, JAK3	JAK inhibitor	6.35, 5.56	48.14	1.22, 0.42	27.79	32.89	77.65	99.37	51.36	12.20	56.43	86.75	44.91	38.56	-3.45	67.26	-39.22	60.33
BRD-K39111395	CP	BCL2-inhibitor	BCL inhibitor	BCL2	BCL inhibitor	4.76, 1.59	48.13	1.31, 0.45	85.37	26.06	71.49	24.95	71.98	19.86	98.70	33.94	24.15	19.93	16.65	85.32	62.32	79.03
BRD-K04046242	CP	equilin	estrogen receptor agonist	HSD17B1	Estrogen receptor agonist	1.59, 0.79	48.12	0.45, 0.36	69.49	29.82	7.45	2.72	34.49	57.22	77.04	50.51	63.57	54.85	3.28	59.66	38.09	45.73
BRD-K31987754	CP	oleylethanolamide	Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119)  Agonists, potassium channel blocker	GPR119, CNR1, GPR55, KCND3, PPARA		6.61, 4.13	48.12	0.98, 0.31	20.66	52.64	15.11	23.58	77.33	29.98	97.52	43.60	97.82	93.47	37.99	81.61	24.39	53.10
BRD-K80778372	CP	RO-19-4605	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5		7.14, 1.59	48.09	0.72, 0.19	16.01	77.26	0.00	4.80	19.62	96.42	91.16	18.03	71.00	30.68	95.45	60.82	97.18	35.36
BRD-K70881766	CP	solanine	acetylcholinesterase inhibitor			1.59, 1.59	48.08	0.63, 0.15	35.69	63.10	-0.39	3.31	-4.26	39.10	58.43	77.49	73.36	66.34	90.47	5.14	-51.19	57.07
