#1.3
2429	19	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K18779551-summary	BRD-K17743125-summary	BRD-K19462402-summary	BRD-K99964838-summary	BRD-K91315211-summary	BRD-K11717138-summary	BRD-K74763371-summary	BRD-A16665823-summary	BRD-K55191674-summary	BRD-A05186015-summary	BRD-K46018455-summary	BRD-K32821942-summary	BRD-K21450440-summary	BRD-A89175223-summary	BRD-A29485665-summary	BRD-K03406345-summary	BRD-K23204545-summary	BRD-K41410256-summary	BRD-A94543220-summary
BRD-K87226815	CP	cycloserine	glutamate receptor agonist, glutamate receptor modulator	GRIN1		2.99, 1.80	43.62	0.73, 0.23	10.71	4.83	83.57	18.36	38.07	43.62	80.25	54.72	43.95	95.43	23.43	11.22	11.57	33.80	67.10	81.09	88.89	22.05	85.84
BRD-K77008974	CP	WYE-354	mTOR inhibitor	MTOR	MTOR inhibitor	4.44, 1.67	43.61	1.44, 0.57	42.71	46.82	90.47	59.34	67.77	78.94	68.27	20.46	54.20	16.12	38.44	91.78	9.15	25.37	31.66	63.32	43.61	38.82	27.42
BRD-K67868012	CP	PI-103	PI3K inhibitor, mTOR inhibitor	PIK3CA, PIK3CG, MTOR, PIK3CB, PIK3CD, PRKDC	MTOR inhibitor, PI3K inhibitor	2.78, 0.56	43.59	1.93, 0.66	70.17	39.26	43.59	68.80	34.79	57.44	58.69	31.70	8.61	73.03	23.59	99.30	8.39	81.38	32.51	34.53	39.82	48.41	69.26
BRD-K54094468	CP	remoxipride	dopamine receptor antagonist	DRD2, DRD3, DRD4, HTR2A, SIGMAR1		4.44, 2.78	43.56	0.72, 0.16	30.19	24.13	96.05	11.42	56.17	29.16	54.03	11.28	99.44	43.56	14.13	0.03	9.62	52.86	48.71	5.39	67.02	83.69	52.12
BRD-A19053259	CP	pseudopelletierine	stimulant reflex trigger used as an anthelmintic and anti-amoeboid			7.78, 5.56	43.55	0.86, 0.25	70.31	0.00	8.74	11.20	99.86	21.30	70.39	28.77	9.49	78.39	34.90	1.80	99.37	86.05	99.33	32.65	49.70	43.55	86.82
BRD-K82941592	CP	rosuvastatin	HMGCR inhibitor	HMGCR	HMGCR inhibitor	6.11, 2.22	43.54	0.58, 0.19	42.91	41.26	9.36	83.58	20.03	19.36	95.63	81.98	73.99	14.23	86.60	17.20	63.63	69.03	22.11	25.08	43.54	57.18	52.27
BRD-K29530284	CP	amlexanox	histamine release inhibitor, mediator release inhibitor	FGF1, IL3, S100A12, S100A13		5.96, 3.31	43.51	1.24, 0.34	20.11	10.60	68.85	25.05	22.50	75.30	43.51	61.36	-77.64	99.44	82.66	1.80	90.50	80.63	25.14	72.34	28.40	17.91	96.48
BRD-K09255212	CP	clioquinol	chelating agent, antiamyloidogenic agent, beta amyloid antagonist, carbonic anhydrase inhibitor	OPRK1		2.99, 1.20	43.45	0.92, 0.15	10.70	5.53	62.58	44.37	23.62	81.15	70.95	19.02	43.57	35.71	75.45	94.23	26.95	21.67	8.95	25.19	75.25	43.45	68.95
BRD-K81916719	CP	triclabendazole	acetylcholinesterase inhibitor, DNA methyltransferase inhibitor, microtubule inhibitor	DNMT1		9.93, 7.28	43.42	0.83, 0.25	24.61	22.25	36.51	62.25	41.00	23.57	84.68	43.42	38.80	99.89	88.22	6.08	58.27	75.77	93.01	66.87	10.98	6.26	98.24
BRD-K02113016	CP	olaparib	PARP inhibitor, DNA repair enzyme inhibitor	PARP1, PARP2, PARP3	PARP inhibitor	2.22, 1.11	43.41	0.59, 0.13	5.04	72.25	26.20	67.11	57.92	27.70	43.41	76.55	70.44	13.45	53.80	47.54	22.23	27.43	8.66	59.49	44.93	36.61	30.14
BRD-K43764301	CP	dexketoprofen	cyclooxygenase inhibitor	CXCR1, PTGS1, PTGS2, SLC5A8		4.44, 1.67	43.41	0.97, 0.20	6.61	19.66	49.27	60.74	43.41	9.11	31.74	88.34	59.26	4.24	17.84	98.90	39.73	44.40	5.06	92.24	79.32	8.14	60.42
BRD-A10715913	CP	sulpiride	carbonic anhydrase inhibitor, dopamine receptor, dopamine receptor antagonist	DRD2, CA7, DRD3, CA1, CA12		3.89, 0.56	43.40	2.13, 0.63	65.49	-10.16	89.72	11.18	33.15	45.14	-49.27	11.14	88.06	55.43	-56.31	34.63	27.56	60.35	22.59	43.40	51.90	83.18	68.68
BRD-K07762753	CP	aminopurvalanol-a	CDK inhibitor, tyrosine kinase inhibitor	CDK1, CDK2, CDK5, CDK6	CDK inhibitor	4.44, 3.33	43.40	1.91, 0.49	59.45	90.27	43.40	35.12	2.26	19.13	26.04	12.19	0.99	97.90	9.44	99.93	31.75	25.37	43.89	95.77	80.80	48.64	85.42
BRD-K79131256	CP	albendazole	tubulin inhibitor, acetylcholinesterase inhibitor, microtubule inhibitor	CYP1A2, CYP2J2, TUBA1A, TUBB, TUBB4B	Tubulin inhibitor	1.67, 0.00	43.40	0.83, 0.44	1.37	2.61	19.14	43.40	94.33	40.76	61.29	70.49	49.56	8.37	42.44	36.47	55.47	70.27	5.34	64.51	59.64	-9.31	46.55
BRD-K60038276	CP	irbesartan	angiotensin receptor antagonist, liver bile acid transporter inhibitor	AGTR1, JUN, SLC10A1	Angiotensin receptor antagonist	7.22, 3.33	43.39	0.58, 0.17	45.21	8.56	43.01	9.70	68.24	93.50	43.39	38.01	23.04	53.24	82.19	3.45	52.33	32.36	39.90	25.13	44.31	70.03	94.19
BRD-A66199457	CP	asiaticoside	possible antitumor agent			3.59, 2.40	43.33	1.50, 0.44	12.84	5.49	93.90	57.18	22.95	89.33	15.73	14.61	90.70	43.33	18.73	46.62	18.00	91.18	1.02	21.82	51.83	88.67	88.55
BRD-K54790157	CP	trioxsalen	DNA synthesis inhibitor			7.22, 4.44	43.32	1.02, 0.31	43.32	12.47	-34.81	14.91	95.25	21.09	91.81	89.25	-2.29	55.74	34.09	16.53	75.35	42.21	70.19	56.87	54.87	-36.79	80.30
BRD-K79124250	CP	ioxaglic-acid	iodine contrast agent			5.00, 2.78	43.25	1.26, 0.44	42.01	65.81	97.57	29.44	65.92	28.40	15.19	17.31	32.48	54.48	66.63	34.45	43.25	91.42	84.10	30.33	29.69	86.79	72.30
BRD-K16233984	CP	eriochrome-black-t	azo dye used in titrations to detect metal ions			3.33, 1.67	43.20	1.23, 0.38	38.75	18.33	16.15	43.20	70.61	12.38	73.52	12.20	49.75	86.34	55.03	53.91	39.11	10.58	57.07	24.20	17.60	46.20	55.06
BRD-A84481105	CP	thioridazine	acetylcholine receptor ligand, dopamine receptor, dopamine receptor antagonist, mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor	DRD1, DRD2, HTR2A, ADRA1A, ADRA1B, CHRNA7, DRD5, HRH1, HTR1A, HTR2C, HTR6, HTR7, KCNH2, MALT1	Dopamine receptor antagonist	2.78, 1.11	43.17	1.84, 0.60	94.36	85.99	33.51	97.13	43.17	43.16	20.20	93.34	58.10	36.69	20.27	69.21	30.61	74.71	22.52	77.26	22.18	36.39	47.99
BRD-K61993165	CP	niacin	vitamin agonist	HCAR2, HCAR3, ACHE, DGAT2, HCAR1, NNMT, PTGDR, QPRT		5.00, 2.78	43.15	1.23, 0.31	6.78	7.13	49.75	24.66	43.15	28.82	70.10	9.08	24.43	49.91	73.74	5.61	70.62	25.46	27.01	45.83	50.31	88.74	57.80
BRD-K77987382	CP	mebendazole	acetylcholinesterase inhibitor, microtubule inhibitor, tubulin inhibitor	TUBA1A, TUBB, TUBB4B	Tubulin inhibitor	4.44, 2.22	43.11	1.63, 0.59	52.60	48.85	5.25	43.11	61.13	41.50	48.51	42.08	11.83	33.33	61.55	38.90	32.56	48.93	15.57	91.83	44.31	26.82	68.56
BRD-K11905747	CP	spectinomycin	30S ribosomal subunit inhibitor		Bacterial 30S ribosomal subunit inhibitor	5.39, 1.20	43.08	0.88, 0.34	12.94	0.00	87.81	5.84	95.63	43.68	94.77	91.78	50.17	-32.10	45.53	18.99	43.08	20.35	8.17	29.90	85.58	9.97	61.58
BRD-K17306061	CP	aprepitant	tachykinin antagonist	TACR1, CYP2C19		1.67, 0.56	43.03	1.22, 0.30	2.47	7.89	93.81	40.78	65.47	27.14	43.03	75.19	85.72	17.70	86.44	69.37	57.81	43.59	34.18	14.20	21.14	37.59	90.13
BRD-K87573634	CP	propylpyrazole	estrogen receptor agonist	ESR1		5.39, 1.80	43.01	1.33, 0.36	88.33	40.11	43.01	96.77	40.57	26.48	38.17	57.01	-28.36	86.10	24.06	19.35	58.76	67.57	12.32	83.66	9.75	75.93	76.72
BRD-K28863208	CP	PNU-282987	acetylcholine receptor antagonist	CHRNA7		3.33, 1.11	42.99	0.78, 0.19	37.75	21.53	42.99	26.87	25.93	24.75	68.50	77.59	77.24	26.54	82.91	5.53	67.38	10.45	88.30	34.13	59.63	51.39	55.01
BRD-A26095496	CP	clobetasol	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	5.00, 1.67	42.98	1.44, 0.73	8.67	22.62	15.03	84.55	42.98	20.97	43.52	96.54	42.35	48.79	72.79	39.47	51.81	52.82	9.11	17.49	39.86	72.07	46.28
BRD-K29313308	CP	HDAC3-selective	HDAC inhibitor	HDAC3		0.62, 0.62	42.97	0.56, 0.36	14.03	18.63	53.40	32.21	42.97	36.71	33.32	39.04	56.51	59.22	57.65	35.43	43.65	49.40	37.60	70.22	34.64	69.25	47.56
BRD-A16444946	CP	acarbose	glucosidase inhibitor	GAA, MGAM, AMY2A, SI		6.71, 3.66	42.96	0.84, 0.13	15.43	27.03	99.19	51.50	23.99	61.27	77.36	89.10	67.81	17.12	41.85	31.13	87.60	94.80	5.14	22.40	42.96	24.61	94.84
BRD-A77299732	CP	salubrinal	eukaryotic translation initiation factor inhibitor, GlyT-1 inhibitor	EIF2S1, SLC6A9		1.80, 1.20	42.95	1.56, 0.45	1.89	32.63	34.04	41.14	48.24	62.06	63.66	90.54	7.27	65.63	33.11	54.81	33.05	97.56	7.68	86.51	42.95	4.72	66.03
BRD-K92726801	CP	hydrastinine	alkaloid with hemostatic properties			3.89, 2.78	42.91	1.15, 0.42	-1.20	7.29	5.96	8.99	28.09	13.06	97.67	83.50	19.81	44.25	54.24	42.91	81.82	93.17	56.11	12.12	16.87	54.19	50.19
BRD-K67831364	CP	ZM-323881	vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	KDR	VEGFR inhibitor	4.44, 2.22	42.90	0.82, 0.20	67.80	32.60	30.23	8.95	63.10	38.12	49.52	44.56	71.05	30.09	99.75	1.52	42.90	47.63	25.27	13.93	70.51	36.62	51.11
BRD-A67862938	CP	naftidrofuryl	adrenergic receptor antagonist			5.56, 3.89	42.87	1.30, 0.57	5.39	22.14	25.35	61.37	98.77	75.34	93.30	95.83	51.11	36.06	81.34	18.07	55.48	84.06	37.30	42.87	25.57	20.34	16.59
BRD-K93918653	CP	quizartinib	FLT3 inhibitor, colony stimulating factor receptor inhibitor, KIT inhibitor, RET tyrosine kinase inhibitor	FLT3, CSF1R, KIT, RET, PDGFRA, PDGFRB		2.78, 1.67	42.86	0.72, 0.17	9.11	11.15	48.19	6.79	84.18	59.64	48.73	21.64	24.84	47.30	28.91	21.00	35.74	11.77	42.86	58.48	62.14	51.52	86.25
BRD-K94649603	CP	taxifolin	apolipoprotein secretion inhibitor, beta amyloid aggregation inhibitor, cholesterol biosynthesis inhibitor, HMGCR inhibitor, NFkB pathway modulator, opioid receptor antagonist, reverse transcriptase inhibitor	APOB, APP, HMGCR		9.93, 5.30	42.84	2.00, 0.70	38.01	42.84	8.73	42.59	38.90	99.51	96.69	20.23	1.59	-98.37	47.64	92.60	25.81	99.93	9.34	65.98	84.96	93.08	98.56
BRD-K14643723	CP	4-(2-Amino-ethyl)-benzenesulfonamide	carbonic anhydrase inhibitor	CA2, CA1, CA9, CA12, CA14, CA4		3.89, 3.33	42.82	1.06, 0.16	-13.11	0.00	78.12	42.56	79.35	55.45	63.81	18.06	46.31	6.86	68.54	-20.26	42.82	65.22	7.76	18.68	58.52	14.08	90.01
BRD-K89930444	CP	AG-592	tyrosine kinase inhibitor			3.89, 3.33	42.82	1.82, 0.48	44.89	77.24	28.64	7.51	13.82	42.82	50.70	91.59	12.12	17.28	30.23	99.93	4.12	13.27	39.60	99.44	44.23	51.77	95.50
BRD-K06234293	CP	LY-364947	TGF beta receptor inhibitor, p38 MAPK inhibitor	TGFBR1	P38 MAPK inhibitor, TGF beta receptor inhibitor	3.33, 2.78	42.79	1.06, 0.28	69.49	15.18	20.47	66.73	42.79	20.16	45.63	56.05	-15.50	33.40	58.40	40.80	16.88	60.10	74.31	16.79	30.00	80.11	48.67
BRD-K31912990	CP	CGP-71683	neuropeptide receptor antagonist	NPY5R		3.33, 1.67	42.79	1.72, 0.61	75.49	94.19	80.48	82.20	15.00	14.41	-10.91	99.05	27.12	22.12	9.80	99.82	1.52	42.79	44.60	97.25	24.04	27.58	43.30
BRD-K93461745	CP	buspirone	serotonin receptor agonist, serotonin receptor partial agonist	HTR1A, DRD2		2.78, 1.11	42.79	0.68, 0.15	25.04	14.55	32.11	68.16	86.78	25.38	91.56	87.55	5.68	58.20	27.08	14.82	86.98	53.77	27.59	42.79	54.45	14.83	58.87
BRD-K55703048	CP	latrepirdine	glutamate receptor antagonist, histamine receptor antagonist, serotonin receptor antagonist	HTR6, GRIN2B, HRH1		6.83, 2.48	42.77	1.57, 0.36	57.07	-5.19	28.56	15.51	65.64	9.36	88.20	42.77	5.78	95.45	16.17	34.77	62.78	87.62	47.16	56.32	27.48	15.30	52.80
BRD-K40892394	CP	AR-C133057XX	nitric oxide synthase inhibitor	NOS2, NOS1		4.44, 2.22	42.74	1.27, 0.33	7.84	-1.65	35.81	73.82	86.19	93.08	24.77	42.74	37.29	12.81	53.11	56.50	62.42	45.02	1.63	-27.57	50.16	53.93	17.50
BRD-K02965346	CP	SU-11274	hepatocyte growth factor receptor inhibitor, tyrosine kinase inhibitor	MET		3.89, 2.78	42.71	1.42, 0.56	62.66	71.72	89.57	94.73	37.69	37.07	17.93	51.10	97.67	3.52	27.05	10.56	12.16	42.71	11.67	62.22	50.92	10.25	94.04
BRD-K51967704	CP	BIIB021	HSP inhibitor	AOX1, HSP90AA1	HSP inhibitor	3.89, 1.11	42.71	1.28, 0.52	19.26	94.15	87.11	93.91	1.59	13.63	28.45	67.22	12.72	52.12	34.52	42.71	39.91	53.84	62.37	-17.45	23.14	54.35	80.74
BRD-K72420232	CP	WZ-4002	EGFR inhibitor	EGFR, ERBB2	EGFR inhibitor	3.33, 2.22	42.69	1.35, 0.40	29.75	46.49	70.03	99.19	55.87	14.38	28.63	68.55	12.87	28.49	31.36	51.56	29.94	39.34	23.13	42.69	50.09	54.61	46.56
BRD-K79437791	CP	acetyl-farnesyl-cysteine	inhibitor of methylation of endogenous isoprenylated proteins	PPARG		3.33, 1.11	42.68	1.23, 0.43	-13.17	-3.35	42.68	47.45	86.47	4.30	91.66	74.70	80.49	26.15	74.60	8.56	40.12	55.25	8.17	-14.00	72.23	4.08	85.01
BRD-K59753853	CP	MDL-29951	glutamate receptor antagonist, fructose biphosphate inhibitor, UDP/CysLT (GPR17, P2Y-like) Agonists	FBP1, GPR17		3.33, 1.67	42.67	1.28, 0.45	63.89	11.55	42.67	14.24	30.28	63.43	31.08	26.35	81.99	99.58	53.77	7.23	1.83	38.36	64.88	19.44	78.55	86.24	66.35
BRD-K91601245	CP	mercaptopurine	immunosuppressant, protein synthesis inhibitor, purine antagonist	HPRT1, IMPDH1, IMPDH2, PPAT		7.78, 5.39	42.67	1.15, 0.31	29.90	7.95	69.76	35.05	42.67	73.65	67.52	56.82	79.96	26.40	36.30	99.93	25.81	22.62	30.59	93.55	94.05	0.00	92.31
BRD-K47598052	CP	PP-1	src inhibitor, Abl kinase inhibitor	HCK, RET, SRC	SRC inhibitor	6.67, 3.33	42.65	1.75, 0.64	70.14	58.64	71.11	99.15	75.22	27.49	42.65	31.47	7.61	35.91	8.25	70.39	43.89	40.30	70.55	16.93	16.62	15.72	86.79
BRD-K98763141	CP	niflumic-acid	cyclooxgenase inhibitor	CLCNKA, PTGS2, ANO1, CLCN1, CLCNKB, KCNQ1, PLA2G1B, PLA2G4A, PTGS1, UGT1A9		7.78, 4.79	42.63	1.09, 0.39	13.33	7.05	22.01	-0.63	74.04	18.37	98.06	14.91	69.30	48.03	47.13	44.59	42.63	24.77	10.52	71.66	98.08	59.90	12.56
BRD-K74913225	CP	brinzolamide	carbonic anhydrase inhibitor	CA2, CA1, CA7, CA12, CA14, CA4, CA5A, CYP2B6, CYP2C8		4.44, 2.22	42.61	0.66, 0.23	35.58	12.26	29.42	6.24	66.24	34.01	63.83	59.59	45.18	57.07	53.69	14.37	42.61	52.77	25.83	87.56	36.81	9.81	45.36
BRD-A22684332	CP	procaterol	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	4.44, 2.78	42.58	0.94, 0.36	36.00	24.83	75.57	27.32	66.46	25.48	41.17	52.96	66.72	48.73	83.85	18.68	39.21	14.20	42.58	14.75	86.44	79.75	49.27
BRD-A11702965	CP	chromomycin-a3	DNA binding			4.44, 1.11	42.57	1.43, 0.64	34.25	4.19	56.98	54.28	8.43	76.24	57.57	0.00	42.57	83.51	8.00	2.73	47.14	16.30	84.88	0.00	90.56	26.35	80.27
BRD-K10852020	CP	tolcapone	catechol O methyltransferase inhibitor, transthyretin amyloid inhibitor	COMT, TTR		8.38, 2.99	42.54	1.28, 0.36	-3.88	3.74	9.36	23.64	78.46	57.44	95.55	83.12	62.99	16.88	95.71	11.41	53.20	20.34	42.54	25.21	93.35	96.62	9.35
BRD-K51290057	CP	SA-792709	retinoid receptor agonist	RARA, RARB		3.33, 1.67	42.52	1.50, 0.55	71.04	74.68	4.26	10.70	46.53	9.02	29.45	97.55	-2.17	76.05	32.65	99.58	42.52	72.90	27.52	88.50	7.29	27.22	94.19
BRD-K86434416	CP	selegiline	monoamine oxidase inhibitor, superoxide dismutase stimulant	MAOB, MAOA, CYP2B6, CYP2C19		9.58, 5.39	42.48	0.80, 0.26	30.56	4.44	32.37	6.21	77.65	93.11	42.48	29.65	30.35	60.95	70.93	11.63	24.42	84.40	91.00	48.58	97.20	8.78	88.71
BRD-A87719232	CP	naproxen	cyclooxygenase inhibitor	PTGS2, PTGS1		3.33, 1.11	42.45	1.25, 0.35	73.12	25.07	76.46	27.00	48.24	15.45	39.15	26.34	92.49	93.99	86.90	5.49	10.47	54.04	23.70	37.99	94.97	85.55	42.45
BRD-K97118047	CP	4,5,6,7-tetrabromobenzotriazole	casein kinase inhibitor	CSNK2A1, AKT1, CHEK1, CSNK2A2, CSNK2B, GSK3B, LCK, MAP2K1, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SGK1		1.67, 1.11	42.43	0.66, 0.16	8.17	9.57	56.75	5.55	67.55	7.10	60.05	96.51	21.07	98.30	25.89	49.87	46.81	24.68	11.41	78.60	42.43	50.37	15.64
BRD-K79425933	CP	benperidol	dopamine receptor antagonist	DRD2		6.11, 1.67	42.33	1.01, 0.39	15.69	13.41	78.76	-29.18	91.48	37.77	72.24	71.05	59.58	81.39	88.01	42.33	22.42	28.14	37.29	71.69	32.76	40.34	96.97
BRD-K15563106	CP	phloretin	VCAM expression inhibitor, ICAM1 expression inhibitor	AQP9, CLCN3, SLC23A1		4.44, 0.56	42.28	0.17, 0.02	24.03	74.79	30.40	19.99	25.75	60.42	26.64	53.67	-16.61	62.96	55.69	65.00	21.53	34.30	42.28	95.60	37.40	56.80	58.80
BRD-K17743697	CP	KB-R7943	sodium/calcium exchange inhibitor	SLC8A1, TRPC3, TRPC5, TRPC6	T-type calcium channel blocker	4.44, 2.78	42.28	1.43, 0.42	99.51	87.43	43.95	99.12	11.31	0.81	32.75	54.99	36.79	35.09	22.70	47.46	-3.03	42.55	3.82	45.08	42.28	24.74	76.00
BRD-A87848830	CP	bimatoprost	prostanoid receptor agonist	PTGFR, AKR1C3, PTGER1, PTGER3		6.59, 3.59	42.26	1.51, 0.40	9.75	4.33	62.42	11.17	39.23	28.51	77.75	3.42	64.62	42.26	17.93	2.67	10.80	68.01	59.13	74.18	99.05	43.79	54.16
BRD-A68723818	CP	brompheniramine	histamine receptor antagonist	HRH1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		3.33, 2.22	42.24	0.94, 0.28	29.33	19.66	64.50	85.09	94.38	66.67	22.11	20.36	53.56	27.25	42.24	4.44	53.92	41.97	74.24	57.94	21.91	12.41	73.38
BRD-A74667430	CP	etodolac	cyclooxygenase inhibitor, TRPV agonist	PTGS2, PTGS1, RXRA, TRPV1	Cyclooxygenase inhibitor	3.89, 3.33	42.24	0.91, 0.24	-11.97	-13.37	25.20	21.12	93.95	73.26	48.91	86.60	92.67	42.24	58.64	4.17	92.53	99.11	30.17	51.71	40.12	22.47	2.33
BRD-A38747044	CP	KU-14R	pancreatic β-cell I3 binding site antagonist			3.89, 1.67	42.21	0.89, 0.27	10.70	12.72	18.53	3.45	53.10	67.49	17.67	58.86	21.23	88.37	42.51	26.39	15.76	92.43	15.73	57.26	42.21	44.39	90.60
BRD-K10467831	CP	tibolone	estrogen receptor agonist, androgen receptor agonist, progesterone receptor agonist, selective estrogen receptor modulator (SERM), steryl sulfatase inhibitor	AR, ESR1, PGR, STS	Androgen receptor modulator	8.33, 6.67	42.20	1.91, 0.58	93.81	19.69	56.51	7.24	-2.11	91.90	74.61	38.04	83.45	73.18	29.05	5.07	17.02	42.20	39.00	15.05	94.49	99.89	61.48
BRD-A85472596	CP	L-670596	prostanoid receptor antagonist			7.78, 2.99	42.17	1.40, 0.35	4.55	3.91	45.58	42.17	18.89	99.89	39.87	37.32	55.83	17.17	97.36	73.58	38.62	96.76	12.89	60.19	71.85	86.27	32.75
BRD-A97104540	CP	fenoterol	adrenergic receptor agonist	ADRB2, ADRB1, ADRB3	Beta-adrenergic receptor agonist	1.67, 1.11	42.15	0.97, 0.36	-4.09	-35.97	24.82	13.87	58.17	19.15	82.55	39.67	39.55	50.28	19.54	87.88	48.69	57.77	63.08	42.15	49.42	5.84	61.64
BRD-K43245338	CP	MDL-28170	calpain inhibitor, cathepsin inhibitor	CAPN1, CTSB, CTSL		1.67, 1.11	42.15	1.06, 0.32	72.98	11.98	55.25	23.44	46.62	42.15	42.33	83.96	26.33	17.44	56.05	1.73	48.14	92.17	18.77	22.81	28.07	39.75	43.72
BRD-K64606589	CP	apicidin	HDAC inhibitor	HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor	7.22, 5.56	42.15	1.56, 0.50	67.53	99.33	73.94	84.74	8.96	35.71	48.83	50.21	54.12	45.34	15.63	16.28	31.60	22.68	9.48	72.52	12.41	40.77	42.15
BRD-A45499626	CP	UBP-302	glutamate receptor antagonist	GRIK1		1.67, 1.11	42.13	0.94, 0.34	9.08	2.50	64.91	13.95	41.57	13.83	61.38	42.13	9.12	76.31	35.25	9.64	66.84	54.14	65.08	64.17	68.79	78.31	37.75
BRD-K30677119	CP	PP-30	RAF inhibitor	RAF1		3.89, 2.22	42.09	1.25, 0.48	64.92	74.51	82.86	44.12	7.85	86.55	34.88	42.09	58.06	86.31	33.62	99.58	-6.96	12.47	13.48	-19.17	40.60	73.37	41.47
BRD-K52394958	CP	GR-159897	tachykinin antagonist	TACR2, TAC1	Tachykinin antagonist	3.33, 1.67	42.07	1.24, 0.28	89.41	32.65	9.91	72.73	55.68	13.98	63.89	74.76	62.41	43.91	37.20	42.07	3.21	11.63	9.20	29.68	21.72	74.38	84.86
BRD-K26573499	CP	DMAB-anabaseine	alpha receptor partial agonist	CHRNA7		2.22, 1.67	42.04	0.98, 0.41	23.81	34.89	42.04	71.22	80.15	63.20	26.41	67.76	28.37	58.24	44.43	4.62	20.44	73.62	3.30	48.14	21.44	45.24	20.71
BRD-K95785537	CP	PP-2	src inhibitor	SRC, LCK, ABL1, LYN, RIPK2	SRC inhibitor	6.67, 2.78	42.04	1.60, 0.53	44.88	84.31	69.15	99.22	6.95	37.96	66.24	30.43	30.15	62.72	42.04	82.12	52.65	31.05	23.25	0.00	37.80	8.33	81.67
BRD-K16551401	CP	PNU-22394	serotonin receptor agonist	MAOA, MAOB		5.56, 1.67	42.03	0.97, 0.28	51.49	7.33	56.19	-6.27	41.83	12.23	78.68	42.03	70.21	4.61	82.88	-1.69	96.38	36.45	43.98	23.29	58.35	15.24	57.96
BRD-K17796732	CP	JWH-015	cannabinoid receptor agonist	CNR2, GPR55	Cannabinoid receptor agonist	8.33, 3.89	42.02	1.25, 0.41	74.22	13.92	31.12	27.36	34.87	36.08	73.67	95.86	40.31	97.78	97.33	23.58	81.81	33.70	97.52	67.96	40.24	64.84	42.02
BRD-A19661776	CP	mianserin	serotonin receptor antagonist, tetracyclic antidepressant	HTR2A, HTR2C, ADRA1A, ADRA1B, ADRA1D, HRH1, HTR2B, HTR6, HTR7, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD5, HRH2, HRH4, HTR1A, HTR1F, OPRK1, SLC6A2, SLC6A3, SLC6A4		3.33, 1.67	42.00	1.14, 0.30	22.22	0.41	56.80	55.64	4.02	40.42	39.58	42.00	1.34	49.77	19.49	97.01	89.00	31.46	23.38	52.05	78.15	76.64	78.37
BRD-A43974575	CP	tranylcypromine	cytochrome P450 inhibitor, histone lysine demethylase inhibitor, monoamine oxidase inhibitor	MAOA, MAOB, KDM1A, CYP2A6		3.59, 2.99	42.00	1.14, 0.30	32.96	15.86	22.19	57.26	78.43	32.81	49.69	85.72	4.73	68.44	56.24	39.30	92.30	99.19	21.15	42.00	10.61	82.12	38.82
BRD-K47192521	CP	icosapent	fatty acid with anti-inflammatory, antithrombotic and immunomodulatory properties	PTGS1, PTGS2, ACSL3, ACSL4, FADS1, FFAR1, PPARD, PPARG, SLC8A1, TRPV1		5.39, 3.59	42.00	1.13, 0.30	34.83	6.06	12.68	43.23	29.56	56.35	56.50	42.00	38.52	70.48	80.37	94.65	18.82	96.41	13.49	-6.62	77.74	39.89	97.65
BRD-A34751532	CP	homosalate	HSP activator			6.11, 2.78	41.98	0.73, 0.31	8.94	28.36	12.07	8.86	67.43	20.21	55.94	88.74	59.06	53.73	75.33	34.47	41.43	37.65	96.97	39.83	41.98	82.42	46.04
BRD-K57886322	CP	fluocinonide	corticosteroid agonist, corticosteroid hormone receptor agonist	NR3C1, SERPINA6, SMO	Glucocorticoid receptor agonist	2.99, 1.80	41.97	1.57, 0.53	5.56	40.07	96.14	60.19	50.73	17.03	45.96	78.36	6.66	-39.63	83.54	0.60	55.86	58.59	13.63	68.67	41.97	-5.85	27.42
BRD-A41112154	CP	oleanolic-acid	antitumor agent			4.35, 3.26	41.96	2.12, 0.63	31.51	62.09	58.75	68.10	96.44	15.72	17.13	-0.63	94.86	31.61	58.79	19.31	72.13	28.60	25.88	41.96	99.79	31.07	56.26
BRD-A37347161	CP	BRL-52537	opioid receptor agonist	OPRK1		2.99, 1.20	41.95	1.23, 0.41	37.27	20.07	65.79	68.90	36.22	99.22	62.29	18.88	39.34	33.76	30.14	41.95	56.20	83.45	18.74	42.66	59.09	34.78	79.84
BRD-K69932463	CP	AZD-8055	mTOR inhibitor	MTOR	MTOR inhibitor	2.78, 1.11	41.88	2.34, 0.75	45.03	44.17	63.72	82.10	38.54	23.11	58.35	19.74	27.77	64.23	43.32	99.82	13.38	32.88	12.85	83.88	22.24	41.88	23.37
