#1.3
2429	21	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A51382177-summary	BRD-K76674262-summary	BRD-A15297126-summary	BRD-K77947974-summary	BRD-K05977355-summary	BRD-A09472452-summary	BRD-A17655518-summary	BRD-K34776109-summary	BRD-K28307902-summary	BRD-K64052750-summary	BRD-K80396088-summary	BRD-K22662435-summary	BRD-K55127134-summary	BRD-A22769835-summary	BRD-K15108141-summary	BRD-K12219985-summary	BRD-K47639036-summary	BRD-K11129031-summary	BRD-A49765801-summary	BRD-K36862742-summary	BRD-A31159102-summary
BRD-K10065684	CP	dantron	stimulant laxative			7.29, 3.13	41.43	0.89, 0.15	44.45	25.44	86.88	4.12	94.89	53.32	41.43	77.30	46.92	60.03	47.90	12.75	1.95	5.61	-29.77	89.75	38.38	33.95	89.92	33.51	35.34
BRD-K87048468	CP	RS-102221	serotonin receptor antagonist	HTR2C, HTR2A, HTR2B		5.73, 3.65	41.42	1.13, 0.25	96.28	7.65	91.72	41.42	6.93	31.25	26.76	30.79	66.64	26.03	84.55	31.90	1.54	63.42	45.73	56.44	87.32	97.49	45.08	22.62	6.67
BRD-K63089472	CP	farnesylthioacetic-acid	inhibitor of methyl esterification of farnesylated proteins			9.90, 5.73	41.40	1.24, 0.35	56.28	-20.62	87.00	93.74	10.38	96.04	90.74	66.82	28.35	27.25	32.24	41.40	1.16	59.82	-2.35	21.16	90.24	85.09	92.25	-2.97	-13.05
BRD-A87387433	CP	cefpodoxime	cell wall synthesis inhibitor			1.84, 1.23	41.39	1.22, 0.39	89.63	37.51	83.56	15.18	48.54	12.37	76.35	41.39	74.31	9.77	38.94	44.68	6.67	46.72	-0.39	25.77	8.86	14.88	46.92	75.66	59.91
BRD-K50495309	CP	SRC-kinase-inhibitor-I	src inhibitor	CSK, LCK, RIPK2		3.35, 1.12	41.35	0.85, 0.39	61.89	46.35	20.57	7.34	45.57	11.48	13.90	62.24	9.26	29.20	41.35	62.97	70.13	28.99	-0.78	94.26	13.38	20.19	76.83	93.60	75.37
BRD-K50018155	CP	RS-67506	serotonin receptor partial agonist	HTR4		4.17, 2.08	41.33	0.85, 0.16	33.87	83.11	22.02	3.03	23.44	62.79	81.35	65.71	47.57	41.33	97.65	83.96	10.99	15.56	-11.74	91.71	91.80	39.21	66.99	-9.64	-35.43
BRD-K82846253	CP	repaglinide	insulin secretagogue, ATP-sensitive potassium channel antagonist, cytochrome P450 inhibitor, meglitinide	ABCC8, CYP2C8, CYP3A5, INS, KCNJ11, PPARG		5.03, 3.35	41.33	0.43, 0.09	32.80	6.52	59.36	76.64	3.45	46.28	99.08	29.75	55.92	54.27	19.73	24.58	41.33	80.43	1.76	46.43	31.88	84.91	37.44	59.19	33.98
BRD-K64514229	CP	toltrazuril	anti-protozoal			5.21, 1.56	41.29	0.67, 0.16	64.22	22.25	6.24	86.08	54.44	67.08	13.49	81.89	56.38	31.03	58.86	69.24	24.55	81.23	-4.29	46.53	41.29	18.22	24.31	19.88	6.47
BRD-K83508485	CP	FK-888	tachykinin antagonist	TACR1, TACR2	Tachykinin antagonist	5.73, 3.65	41.27	1.00, 0.35	48.15	21.31	0.39	94.52	41.27	34.06	41.28	78.43	12.17	85.94	10.66	11.54	91.95	85.34	73.64	6.61	18.90	24.15	94.93	20.69	92.21
BRD-K30743633	CP	TCPOBOP	constitutive androstane receptor (CAR) agonist	NR1I3		1.04, 0.52	41.19	1.01, 0.31	73.37	-18.28	4.16	93.15	39.34	54.55	63.06	41.76	18.53	58.29	-2.68	63.07	1.33	42.35	-0.85	60.46	12.69	76.85	1.97	41.19	8.51
BRD-K31987754	CP	oleylethanolamide	Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119)  Agonists, potassium channel blocker	GPR119, CNR1, GPR55, KCND3, PPARA		4.47, 1.68	41.19	0.98, 0.31	50.17	3.63	63.92	28.58	19.47	54.41	43.74	29.84	39.03	60.03	13.54	72.37	28.13	92.67	25.29	70.95	38.12	99.12	67.65	23.34	41.19
BRD-A18917088	CP	estradiol	estrogen receptor agonist	ESR1, ESR2, NR1I2, CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, GPER1, KCNMA1	Estrogen receptor agonist	1.56, 0.52	41.17	0.52, 0.15	41.17	46.87	38.36	54.92	71.86	88.75	16.72	65.77	30.02	30.77	87.86	19.43	43.98	85.47	3.33	66.93	13.24	8.82	90.94	31.09	20.32
BRD-K84595254	CP	strophanthidin	ATPase inhibitor	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, FXYD2	ATPase inhibitor	7.29, 5.73	41.17	1.91, 0.48	74.20	99.40	0.46	68.38	41.17	9.44	30.70	85.19	43.83	39.14	46.76	46.24	0.14	19.16	98.77	64.70	69.39	30.20	2.40	14.62	0.56
BRD-A26095496	CP	clobetasol	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	9.90, 7.81	41.16	1.44, 0.73	37.73	43.19	99.12	76.60	51.70	41.16	86.40	32.89	99.05	44.00	19.29	19.79	84.83	33.94	1.23	30.46	54.93	13.27	99.58	-8.66	34.05
BRD-K79254416	CP	decitabine	DNA methyltransferase inhibitor, antimetabolite, DNA methylase inhibitor	DNMT1		4.17, 2.60	41.15	0.89, 0.24	82.09	39.52	41.15	16.67	29.70	22.07	86.32	70.58	25.98	31.64	79.66	88.97	51.91	92.39	92.56	40.20	10.16	31.27	66.09	73.41	12.06
BRD-K69328504	CP	L-690488	nositol monophosphatase inhibitor	IMPA1		10.42, 5.21	41.11	1.00, 0.20	97.41	67.56	98.00	4.61	16.22	41.45	20.76	11.35	12.99	77.61	-41.96	41.11	51.46	20.00	96.12	16.11	17.87	7.93	93.45	95.51	75.94
BRD-A96255180	CP	ribavirin	antiviral guanosine ribonucleoside analog, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor	IMPDH1, ADK, ENPP1, IMPDH2, NT5C2		2.60, 1.56	41.06	1.03, 0.22	76.76	15.14	48.04	15.33	16.68	12.40	74.27	9.61	8.99	21.61	-2.18	41.06	77.49	17.33	23.82	74.67	46.00	44.35	72.66	52.92	87.71
BRD-A22143024	CP	estropipate	estrogen receptor agonist	ESR1, ESR2	Estrogen receptor agonist	1.56, 1.04	41.05	0.61, 0.10	75.23	-8.99	57.97	7.64	76.72	41.05	89.38	50.97	68.62	22.99	86.23	64.09	-2.23	43.36	-2.92	15.55	11.22	61.25	28.88	29.19	3.28
BRD-A31801025	CP	formestane	aromatase inhibitor	CYP19A1	Aromatase inhibitor	4.69, 2.08	41.04	0.95, 0.25	23.24	13.71	0.31	44.89	97.08	73.63	98.39	85.43	41.04	40.97	35.63	45.61	1.20	31.88	0.00	92.31	76.79	31.53	96.09	37.93	62.35
BRD-K07762753	CP	aminopurvalanol-a	CDK inhibitor, tyrosine kinase inhibitor	CDK1, CDK2, CDK5, CDK6	CDK inhibitor	1.56, 1.04	41.03	1.91, 0.49	48.48	81.52	19.51	4.69	61.97	41.03	1.41	74.66	16.65	95.38	28.76	78.45	37.96	32.64	98.63	48.97	16.34	2.29	72.42	9.39	41.43
BRD-K37865504	CP	LY-2183240	FAAH inhibitor, FAAH reuptake inhibitor	FAAH		0.52, 0.00	41.01	1.76, 0.63	60.30	84.94	41.01	22.51	42.17	16.68	67.02	55.74	13.59	8.60	35.54	42.29	33.51	69.67	15.52	42.32	30.15	63.70	64.42	2.85	29.94
BRD-A14798026	CP	mestranol	estrogen receptor agonist	ESR1	Estrogen receptor agonist	5.21, 1.56	41.00	0.83, 0.28	89.66	8.73	41.00	21.67	83.40	34.02	14.27	12.38	86.73	22.64	45.16	83.36	5.37	91.19	7.66	51.25	86.15	83.31	94.89	7.33	7.00
BRD-A01826957	CP	xanthinol	vasodilator			2.08, 0.52	40.99	1.31, 0.44	63.06	40.99	41.49	4.86	97.52	15.45	74.38	41.13	2.40	78.72	35.66	12.43	14.43	39.19	7.52	10.30	59.70	16.66	46.93	84.18	64.68
BRD-A90515964	CP	guaifenesin	expectorant			7.82, 3.91	40.96	1.19, 0.38	71.97	-25.19	85.55	16.91	61.72	82.89	98.62	18.68	60.82	32.87	40.96	46.68	20.41	86.63	36.32	23.22	63.26	99.93	13.48	7.65	8.99
BRD-K69690935	CP	curcumin	cyclooxygenase inhibitor, AP inhibitor, CCN expression inhibitor, DNA methyltransferase inhibitor, EGFR expression inhibitor, free radical scavenger, FtsZ inhibitor, glucose 6 phosphatase inhibitor, histone N-acetyltransferase inhibitor, HIV integrase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor, tau aggregation inhibitor, unidentified pharmacological activity	PTGS1, PTGS2, APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CCND1, CYP3A4, DNMT1, DNMT3B, EP300, G6PC, MAPT, MMP13, MMP9, NOS2, XDH		1.04, 1.04	40.94	1.56, 0.32	48.49	40.94	36.54	11.00	61.93	32.63	62.69	65.63	17.89	5.48	78.59	32.96	39.62	46.59	-25.29	37.25	76.79	85.73	76.71	37.54	76.88
BRD-K01192156	CP	tyrphostin-AG-112	protein tyrosine kinase inhibitor	EGFR		3.65, 0.52	40.93	1.78, 0.49	83.49	-81.43	57.90	40.93	65.43	61.94	96.30	12.35	6.80	5.95	73.19	25.12	6.67	69.75	-1.69	66.32	15.29	91.52	70.95	32.59	5.64
BRD-K28346421	CP	rifapentine	DNA directed RNA polymerase inhibitor, DNA directed DNA polymerase inhibitor	CYP2C8, CYP3A4		2.60, 1.04	40.93	1.13, 0.32	64.76	18.89	53.38	40.93	28.47	30.76	88.40	49.98	18.17	54.72	42.04	18.50	33.64	43.35	4.79	27.30	61.35	46.47	11.10	25.23	95.76
BRD-K72783841	CP	tyrphostin-AG-555	CDK inhibitor, epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	CDK2, EGFR		1.04, 0.00	40.92	1.20, 0.32	77.57	14.16	62.76	8.12	29.25	82.18	8.41	92.88	35.81	88.54	89.28	45.67	84.89	-9.94	0.42	75.10	32.41	10.26	29.64	40.92	51.74
BRD-K51730347	CP	diphencyprone	immunostimulant			1.23, 0.61	40.91	1.84, 0.66	52.04	93.06	52.70	62.73	27.87	99.44	40.50	46.31	38.13	20.90	-13.31	40.91	69.81	63.21	70.70	14.55	21.29	30.95	-1.09	23.23	43.11
BRD-K16233984	CP	eriochrome-black-t	azo dye used in titrations to detect metal ions			3.65, 2.08	40.89	1.23, 0.38	44.48	62.20	52.07	38.38	75.33	91.46	44.79	94.99	11.19	40.89	5.52	39.65	59.43	70.77	18.67	27.88	67.20	16.50	25.47	26.67	4.06
BRD-A22707317	CP	SB-205384	GABA receptor modulator	GABRA3, GABRA5, GABRA6		5.21, 3.65	40.85	0.75, 0.10	71.91	0.00	69.73	6.14	66.14	24.48	41.43	9.77	40.85	55.12	80.80	5.75	2.15	70.33	0.42	40.70	79.54	42.33	86.79	35.30	16.17
BRD-K41903098	CP	diphenoxylate	opoid receptor agonist	OPRM1, OPRD1		3.68, 2.45	40.84	0.99, 0.19	64.77	51.52	5.05	82.09	33.15	60.89	48.44	26.19	12.52	74.14	0.25	48.41	0.01	40.84	83.56	64.90	22.14	14.47	6.64	3.81	65.49
BRD-K61951118	CP	FG-7142	GABA benzodiazepine site receptor inverse agonist			5.03, 2.79	40.79	0.82, 0.26	34.95	17.79	90.88	4.97	4.33	56.30	96.48	12.01	35.64	7.52	66.25	42.90	0.00	42.19	-0.67	81.57	60.37	57.27	66.66	19.19	40.79
BRD-K08502430	CP	angiogenesis-inhibitor	angiogenesis inhibitor	EGFR		2.08, 0.52	40.77	1.67, 0.48	27.76	81.85	72.82	29.36	10.13	90.12	29.84	40.82	45.51	95.93	43.61	63.54	13.14	19.22	94.60	40.77	35.97	27.29	39.04	11.06	58.11
BRD-K06208435	CP	YS-035	calcium channel blocker			5.21, 2.08	40.76	1.06, 0.41	81.17	12.25	79.72	32.43	33.81	20.99	27.02	34.63	84.27	60.91	65.01	40.76	0.11	60.05	0.88	35.14	94.29	67.82	29.89	97.09	63.68
BRD-A77722753	CP	hydralazine	smooth muscle relaxant	AOC3, P4HA1		5.21, 2.08	40.75	0.98, 0.30	41.12	-12.93	65.44	1.23	31.46	40.75	70.02	72.16	22.29	67.75	36.90	52.72	5.42	26.59	0.25	72.79	56.64	63.57	66.50	16.66	2.30
BRD-A99411506	CP	esculin	antioxidant, unidentified pharmacological activity			3.13, 1.04	40.75	0.77, 0.30	35.17	0.00	42.71	24.18	68.79	40.75	55.34	90.43	58.88	40.41	88.80	18.80	0.39	0.25	-0.58	86.22	45.07	46.66	37.19	86.74	35.82
BRD-K56343971	CP	vemurafenib	RAF inhibitor, protein kinase inhibitor	BRAF, CYP2C19, CYP3A4, CYP3A5, RAF1	RAF inhibitor	6.77, 3.13	40.75	1.58, 0.60	43.72	-17.26	62.31	47.64	27.64	95.33	14.35	54.18	40.75	99.75	18.88	62.03	14.78	26.82	1.20	12.66	12.71	24.14	75.12	56.66	88.00
BRD-K52721684	CP	PCO-400	potassium channel activator, potassium channel agonist	ABCC9, KCNJ8	Potassium channel activator	4.69, 2.60	40.74	1.10, 0.33	32.67	0.00	22.06	17.57	32.96	75.01	82.94	71.17	40.74	12.31	41.01	69.91	4.66	74.96	1.63	45.37	99.65	50.18	73.31	18.51	28.43
BRD-K59597909	CP	phenothiazine	dopamine receptor antagonist			3.13, 2.60	40.74	0.60, 0.10	45.35	18.12	36.34	43.84	43.79	16.65	61.26	24.40	40.74	45.05	67.79	39.17	6.62	52.19	0.42	36.98	20.13	39.69	61.06	44.47	67.14
BRD-K69195780	CP	NAN-190	serotonin receptor agonist	HTR1A, ADRA1A, ADRA1B, ADRA1D, HTR1F		4.17, 3.13	40.64	1.16, 0.38	93.02	37.90	83.00	61.27	66.93	14.62	0.02	99.49	53.54	17.61	40.64	39.80	61.72	60.36	65.36	76.80	34.22	31.13	25.94	9.75	33.17
BRD-K68246049	CP	TTNPB	RAR agonist, retinoid receptor agonist	RARB, RARA, RARG	Retinoid receptor agonist	2.60, 1.04	40.61	1.40, 0.33	9.82	-12.80	40.61	92.18	6.79	69.47	96.64	33.50	66.74	55.12	11.49	44.90	11.75	84.61	-0.56	9.18	90.01	64.52	50.92	38.36	39.31
BRD-K25741894	CP	skimmianine	acetylcholinesterase inhibitor			3.65, 1.56	40.54	0.93, 0.18	35.60	38.71	30.40	66.63	83.48	40.66	36.11	62.31	40.54	64.45	24.14	83.59	5.58	78.34	-14.65	99.75	91.28	90.46	38.78	-5.33	15.78
BRD-K65331431	CP	retinyl	vitamin analog			9.90, 6.25	40.54	1.38, 0.39	80.20	-63.32	90.60	8.26	4.85	83.30	40.29	50.46	99.08	46.62	30.74	19.89	6.51	40.54	-0.35	15.75	99.65	94.07	94.93	37.70	51.42
BRD-A00267231	CP	hemado	adenosine receptor agonist	ADORA3, ADORA1, ADORA2A, ADORA2B		5.21, 3.13	40.53	0.85, 0.32	45.48	32.36	51.08	51.11	52.73	21.02	14.24	73.32	24.49	20.65	40.53	-12.35	0.85	12.51	70.32	11.34	84.74	22.40	71.74	99.82	63.32
BRD-K11373525	CP	ZD-7155	angiotensin receptor antagonist	AGTR1	Angiotensin receptor antagonist	7.81, 5.21	40.53	1.28, 0.45	53.13	0.00	20.50	84.89	98.28	20.32	-25.99	93.74	11.65	39.10	97.67	88.58	1.69	10.43	0.35	96.04	46.20	15.47	65.58	53.13	40.53
BRD-K59574735	CP	ubenimex	leukotriene hydrolase inhibitor, alanine aminopeptidase inhibitor, aminopeptidase B inhibitor, immunostimulant, peptidase inhibitor	LTA4H, ANPEP, RNPEP		4.69, 2.08	40.52	0.56, 0.08	39.54	60.74	56.29	17.32	94.55	51.18	40.52	72.42	7.50	21.75	-42.28	81.48	54.00	31.19	0.88	66.03	62.01	32.55	82.76	33.08	40.06
BRD-A72441487	CP	stiripentol	GABA aminotransferase inhibitor, GABA reuptake inhibitor, sodium channel blocker	ABAT, SCN1A, SCN3A		4.17, 3.65	40.51	1.07, 0.35	97.82	13.55	90.88	8.49	10.00	31.14	89.74	37.31	98.56	40.51	3.84	27.52	12.48	87.27	29.40	9.32	61.57	88.68	52.97	54.00	74.25
BRD-A78295502	CP	hydroquinine	anti-arrhythmia agent			3.91, 2.23	40.49	1.10, 0.39	58.15	30.29	80.54	9.75	63.78	66.18	29.82	15.53	40.75	68.78	76.77	37.54	5.37	55.09	1.97	29.36	27.67	39.98	55.17	40.49	57.62
BRD-A77118605	CP	BML-ST330	phospholipase inhibitor, DNA inhibitor, RNA synthesis inhibitor			4.69, 2.08	40.48	0.82, 0.33	47.02	0.00	17.70	40.45	45.90	90.89	24.49	40.48	63.78	73.52	92.16	96.52	0.11	26.99	2.50	64.74	5.32	59.46	38.16	75.54	3.45
BRD-K40965114	CP	cyanopindolol	adrenergic receptor antagonist	HTR1D		5.59, 3.35	40.46	1.40, 0.47	56.38	8.63	85.59	23.32	92.36	59.44	96.68	21.91	3.28	40.46	40.61	97.82	16.20	97.57	1.39	21.38	38.29	92.07	43.24	33.56	6.86
BRD-K74195153	CP	irsogladine	diuretic, phosphodiesterase inhibitor	PDE4A		5.21, 1.04	40.46	0.74, 0.16	40.46	23.09	36.02	79.50	21.07	89.06	84.11	69.73	20.67	21.73	32.73	49.96	16.28	90.51	1.59	88.26	67.38	31.16	41.41	60.86	-8.22
BRD-A35033682	CP	eriodictyol	cytochrome P450 inhibitor, TRPM3 antagonist, xanthine oxidase inhibitor	CYP1B1, NFE2L2, XDH		4.69, 2.08	40.44	1.48, 0.51	83.67	-78.07	66.62	54.83	27.82	96.86	74.74	40.44	40.26	57.40	6.52	26.01	70.26	13.97	1.59	60.84	91.85	37.45	46.40	4.47	19.61
BRD-K49294207	CP	BIBU-1361	EGFR inhibitor	EGFR	EGFR inhibitor	10.61, 7.82	40.44	1.69, 0.69	28.23	-18.46	67.15	99.61	40.44	69.52	8.86	18.94	4.68	99.19	-15.21	16.42	100.00	99.93	72.20	40.08	56.63	9.29	51.53	-2.18	99.89
BRD-K63150726	CP	JTE-907	cannabinoid receptor inverse agonist	CNR2	Cannabinoid receptor agonist	7.81, 4.17	40.44	1.17, 0.34	29.25	-77.72	82.69	97.96	40.44	97.72	8.12	23.38	40.83	94.11	29.32	41.22	87.81	79.41	1.13	19.62	75.37	28.02	89.16	8.89	0.39
BRD-K14536225	CP	piceid	glucosidase inhibitor, ICAM1 expression inhibitor, VCAM expression inhibitor, xanthine oxidase inhibitor	GAA, XDH		3.91, 1.68	40.41	1.11, 0.41	40.41	32.24	0.33	27.41	72.33	10.56	93.95	24.52	42.42	41.67	77.01	29.65	8.34	96.38	0.39	47.03	81.00	18.21	50.24	-11.41	62.82
BRD-A25004090	CP	erastin	anion channel modulator, ion channel antagonist	VDAC2		0.52, 0.52	40.40	0.59, 0.35	58.73	0.00	52.75	56.16	35.67	25.41	40.66	53.28	38.21	73.46	40.40	38.42	7.14	73.20	-1.30	43.72	18.12	53.69	81.69	16.67	10.15
BRD-K49810818	CP	sorafenib	RAF inhibitor, FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor, angiogenesis inhibitor, VEGFR antagonist	RET, BRAF, FLT3, KDR, RAF1, FLT1, FLT4, KIT, DDR2, FGFR1, PDGFRB, CYP2B6, CYP2C8, CYP3A5, PDGFB, SLCO1B3	FLT3 inhibitor, PDGFR/KIT inhibitor, RAF inhibitor, VEGFR inhibitor	5.21, 3.13	40.38	1.83, 0.52	32.06	96.55	34.79	21.05	45.75	34.74	7.63	93.17	61.82	99.44	-75.03	73.62	38.02	64.48	98.27	40.38	28.37	17.93	84.91	17.47	61.30
BRD-A11007541	CP	BCI-hydrochloride	MAP kinase phosphatase inhibitor, protein phosphatase inhibitor	DUSP1, DUSP6		5.21, 1.56	40.36	2.47, 0.52	54.02	97.94	74.88	23.61	40.36	83.72	14.72	42.74	5.85	63.53	45.42	25.53	45.43	83.59	94.21	32.32	36.04	20.96	6.00	13.88	35.56
BRD-K68336408	CP	tyrphostin-AG-1478	EGFR inhibitor	EGFR, MAPK14	EGFR inhibitor	2.60, 2.08	40.35	1.60, 0.51	23.96	95.84	62.27	57.94	27.85	63.04	2.54	53.94	36.90	99.80	2.96	40.35	82.02	54.51	94.26	23.46	12.71	16.52	71.19	37.93	34.78
BRD-K62792802	CP	LY-83583	inhibitor of soluble guanylyl cyclase, leukotriene synthesis inhibitor	GUCY1A2		4.68, 2.92	40.34	2.01, 0.45	74.73	81.41	13.66	66.26	40.34	45.03	14.72	11.17	21.53	7.69	7.94	65.78	10.27	63.47	10.37	48.48	4.63	93.33	12.25	79.01	77.82
BRD-A92670106	CP	tocainide	sodium channel blocker, voltage-gated sodium channel blocker	SCN5A		4.47, 1.68	40.32	0.43, 0.11	25.17	26.35	78.31	2.85	49.27	35.19	94.61	23.04	6.95	29.35	-41.61	46.17	70.12	27.74	1.59	69.71	40.32	54.68	85.93	77.82	81.99
BRD-K47983010	CP	BX-795	IKK inhibitor, PDK1 inhibitor, phosphoinositide dependent kinase inhibitor, serine/threonine kinase inhibitor, TBK1 inhibitor	PDPK1, CDK2, CHEK1, GSK3B, IKBKE, KDR, PDK1, TBK1	IKK inhibitor	4.69, 1.56	40.32	2.16, 0.44	80.07	95.38	87.69	-2.75	6.42	34.09	4.61	54.03	4.63	50.42	5.47	45.09	43.52	3.00	98.91	9.18	20.88	56.50	47.84	40.32	22.85
BRD-K95899059	CP	LY-344864	serotonin receptor agonist	HTR1F, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2B, HTR2C, HTR7		5.59, 3.35	40.31	1.18, 0.20	28.91	-21.88	58.13	14.69	42.16	26.25	99.82	86.90	23.95	26.67	38.82	47.33	74.55	91.73	30.08	14.20	73.91	40.31	51.25	9.91	58.15
BRD-K78637815	CP	LY-320135	cannabinoid receptor antagonist	CNR1		4.17, 3.13	40.30	1.63, 0.51	60.31	0.00	19.97	63.97	94.41	98.91	64.26	37.04	77.09	19.04	40.30	73.99	1.44	28.50	-8.04	31.03	91.63	39.29	89.96	64.46	4.42
BRD-A02180903	CP	betamethasone	corticosteroid agonist, glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	10.42, 8.85	40.29	1.63, 0.90	24.87	13.29	99.30	4.69	40.29	53.47	76.65	9.91	99.93	43.89	86.92	47.28	3.95	62.71	-3.07	6.86	75.99	37.42	98.84	3.62	-33.20
BRD-K08973992	CP	linoleic-acid	oxidative stress inducer	FABP4, FFAR1, FFAR4, HNF4A, KCNB1, PPARG, TRPM8		7.26, 3.91	40.28	1.27, 0.38	12.51	62.81	86.80	57.87	20.19	22.18	64.67	63.88	5.11	25.13	59.94	59.01	40.28	99.79	-0.88	40.09	21.72	86.70	71.24	11.28	27.75
BRD-K68873215	CP	phosphodiesterase-V-inhibitor-II	phosphodiesterase inhibitor	PDE5A		4.17, 2.60	40.24	0.68, 0.23	40.21	22.58	49.95	64.48	82.29	86.26	-13.44	19.96	13.24	69.86	15.91	59.06	30.79	35.85	85.45	20.96	40.24	5.70	76.78	64.98	44.82
BRD-K31699485	CP	DMEOB	glutamate receptor modulator			4.69, 3.13	40.23	1.68, 0.51	29.17	-85.83	55.08	88.02	81.90	52.54	43.59	7.72	13.27	68.80	67.36	58.02	40.23	21.83	0.95	10.50	80.44	93.61	7.51	10.59	-0.21
BRD-A75935363	CP	atracurium	acetylcholine receptor antagonist	CHRNA2		1.23, 0.00	40.20	1.17, 0.34	15.37	-5.36	47.72	37.48	18.96	-17.79	40.20	95.38	58.46	29.63	-53.12	8.88	74.24	58.96	21.71	25.69	50.26	51.45	70.90	47.06	73.80
BRD-K00184207	CP	GR-206	aryl hydrocarbon receptor ligand			4.69, 1.56	40.19	0.97, 0.31	65.21	76.98	40.19	4.19	59.37	29.93	97.62	6.52	51.85	27.90	62.02	11.37	3.16	71.02	-7.72	4.70	0.28	78.94	71.97	93.87	-22.28
BRD-K43764301	CP	dexketoprofen	cyclooxygenase inhibitor	CXCR1, PTGS1, PTGS2, SLC5A8		5.21, 2.60	40.19	0.97, 0.20	33.96	0.00	67.41	4.19	10.77	93.30	99.89	40.19	33.03	94.12	47.86	1.94	36.12	51.36	33.63	7.96	56.33	48.54	47.32	40.33	-0.46
BRD-A19661776	CP	mianserin	serotonin receptor antagonist, tetracyclic antidepressant	HTR2A, HTR2C, ADRA1A, ADRA1B, ADRA1D, HRH1, HTR2B, HTR6, HTR7, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD5, HRH2, HRH4, HTR1A, HTR1F, OPRK1, SLC6A2, SLC6A3, SLC6A4		4.69, 2.08	40.16	1.14, 0.30	30.86	4.04	51.68	58.31	50.12	40.16	61.08	65.43	33.40	25.42	-18.77	91.93	13.62	30.70	7.83	60.24	52.06	91.19	64.41	17.69	6.47
BRD-A43930669	CP	L-368899	oxytocin receptor antagonist	OXTR, AVPR1A, AVPR2, OXT		4.17, 0.52	40.15	1.28, 0.47	53.78	6.31	13.67	95.68	-24.11	90.83	40.15	38.81	21.50	31.09	2.61	75.63	82.08	61.97	6.75	45.59	91.61	9.49	57.24	15.16	43.66
BRD-A51410489	CP	yohimbine	adrenergic receptor antagonist	ADRA2A, ADRA2C, ADRA2B, HTR1A, HTR1B, HTR1D, HTR2B, DRD2, DRD3, HTR1E, HTR1F, HTR2A, HTR2C, HTR5A, HTR7, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ14, KCNJ15, KCNJ8		5.21, 3.65	40.12	1.49, 0.53	59.63	50.87	94.75	6.57	82.74	24.44	9.07	55.21	40.12	25.40	98.57	80.60	2.29	10.40	0.92	22.02	61.03	19.61	90.88	83.15	19.20
BRD-K28761384	CP	zuclopenthixol	dopamine receptor antagonist	DRD2, DRD1, ADRA1A, ADRA2A, DRD5, HRH1, HTR2A		5.21, 1.56	40.11	0.95, 0.25	70.56	13.89	17.20	83.63	35.50	95.91	81.43	20.11	24.52	79.70	89.44	49.98	84.51	23.69	40.11	24.33	68.23	26.88	17.01	4.12	88.04
BRD-A88774919	CP	doxycycline	metalloproteinase inhibitor, 30S ribosomal protein inhibitor, matrix metalloprotease inhibitor, protein arginine deiminase inhibitor	MMP8, MMP1	Bacterial 30S ribosomal subunit inhibitor	11.17, 7.26	40.10	0.78, 0.23	90.34	4.11	40.34	17.96	89.92	99.93	64.13	40.10	1.99	96.51	15.86	88.84	55.18	13.49	20.47	52.99	31.18	4.38	31.84	50.96	0.00
BRD-A94793051	CP	gestrinone	progesterone receptor antagonist, Estradiol 17 beta dehydrogenase stimulant, estrone sulfotransferase stimulant	PGR, AR, ESR1	Androgen receptor modulator, Progesterone receptor antagonist	6.70, 4.47	40.09	1.31, 0.41	81.05	17.52	50.74	79.51	40.09	99.86	64.51	4.90	40.02	86.18	32.42	76.55	9.11	55.12	15.68	66.92	19.10	39.77	90.30	18.49	6.40
BRD-K26664453	CP	cytochalasin-b	microtubule inhibitor, phagocytosis inhibitor	ACTB		3.13, 1.56	40.08	2.51, 0.58	67.44	91.08	39.44	85.04	40.08	58.41	36.80	20.53	14.15	91.21	4.59	36.01	93.13	89.95	96.97	34.29	47.92	18.60	9.86	38.70	57.45
BRD-K57080016	CP	selumetinib	MEK inhibitor, MAP kinase inhibitor	MAP2K1, MAP2K2	MEK inhibitor	8.33, 3.13	40.07	0.89, 0.32	45.02	32.04	92.10	0.42	11.11	21.84	17.74	60.31	19.15	98.66	40.07	57.11	74.05	98.94	11.76	31.70	33.13	45.25	95.95	31.34	81.49
