#1.3
2429	13	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K82941592-summary	BRD-K81473089-summary	BRD-K50859149-summary	BRD-K15933101-summary	BRD-K19416115-summary	BRD-K50938287-summary	BRD-A70083328-summary	BRD-A33168282-summary	BRD-K93645900-summary	BRD-K53972329-summary	BRD-A95939040-summary	BRD-K36627727-summary	BRD-A62035778-summary
BRD-A84481105	CP	thioridazine	acetylcholine receptor ligand, dopamine receptor, dopamine receptor antagonist, mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor	DRD1, DRD2, HTR2A, ADRA1A, ADRA1B, CHRNA7, DRD5, HRH1, HTR1A, HTR2C, HTR6, HTR7, KCNH2, MALT1	Dopamine receptor antagonist	1.63, 0.00	52.76	1.84, 0.60	57.49	52.89	39.35	52.76	70.68	31.00	15.15	43.87	39.95	88.73	85.07	24.88	53.71
BRD-K97764662	CP	PD-173074	FGFR inhibitor, VEGFR inhibitor	FGFR1, FGFR3, FGFR2, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB	FGFR inhibitor, VEGFR inhibitor	1.63, 1.63	52.74	1.28, 0.40	52.74	68.65	27.61	27.01	98.24	56.15	23.59	35.39	43.47	23.15	54.12	56.28	61.16
BRD-K63430059	CP	methoxsalen	acetylcholinesterase inhibitor, cytochrome P450 inhibitor, DNA damaging, DNA synthesis inhibitor, immunosuppressant	ACHE, CYP1A2		6.14, 4.39	52.72	1.16, 0.31	52.13	98.71	-16.88	47.44	53.73	47.61	52.72	78.33	82.60	93.71	7.60	33.67	58.21
BRD-A52588987	CP	SKF-83566	dopamine receptor antagonist	DRD1, DRD5		4.39, 1.75	52.67	0.19, 0.01	28.31	57.31	67.27	18.15	77.38	76.66	52.67	34.04	96.44	36.71	23.58	66.57	44.61
BRD-K94441233	CP	mevastatin	HMGCR inhibitor	HMGCR	HMGCR inhibitor	2.44, 2.44	52.66	1.23, 0.18	97.64	48.91	64.72	56.16	48.95	70.30	10.68	13.05	17.95	52.66	80.98	60.11	42.27
BRD-K82255054	CP	propofol	membrane integrity inhibitor, membrane permeability inhibitor, TRPV agonist	CYP2B6, FAAH, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, SCN2A, SCN4A, TRPV1		5.69, 1.63	52.63	0.66, 0.17	38.89	61.95	73.52	18.17	91.00	84.12	29.12	14.72	52.63	17.81	66.56	41.63	87.55
BRD-A67799922	CP	phenoxybenzamine	adrenergic receptor antagonist	ADRA2B, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2C, ADRB2, CALM1		1.63, 0.81	52.60	0.77, 0.15	90.95	88.11	52.60	44.87	35.57	23.07	5.72	2.90	54.74	91.90	27.72	57.36	92.46
BRD-K75089421	CP	procainamide	sodium channel blocker, voltage-gated sodium channel blocker	SCN5A, DNMT1		5.69, 4.88	52.60	0.63, 0.13	47.06	85.38	64.61	42.46	30.97	69.50	52.60	76.64	40.97	42.71	80.13	33.65	77.44
BRD-K56745457	CP	azauridine	antiviral agent, blocks the conversion of orotic acid into UMP			4.07, 1.63	52.54	1.30, 0.32	11.46	53.11	57.06	96.19	87.47	39.84	46.94	92.92	52.54	-30.25	41.25	21.27	86.08
BRD-A36267905	CP	buphenine	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	6.50, 1.63	52.51	0.68, 0.27	71.96	17.75	36.96	68.61	79.52	91.29	9.30	0.14	52.51	63.35	18.17	50.60	81.01
BRD-K94070024	CP	depomedrol	glucocorticoid receptor agonist		Glucocorticoid receptor agonist	3.51, 2.63	52.48	1.47, 0.75	42.04	92.44	78.88	12.46	60.48	89.60	45.21	36.71	52.48	13.46	76.02	21.16	70.27
BRD-A03623303	CP	metoprolol	adrenergic receptor antagonist	ADRB1, ADRB2		4.07, 2.44	52.47	0.89, 0.38	5.57	52.47	32.07	85.51	97.35	95.67	-4.65	4.27	58.69	31.95	19.77	71.61	71.48
BRD-A72066420	CP	mifobate	cholesterol inhibitor, PPAR receptor antagonist, renin inhibitor	PPARG, REN		3.51, 0.88	52.47	1.33, 0.49	2.08	27.68	23.53	69.15	89.15	52.47	10.71	82.13	62.70	35.04	31.19	85.16	69.96
BRD-A76279427	CP	myriocin	sphingolipid biosynthesis inhibitor	AKT1, SPTLC1, SPTLC2, SPTLC3		5.69, 0.81	52.45	0.90, 0.24	81.92	52.45	13.77	87.36	24.63	13.18	40.84	-7.23	17.22	88.66	92.22	59.59	97.59
BRD-K49448285	CP	bisindolylmaleimide	CDK inhibitor, PKC inhibitor, leucine rich repeat kinase inhibitor	CCND1, CDK4, LRRK2, PDPK1, PIM1, PRKCA, PRKCB, PRKCI, PRKCZ	PKC inhibitor	1.75, 1.75	52.45	0.73, 0.14	9.47	73.90	40.41	39.70	-21.43	52.45	58.98	80.49	41.01	93.20	61.85	97.82	38.29
BRD-K56001384	CP	antimycin-a	antibiotic, electron transfer inhibitor	CYCS	ATP synthase inhibitor	5.26, 2.63	52.45	1.50, 0.24	55.63	37.49	71.88	52.45	-92.82	77.24	12.25	7.34	33.12	56.30	18.85	97.38	76.67
BRD-A85280935	CP	quinpirole	dopamine receptor agonist	DRD2, DRD3, DRD4, DRD1, HTR1A, HTR2A, HTR2B, HTR2C		3.51, 1.75	52.44	1.22, 0.32	52.44	74.86	89.93	43.09	72.94	36.69	40.37	74.43	86.82	28.30	48.45	13.53	84.45
BRD-K00312224	CP	PPT	estrogen receptor agonist	ESR1	Estrogen receptor agonist	4.07, 2.44	52.43	0.85, 0.16	88.12	43.00	57.23	52.43	-38.15	53.37	22.56	28.03	18.76	86.51	47.80	58.01	68.10
BRD-K83063356	CP	RS-102895	CC chemokine receptor antagonist, CCR antagonist	CCR2		6.14, 1.75	52.41	1.01, 0.33	9.99	94.25	46.84	7.56	86.78	29.12	24.01	94.46	89.41	52.78	53.56	48.71	52.41
BRD-K53665955	CP	MK-5108	Aurora kinase inhibitor	AURKA, AURKB, AURKC	Aurora kinase inhibitor	0.00, 0.00	52.37	1.05, 0.53	7.37	27.78	86.24	55.88	61.23	7.15	71.03	64.08	58.94	17.08	7.32	52.37	44.80
BRD-K36324071	CP	NF-449	purinergic receptor antagonist	P2RX1		4.88, 2.44	52.36	1.60, 0.48	26.38	52.36	84.14	41.50	96.42	68.57	55.81	93.33	23.12	19.44	24.29	30.35	61.85
BRD-K95992530	CP	Cyclo-[Arg-Gly-Asp-D-Phe-Val]	integrin antagonist	ITGAV, ITGB3		3.25, 3.25	52.36	0.75, 0.14	86.85	19.48	58.32	-18.10	66.84	70.69	14.61	55.08	10.49	87.70	43.08	52.36	13.08
BRD-K59058766	CP	chlorprothixene	dopamine receptor, dopamine receptor antagonist	DRD2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, HRH1, HTR2A, HTR2B, HTR2C	Dopamine receptor antagonist	8.13, 3.25	52.33	1.59, 0.57	92.40	12.06	82.67	24.88	-19.19	52.33	8.83	0.67	65.95	45.95	77.36	89.21	57.19
BRD-K42095107	CP	daidzein	estrogen receptor agonist	ESRRA, ESRRB, ESRRG, TRPC5	Estrogen receptor agonist	4.39, 2.63	52.25	1.38, 0.39	52.25	25.82	24.82	31.85	90.24	66.37	46.96	78.76	88.17	98.52	40.69	8.15	53.22
BRD-A83937277	CP	mephenytoin	cytochrome P450 substrate	SCN5A, CYP2C19		4.39, 1.75	52.22	1.45, 0.38	17.74	87.65	34.22	26.25	82.63	84.32	84.88	20.58	58.10	52.22	16.16	3.59	73.85
BRD-K32610195	CP	androstenedione	cytochrome P450 inhibitor	AKR1C3, HSD17B1, HSD3B1		7.32, 2.44	52.13	1.32, 0.38	35.72	74.31	39.09	21.90	97.48	73.68	31.11	86.84	98.17	52.13	31.23	20.12	57.92
BRD-K28863208	CP	PNU-282987	acetylcholine receptor antagonist	CHRNA7		5.69, 4.88	52.12	0.78, 0.19	89.09	73.65	38.98	35.12	92.29	75.35	32.66	52.12	21.74	31.72	48.69	78.89	80.36
BRD-K48300629	CP	zonisamide	GABA receptor agonist, Sodium Channel  Blockers, T-type calcium channel blocker	CA1, CA12, CA7, SCN1A, CA10, CA11, CA13, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA8, CA9, CACNA1G, CACNA1H, CACNA1I, MAOA, MAOB, SCN11A, SCN1B, SCN2A, SCN2B, SCN3A, SCN3B, SCN4A, SCN4B, SCN5A, SCN9A		7.02, 2.63	52.10	0.80, 0.19	23.08	92.91	32.06	1.89	46.77	52.10	54.07	96.26	94.60	34.27	79.05	33.89	97.83
BRD-K64044582	CP	linoleamide	ACAT inhibitor	SOAT1, SOAT2		3.25, 1.63	52.10	1.16, 0.32	50.48	62.32	28.77	80.05	56.91	79.82	37.81	41.39	96.02	1.69	56.98	51.20	52.10
BRD-A53576514	CP	orphenadrine	acetylcholine receptor antagonist	CYP2B6, GRIN1, GRIN2D, GRIN3A, GRIN3B, HRH1, SCN10A, SLC6A2		8.13, 3.25	52.08	0.95, 0.28	13.56	60.83	96.41	32.75	97.08	79.41	5.25	93.36	69.42	6.10	10.21	48.75	52.08
BRD-A39255369	CP	DCPIB	chloride channel blocker, gap junction modulator, glutamate transporter inhibitor, membrane permeability inhibitor	SLC1A2		2.44, 0.00	52.07	0.65, 0.24	57.35	46.48	26.50	79.85	-66.68	74.13	7.15	33.75	52.07	89.57	12.37	72.71	75.70
BRD-A75402480	CP	desoxycorticosterone	mineralocorticoid receptor agonist			11.38, 4.88	52.01	1.09, 0.35	94.57	87.33	26.90	93.42	6.43	77.83	4.86	52.01	25.85	98.13	43.18	51.44	99.38
BRD-K56064827	CP	EI-273	PKC inhibitor	PRKCA, PRKCG		10.57, 5.69	51.98	2.13, 0.88	23.50	18.60	58.10	94.59	96.81	94.36	18.02	99.30	51.98	-2.33	1.80	57.63	46.98
BRD-A97739905	CP	ketoprofen	cyclooxygenase inhibitor	PTGS2, PTGS1, CXCR1, SLC5A8		4.07, 1.63	51.96	1.07, 0.39	45.87	40.89	27.91	1.06	85.67	77.02	42.68	91.68	85.58	10.84	51.96	66.49	76.35
BRD-A37492983	CP	iocetamic-acid	molecule used as a contrast medium			7.89, 5.26	51.91	0.77, 0.35	37.24	18.55	45.15	97.48	67.75	59.32	9.82	99.93	62.26	93.93	31.59	51.91	-3.77
BRD-A41555725	CP	chlortetracycline	protein synthesis inhibitor			5.26, 1.75	51.91	1.30, 0.49	39.58	28.72	63.23	24.63	90.30	94.89	72.46	84.89	63.35	51.91	36.58	36.85	42.86
BRD-K92446736	CP	zatebradine	HCN (hyperpolarization activated cyclic nucleotide gated) channel blocker, HCN channel antagonist, potassium channel antagonist, sodium channel blocker	HCN1, HCN2, HCN3, HCN4		7.32, 3.25	51.88	0.68, 0.17	95.53	89.17	96.64	48.49	78.65	84.26	33.58	89.02	37.85	41.47	26.50	16.82	51.88
BRD-A36217750	CP	sulfinpyrazone	platelet aggregation inhibitor	ABCC1, ABCC2, FPR1, SLC22A12		4.39, 1.75	51.83	0.36, 0.06	11.54	68.59	91.81	31.28	60.47	31.23	26.32	55.38	90.91	51.83	3.30	15.35	88.20
BRD-K15196155	CP	IBC-293	hydroxycarboxylic acid receptor agonist	HCAR3		8.13, 4.88	51.83	1.02, 0.26	51.83	77.90	52.37	78.91	-33.51	80.64	20.75	22.36	35.74	25.57	62.00	39.10	95.43
BRD-K26429091	CP	J-104129	acetylcholine receptor antagonist	CHRM3		11.38, 4.07	51.83	1.17, 0.33	96.78	99.37	-5.56	40.05	-70.09	74.68	9.82	5.95	51.83	97.09	47.52	84.57	77.40
BRD-K41260949	CP	valproic-acid	HDAC inhibitor, ABAT inhibitor, GABA receptor agonist, GABAergic transmission enhancer, voltage-gated sodium channel blocker	ABAT, HDAC1, SCN1A, SCN3A, ACADSB, ALDH5A1, HDAC2, HDAC9, OGDH, SCN10A, SCN11A, SCN1B, SCN2A, SCN2B, SCN3B, SCN4A, SCN4B, SCN5A, SCN7A, SCN8A, SCN9A		7.32, 1.63	51.72	0.66, 0.19	24.51	92.60	51.72	40.19	85.67	58.33	75.79	75.00	19.18	4.45	60.45	12.93	42.21
BRD-K63915849	CP	AS-604850	Phosphatidylinositol 3-kinase (PI3K) inhibitor, PI3K inhibitor	PIK3CG, PIK3CA		7.32, 3.25	51.69	1.13, 0.32	48.39	28.84	85.27	50.22	90.23	51.69	44.25	22.68	-5.09	58.08	63.12	65.96	86.78
BRD-K17743697	CP	KB-R7943	sodium/calcium exchange inhibitor	SLC8A1, TRPC3, TRPC5, TRPC6	T-type calcium channel blocker	6.50, 2.44	51.67	1.43, 0.42	98.94	31.88	68.91	0.53	81.30	54.89	22.05	31.07	72.80	51.67	87.96	17.93	3.98
BRD-A56020723	CP	CA-074-Me	cathepsin inhibitor, antiamyloidogenic agent	CTSB		3.51, 1.75	51.66	2.63, 0.91	7.75	51.88	28.61	10.78	66.91	76.09	47.17	54.95	51.66	86.96	12.90	27.67	85.54
BRD-K84175871	CP	pseudoephedrine	histamine receptor antagonist, interleukin expression inhibitor, tumor necrosis factor expression inhibitor	ADRA1A, ADRA2A, ADRB1, ADRB2, ATF1, ATF2, ATF3, ATF4, ATF5, ATF6, ATF7, CXCL8, FOS, HRH1, IL2, JDP2, JUN, NFATC1, SLC6A2, SLC6A3, SLC6A4, TNF		5.69, 2.44	51.65	1.17, 0.32	25.59	42.90	88.35	16.10	75.98	91.14	51.65	19.21	96.30	66.59	15.85	22.25	86.01
BRD-A87387433	CP	cefpodoxime	cell wall synthesis inhibitor			4.81, 1.92	51.63	1.22, 0.39	55.18	89.14	14.52	5.76	83.93	93.90	40.86	11.14	71.86	92.21	51.63	15.40	32.72
BRD-A56359832	CP	zileuton	leukotriene synthesis inhibitor, lipoxygenase inhibitor	ALOX5		5.69, 4.88	51.60	0.57, 0.07	51.60	44.04	54.59	42.20	81.96	62.02	97.82	86.04	82.05	16.47	33.21	16.83	38.23
BRD-A49160188	CP	donepezil	acetylcholinesterase inhibitor	ACHE, HTR2A		4.07, 1.63	51.59	1.13, 0.32	77.38	43.39	34.09	57.33	49.61	52.16	35.64	77.92	96.79	14.04	23.55	86.17	51.59
BRD-K67578145	CP	GDC-0879	RAF inhibitor	BRAF	RAF inhibitor	5.69, 3.25	51.56	1.20, 0.40	51.56	49.56	79.85	34.61	74.46	51.79	13.74	11.31	30.85	98.27	55.03	47.80	59.83
BRD-A84189516	CP	baccatin-III	paclitaxel precursor			1.63, 0.00	51.49	1.48, 0.32	15.31	74.55	68.87	10.97	51.49	75.42	6.14	10.22	26.40	74.05	60.15	70.58	49.78
BRD-K80451230	CP	zamifenacin	acetylcholine receptor antagonist	CHRM3		3.51, 1.75	51.49	1.13, 0.31	28.52	53.66	1.97	80.99	84.71	37.58	79.71	89.86	53.16	51.49	36.23	50.36	37.43
BRD-A42167015	CP	carteolol	adrenergic receptor antagonist	ADRB1, ADRB2		7.32, 4.88	51.48	0.70, 0.17	47.53	82.15	15.25	78.11	14.05	89.41	30.45	25.66	51.48	86.31	80.96	1.80	96.40
BRD-K14550461	CP	doxercalciferol	vitamin D receptor agonist	VDR	Vitamin D receptor agonist	9.65, 5.26	51.46	1.52, 0.33	87.07	59.95	81.18	45.48	99.08	53.52	28.89	51.46	12.27	6.62	59.24	19.86	7.40
BRD-K55044200	CP	amoxicillin	cell wall synthesis inhibitor, PBPA inhibitor	SLC15A1		7.02, 4.39	51.46	1.64, 0.45	67.22	63.23	99.82	51.46	50.45	20.66	48.90	25.78	99.00	63.72	26.34	64.14	3.98
BRD-K72024482	CP	MRS-1754	adenosine receptor antagonist	ADORA2B, ADORA1, ADORA2A, ADORA3		9.76, 4.07	51.44	0.80, 0.20	36.69	2.96	51.44	51.31	97.41	75.99	75.70	17.85	40.26	60.79	88.35	14.11	99.30
BRD-K63792901	CP	arecaidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4		4.07, 2.44	51.37	0.78, 0.23	37.08	86.55	51.37	37.61	73.18	38.44	6.81	87.97	29.18	91.04	84.59	51.29	84.02
BRD-K75532464	CP	FTI-276	farnesyltransferase inhibitor	FNTA, FNTB		0.81, 0.00	51.37	0.58, 0.22	41.72	83.63	33.46	40.83	69.65	77.27	26.18	18.17	59.42	61.01	37.35	51.37	65.04
BRD-K14807180	CP	SB-221284	serotonin receptor antagonist	HTR2B, HTR2C, HTR2A		8.13, 4.07	51.34	0.81, 0.22	88.58	24.67	6.68	91.81	44.06	69.95	55.90	77.49	39.42	24.00	31.12	51.34	72.90
BRD-K56700933	CP	phenethyl-isothiocyanate	cancer cell growth inhibitor, unidentified pharmacological activity	CYP2E1		3.25, 3.25	51.34	0.93, 0.19	1.42	89.29	10.31	6.66	61.62	68.62	68.82	41.34	94.61	98.27	42.85	12.40	51.34
BRD-K38305202	CP	domperidone	dopamine receptor antagonist, breast cancer resistance protein inhibitor	DRD2, DRD3, ABCG2, CYP3A5		8.13, 5.69	51.28	0.81, 0.09	76.52	46.18	56.45	79.67	90.65	51.28	48.25	14.61	96.12	36.89	27.33	7.92	96.74
BRD-K08924299	CP	palonosetron	serotonin receptor antagonist	HTR3A		7.32, 3.25	51.27	1.28, 0.34	-0.18	35.07	51.27	18.11	99.27	58.81	65.88	84.70	61.09	16.25	14.75	6.02	87.91
BRD-K08287586	CP	butylparaben	antimicrobial preservative			4.07, 0.81	51.26	0.50, 0.10	88.84	45.44	31.56	24.53	63.67	45.35	67.87	51.26	76.82	46.86	70.35	8.11	83.21
BRD-K43290182	CP	Ro-04-6790	serotonin receptor antagonist, serotonin receptor inhibitor	HTR6		4.07, 1.63	51.25	0.85, 0.27	93.36	49.29	22.03	51.25	67.06	19.11	68.09	2.75	93.56	79.53	36.88	59.37	45.34
BRD-K89732114	CP	trifluoperazine	breast cancer resistance protein inhibitor, calcium/calmodulin dependent protein kinase inhibitor, dopamine receptor, dopamine receptor antagonist, sodium channel blocker	DRD2, ABCG2, ADRA1A, CALM1, CALY, CAMK2A, DRD4, HRH1, HTR2A, HTR2C, S100A4, SCN4A, SCN9A, TNNC1	Dopamine receptor antagonist	2.44, 0.81	51.24	1.24, 0.32	75.66	51.24	39.62	30.19	62.86	55.63	17.63	22.60	65.53	37.16	54.97	57.56	49.28
BRD-A31204924	CP	mitotane	antineoplastic agent	CYP11B1, CYP11A1, CYP3A4, ESR1, FDX1		5.69, 4.07	51.21	0.66, 0.11	74.44	92.80	34.73	24.90	60.33	51.80	51.21	43.88	18.90	17.13	83.86	55.12	25.22
BRD-K06221026	CP	DUP-697	cyclooxygenase inhibitor	PTGS2		4.07, 2.44	51.16	0.72, 0.19	69.30	64.36	62.55	51.16	65.38	76.95	39.95	9.52	55.77	2.57	39.23	28.68	46.94
BRD-A34751532	CP	homosalate	HSP activator			4.88, 3.25	51.13	0.73, 0.31	93.19	1.37	25.23	15.54	70.23	86.09	12.52	0.07	95.08	37.04	68.88	51.13	99.58
BRD-K51751936	CP	alfadolone	GABA receptor agonist			8.13, 4.88	51.12	1.16, 0.34	51.12	49.54	12.79	21.19	87.62	93.63	65.13	93.49	10.51	20.14	67.45	27.69	99.65
BRD-A94793051	CP	gestrinone	progesterone receptor antagonist, Estradiol 17 beta dehydrogenase stimulant, estrone sulfotransferase stimulant	PGR, AR, ESR1	Androgen receptor modulator, Progesterone receptor antagonist	3.51, 0.88	51.11	1.31, 0.41	62.59	51.11	34.59	9.26	95.51	69.07	44.10	59.56	32.93	74.82	34.82	36.16	53.25
BRD-A42571354	CP	cetirizine	histamine receptor antagonist	HRH1		4.07, 3.25	51.08	0.81, 0.11	89.66	51.08	35.29	93.56	40.34	37.78	48.92	84.27	40.53	4.90	81.94	74.86	82.30
BRD-A09056319	CP	alfuzosin	adrenergic receptor antagonist	ADRA1A, ADRA1D, ADRA1B, KCNH2		2.44, 1.63	51.07	0.57, 0.11	59.10	61.21	28.30	13.63	-20.53	51.07	71.71	83.97	86.95	37.53	32.18	31.99	92.11
BRD-A31159102	CP	fluoxetine	selective serotonin reuptake inhibitor (SSRI), serotonin transporter (SERT) inhibitor, serotonin uptake inhibitor, Sodium Channel  Blockers	SLC6A4, ANO1, CYP2C19, HTR2B		1.63, 0.00	51.07	1.32, 0.30	86.24	29.19	9.90	56.96	22.28	48.98	36.55	69.09	54.17	64.84	64.56	51.07	34.60
BRD-K52620403	CP	STO-609	calcium/calmodulin dependent protein kinase inhibitor, calmodulin inhibitor	CAMKK1, CAMKK2		4.88, 2.44	51.00	1.22, 0.38	51.05	92.26	63.80	30.38	63.63	29.39	16.87	34.64	19.81	51.00	68.87	39.41	74.83
BRD-A77299732	CP	salubrinal	eukaryotic translation initiation factor inhibitor, GlyT-1 inhibitor	EIF2S1, SLC6A9		4.39, 3.51	50.99	1.56, 0.45	32.27	80.31	82.11	21.81	50.99	60.24	13.88	90.98	69.31	7.29	36.43	92.84	16.08
BRD-K22193694	CP	dioxybenzone	topical sunscreen agent			7.32, 5.69	50.99	0.84, 0.14	66.57	48.46	20.23	50.99	-32.11	86.58	55.77	94.65	94.94	12.75	36.05	10.33	76.73
BRD-K34995470	CP	SU-1498	receptor tyrosine protein kinase inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	ERBB2, KDR		2.44, 1.63	50.98	0.81, 0.25	75.74	42.75	50.98	0.56	82.32	56.96	34.06	47.31	21.77	21.55	64.61	87.35	53.87
BRD-K88849294	CP	lobaric-acid	tyrosine phosphatase inhibitor	PTPN1		2.63, 1.75	50.98	1.53, 0.39	27.71	50.98	40.88	56.87	59.91	83.84	14.96	67.32	68.02	60.10	33.01	7.90	25.76
BRD-K92413528	CP	thiazolidinecarboxylic-acid	glutathione synthase stimulant, reducing agent			7.69, 3.85	50.97	2.32, 0.82	46.37	63.83	35.45	18.90	-73.82	98.03	96.40	8.61	99.93	67.78	-3.84	50.97	76.40
BRD-K29668683	CP	BD-1063	sigma receptor antagonist	SIGMAR1	Sigma receptor antagonist	4.88, 3.25	50.96	1.31, 0.28	80.24	58.04	97.61	45.67	66.68	88.51	5.91	43.89	15.41	11.54	92.40	50.96	46.91
BRD-K64670467	CP	JNJ-16259685	glutamate receptor antagonist	GRM1		4.88, 3.25	50.94	1.05, 0.33	53.01	20.40	51.63	55.85	89.50	73.82	76.20	7.30	14.64	6.84	50.94	6.24	32.26
BRD-K34014345	CP	naproxol	antiinflammatory agent	PTGS1, PTGS2		4.07, 2.44	50.93	0.80, 0.20	82.46	86.63	50.93	80.96	76.78	36.26	47.55	27.77	89.80	4.90	17.80	24.59	58.01
BRD-K78633253	CP	EXO-1	ARF inhibitor			4.07, 2.44	50.93	0.30, 0.06	60.16	29.51	56.69	10.40	18.30	95.45	55.86	4.09	4.62	49.17	50.93	72.32	90.74
BRD-K08890269	CP	CO-102862	sodium channel blocker	SCN2A, SCN4A, SCN9A		6.50, 0.81	50.91	0.98, 0.20	29.80	27.55	57.57	44.22	50.09	96.28	17.00	5.25	73.59	92.21	67.71	50.91	96.58
BRD-K02992638	CP	lamivudine	nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor			7.32, 4.07	50.89	0.59, 0.19	67.13	37.25	79.80	25.50	99.08	89.95	88.64	73.03	6.12	6.81	50.89	23.39	43.00
BRD-K36616567	CP	doxepin	histamine receptor antagonist, adrenergic transmitter uptake inhibitor, histamine receptor inhibitor, norepinephrine reputake inhibitor, serotonin reuptake inhibitor, tricyclic antidepressant	HRH1, HRH2, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD2, HRH4, HTR1A, HTR2A, HTR2B, HTR2C, HTR6, KCNH2, SLC6A3		5.69, 3.25	50.89	0.76, 0.17	93.70	45.36	74.50	55.25	78.71	45.18	4.58	37.70	96.02	50.89	40.89	83.20	20.93
BRD-K29113274	CP	ketoconazole	14-alpha demethylase inhibitor, androgen receptor ligand, aromatase inhibitor, cell wall synthesis inhibitor, cortisol synthesis inhibitor, P glycoprotein inhibitor, sterol demethylase inhibitor	AR, CYP19A1, CYP21A2, CYP2C19, CYP3A5, CYP3A7, KCNA10	Sterol demethylase inhibitor	5.77, 2.88	50.88	0.83, 0.18	59.83	24.76	83.89	97.37	-61.12	73.30	75.77	-14.12	16.69	55.25	39.53	50.88	-1.06
BRD-A92537424	CP	danazol	estrogen receptor antagonist, luteinizing hormone releasing hormone antagonist, progesterone receptor agonist, steroid derivative with antigonadotropic and anti-estrogenic activities, tumor necrosis factor modulator	ESR1, GNRHR, AR, CCL2, CYP2C8, GNRHR2, PGR, TNF		7.32, 2.44	50.86	1.02, 0.32	56.96	84.20	35.45	50.86	96.79	94.34	44.70	36.63	88.61	5.99	30.07	45.10	88.54
BRD-K21971034	CP	OM-137	Aurora kinase inhibitor		Aurora kinase inhibitor	7.02, 4.39	50.79	0.95, 0.15	50.79	56.49	20.25	87.88	38.88	62.19	30.01	0.04	39.46	97.74	92.08	22.18	76.33
BRD-K81209512	CP	AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		4.07, 2.44	50.77	0.85, 0.26	50.77	39.77	43.76	46.90	88.01	94.12	52.03	0.04	27.66	83.92	89.84	48.84	90.73
BRD-K51662849	CP	ilomastat	matrix metalloprotease inhibitor	ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9		5.69, 2.44	50.76	0.91, 0.33	55.27	50.76	58.88	98.52	50.16	30.26	6.51	18.66	48.18	6.52	52.77	75.09	59.61
BRD-K39965020	CP	doconexent	PPAR receptor agonist, unidentified pharmacological activity	FFAR1, PPARA, PTGS1, PTGS2	PPAR receptor agonist	4.88, 1.63	50.73	0.77, 0.27	72.42	94.63	16.54	50.73	61.93	85.64	29.85	21.97	88.64	5.10	38.64	18.17	94.86
BRD-A13133631	CP	fluorometholone	corticosteroid agonist, glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	5.26, 1.75	50.71	1.45, 0.72	93.13	37.19	54.19	50.71	83.83	36.73	21.64	97.40	51.65	8.93	8.63	4.14	86.34
BRD-A15435692	CP	BMY-14802	sigma receptor antagonist, glutamate receptor antagonist, serotonin receptor agonist	HTR1A, SIGMAR1	Sigma receptor antagonist	7.32, 4.88	50.63	0.85, 0.31	72.58	52.44	63.84	0.35	97.18	76.04	8.08	47.59	50.63	46.79	99.86	22.06	44.40
BRD-A22844106	CP	tenoxicam	cyclooxygenase inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1		2.44, 0.81	50.57	0.67, 0.11	92.80	39.22	15.22	56.25	53.62	94.92	50.57	89.44	15.35	4.76	9.68	30.03	74.17
BRD-A99177642	CP	deltaline	acetylcholine receptor antagonist	CHRNA7		4.88, 2.44	50.57	0.77, 0.28	36.69	92.50	14.46	38.09	73.47	23.72	50.57	54.39	15.37	76.23	92.16	13.21	70.55
BRD-K03670461	CP	tyrphostin-AG-82	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR, LCK		5.69, 3.25	50.56	0.80, 0.15	88.50	42.85	18.21	50.56	83.74	98.32	66.92	14.23	33.73	91.15	88.53	21.85	12.88
BRD-K92817986	CP	BJM-CSC-19	compound cytotoxic to breast cancer stem cells			2.44, 1.63	50.56	0.58, 0.14	67.75	50.56	35.94	16.88	87.53	96.20	62.84	33.88	28.16	23.08	40.78	89.14	83.53
