#1.3
2429	28	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K04185004-summary	BRD-K25394294-summary	BRD-K55930204-summary	BRD-K87990216-summary	BRD-A43882281-summary	BRD-A33447119-summary	BRD-K47780086-summary	BRD-K74514084-summary	BRD-A22380646-summary	BRD-A28746609-summary	BRD-A65013509-summary	BRD-A18043272-summary	BRD-K01292756-summary	BRD-A19633847-summary	BRD-K85090592-summary	BRD-A97479839-summary	BRD-K90333595-summary	BRD-K15567136-summary	BRD-A48430263-summary	BRD-K67277431-summary	BRD-K51313569-summary	BRD-K47869605-summary	BRD-A97701745-summary	BRD-K37991163-summary	BRD-K67102207-summary	BRD-K15409150-summary	BRD-K92731339-summary	BRD-A57382968-summary
BRD-K13810148	CP	givinostat	HDAC inhibitor, interleukin receptor antagonist, interleukin synthesis inhibitor, tumor necrosis factor receptor antagonist, tumor necrosis factor release inhibitor	HDAC2, HDAC1, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IL1B, IL1R2, IL6R, TNF	HDAC inhibitor	3.23, 1.21	44.14	1.35, 0.48	14.05	23.70	15.08	19.07	89.15	71.81	21.54	80.43	5.21	55.84	11.66	11.84	91.86	85.73	44.34	59.56	29.31	25.97	12.97	43.94	80.34	9.89	37.20	80.56	47.49	67.40	69.29	47.17
BRD-K61737877	CP	VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor	KDR		2.94, 1.47	44.12	0.90, 0.31	91.86	90.85	48.09	9.48	6.10	60.52	45.08	72.29	28.16	66.65	47.47	79.00	0.03	11.52	43.16	96.67	86.19	45.47	4.98	82.92	-29.80	11.88	18.02	-0.03	33.89	4.02	67.08	3.84
BRD-K73290745	CP	ICI-199441	opioid receptor agonist	OPRK1, CYP2D6, OPRD1, OPRM1, UTS2R		8.21, 5.60	44.11	1.42, 0.38	71.17	3.70	54.28	19.29	9.31	54.17	30.16	90.30	28.71	37.76	45.70	80.01	98.33	92.46	89.51	42.13	36.43	25.37	25.70	38.40	42.53	49.95	53.68	91.24	64.90	95.45	-5.23	24.61
BRD-K46317332	CP	proadifen	nitric oxide synthase inhibitor, cytochrome P450 inhibitor, potassium channel blocker	NOS1		7.09, 4.85	44.05	0.60, 0.16	69.65	72.04	77.46	29.78	46.27	50.99	26.99	16.44	38.51	43.63	36.29	76.97	44.47	5.79	84.26	97.99	22.93	72.93	41.07	53.38	67.51	28.93	85.67	7.28	48.38	16.60	40.32	9.48
BRD-K25905511	CP	buddleoflavonoloside	acetylcholinesterase inhibitor			4.48, 1.49	44.02	1.34, 0.43	40.16	56.83	70.24	44.79	81.32	79.37	35.56	1.30	83.55	51.01	43.37	68.57	6.27	5.87	57.76	39.69	58.66	21.34	78.83	96.04	5.88	30.58	44.68	17.43	91.48	5.73	4.99	14.26
BRD-A34806832	CP	proscillaridin	ATPase inhibitor	ATP1A1	ATPase inhibitor	4.10, 1.87	44.01	2.23, 0.53	29.45	2.30	11.87	4.51	55.17	34.89	13.32	89.95	53.96	41.78	63.97	24.14	13.45	89.58	71.69	32.98	77.89	65.55	68.84	46.25	54.38	98.74	13.92	72.44	24.03	93.64	-14.98	14.84
BRD-K17796732	CP	JWH-015	cannabinoid receptor agonist	CNR2, GPR55	Cannabinoid receptor agonist	6.72, 1.87	43.99	1.25, 0.41	88.11	26.35	51.06	52.11	84.06	66.45	20.38	41.90	30.14	8.17	45.95	72.69	9.99	37.55	88.40	62.69	95.49	85.10	98.06	79.10	4.09	7.92	41.94	6.63	66.81	13.34	42.03	12.04
BRD-A17819071	CP	gedunin	HSP inhibitor	HSP90AA1		6.25, 2.92	43.98	1.02, 0.28	83.39	3.66	37.96	55.37	-0.78	16.12	78.27	-67.48	65.29	56.14	86.12	96.83	69.43	87.17	98.03	36.11	81.22	9.36	-2.71	36.40	13.00	91.39	36.33	30.60	30.47	49.99	97.05	24.67
BRD-K59650319	CP	YM-298198	glutamate receptor antagonist	GRM1		7.09, 3.73	43.95	0.99, 0.30	98.69	52.26	93.64	73.89	22.06	17.75	87.01	79.62	46.67	53.32	40.14	99.08	2.43	0.00	41.24	72.62	79.01	6.12	39.18	20.16	2.75	7.08	82.58	-0.25	92.41	19.44	69.93	8.22
BRD-A20697603	CP	thiostrepton	downregulates FOXM1 expression, FOXM1 expression inhibitor, protein synthesis inhibitor	FOXM1	Protein synthesis inhibitor	2.99, 1.49	43.89	1.86, 0.31	49.65	37.46	25.25	28.70	55.57	36.89	39.58	17.75	74.13	59.41	51.57	2.92	82.19	96.90	77.58	62.98	11.98	34.24	35.74	48.19	88.40	58.96	6.34	80.86	11.52	92.76	-6.45	-18.24
BRD-K02283807	CP	GR-32191	thromboxane receptor antagonist, prostanoid receptor antagonist	TBXA2R	Thromboxane receptor antagonist	3.36, 2.61	43.87	0.80, 0.28	88.08	58.67	61.41	99.05	94.64	34.86	41.99	50.82	53.25	34.93	39.55	92.71	-12.88	-8.59	45.75	6.63	1.23	12.03	83.53	60.78	53.71	12.55	67.60	14.56	38.46	13.27	66.52	13.44
BRD-K82983861	CP	GW-0742	PPAR receptor agonist, insulin sensitizer	INS, PPARD	PPAR receptor agonist	3.36, 1.87	43.86	1.32, 0.43	65.60	40.82	77.00	74.03	26.79	2.40	17.56	18.36	48.45	18.24	55.61	17.82	49.16	1.83	13.91	61.09	93.56	12.50	97.50	37.68	56.63	19.97	78.98	16.27	46.90	5.95	90.22	57.87
BRD-K40619305	CP	larixinic-acid	comopund that interacts with metal centers			2.61, 0.75	43.83	1.18, 0.39	65.28	66.33	42.07	36.23	39.09	59.51	75.22	31.29	29.66	74.30	51.97	24.96	7.91	0.88	66.94	34.50	21.68	8.27	70.03	63.25	71.13	45.59	88.89	4.43	49.51	8.04	18.74	55.07
BRD-K72024482	CP	MRS-1754	adenosine receptor antagonist	ADORA2B, ADORA1, ADORA2A, ADORA3		3.73, 1.87	43.83	0.80, 0.20	41.54	18.81	54.24	27.68	46.11	38.52	22.19	9.97	84.31	80.68	79.91	62.50	6.62	0.78	95.50	73.64	87.10	15.46	23.80	92.34	-3.31	46.76	85.26	11.32	70.14	12.86	57.62	5.98
BRD-K06208435	CP	YS-035	calcium channel blocker			2.61, 1.12	43.82	1.06, 0.41	73.30	32.79	12.68	-18.16	23.07	39.97	69.65	26.16	89.83	47.67	14.57	90.22	2.29	33.09	71.90	75.67	71.57	32.62	90.37	82.21	70.04	86.77	21.71	26.30	73.45	5.14	37.90	51.17
BRD-A49046702	CP	SKF-89976A	GABA uptake inhibitor	SLC6A1		4.10, 1.49	43.81	0.89, 0.27	95.20	63.04	26.66	81.80	45.82	21.45	70.33	1.87	83.37	18.74	-8.84	77.58	5.68	1.06	90.63	45.51	42.11	24.71	55.37	31.46	25.89	8.61	56.04	41.82	84.11	38.22	59.30	86.59
BRD-K31283835	CP	tofacitinib	JAK inhibitor, disease modifying antirheumatic drug, immunosuppressant, MAP kinase inhibitor, tyrosine kinase inhibitor	JAK3, JAK1, JAK2, CYP2C19, TYK2		2.24, 0.75	43.78	0.80, 0.15	60.01	17.44	70.15	9.95	43.18	27.46	72.94	80.84	45.91	44.39	49.29	79.15	3.50	0.00	70.87	7.47	61.73	20.32	94.83	82.24	58.70	-32.08	28.58	4.30	46.12	0.39	36.46	23.79
BRD-K35377380	CP	I-OMe-AG-538	inhibitor of insulin growth factor 1 receptor protein tyrosine kinase			4.84, 2.42	43.78	1.02, 0.26	68.99	14.49	54.13	63.58	46.33	30.22	68.45	30.66	18.71	64.28	90.24	99.93	-3.49	34.88	55.48	45.82	7.53	9.08	89.60	18.37	36.24	66.56	41.74	2.29	48.07	7.47	19.14	70.43
BRD-K67680372	CP	CI-966	GABA uptake inhibitor, GAT inhibitor	SLC6A1		3.36, 1.49	43.74	0.90, 0.19	56.47	36.87	61.36	88.54	91.61	45.34	93.22	87.50	37.12	6.77	75.39	65.58	5.84	1.09	36.44	42.14	15.20	15.46	41.42	82.28	7.70	80.30	51.80	2.89	55.13	39.09	94.36	9.55
BRD-A16700644	CP	isoxsuprine	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	1.61, 0.81	43.73	0.77, 0.20	56.77	22.79	69.51	40.59	52.54	51.54	16.32	87.61	22.17	39.56	85.00	91.69	28.82	6.70	57.11	65.99	54.95	46.87	25.69	28.13	23.27	85.46	92.55	40.07	73.86	34.67	2.88	28.73
BRD-K25504083	CP	cytochalasin-d	actin polymerization inhibitor, actin stabilizer	ACTB		4.48, 2.24	43.69	1.82, 0.44	30.87	12.35	85.48	13.67	7.82	15.05	77.55	91.96	41.24	96.83	68.20	46.13	77.57	96.41	74.16	32.75	15.73	58.04	16.73	16.70	70.86	97.25	23.23	72.15	23.47	86.78	13.30	2.68
BRD-K97399794	CP	quercetin	aldose reductase inhibitor, cytokine production inhibitor, EGFR inhibitor, glucosidase inhibitor, monoamine oxidase inhibitor, polar auxin transport inhibitor, quorum sensing signaling modulator, SIRT activator, sodium channel blocker, tyrosine phosphatase inhibitor, xanthine oxidase inhibitor	PIK3CG, AKR1B1, ATP5A1, ATP5B, ATP5C1, CYP2C8, EGFR, GAA, HCK, HIBCH, MAOA, PIM1, PTPN1, SCN5A, SIRT1, STK17B, UGT3A1, XDH		5.60, 2.24	43.65	0.98, 0.30	7.29	50.86	42.04	24.13	10.59	41.20	57.87	96.14	-1.30	26.41	30.71	60.52	10.75	77.69	59.23	18.44	7.52	88.87	85.39	82.69	45.26	81.37	6.08	8.43	91.14	51.82	53.10	27.57
BRD-K10176267	CP	L-701252	glutamate receptor antagonist	GRIN1		4.48, 1.87	43.65	1.18, 0.38	69.81	15.18	91.55	92.03	45.69	29.76	22.77	37.41	42.22	60.76	80.15	70.96	13.91	1.20	62.20	45.07	73.24	5.56	36.40	74.73	3.36	50.59	59.50	10.44	19.13	8.42	77.79	34.08
BRD-K75615183	CP	talipexole	adrenergic receptor agonist, dopamine receptor agonist, dopamine autoreceptor agonist, serotonin receptor antagonist	DRD2, HTR3A		4.10, 1.49	43.62	0.89, 0.22	33.19	45.40	65.67	37.96	25.75	14.71	22.07	38.55	35.20	33.96	90.28	95.79	47.66	7.48	99.40	67.33	28.79	34.25	65.45	76.19	80.99	74.29	72.02	2.57	48.48	41.84	34.90	81.62
BRD-A67605442	CP	tetrahydrobiopterin	nitric oxide stimulant, nitric oxide synthase stimulant, phenylalanine 4-hydroxylase stimulant, nitric oxide synthase activator	PAH, TH, DBH, NOS3, TPH1		7.66, 5.65	43.60	1.30, 0.36	14.20	2.50	85.18	21.97	25.56	42.57	65.60	17.21	86.78	79.39	96.06	57.99	13.41	-1.69	51.18	99.19	32.05	75.57	82.48	10.87	3.54	82.82	44.64	-4.63	67.98	0.00	58.01	28.15
BRD-K70557564	CP	zosuquidar	P glycoprotein inhibitor, P glycoprotein modulator	ABCB1, ABCB4		8.96, 5.97	43.59	0.98, 0.31	16.79	10.50	91.00	32.02	39.55	36.43	26.16	99.54	98.34	73.91	61.31	72.57	71.35	82.37	97.74	40.32	90.23	7.62	15.61	1.16	30.04	55.81	84.75	36.75	46.86	88.37	18.29	16.35
BRD-K88551539	CP	CAY-10585	hypoxia inducible factor inhibitor	HIF1A		9.70, 4.48	43.53	1.76, 0.75	32.67	64.60	-26.17	43.58	71.71	41.45	91.64	85.64	13.48	43.47	5.21	79.39	1.55	0.81	98.03	19.09	-5.88	97.89	89.14	98.17	99.30	5.61	34.01	0.49	69.14	23.33	88.76	99.68
BRD-A80017228	CP	bendroflumethiazide	sodium/potassium/chloride transporter inhibitor, thiazide diuretic	SLC12A3, CA1, CA2, CA4, KCNMA1, SLC12A1		4.85, 2.61	43.52	0.55, 0.09	68.41	14.69	89.60	57.33	36.62	3.17	72.99	68.86	20.92	65.29	95.28	4.97	12.39	1.30	55.47	71.56	50.43	29.80	92.74	72.27	29.41	10.29	87.61	4.86	29.54	22.78	76.05	28.91
BRD-K26863634	CP	BIX-01338	histone methyltransferase inhibitor			2.82, 1.21	43.52	1.50, 0.34	3.38	54.02	49.68	5.01	60.77	86.40	37.82	29.56	94.24	41.95	49.53	61.28	10.98	51.79	69.87	40.54	26.86	12.52	75.94	63.67	1.16	45.09	28.74	3.49	94.52	72.47	23.27	-18.65
BRD-K95921201	CP	reserpine	vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1		13.43, 8.96	43.51	1.59, 0.30	35.74	14.28	41.68	-35.21	2.78	28.34	18.79	98.77	45.46	45.34	98.58	31.81	99.33	99.51	18.33	55.24	93.80	84.70	18.49	31.70	70.49	79.21	0.67	96.66	73.49	96.85	25.22	26.06
BRD-K99498722	CP	NPI-2358	tubulin inhibitor, angiogenesis inhibitor, tubulin polymerisation inhibitor		Tubulin inhibitor	8.21, 4.85	43.51	1.63, 0.59	37.09	70.69	70.40	45.48	33.08	42.69	75.88	56.98	4.30	73.93	44.33	37.52	2.33	86.74	35.99	68.84	12.00	75.06	31.76	26.70	96.36	99.26	24.46	-8.78	17.16	17.97	52.29	71.53
BRD-K80396088	CP	gliquidone	sulfonylurea, ATP channel blocker, ATP-sensitive potassium channel antagonist, insulin secretagogue	ABCC8, KCNJ10, KCNJ11, KCNJ8	KCNJ11 modulator	4.48, 2.99	43.48	0.72, 0.24	43.75	34.13	73.70	95.14	38.63	-18.56	71.75	49.82	13.91	11.30	9.49	58.04	5.64	1.27	59.42	34.60	43.21	69.29	65.15	63.83	29.49	86.85	87.28	4.79	12.81	40.07	51.86	45.50
BRD-A52282606	CP	lacidipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C	Calcium channel blocker	3.59, 1.79	43.47	0.85, 0.20	10.73	2.13	48.69	22.28	85.48	93.29	17.87	95.81	99.40	42.19	93.87	44.75	15.55	70.16	16.77	49.30	67.25	9.66	31.12	60.97	37.25	75.01	2.33	17.33	34.27	44.75	45.17	4.83
BRD-A50928468	CP	norgestrel	progesterone receptor agonist	CYP2E1, PGR	Progesterone receptor agonist	1.87, 0.37	43.47	1.06, 0.30	77.61	16.71	56.93	58.52	81.65	30.05	23.70	14.40	65.05	44.50	42.43	69.91	6.93	4.18	61.18	29.33	37.99	53.60	71.16	50.37	87.64	79.86	40.39	9.64	69.20	15.11	33.99	26.98
BRD-A49765801	CP	fludroxycortide	corticosteroid, glucocorticoid receptor agonist	NR3C1, SERPINA6	Glucocorticoid receptor agonist	4.85, 1.49	43.45	1.34, 0.80	22.31	12.81	19.06	5.44	47.60	6.63	39.54	39.28	75.63	0.13	52.45	31.94	26.33	60.20	83.32	13.28	95.59	31.41	85.52	59.42	26.19	70.94	37.74	64.69	68.80	47.37	87.43	65.09
BRD-K51485625	CP	ritonavir	HIV protease inhibitor, cytochrome P450 inhibitor	CYP3A4, CYP1A2, CYP2B6, CYP2C19, CYP3A5, CYP3A7	HIV protease inhibitor	3.14, 2.24	43.44	0.77, 0.18	33.67	3.86	33.26	0.32	65.04	19.31	89.23	80.35	74.87	93.27	69.66	87.80	69.14	90.29	3.95	4.44	79.27	-0.18	39.33	61.75	6.53	47.86	35.99	47.55	36.22	88.83	28.00	16.51
BRD-K79930101	CP	GW-583340	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor, ErbB2 tyrosine kinase inhibitor, receptor tyrosine protein kinase inhibitor	EGFR, ERBB2		4.48, 2.24	43.41	0.94, 0.33	84.07	-0.49	54.27	9.48	27.60	56.15	-13.03	37.40	56.52	70.58	17.52	88.51	69.52	2.68	21.54	16.82	89.12	30.55	81.19	74.64	30.88	62.54	78.01	5.47	49.41	19.37	1.06	85.10
BRD-K32412559	CP	morphothebaine	adrenergic receptor inhibitor			6.34, 2.24	43.40	0.58, 0.15	66.41	7.17	96.25	69.99	86.22	18.94	80.04	15.76	39.82	2.61	16.21	55.65	3.66	-1.71	40.23	66.45	10.87	16.33	71.86	79.32	46.57	36.69	61.59	4.19	75.78	24.44	97.42	60.01
BRD-K74212935	CP	ergocryptine	dopamine agonist			5.60, 2.61	43.39	0.64, 0.14	81.00	56.72	57.76	38.77	89.91	37.41	14.47	54.30	91.60	16.94	68.16	89.65	6.60	23.90	94.52	88.82	8.49	33.11	91.87	83.87	38.17	26.62	48.00	2.44	88.44	23.52	28.36	13.13
BRD-A72988804	CP	tiaprofenic-acid	cyclooxygenase inhibitor	PTGS2, PTGS1		3.63, 0.81	43.35	1.32, 0.48	51.67	96.09	25.32	34.73	90.26	93.52	76.00	54.66	84.70	28.60	23.39	81.20	10.73	8.82	84.23	70.88	39.73	27.75	83.64	92.07	23.14	17.59	36.16	10.22	55.14	10.32	46.97	28.65
BRD-K62310379	CP	fluticasone	glucocorticoid receptor agonist	NR3C1, CYP3A5, CYP3A7, NR3C2, PGR, PLA2G4A	Glucocorticoid receptor agonist	3.36, 1.49	43.32	1.31, 0.69	69.63	12.59	51.52	52.79	43.88	19.23	46.92	79.87	97.51	37.65	39.48	67.24	7.64	42.75	82.94	29.90	58.70	9.52	21.22	88.61	7.11	68.26	38.21	15.18	45.41	28.33	50.48	8.75
BRD-K47761761	CP	PD-168077	dopamine receptor agonist	DRD2, DRD4		3.63, 2.02	43.31	1.06, 0.20	30.31	54.45	76.27	13.13	21.15	74.07	59.75	60.67	38.42	19.64	82.91	-7.68	32.16	-9.65	44.36	46.20	55.32	51.35	28.53	92.80	42.25	18.22	81.52	16.18	48.77	50.19	15.24	11.10
BRD-K49456190	CP	prima-1-met	thioredoxin inhibitor, TP53 activator	TP53		2.99, 1.87	43.30	1.36, 0.39	71.64	85.58	47.23	57.90	49.17	78.49	26.30	17.80	39.34	30.13	82.87	93.92	33.78	-88.79	44.06	42.53	36.01	14.68	41.06	71.24	16.47	49.92	83.72	-10.03	61.85	-4.84	29.18	50.28
BRD-K89014967	CP	AS-703026	MEK inhibitor	MAP2K1, MAP2K2	MEK inhibitor	3.73, 2.61	43.28	1.41, 0.55	40.48	17.46	68.81	42.22	26.85	89.53	51.88	99.01	85.10	80.08	30.41	53.70	9.29	6.74	87.34	29.86	82.05	31.44	8.43	51.40	44.34	-1.59	94.33	89.57	44.48	20.94	1.83	36.01
BRD-K27141178	CP	SB-203186	serotonin receptor antagonist	HTR4		5.65, 2.02	43.27	1.80, 0.59	34.80	81.79	21.15	52.81	11.41	29.68	93.14	77.39	8.49	55.44	20.38	97.99	38.40	1.41	95.98	9.57	-4.77	71.83	44.98	82.07	97.46	10.12	70.47	41.57	16.12	30.26	87.99	92.20
BRD-A36217750	CP	sulfinpyrazone	platelet aggregation inhibitor	ABCC1, ABCC2, FPR1, SLC22A12		2.82, 1.61	43.27	0.36, 0.06	45.31	34.14	83.18	53.26	88.16	78.54	75.39	45.62	41.23	10.65	56.62	97.96	5.87	-10.68	41.07	21.85	69.80	25.09	33.18	68.18	36.37	81.78	37.21	24.25	82.55	14.64	67.90	6.21
BRD-K65503129	CP	HSP90-inhibitor	HSP inhibitor, HSP antagonist	HSP90AA1, HSP90AB1	HSP inhibitor	3.36, 0.37	43.27	0.94, 0.23	73.69	26.37	19.52	36.93	76.93	36.54	71.40	53.35	76.91	47.95	8.67	48.57	27.64	75.65	39.63	93.04	10.83	52.71	20.44	-1.37	76.76	26.15	46.90	58.29	70.87	23.48	30.27	0.00
BRD-K77793136	CP	hydroxyfasudil	ROCK inhibitor	ROCK1, PKIA, PRKACA, ROCK2	Rho associated kinase inhibitor	4.44, 1.21	43.26	1.35, 0.39	31.42	71.32	44.93	43.20	43.32	52.97	82.65	54.37	19.89	68.00	6.84	99.24	15.53	-10.39	85.66	18.86	6.36	30.15	83.20	37.19	72.43	-9.01	11.23	32.74	79.45	1.49	74.56	62.45
BRD-K27351809	CP	nomegestrol	progesterone receptor agonist	PGR	Progesterone receptor agonist	3.36, 1.87	43.26	1.19, 0.25	25.11	8.71	97.99	91.37	59.69	31.79	83.16	24.12	28.27	81.98	72.63	-72.40	60.33	64.31	28.13	80.89	14.83	31.13	14.92	88.81	17.33	16.68	91.97	0.18	81.95	20.15	66.74	54.72
BRD-K69837166	CP	trap-101	nociceptin/orphanin FQ (NOP) receptor antagonist, opioid receptor antagonist	OPRL1		2.24, 0.75	43.24	0.89, 0.22	22.10	19.28	37.21	47.52	96.02	9.19	46.01	56.20	1.62	20.84	48.39	47.46	10.70	16.47	77.47	22.78	22.80	55.74	50.26	84.14	45.71	29.58	15.68	55.30	60.96	27.53	92.29	40.78
BRD-K37792168	CP	denbufylline	phosphodiesterase inhibitor	PDE4A, PDE4B, PDE4D		10.07, 5.60	43.23	0.76, 0.24	94.26	56.26	94.26	57.53	83.92	40.38	90.46	95.24	96.36	31.34	54.61	-35.07	3.47	1.69	37.58	98.34	99.30	56.88	2.15	23.14	11.90	4.55	46.07	34.67	20.04	12.96	98.94	11.94
BRD-K68336408	CP	tyrphostin-AG-1478	EGFR inhibitor	EGFR, MAPK14	EGFR inhibitor	6.72, 2.61	43.21	1.60, 0.51	55.47	5.61	44.41	20.38	42.01	31.30	39.22	99.61	6.42	15.65	22.56	71.05	66.76	97.85	62.88	15.64	25.74	88.64	10.47	87.61	88.70	93.98	4.86	95.78	61.45	95.00	27.12	4.51
BRD-K47150025	CP	KI-8751	PDGFR alpha and c-Kit inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	KDR	PDGFR/KIT inhibitor	4.84, 3.23	43.18	2.49, 0.72	30.36	25.69	32.33	36.83	49.45	26.23	96.22	98.52	25.35	36.91	65.47	76.15	14.14	94.26	72.17	18.37	54.94	17.77	86.40	91.69	25.69	83.15	8.37	14.49	58.03	83.59	88.09	2.36
BRD-A03623303	CP	metoprolol	adrenergic receptor antagonist	ADRB1, ADRB2		4.85, 1.87	43.13	0.89, 0.38	75.10	49.15	70.56	71.57	11.37	9.84	9.12	71.85	90.24	37.11	89.33	97.92	2.18	30.04	89.03	17.74	91.91	12.94	78.25	80.44	13.22	95.00	5.07	14.42	91.50	14.67	27.98	28.86
BRD-K71731651	CP	PNU-120596	acetylcholine receptor modulator, acetylcholine receptor positive allosteric modulator	CHRNA7		6.72, 1.87	43.13	1.24, 0.47	97.22	45.17	89.60	91.49	7.39	49.85	11.55	40.99	-60.19	81.21	95.71	96.55	9.55	-1.80	75.38	67.42	95.48	3.17	26.42	99.01	5.77	12.60	95.80	-4.99	25.10	23.56	41.09	49.83
BRD-K30570479	CP	VU-0400195-3	glutamate receptor modulator	GRM4		4.48, 1.87	43.13	1.07, 0.27	65.97	17.36	88.47	18.53	18.87	67.96	31.35	16.16	81.64	79.42	63.26	72.59	4.51	39.44	90.74	67.63	78.89	6.48	15.29	46.81	31.28	1.02	76.32	5.12	63.79	13.46	22.33	63.01
BRD-K29313308	CP	HDAC3-selective	HDAC inhibitor	HDAC3		0.42, 0.42	43.12	0.56, 0.36	52.81	22.19	35.49	12.49	65.09	47.66	37.86	79.02	44.49	45.88	54.49	68.04	13.93	38.15	75.36	54.19	28.02	41.75	41.50	63.43	77.93	40.80	33.27	15.13	51.95	10.11	56.80	10.27
BRD-K08287586	CP	butylparaben	antimicrobial preservative			5.22, 2.99	43.10	0.50, 0.10	68.95	93.72	37.05	54.88	20.88	46.51	52.96	14.81	24.69	73.66	39.69	89.70	3.63	11.67	81.13	79.21	6.02	26.02	61.03	80.69	28.14	4.55	91.20	29.80	62.35	15.83	68.40	9.70
BRD-K05977823	CP	tenovins	SIRT inhibitor, TP53 activator	SIRT1, SIRT2		4.10, 2.61	43.09	1.14, 0.36	83.34	19.67	88.93	43.34	83.81	87.21	47.42	69.65	76.77	0.92	42.83	14.32	32.72	30.78	85.73	30.76	74.97	5.54	-1.39	75.35	-0.88	61.63	54.85	7.28	70.10	12.30	40.06	23.97
BRD-K89375097	CP	pirenzepine	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		3.73, 1.87	43.08	1.38, 0.34	44.27	29.23	20.41	28.20	64.18	53.65	18.80	22.32	45.88	41.89	72.60	27.83	1.02	9.42	48.48	49.62	22.75	52.23	58.81	56.56	82.29	59.51	33.55	3.44	51.07	22.02	38.62	96.62
BRD-K07325606	CP	hispidin	beta secretase inhibitor, cyclooxygenase inhibitor, HIV integrase inhibitor, PKC inhibitor, prolyl endopeptidase inhibitor, xanthine oxidase inhibitor	PREP, PRKCB, PTGS2, XDH		5.97, 1.87	43.07	1.05, 0.34	62.60	2.11	59.64	93.86	41.32	95.70	37.26	14.46	96.02	64.45	77.42	57.22	13.60	1.09	81.47	61.21	74.66	3.51	-10.31	91.19	16.76	42.85	33.02	1.98	80.95	20.03	43.30	10.01
BRD-K64835161	CP	BRD-K64835161	CLK inhibitor, dual specificity tyrosine-(Y)-phosphorylation regulated kinase inhibitor, dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B inhibitor	CLK1, CLK4, DYRK1B		5.60, 2.24	43.07	1.14, 0.42	82.37	12.00	51.54	35.06	7.41	2.64	50.57	98.98	13.94	61.77	52.86	12.24	34.76	42.57	43.56	58.72	82.50	63.39	67.78	23.78	97.20	-15.32	37.50	73.80	22.53	66.21	23.59	29.20
BRD-A85280935	CP	quinpirole	dopamine receptor agonist	DRD2, DRD3, DRD4, DRD1, HTR1A, HTR2A, HTR2B, HTR2C		3.63, 2.02	43.06	1.22, 0.32	54.63	41.56	53.46	11.92	20.38	59.51	40.78	53.31	80.96	18.18	43.29	51.78	21.85	5.82	72.97	48.20	88.91	31.37	19.05	98.13	28.59	91.78	42.82	9.51	18.15	53.64	68.67	18.85
BRD-K14888893	CP	minoxidil	antialopecia agent, ATP channel activator, ATP-sensitive potassium channel agonist, KATP activator, Kir6 channel (KATP) activator, polarization activator, renin secretion stimulant	KCNJ8, ABCC9, KCNJ1, KCNJ10, KCNJ11, PTGS1, REN		4.10, 1.87	43.05	1.34, 0.35	48.05	77.43	45.74	66.50	70.74	63.37	4.19	-72.71	-31.81	37.55	49.52	97.35	-9.42	-47.67	62.85	28.70	12.58	35.70	45.36	12.10	40.74	51.49	55.80	0.95	96.12	-18.28	58.97	40.30
BRD-A47494775	CP	dipivefrine	adrenergic receptor agonist	ADRA1A, ACHE, ADRA2A, ADRB2, BCHE		3.63, 1.61	43.03	0.67, 0.17	29.43	11.68	33.53	86.47	67.36	3.65	62.40	45.36	37.79	12.74	45.76	98.86	42.66	56.81	90.15	35.00	2.78	45.55	48.61	76.13	34.66	28.41	77.32	39.96	13.53	31.31	77.05	43.41
BRD-K20995441	CP	U-54494A	kappa opioid agonist			2.82, 0.81	43.02	1.33, 0.44	58.46	60.10	31.39	27.19	32.55	17.04	91.66	85.98	10.18	42.63	92.08	98.06	11.54	11.98	68.63	63.62	43.41	35.14	89.52	44.39	6.42	36.86	80.15	11.76	70.52	57.32	20.22	41.20
BRD-K74141488	CP	naftifine	squalene epoxidase inhibitor, steroid sulfatase inhibitor	SQLE		4.48, 2.61	43.00	0.83, 0.30	97.32	3.05	65.48	60.52	39.68	7.37	46.32	6.74	10.33	81.39	32.32	87.80	4.47	13.69	49.94	86.58	62.82	29.70	57.34	96.49	9.59	15.12	92.97	10.43	49.93	37.80	68.81	30.47
BRD-K83988098	CP	alvespimycin	HSP inhibitor, HSP antagonist	HSP90AA1	HSP inhibitor	2.61, 0.75	42.98	1.89, 0.56	28.86	29.42	9.83	55.53	43.69	30.00	64.64	63.26	47.74	36.94	59.60	42.22	21.18	91.68	85.22	42.27	27.44	72.44	31.73	25.80	83.85	95.28	25.06	69.20	24.07	87.95	67.06	5.55
