#1.3
2429	24	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K79254416-summary	BRD-K48722258-summary	BRD-A93424738-summary	BRD-A13188892-summary	BRD-A69636825-summary	BRD-K22031190-summary	BRD-K62363391-summary	BRD-A51820102-summary	BRD-K43887077-summary	BRD-K71103788-summary	BRD-K33211335-summary	BRD-A46179541-summary	BRD-A94756469-summary	BRD-K81272440-summary	BRD-A35108200-summary	BRD-K92093830-summary	BRD-K73109821-summary	BRD-K97158071-summary	BRD-A92537424-summary	BRD-K06878038-summary	BRD-K49328571-summary	BRD-A29734509-summary	BRD-K05673000-summary	BRD-K08252256-summary
BRD-K57033106	CP	tripelennamine	histamine receptor antagonist	HRH1		5.17, 1.72	46.66	0.50, 0.18	64.96	71.02	0.39	12.89	47.26	90.78	59.01	79.09	46.07	82.80	10.65	31.06	7.30	97.57	15.99	27.41	62.73	17.67	90.12	78.08	33.79	-40.50	71.07	13.25
BRD-A18763547	CP	BAX-channel-blocker	cytochrome C release inhibitor	BAX		3.02, 0.43	46.62	2.48, 0.57	28.22	93.33	62.53	34.16	48.09	14.04	20.46	62.07	38.75	63.69	16.49	64.82	87.17	34.33	80.84	43.45	50.11	31.99	41.44	-34.37	97.08	48.26	45.15	54.13
BRD-K10705233	CP	GW-405833	cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist	3.02, 0.86	46.62	0.10, 0.01	26.53	85.35	34.32	72.93	68.39	34.86	55.26	90.93	50.01	94.27	39.60	58.04	95.24	11.39	30.55	43.23	27.60	37.27	58.87	80.08	72.76	39.97	32.98	29.30
BRD-K55344148	CP	BU-224	imidazoline receptor ligand	MAOA, MAOB	Imidazoline ligand	2.82, 2.35	46.62	1.20, 0.35	54.39	74.42	35.79	43.89	59.67	18.03	48.92	79.70	16.86	31.52	15.98	46.55	6.41	78.30	62.83	47.01	18.29	85.63	57.48	22.77	46.69	11.38	67.31	15.58
BRD-K63533170	CP	AM-630	cannabinoid receptor antagonist, cannabinoid receptor inverse agonist	CNR2, CNR1		6.90, 3.88	46.62	1.25, 0.43	96.43	53.06	60.24	75.47	45.17	-38.39	61.22	30.45	71.60	25.46	78.89	31.51	18.32	42.87	30.61	64.58	89.38	85.76	84.57	38.47	48.07	2.96	37.38	29.83
BRD-A63546914	CP	RO-04-5595	ionotropic glutamate receptor antagonist			2.59, 1.29	46.59	0.98, 0.31	71.21	25.03	44.62	27.95	0.85	85.01	-38.72	31.59	65.60	36.51	54.96	46.43	8.96	56.36	58.28	67.10	60.02	56.80	46.75	46.17	28.52	45.13	62.90	97.99
BRD-A41995253	CP	brucine	glycine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		6.90, 3.88	46.58	0.60, 0.14	89.50	21.05	96.16	48.97	35.26	35.41	17.33	44.19	52.64	37.82	92.56	85.04	23.73	8.23	93.85	7.14	22.72	26.93	92.37	51.59	29.80	79.82	68.26	94.07
BRD-K51662849	CP	ilomastat	matrix metalloprotease inhibitor	ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9		8.19, 5.17	46.58	0.91, 0.33	84.16	45.66	25.74	93.19	94.63	96.74	77.81	34.72	17.48	27.06	38.78	50.45	32.36	37.13	45.37	46.18	47.96	98.94	82.99	85.43	17.81	43.98	61.95	46.98
BRD-A80641450	CP	FR-139317	endothelin receptor antagonist	EDNRA		5.60, 2.16	46.57	1.18, 0.40	22.60	17.28	21.19	91.53	75.49	82.07	47.41	36.07	45.73	9.49	95.92	61.75	16.74	52.78	6.24	29.42	54.83	31.25	78.45	57.90	3.21	11.64	93.10	77.57
BRD-A03216249	CP	mepivacaine	potassium channel antagonist, voltage-gated sodium channel blocker	SCN10A, SCN9A		7.76, 3.45	46.56	1.41, 0.36	94.83	42.60	71.66	69.97	67.39	42.30	79.67	40.92	44.37	2.92	22.43	98.87	0.32	4.70	42.50	9.21	31.66	90.33	48.74	74.43	3.95	90.36	93.67	81.76
BRD-A50675702	CP	fipronil	GABA gated chloride channel blocker, glutamate gated chloride channel blocker			2.59, 1.29	46.55	0.72, 0.19	18.38	-6.75	70.33	53.47	81.16	88.09	46.98	48.82	9.52	15.13	65.19	42.29	30.68	46.12	11.88	38.39	20.49	46.12	50.75	34.79	69.56	67.10	65.60	75.12
BRD-K59597909	CP	phenothiazine	dopamine receptor antagonist			7.33, 3.88	46.53	0.60, 0.10	44.02	43.79	43.95	36.23	63.90	56.87	93.32	-21.12	25.69	19.15	55.61	97.47	-0.70	21.79	81.18	18.94	36.70	72.74	53.44	83.15	54.72	36.42	61.57	49.05
BRD-K10852020	CP	tolcapone	catechol O methyltransferase inhibitor, transthyretin amyloid inhibitor	COMT, TTR		8.92, 5.16	46.51	1.28, 0.36	85.14	15.13	64.95	91.52	45.25	95.40	96.62	2.40	47.78	39.40	62.11	81.44	3.81	88.01	17.51	2.92	31.03	15.03	18.31	-71.50	13.52	92.49	81.34	98.84
BRD-K37516142	CP	idebenone	calcium channel modulator, reducing agent			5.76, 3.66	46.50	0.86, 0.18	37.78	55.24	31.52	79.05	73.59	77.31	87.27	18.83	32.12	24.58	77.97	86.92	4.44	95.05	38.59	1.69	24.77	17.57	54.40	98.42	6.48	26.64	79.14	58.04
BRD-A22769835	CP	homochlorcyclizine	antihistamine	HRH1		2.35, 1.88	46.49	0.95, 0.22	49.18	94.33	70.42	28.66	88.25	47.73	63.71	2.01	48.10	35.27	52.92	46.31	26.30	31.80	50.69	10.41	46.66	11.92	36.67	94.76	80.56	20.24	35.39	39.54
BRD-K97810537	CP	beclometasone	glucocorticoid receptor agonist, corticosteroid hormone receptor agonist, immunosuppressant	NR3C1, CYP3A5, GPR97, SERPINA6	Glucocorticoid receptor agonist	6.47, 4.31	46.49	1.28, 0.67	36.66	0.67	95.89	50.00	33.52	-9.28	97.08	90.39	31.23	2.18	71.70	45.25	18.79	80.59	98.83	70.98	10.04	33.35	31.76	92.54	47.72	63.93	40.99	71.55
BRD-K04146668	CP	GW-441756	growth factor receptor inhibitor, leucine rich repeat kinase inhibitor	LRRK2, NTRK1		7.76, 4.74	46.48	1.23, 0.33	23.75	46.40	46.56	69.30	47.17	17.01	33.26	43.71	30.66	98.36	95.64	96.19	48.65	47.84	29.35	19.55	3.38	33.06	59.06	-25.97	84.47	15.48	68.82	72.55
BRD-K05104363	CP	PD-184352	MEK inhibitor, MAP kinase inhibitor	MAP2K1, MAP2K2, MAP3K1, MAP3K2	MEK inhibitor	5.60, 2.59	46.47	1.43, 0.49	98.21	2.64	42.21	43.24	29.32	5.21	69.65	53.99	49.69	25.88	67.95	33.03	-38.81	31.22	79.13	88.31	15.23	54.00	3.89	95.68	99.33	71.94	15.37	69.11
BRD-K14536225	CP	piceid	glucosidase inhibitor, ICAM1 expression inhibitor, VCAM expression inhibitor, xanthine oxidase inhibitor	GAA, XDH		3.29, 0.47	46.44	1.11, 0.41	90.36	68.68	28.66	52.31	25.25	10.61	59.81	12.91	52.62	-14.88	95.55	54.09	45.94	62.83	54.57	44.76	65.78	28.63	35.36	44.47	14.42	46.95	63.71	14.21
BRD-A68930007	CP	ouabain	ATPase inhibitor, alpha subunit binder	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, FXYD2	ATPase inhibitor	5.17, 4.74	46.44	2.09, 0.56	52.54	90.03	45.41	47.47	60.10	7.39	50.88	-3.05	25.32	4.51	6.93	60.06	99.75	12.15	49.70	83.32	75.13	15.00	23.25	31.24	31.16	5.81	55.31	47.53
BRD-K24859147	CP	KIN001-242	protein kinase inhiibor	RPS6KA3		6.03, 2.16	46.43	0.97, 0.26	49.47	9.37	29.68	91.96	54.12	95.43	49.09	68.48	57.61	10.32	43.77	66.98	6.24	67.18	28.52	74.57	14.83	96.14	35.63	86.70	21.30	10.47	-7.33	1.73
BRD-K28115081	CP	apafant	platelet activating factor receptor antagonist	PTAFR		5.60, 2.16	46.43	1.13, 0.28	77.37	52.73	34.35	28.71	74.83	19.90	55.65	2.35	20.60	35.16	91.39	47.95	11.72	26.82	32.87	44.90	61.27	33.07	83.30	95.20	5.71	81.59	90.62	87.69
BRD-K56064827	CP	EI-273	PKC inhibitor	PRKCA, PRKCG		3.02, 1.29	46.41	2.13, 0.88	9.23	13.52	0.60	73.24	90.62	27.55	91.02	77.94	8.32	18.92	89.83	78.78	0.00	49.15	46.21	12.59	22.90	92.83	62.03	46.62	85.54	24.66	73.15	36.04
BRD-K66707493	CP	lawsone	coloring agent			4.31, 3.02	46.41	0.91, 0.26	46.61	37.40	46.21	64.72	89.65	43.42	65.30	6.19	47.80	91.83	53.14	19.15	65.58	39.92	7.45	18.54	17.76	94.69	55.44	44.23	48.33	19.93	73.85	39.59
BRD-K01253243	CP	SB-590885	RAF inhibitor	BRAF	RAF inhibitor	3.88, 3.02	46.40	0.90, 0.41	47.59	83.20	31.06	58.13	42.81	28.84	46.05	20.25	70.46	79.53	0.70	46.74	41.66	19.24	62.31	78.67	20.29	60.37	-29.18	-55.41	61.76	80.69	-6.93	87.26
BRD-A18579359	CP	wiskostatin	neural Wiskott-Aldrich syndrome protein inhibitor	WAS, WASL		5.17, 2.16	46.38	1.68, 0.72	40.53	99.15	68.18	44.62	73.15	19.37	78.27	93.04	37.20	95.53	79.31	48.13	92.60	68.32	11.83	69.59	15.56	21.08	10.00	20.85	84.09	13.28	27.63	36.47
BRD-K98493452	CP	honokiol	AKT inhibitor, neurotrophic agent	ALOX5, PTGS1, PTGS2		3.14, 0.52	46.38	1.67, 0.49	76.58	75.31	2.36	62.33	17.51	25.81	58.31	76.58	54.68	96.76	76.99	70.21	-0.32	39.77	11.41	52.98	13.75	9.14	1.97	20.47	73.40	4.72	65.03	21.57
BRD-K55468218	CP	spiperone	dopamine receptor antagonist	ADRA1A, DRD2, DRD3, DRD4, HTR1A, HTR2A, HTR7, ADRA1B, ADRA1D, DRD1, DRD5, HTR1D, HTR2B, HTR2C, HTR6		4.31, 1.29	46.37	0.64, 0.16	48.63	91.46	23.33	84.80	61.85	25.49	80.20	17.87	14.73	30.10	99.61	20.09	48.05	39.97	51.73	24.73	10.89	35.78	55.62	87.34	7.89	44.69	65.62	92.66
BRD-K65285700	CP	BRD-K65285700	cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist	3.45, 3.02	46.36	0.86, 0.26	48.65	41.14	44.90	26.58	17.95	-70.66	49.55	98.58	35.23	2.78	47.81	79.36	62.83	34.42	22.58	36.54	58.47	30.19	56.74	90.20	43.85	62.24	60.05	94.64
BRD-K07403598	CP	CAY-10470	NFKB pathway inhibitor	NFKB1, TNF		3.30, 0.94	46.34	0.98, 0.16	69.58	61.79	86.02	46.34	13.86	56.33	45.93	96.23	83.10	NaN	42.98	17.95	79.46	57.38	28.11	34.00	42.50	25.68	72.05	7.34	64.40	31.77	24.15	66.41
BRD-K54708045	CP	nTZDpa	PPAR receptor partial agonist	PPARG	PPAR receptor agonist	5.17, 3.45	46.33	0.97, 0.24	26.38	46.32	78.57	88.38	-34.74	13.67	75.36	57.11	60.64	55.90	43.02	79.60	33.31	46.33	43.07	9.07	39.37	13.07	71.86	70.15	25.30	38.49	49.91	97.82
BRD-K61829047	CP	7b-cis	exportin antagonist	XPO1		0.43, 0.00	46.32	2.61, 0.70	45.00	85.19	65.15	76.67	46.93	7.87	32.64	1.13	54.58	47.94	10.08	28.33	38.97	45.71	64.63	85.87	56.35	31.20	50.14	28.99	79.40	7.75	73.04	5.83
BRD-K82255054	CP	propofol	membrane integrity inhibitor, membrane permeability inhibitor, TRPV agonist	CYP2B6, FAAH, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, SCN2A, SCN4A, TRPV1		5.17, 2.59	46.30	0.66, 0.17	29.82	17.90	44.74	13.40	90.74	52.39	74.08	76.37	82.64	31.03	69.25	68.53	22.70	53.00	14.68	61.77	22.86	24.18	27.48	97.78	14.61	12.53	75.38	47.86
BRD-K29113274	CP	ketoconazole	14-alpha demethylase inhibitor, androgen receptor ligand, aromatase inhibitor, cell wall synthesis inhibitor, cortisol synthesis inhibitor, P glycoprotein inhibitor, sterol demethylase inhibitor	AR, CYP19A1, CYP21A2, CYP2C19, CYP3A5, CYP3A7, KCNA10	Sterol demethylase inhibitor	6.28, 4.71	46.29	0.83, 0.18	63.90	95.95	2.06	66.98	45.02	19.20	87.35	98.91	47.56	78.59	10.62	22.21	52.75	69.70	84.71	1.37	-3.79	26.95	81.86	99.12	2.50	4.72	10.15	-0.11
BRD-K79366068	CP	PSB-069	NTPDase inhibitor	ENTPD1, ENTPD2, ENTPD3		6.03, 3.45	46.26	0.90, 0.22	13.26	34.96	34.94	65.47	80.57	88.11	89.96	79.39	62.58	8.63	23.65	46.17	1.62	22.12	15.14	62.25	29.60	94.12	30.14	46.36	9.54	87.47	75.07	97.08
BRD-K53570330	CP	carbofuran	cholinesterase inhibitor			4.74, 2.16	46.24	0.91, 0.31	17.60	71.26	75.86	13.51	63.95	9.23	24.10	51.60	68.51	90.02	57.74	81.74	40.23	40.89	95.67	23.44	17.18	66.93	63.06	37.44	16.95	22.65	80.82	16.68
BRD-K97056771	CP	HY-11007	Abl kinase inhibitor, Bcr-Abl kinase inhibitor	ABL1, BCR		3.45, 1.72	46.24	1.40, 0.35	96.17	1.62	61.04	39.65	74.21	50.67	40.18	9.06	61.06	-27.18	47.14	24.69	1.87	45.34	51.68	82.73	94.24	31.01	56.53	70.53	27.67	26.34	51.68	19.05
BRD-K62965247	CP	tipifarnib-P2	farnesyltransferase inhibitor, angiogenesis inhibitor, apoptosis stimulant	FNTA, FNTB		2.16, 0.86	46.23	1.40, 0.33	24.43	84.09	7.06	16.59	66.78	30.50	30.50	46.70	22.56	13.23	37.78	72.11	46.60	46.69	60.40	16.47	45.86	91.25	45.15	70.83	93.48	13.64	51.05	56.14
BRD-K51223576	CP	AG-99	tyrosine kinase inhibitor	EGFR		2.35, 0.47	46.22	1.05, 0.27	54.42	63.60	69.10	47.75	33.67	70.65	69.62	29.68	32.23	1.80	84.36	45.57	16.50	86.55	56.15	38.87	38.95	20.55	58.90	46.87	16.29	80.53	43.41	9.41
BRD-U82589721	CP	HG-5-113-01	protein kinase inhibitor	ABL1, LTK, STK10		5.60, 2.59	46.20	1.97, 0.53	86.64	73.70	30.11	58.06	0.00	44.34	44.84	1.73	81.83	1.02	47.57	83.12	92.41	4.11	7.54	96.17	25.78	17.45	24.00	40.85	85.50	50.47	78.19	51.62
BRD-A34751532	CP	homosalate	HSP activator			3.45, 1.29	46.17	0.73, 0.31	47.16	8.02	65.39	27.58	87.19	24.49	14.32	1.68	80.09	18.77	80.72	46.30	46.05	23.46	66.79	13.11	39.69	20.98	60.05	51.49	6.06	68.39	81.86	84.59
BRD-K50168500	CP	canertinib	EGFR inhibitor, EGFR antagonist, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, ERBB4, AKT1	EGFR inhibitor	3.88, 2.59	46.14	1.59, 0.39	71.73	85.97	22.08	57.86	47.25	16.97	23.11	95.93	76.38	12.63	9.92	36.67	51.94	45.02	25.95	90.85	20.82	59.08	58.94	39.05	99.54	14.95	67.82	43.86
BRD-A07000685	CP	hydrocortisone	corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist	7.04, 4.69	46.12	1.55, 0.57	37.33	88.12	96.19	29.79	44.57	33.81	49.29	88.45	7.33	41.16	86.15	47.67	-5.36	52.66	99.93	20.55	21.43	97.39	91.16	68.76	56.14	7.61	35.21	20.43
BRD-K76723084	CP	isotretinoin	retinoid receptor agonist, microbial collagenase inhibitor, protein synthesis inhibitor, RAR agonist	CYP2B6, CYP2C19, CYP2C8, CYP3A5, CYP3A7, NR2C2, PPARD, RARA, RARB, RARG, RORB, RORC	Retinoid receptor agonist	4.74, 3.02	46.10	0.82, 0.27	26.12	26.67	73.39	70.60	18.21	52.18	-15.87	66.65	97.64	40.12	41.91	50.30	27.64	29.08	84.11	20.38	30.14	68.54	80.90	96.02	38.79	71.06	63.88	29.51
BRD-K77286328	CP	reversine	Aurora kinase inhibitor, adenosine receptor antagonist	AURKB, ADORA3, AURKA, INCENP, MAP2K1	Aurora kinase inhibitor	5.60, 3.02	46.10	1.58, 0.56	66.14	45.12	46.04	60.47	30.41	23.93	52.49	97.46	55.68	4.44	10.93	38.58	79.35	71.91	6.87	89.37	19.08	22.02	55.77	-51.24	99.86	46.16	42.64	60.72
BRD-A74667430	CP	etodolac	cyclooxygenase inhibitor, TRPV agonist	PTGS2, PTGS1, RXRA, TRPV1	Cyclooxygenase inhibitor	9.91, 7.33	46.10	0.91, 0.24	45.28	3.98	64.32	27.50	92.55	86.35	32.33	43.37	95.77	96.01	19.84	26.18	15.02	54.50	24.86	-5.76	67.91	40.76	94.01	98.31	33.00	75.25	46.92	87.15
BRD-K78084463	CP	W-12	calmodulin antagonist			4.24, 2.54	46.09	1.39, 0.38	8.56	51.58	-49.39	58.26	33.24	95.07	79.12	86.67	23.59	1.70	16.59	18.76	40.60	91.07	5.04	87.96	76.40	99.06	26.07	-10.61	59.06	9.84	54.33	56.37
BRD-K37194137	CP	III606050	cytochrome P450 inhibitor			7.51, 2.35	46.06	1.08, 0.27	32.12	66.72	28.64	95.54	26.35	14.53	37.62	92.08	53.21	19.81	82.15	36.90	89.11	26.21	10.43	38.92	21.77	63.57	85.26	72.79	92.66	94.12	64.00	22.29
BRD-K74913225	CP	brinzolamide	carbonic anhydrase inhibitor	CA2, CA1, CA7, CA12, CA14, CA4, CA5A, CYP2B6, CYP2C8		4.31, 2.59	46.02	0.66, 0.23	30.66	3.98	29.89	62.15	51.55	15.87	87.57	54.05	47.59	26.22	92.98	93.06	44.45	13.29	76.30	5.36	21.79	32.29	60.55	99.05	15.53	29.48	48.57	66.16
BRD-K85090592	CP	pilocarpine	acetylcholine receptor agonist	CHRM3, CHRM1, CHRM2, CHRM4, CHRM5		5.76, 2.09	46.02	1.15, 0.33	87.33	0.67	18.47	54.90	95.98	28.44	52.94	50.08	62.99	17.93	22.22	22.86	0.63	80.22	34.73	92.15	33.58	72.99	41.96	95.74	62.00	13.53	96.26	30.78
BRD-K73293050	CP	WZ-3146	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor	EGFR		5.17, 0.43	46.02	1.74, 0.50	96.54	92.72	41.19	86.28	13.40	38.96	23.40	67.55	89.42	92.85	19.40	53.64	1.41	15.00	-8.34	62.43	33.61	38.81	17.46	43.01	95.94	82.71	66.43	49.03
BRD-A70514680	CP	articaine	local anesthetic			4.69, 2.35	45.96	1.18, 0.34	91.17	72.54	44.77	47.15	83.78	31.95	88.93	6.51	5.92	-1.83	-2.52	67.62	2.96	58.34	92.51	25.44	7.93	55.43	26.10	27.69	7.75	76.06	88.33	77.62
BRD-K37846922	CP	3,3'-diindolylmethane	androgen receptor antagonist, aryl hydrocarbon receptor agonist, beta glucuronidase inhibitor, CHK inhibitor, cytochrome P450 activator, indoleamine 2,3-dioxygenase inhibitor	AHR, AR, CYP1A2, GUSB, IDO1		7.76, 3.88	45.93	1.33, 0.39	40.30	21.30	48.31	72.58	97.46	98.59	93.27	43.55	22.73	62.94	48.63	18.03	7.65	21.84	62.38	-1.27	9.43	94.57	43.54	95.72	13.09	11.60	63.42	53.85
BRD-A82590476	CP	SDZ-NKT-343	tachykinin antagonist	TACR1	Tachykinin antagonist	4.31, 2.59	45.92	0.82, 0.22	17.47	52.56	4.09	94.32	57.43	4.21	49.90	81.07	13.10	68.93	79.12	15.40	9.73	93.22	10.47	20.98	12.75	41.93	71.17	51.88	81.60	14.92	69.47	22.83
BRD-K19540840	CP	saracatinib	src inhibitor, Abl kinase inhibitor	SRC, ABL1, LCK, YES1	SRC inhibitor	6.03, 3.88	45.91	1.24, 0.47	47.54	95.88	35.16	43.33	35.49	45.27	42.59	79.86	46.54	50.35	30.44	11.46	19.52	32.86	84.64	79.55	27.18	57.46	51.77	90.82	99.79	14.99	73.18	8.49
BRD-K20313525	CP	rosmarinic-acid	antioxidant	MCL1, TYR		4.31, 3.45	45.91	0.98, 0.19	71.73	7.42	29.47	82.68	91.46	19.84	64.50	29.11	63.91	21.25	62.76	29.74	40.91	85.58	50.90	19.38	93.04	22.29	50.93	85.77	9.87	11.56	68.10	23.83
BRD-K39111395	CP	BCL2-inhibitor	BCL inhibitor	BCL2	BCL inhibitor	2.59, 0.43	45.91	1.31, 0.45	60.06	67.61	41.89	55.16	37.60	85.92	27.01	42.47	65.04	78.25	1.48	35.57	24.09	15.66	49.85	18.94	18.20	61.63	74.01	19.02	32.47	58.70	92.61	49.34
BRD-A28970875	CP	puromycin	adenosine receptor agonist, protein synthesis inhibitor	NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1	Protein synthesis inhibitor	3.02, 1.72	45.86	2.40, 0.51	42.91	71.77	62.82	97.49	9.23	53.60	40.48	16.24	13.12	11.91	47.63	37.91	98.52	6.72	51.95	92.93	9.91	34.34	41.27	49.76	86.43	68.82	44.10	64.85
BRD-K15891719	CP	tenofovir	reverse transcriptase inhibitor, nucleoside reverse transcriptase inhibitor, nucleotide reverse transcriptase inhibitor			3.88, 2.59	45.86	3.25, 0.93	53.55	14.25	6.19	85.34	28.03	87.41	74.65	86.05	10.29	-6.13	57.75	80.86	5.11	47.07	12.96	14.25	68.59	88.70	16.30	77.33	16.34	39.75	91.03	44.66
BRD-K09549677	CP	mibefradil	T-type calcium channel blocker, angiogenesis inhibitor, calcium channel blocker, calcium channel inhibitor, L-type calcium channel blocker, sodium channel blocker	CACNA1G, CACNA1H, CACNA1C, CACNA1I, ANO1, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4, CYP3A5, CYP3A7, SCN2A, SCN4A, SCN5A, SCN9A	T-type calcium channel blocker	3.45, 2.59	45.85	1.64, 0.48	2.92	99.08	83.72	49.17	84.45	33.29	-86.14	92.28	18.75	99.82	42.54	33.13	84.57	25.32	67.71	23.58	8.51	0.11	83.34	-50.04	98.98	85.52	26.35	56.17
BRD-K88741031	CP	methyl-2,5-dihydroxycinnamate	EGFR inhibitor, tyrosine kinase inhibitor	EGFR		8.19, 3.45	45.85	1.06, 0.33	69.24	31.96	72.49	44.61	24.85	-12.60	42.18	47.09	24.42	67.33	93.26	39.38	5.25	71.74	10.60	14.06	73.71	31.00	99.61	95.76	-34.64	66.10	56.36	95.07
BRD-K59650319	CP	YM-298198	glutamate receptor antagonist	GRM1		3.88, 2.16	45.81	0.99, 0.30	38.68	42.51	70.54	45.13	70.07	46.48	51.73	-24.14	84.41	39.58	99.54	76.25	10.23	48.39	54.33	4.79	53.35	34.05	26.96	87.12	11.62	61.31	31.95	17.22
BRD-A62434282	CP	goserelin	gonadotropin releasing factor hormone receptor agonist, luteinizing hormone releasing hormone agonist	GNRHR, GNRH1, LHCGR		4.31, 3.02	45.80	1.14, 0.35	82.82	16.39	44.66	14.82	24.91	47.75	74.68	78.12	51.18	41.67	54.43	98.92	22.92	12.56	93.95	3.99	-17.06	42.48	73.55	99.19	-15.75	46.93	93.68	34.53
BRD-A10903566	CP	imiloxan	adrenergic receptor antagonist	ADRA2B		5.16, 3.29	45.79	1.17, 0.44	98.82	80.45	34.75	91.82	74.83	23.19	48.68	7.54	27.46	13.06	86.36	67.61	12.75	22.47	95.34	59.34	34.78	97.54	52.04	-39.09	32.51	12.59	42.90	97.11
BRD-K00184207	CP	GR-206	aryl hydrocarbon receptor ligand			3.45, 0.86	45.78	0.97, 0.31	37.11	24.72	52.05	77.83	86.70	34.07	51.81	67.96	23.24	65.96	39.76	5.57	13.11	93.86	0.00	-31.63	33.61	91.11	61.69	57.79	3.49	81.61	82.55	32.64
BRD-K75532464	CP	FTI-276	farnesyltransferase inhibitor	FNTA, FNTB		3.02, 1.29	45.74	0.58, 0.22	69.09	20.16	24.42	91.21	88.24	75.90	92.04	45.81	45.31	34.69	35.07	64.66	8.03	11.08	51.90	45.66	24.96	83.37	31.40	81.72	5.71	41.40	50.27	57.52
BRD-K63874012	CP	thioperamide	histamine receptor antagonist, histamine receptor inverse agonist	HRH3, HRH4		2.59, 0.43	45.73	0.66, 0.16	84.50	48.92	89.25	11.35	76.37	81.11	40.89	54.60	74.23	85.62	58.88	66.36	42.54	50.50	33.91	26.69	16.42	83.16	30.22	37.67	21.41	38.23	30.41	25.85
BRD-A83326220	CP	brazilin	nitric oxide production inhibitor, nitric oxide synthase expression inhibitor, telomerase inhibitor			1.29, 1.29	45.69	1.50, 0.50	17.71	86.66	61.27	90.15	26.40	23.93	36.88	65.22	61.61	11.02	47.37	76.07	91.72	26.63	29.47	40.30	17.78	43.08	86.86	44.02	78.01	6.32	64.49	58.82
BRD-A27489425	CP	rolitetracycline	antibiotic			6.03, 3.88	45.68	1.91, 0.49	81.93	66.44	43.16	60.31	78.23	42.32	32.45	3.94	11.66	-7.82	56.11	45.48	14.40	45.89	33.72	53.57	95.85	99.30	20.15	43.72	30.70	80.67	78.94	59.70
BRD-K67445247	CP	flurofamide	bacterial urease inhibitor			6.47, 1.72	45.68	1.14, 0.33	87.41	42.91	44.83	62.82	10.63	62.78	73.47	46.52	23.12	8.51	37.01	69.42	10.09	96.18	0.00	5.71	48.78	90.17	92.32	79.35	14.84	10.77	62.97	7.57
BRD-A02759312	CP	betaxolol	adrenergic receptor antagonist	ADRB1, ADRB2		5.17, 3.02	45.67	0.85, 0.17	96.47	42.40	79.16	93.73	46.67	40.58	37.16	31.45	43.28	10.53	75.61	67.04	3.21	13.14	53.57	8.66	44.67	40.32	77.77	95.48	9.22	51.85	67.66	72.37
BRD-K02113016	CP	olaparib	PARP inhibitor, DNA repair enzyme inhibitor	PARP1, PARP2, PARP3	PARP inhibitor	4.31, 2.16	45.64	0.59, 0.13	86.32	69.48	36.71	25.35	21.16	26.36	31.74	59.34	43.48	10.12	65.29	18.37	90.66	-5.46	20.08	47.79	61.29	64.53	54.52	58.76	29.15	11.00	66.68	65.31
BRD-K52662033	CP	lidocaine	histamine receptor agonist, voltage-gated sodium channel modulator	SCN5A, EGFR, SCN10A, SCN9A		6.90, 1.72	45.63	0.90, 0.19	63.03	23.25	26.85	40.25	83.08	2.12	73.54	85.46	95.09	94.54	39.06	57.96	4.62	95.32	45.11	7.21	8.56	26.22	61.89	98.34	3.84	1.90	47.16	46.15
BRD-K50325075	CP	UCL-2077	potassium channel blocker, slow afterhyperpolarization channel blocker			5.60, 3.45	45.63	0.83, 0.24	24.24	67.62	92.02	26.64	79.78	82.10	65.32	1.62	25.74	34.52	78.10	56.16	40.26	29.50	8.39	10.18	28.60	48.57	88.46	38.03	63.11	80.67	59.00	42.68
BRD-K06467078	CP	corynanthine	alpha adrenergic receptor antagonist			1.41, 0.94	45.60	1.27, 0.38	87.34	83.90	26.38	38.06	88.69	6.46	91.05	11.97	37.40	42.23	55.92	44.91	11.81	71.50	95.42	12.52	82.24	68.77	50.25	49.36	41.59	38.20	45.92	45.29
BRD-A12016240	CP	LY-278584	serotonin receptor antagonist	HTR3A		4.31, 3.02	45.60	0.68, 0.18	80.51	68.27	56.66	63.30	19.03	33.94	44.43	70.57	5.64	31.06	76.85	80.71	1.02	52.47	89.01	8.17	46.77	29.92	1.13	66.38	65.87	28.39	15.57	8.51
