#1.3
2429	26	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A45889380-summary	BRD-A84174393-summary	BRD-K50398167-summary	BRD-K79602928-summary	BRD-K61250553-summary	BRD-K92984783-summary	BRD-A20126139-summary	BRD-K71035033-summary	BRD-K99451608-summary	BRD-A33711280-summary	BRD-K69688083-summary	BRD-A04352665-summary	BRD-K18194590-summary	BRD-K97564742-summary	BRD-K82795137-summary	BRD-K13356952-summary	BRD-K78126613-summary	BRD-K77987382-summary	BRD-A03216249-summary	BRD-A61793559-summary	BRD-K75641298-summary	BRD-K91601245-summary	BRD-K54416256-summary	BRD-A50311610-summary	BRD-K62996583-summary	BRD-K76205745-summary
BRD-K07881437	CP	danusertib	Aurora kinase inhibitor, growth factor receptor inhibitor, Abl kinase inhibitor, Bcr-Abl kinase inhibitor, FGFR inhibitor, mitotic inhibitor, protein kinase inhibitor, RET tyrosine kinase inhibitor	AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, BCR, SLK	Aurora kinase inhibitor	3.69, 1.64	45.77	2.02, 0.48	98.84	59.41	22.92	89.45	46.67	44.88	9.57	2.88	18.29	75.34	58.41	0.00	74.49	81.34	-15.22	41.42	8.05	16.20	85.45	78.51	37.40	76.76	86.56	50.89	29.80	32.98
BRD-A18917088	CP	estradiol	estrogen receptor agonist	ESR1, ESR2, NR1I2, CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, GPER1, KCNMA1	Estrogen receptor agonist	3.28, 1.64	45.77	0.52, 0.15	17.35	24.31	86.42	48.37	14.27	43.10	93.90	73.92	90.74	26.39	11.23	52.72	59.35	43.17	9.91	8.40	22.18	95.01	38.88	80.16	95.96	32.05	86.67	78.02	80.54	-38.35
BRD-A29437505	CP	RWJ-21757	toll-like receptor ligand	TLR7		7.79, 3.69	45.76	0.69, 0.20	3.92	25.09	10.69	68.43	-0.39	90.32	3.24	86.18	71.86	64.85	24.06	55.86	91.62	97.82	19.82	93.15	0.95	19.31	45.56	74.74	7.03	45.95	12.11	67.97	15.34	99.15
BRD-K18059238	CP	gamma-linolenic-acid	cyclooxygenase inhibitor, prostanoid receptor stimulant, thromboxane synthase stimulant	TBXAS1		10.25, 5.74	45.73	1.66, 0.52	26.11	47.20	96.47	99.22	68.79	5.03	81.56	22.69	27.58	0.35	92.79	42.74	99.72	37.28	75.06	-65.41	44.26	20.07	58.67	95.49	84.23	91.48	40.60	77.23	27.28	12.38
BRD-K97354755	CP	SU-6656	src inhibitor	LYN, AURKB, AURKC, BRSK2, CALM1, CAMK2D, LCK, RET, SRC, YES1		5.56, 0.79	45.73	1.23, 0.32	5.39	61.30	92.08	52.76	28.77	77.63	10.22	28.85	24.72	77.09	61.55	28.16	77.96	29.13	9.38	96.00	38.70	88.61	15.57	99.22	77.75	-10.43	30.45	93.26	76.58	5.07
BRD-K65503129	CP	HSP90-inhibitor	HSP inhibitor, HSP antagonist	HSP90AA1, HSP90AB1	HSP inhibitor	3.69, 0.82	45.71	0.94, 0.23	95.21	14.49	27.75	26.50	6.73	7.49	44.38	5.55	19.25	17.75	35.29	11.27	55.92	76.99	62.70	47.13	81.98	75.99	60.66	52.03	79.41	65.31	25.82	94.01	47.04	-13.84
BRD-K22878149	CP	SB-205607	delta 1 opioid receptor agonist, opioid receptor agonist	OPRD1, OPRK1, OPRM1		6.15, 4.51	45.69	1.65, 0.52	91.25	99.22	42.80	37.38	25.27	42.47	89.90	12.53	7.40	2.61	60.03	18.66	78.19	64.94	35.63	-34.18	2.61	29.99	94.63	48.58	69.38	37.26	77.24	87.07	78.67	88.68
BRD-A67438293	CP	treprostinil	prostacyclin analog	PTGIR, CYP2C8, P2RY12, PPARD, PTGDR, PTGER1, PTGER2, PTGER3, PTGER4		4.80, 1.75	45.68	0.99, 0.23	1.83	3.42	10.43	33.63	4.23	91.81	19.30	15.31	60.97	66.97	32.12	50.18	64.38	43.79	-57.64	86.09	1.66	26.57	50.35	99.79	72.65	73.71	53.70	47.57	16.40	59.37
BRD-K09186807	CP	KIN001-244	phosphoinositide dependent kinase inhibitor	PDPK1		5.74, 2.46	45.65	1.56, 0.55	8.20	94.91	60.63	31.77	74.78	56.89	48.03	31.05	47.51	84.72	39.87	57.06	28.92	87.02	35.66	81.87	13.81	5.84	35.78	17.42	79.31	72.12	43.80	53.87	29.95	17.99
BRD-K60219430	CP	serdemetan	MDM inhibitor, angiogenesis stimulant, apoptosis stimulant, oncogene inhibitor	MDM2		8.20, 5.74	45.57	1.31, 0.38	97.57	17.57	15.54	39.51	99.89	18.40	31.32	98.98	84.99	88.33	40.85	81.79	26.35	38.44	96.48	61.91	82.88	43.22	45.78	60.98	26.42	45.36	26.29	63.38	48.95	6.80
BRD-A74904029	CP	EI-231	casein kinase inhibitor	CSNK2A1, CSNK2A2, CSNK2B		2.46, 1.23	45.57	1.39, 0.43	1.83	53.82	90.72	10.50	2.61	30.13	53.90	57.90	29.21	62.49	77.23	28.57	90.55	84.92	31.75	57.86	2.87	0.25	25.22	58.95	37.31	60.47	80.94	16.56	7.29	66.68
BRD-K72726508	CP	arcyriaflavin-a	CDK inhibitor	CCND1, CCNE1, CDK2, CDK4		4.10, 1.23	45.55	0.88, 0.23	3.98	11.92	38.74	54.13	41.85	85.16	39.88	49.26	63.68	25.43	39.00	30.95	73.32	30.77	21.06	96.02	97.57	83.13	79.65	41.16	73.89	94.65	59.70	15.86	9.94	60.01
BRD-K20742498	CP	RS-39604	serotonin receptor antagonist	HTR4	Serotonin receptor antagonist	6.56, 3.69	45.53	1.50, 0.55	97.18	76.37	13.44	44.73	99.51	21.10	19.74	98.17	63.27	99.01	35.33	46.33	78.70	3.59	84.40	18.20	6.51	37.34	62.89	21.57	35.14	66.79	41.63	50.44	53.52	24.30
BRD-K87048468	CP	RS-102221	serotonin receptor antagonist	HTR2C, HTR2A, HTR2B		3.28, 0.82	45.52	1.13, 0.25	19.22	77.71	17.80	28.68	66.32	91.41	13.08	59.22	76.78	6.71	44.47	37.37	73.25	95.30	50.24	71.49	12.50	21.16	46.56	71.83	59.03	95.81	44.33	24.79	31.89	30.13
BRD-A09533288	CP	verapamil	calcium channel blocker, L-type calcium channel blocker, dopamine receptor antagonist	CACNA1C, CACNA1D, CACNA1G, CACNA1S, CACNA1A, CACNA1B, CACNA1F, CACNA1I, CACNB1, CACNB2, CACNB3, CACNB4, CYP2C8, CYP2E1, CYP3A4, CYP3A5, CYP3A7, DRD2, KCNA10, KCNA7, KCNH2, KCNJ11, NALCN, SCN5A, SLC29A4, SLC6A4		4.92, 2.87	45.40	0.84, 0.11	17.52	10.10	24.72	34.16	13.83	45.36	23.73	51.43	69.92	27.63	54.13	93.92	69.14	84.88	81.62	91.56	2.92	8.46	62.91	73.76	78.09	89.68	26.18	40.93	45.44	29.15
BRD-K37848908	CP	ceforanide	cell wall synthesis inhibitor, penicillin binding protein inhibitor			6.15, 2.87	45.40	0.76, 0.32	15.69	39.81	52.98	12.04	2.43	71.39	24.02	94.89	38.59	-0.32	40.43	83.93	86.46	99.15	25.70	86.93	49.42	45.09	7.30	34.78	44.91	84.68	83.85	45.70	86.64	87.34
BRD-K85985071	CP	ellipticine	topoisomerase inhibitor, DNA intercalating drug	TOP2A, TOP2B	Topoisomerase inhibitor	5.74, 2.87	45.37	1.99, 0.44	99.82	64.36	54.39	64.78	13.15	4.86	7.96	97.00	42.41	53.90	87.12	22.40	37.52	70.70	28.77	9.29	96.04	72.14	28.12	17.72	42.98	71.98	55.39	47.76	42.69	-23.48
BRD-K10176267	CP	L-701252	glutamate receptor antagonist	GRIN1		5.33, 2.87	45.35	1.18, 0.38	22.07	95.54	28.28	55.66	1.75	36.75	47.07	88.65	61.15	3.84	39.98	69.33	83.20	67.60	7.80	69.00	2.29	39.30	43.64	55.93	39.52	66.83	9.90	70.22	55.02	3.10
BRD-K82823076	CP	RO-15-4513	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB2, GABRG2		4.51, 2.87	45.30	0.78, 0.16	1.20	8.53	39.94	64.85	27.05	74.67	61.78	0.67	50.67	31.53	38.30	88.43	68.80	25.87	59.16	97.91	33.79	12.72	75.97	93.76	86.55	24.96	70.79	24.97	74.38	5.96
BRD-A02481876	CP	importazole	importin-beta transport receptor inhibitor	KPNB1		5.74, 3.28	45.27	1.51, 0.24	99.08	6.52	46.90	29.17	84.18	-6.58	14.99	71.36	15.63	87.12	9.36	37.82	56.58	54.45	43.43	43.63	99.26	94.46	48.47	9.31	63.69	60.73	13.01	8.03	48.62	-14.07
BRD-K42679050	CP	Y-27152	potassium channel activator, potassium channel agonist	ABCC9, KCNJ8		5.33, 3.28	45.24	0.83, 0.25	0.00	85.96	21.55	61.69	-0.49	79.38	21.38	26.95	21.65	60.35	59.76	40.11	63.19	26.11	64.53	52.33	0.95	2.64	50.37	97.55	21.11	76.07	76.07	79.82	4.74	39.54
BRD-K89626439	CP	sirolimus	mTOR inhibitor, CCR expression inhibitor, cell cycle inhibitor, proteasome inhibitor, protein kinase inhibitor, T cell inhibitor	MTOR, FKBP1A, CCR5, FGF2	MTOR inhibitor	2.18, 0.44	45.24	1.99, 0.56	32.18	18.12	61.09	10.34	30.05	25.22	28.03	13.41	88.43	81.81	61.99	20.95	49.73	91.88	94.55	75.48	58.44	40.74	60.58	51.86	6.02	93.05	67.91	23.60	22.52	26.70
BRD-A73605923	CP	mocimycin	protein synthesis inhibitor			3.28, 1.23	45.23	0.90, 0.30	4.13	19.06	34.20	30.53	63.78	15.88	37.37	11.55	28.25	16.61	90.17	49.52	52.27	43.16	47.29	94.96	78.90	76.26	72.64	76.51	81.42	91.61	22.62	54.50	12.80	9.39
BRD-A21723284	CP	naltriben	opioid receptor antagonist	OPRD1, OPRK1, OPRM1		4.92, 2.87	45.22	1.01, 0.31	18.08	21.24	30.88	39.99	5.07	94.81	47.59	80.80	83.14	86.40	32.46	76.96	20.67	84.93	53.93	88.06	2.08	44.92	32.50	45.53	70.66	51.99	95.28	37.04	26.86	0.92
BRD-A39415247	CP	norethisterone	ovulation inhibitor	PGR	Progesterone receptor agonist	4.92, 2.05	45.20	0.76, 0.27	13.93	58.84	54.84	27.95	7.75	33.59	98.98	2.15	50.32	6.89	78.53	72.79	57.03	34.75	46.58	39.33	84.78	25.91	29.09	81.35	30.51	71.88	49.20	61.14	17.49	43.82
BRD-K15196155	CP	IBC-293	hydroxycarboxylic acid receptor agonist	HCAR3		5.33, 3.28	45.15	1.02, 0.26	29.68	42.14	99.44	48.16	7.31	3.70	54.39	31.67	31.80	59.87	23.30	65.68	67.02	55.26	23.90	59.27	23.45	61.89	93.19	34.67	92.21	33.35	40.24	59.27	52.74	18.39
BRD-K67578145	CP	GDC-0879	RAF inhibitor	BRAF	RAF inhibitor	2.05, 0.82	45.14	1.20, 0.40	67.59	87.19	32.12	15.09	24.76	24.02	41.84	72.51	81.56	44.51	45.78	69.56	20.08	65.16	26.93	73.31	20.13	69.24	44.10	26.43	48.99	22.34	56.08	38.76	62.63	67.54
BRD-A36267905	CP	buphenine	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	3.69, 1.64	45.11	0.68, 0.27	-43.63	-1.09	21.13	46.45	30.15	20.39	70.78	43.90	63.34	46.32	59.90	75.44	73.96	25.92	69.27	82.44	11.56	0.53	17.39	63.42	76.00	46.32	22.80	76.82	13.06	-27.13
BRD-A67605442	CP	tetrahydrobiopterin	nitric oxide stimulant, nitric oxide synthase stimulant, phenylalanine 4-hydroxylase stimulant, nitric oxide synthase activator	PAH, TH, DBH, NOS3, TPH1		4.80, 2.62	45.10	1.30, 0.36	0.00	4.36	99.08	30.01	6.23	58.11	9.85	82.64	33.63	28.27	72.43	52.42	1.83	63.09	57.88	96.03	11.16	37.78	71.18	90.55	10.86	67.10	81.20	7.78	17.56	88.77
BRD-K73391359	CP	quinisocaine	anesthetic			2.87, 1.23	45.09	0.63, 0.11	3.45	10.95	65.67	6.16	40.78	71.73	39.08	73.59	64.12	44.52	27.69	87.23	41.98	66.91	45.65	83.11	9.16	1.52	29.29	61.10	63.59	91.56	90.06	27.54	52.30	33.45
BRD-A67981824	CP	cefotaxime	cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor	6.15, 2.87	45.08	1.38, 0.35	96.46	24.88	85.76	43.98	21.51	46.65	38.18	26.67	81.36	7.25	68.82	46.18	85.12	52.67	9.49	5.43	1.44	-0.67	82.40	81.06	50.66	28.20	66.39	56.34	13.96	26.52
BRD-A70268693	CP	PG-9	presynaptic cholinergic modulator			2.87, 2.05	45.07	0.75, 0.31	12.89	-1.06	81.79	67.87	15.95	71.34	76.74	26.19	45.37	4.30	74.14	83.29	83.27	88.21	84.40	15.54	20.68	52.70	88.19	0.56	30.52	42.62	12.51	44.78	35.64	50.62
BRD-A36217750	CP	sulfinpyrazone	platelet aggregation inhibitor	ABCC1, ABCC2, FPR1, SLC22A12		5.24, 2.62	45.07	0.36, 0.06	15.87	17.07	60.48	46.70	14.17	72.55	40.59	30.85	59.68	42.56	19.44	74.85	61.27	48.30	60.16	82.38	5.46	43.44	93.90	18.15	42.80	86.95	80.24	78.74	15.11	39.84
BRD-K49404994	CP	levetiracetam	acetylcholine receptor agonist, N-type calcium channel blocker, synaptic vesicle glycoprotein ligand	SV2A, CACNA1B, SCN1A		4.83, 2.90	45.06	0.77, 0.24	43.26	-0.78	29.27	35.14	12.27	31.63	41.99	11.04	53.28	14.49	93.46	29.51	80.90	90.54	81.62	94.05	5.97	28.32	29.14	97.39	46.87	61.78	80.83	65.96	76.00	56.70
BRD-A23072235	CP	pheniramine	acetylcholine receptor antagonist	HRH1		5.74, 4.10	45.06	0.61, 0.11	-20.41	23.41	83.89	89.44	3.63	7.34	84.86	24.07	64.89	14.42	93.81	21.05	95.93	16.99	76.00	-14.48	21.87	44.55	85.48	78.85	46.50	45.56	78.40	55.17	6.50	24.99
BRD-A54490543	CP	pirlindole	monoamine oxidase inhibitor	MAOA, SLC6A2, SLC6A4		4.80, 1.31	45.03	0.98, 0.24	6.91	4.40	18.42	92.88	20.16	56.87	23.16	86.20	27.18	53.81	78.55	92.12	15.46	36.25	79.13	71.96	6.12	0.85	82.79	94.41	55.93	63.88	11.05	21.80	32.08	63.29
BRD-K26548821	CP	quinpirole	dopamine receptor agonist	DRD2, DRD3, DRD4, DRD1, HTR1A, HTR2A, HTR2B, HTR2C		5.74, 3.28	45.03	0.86, 0.13	65.49	62.14	46.34	98.38	20.14	78.21	63.32	13.08	11.17	-25.24	87.80	82.25	30.03	87.23	41.15	43.72	36.52	53.51	64.75	26.99	95.34	39.00	28.21	92.08	27.23	6.82
BRD-K15502390	CP	nevirapine	non-nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor	CYP2B6, CYP2C19, CYP3A4	Reverse transcriptase inhibitor	8.73, 3.49	45.01	0.91, 0.23	25.88	4.47	31.72	87.57	5.05	74.70	86.73	17.91	37.17	75.73	96.02	93.56	39.05	66.97	97.15	89.68	1.66	19.09	96.82	29.82	30.71	93.54	87.21	42.42	27.89	47.61
BRD-A16934955	CP	nalbuphine	opioid receptor agonist, opioid receptor antagonist	OPRD1, OPRK1, OPRM1		3.38, 1.93	44.97	1.34, 0.40	84.25	39.26	60.60	62.21	60.50	29.00	69.66	-0.28	20.39	15.91	69.36	2.40	80.22	54.17	30.06	29.40	1.87	33.64	79.21	87.15	60.04	50.68	92.09	12.24	9.54	38.81
BRD-K68558722	CP	deracoxib	cyclooxygenase inhibitor	PTGS2		3.69, 1.64	44.97	0.60, 0.18	8.75	52.51	44.16	56.29	2.71	60.30	54.04	39.80	64.92	21.85	32.99	45.78	26.42	72.42	62.32	68.89	3.83	10.34	57.88	79.20	12.71	24.95	56.10	24.65	11.33	67.09
BRD-K28667196	CP	fillalbin	increases arterial blood pressure			4.10, 1.64	44.96	0.75, 0.22	4.75	-27.84	76.02	79.08	2.63	29.43	0.78	21.57	7.19	16.10	65.53	83.31	39.91	89.84	52.22	85.64	4.86	35.89	47.98	74.69	11.21	92.35	67.19	41.94	81.84	98.84
BRD-A18620900	CP	estriol	estrogen receptor agonist, estrogen receptor antagonist	ESR1, ESR2	Estrogen receptor agonist	3.93, 1.75	44.91	1.24, 0.34	37.89	47.86	66.62	78.09	30.34	61.42	71.96	9.04	52.24	51.53	76.19	10.10	93.97	45.22	13.49	63.98	2.16	23.03	26.18	89.77	44.60	34.87	93.60	37.99	20.34	8.80
BRD-A26095496	CP	clobetasol	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	6.56, 2.87	44.91	1.44, 0.73	90.55	45.57	32.50	40.63	6.06	67.53	97.43	10.75	61.85	47.59	29.50	58.61	66.67	59.25	86.00	44.24	4.65	7.42	15.66	61.49	73.93	21.84	36.02	80.68	5.17	34.88
BRD-K54314721	CP	zolmitriptan	serotonin receptor agonist	HTR1B, HTR1D, HTR1A, HTR1F, HTR1E		6.56, 1.64	44.91	0.59, 0.14	3.30	27.75	39.95	18.77	1.23	78.34	42.06	57.67	73.79	56.73	86.56	81.71	16.01	97.95	90.07	87.70	16.40	40.15	96.67	90.44	22.58	93.14	41.44	47.75	7.79	38.14
BRD-K09471561	CP	levofloxacin	topoisomerase inhibitor, DNA gyrase inhibitor	TOP2A		4.35, 1.45	44.89	1.83, 0.38	4.81	28.54	84.61	36.49	42.98	39.27	25.03	-6.38	10.49	80.22	46.79	81.81	79.62	-11.26	89.00	40.48	3.02	11.38	96.03	49.07	88.21	70.15	71.70	66.07	68.29	-0.07
BRD-K95763993	CP	trapidil	calcium channel antagonist, PDGFR tyrosine kinase receptor inhibitor, platelet aggregation inhibitor, protein kinase activator	PDGFRA		7.38, 4.10	44.86	0.72, 0.22	0.00	42.20	68.96	21.62	7.73	98.87	93.25	33.94	37.25	24.60	97.11	67.17	76.93	-72.45	78.87	76.89	8.32	13.44	60.29	47.52	62.74	96.09	11.54	53.28	7.62	26.94
BRD-A00100033	CP	nifurtimox	DNA inhibitor			4.92, 2.05	44.84	0.97, 0.34	92.44	10.90	35.62	14.63	2.22	50.66	21.63	63.59	59.60	29.33	28.59	82.85	33.90	99.82	73.47	57.15	15.98	19.64	63.15	84.88	32.43	70.53	93.88	39.03	37.22	97.27
BRD-K75478907	CP	GS-39783	GABA receptor modulator, GABA receptor positive allosteric modulator	GABBR1		9.02, 4.51	44.74	0.49, 0.17	37.58	20.27	75.47	33.06	2.40	95.44	55.26	94.25	69.05	59.49	33.38	36.07	26.44	95.98	88.02	42.79	8.52	82.46	57.85	31.27	13.24	34.53	15.62	96.50	54.58	46.69
BRD-K81916719	CP	triclabendazole	acetylcholinesterase inhibitor, DNA methyltransferase inhibitor, microtubule inhibitor	DNMT1		4.35, 0.97	44.74	0.83, 0.25	-0.07	-12.49	-0.60	-5.68	8.34	92.00	7.73	90.58	64.61	55.54	61.85	58.19	12.32	31.11	97.39	82.68	27.76	-24.05	55.73	80.60	-20.29	62.26	33.94	63.32	7.49	69.02
BRD-K92428232	CP	GSK-461364	PLK inhibitor	PLK1		2.87, 0.41	44.72	1.40, 0.31	75.55	7.16	48.06	20.74	95.49	29.38	22.96	45.82	70.15	82.92	51.84	21.10	93.04	29.45	43.62	52.03	23.80	39.47	26.81	74.72	69.03	25.80	66.98	30.38	47.79	-1.06
BRD-K49294207	CP	BIBU-1361	EGFR inhibitor	EGFR	EGFR inhibitor	7.86, 4.37	44.72	1.69, 0.69	99.30	-3.18	16.02	15.47	100.00	11.28	40.46	92.90	48.97	99.93	17.72	60.21	35.53	57.82	99.72	27.85	90.07	67.16	20.79	17.53	65.38	52.67	36.39	18.38	95.43	7.46
BRD-K76840893	CP	RS-17053	adrenergic receptor antagonist	ADRA1A, ADRA1D		5.33, 3.28	44.70	1.68, 0.52	99.37	-11.12	26.59	16.14	100.00	35.60	8.91	92.72	85.20	99.86	60.54	23.46	-2.36	32.06	99.65	37.91	93.14	48.82	25.32	80.03	8.19	64.85	72.64	40.58	92.69	-7.96
BRD-K77133231	CP	PD-169316	p38 MAPK inhibitor	ALOX5	P38 MAPK inhibitor	8.73, 5.56	44.70	1.29, 0.28	28.65	-9.85	24.14	43.33	46.07	99.79	8.77	99.01	61.65	81.90	35.05	97.43	-13.85	63.20	7.86	28.14	-0.03	84.71	42.41	89.27	55.96	93.56	65.15	27.15	1.66	99.82
BRD-K40887525	CP	ritanserin	serotonin receptor antagonist	HTR2A, HTR2C, HTR2B, ADRA1A, ADRA1B, ADRA1D, HTR1A, HTR1B, HTR1D, HTR5A, HTR6, HTR7		4.92, 1.23	44.69	0.77, 0.20	61.46	47.13	70.54	0.00	42.26	48.07	94.98	9.56	82.11	35.67	5.81	74.94	96.66	82.20	30.56	95.01	2.22	22.50	23.35	23.72	10.21	79.49	74.99	8.30	11.12	88.54
BRD-K77908580	CP	entinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC9	HDAC inhibitor	0.82, 0.00	44.69	1.00, 0.38	75.83	27.64	20.94	25.82	60.56	10.32	22.15	80.13	49.51	34.93	51.38	22.75	38.53	1.94	66.01	52.27	59.46	79.64	46.10	43.29	56.58	62.49	33.03	24.65	53.73	-21.16
BRD-A34751532	CP	homosalate	HSP activator			7.79, 4.92	44.68	0.73, 0.31	97.42	13.58	-1.97	31.54	2.61	46.79	25.67	25.94	42.57	21.05	56.06	74.41	63.34	51.32	96.50	95.40	10.39	34.36	77.57	72.59	71.39	37.40	57.06	22.20	41.68	97.78
BRD-K05434375	CP	HA-1004	calcium channel blocker			3.28, 2.05	44.66	0.84, 0.19	7.55	93.24	75.53	48.94	3.63	18.46	95.51	-1.20	25.11	7.77	68.13	79.76	79.27	48.50	40.82	62.99	6.79	26.69	21.95	57.32	70.50	31.29	30.16	59.31	5.74	64.58
BRD-K51662849	CP	ilomastat	matrix metalloprotease inhibitor	ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9		5.33, 2.46	44.64	0.91, 0.33	10.32	53.02	30.31	91.76	5.82	27.36	58.91	13.23	67.13	30.11	72.97	60.49	93.04	26.53	44.84	44.44	9.02	26.51	69.85	68.78	16.33	63.33	70.73	52.84	10.31	32.61
BRD-K59469039	CP	AG-879	angiogenesis inhibitor, EGFR inhibitor, tyrosine kinase inhibitor, VEGFR inhibitor	ERBB2, KDR, NTRK1	EGFR inhibitor, VEGFR inhibitor	3.28, 1.64	44.61	2.11, 0.65	95.21	-1.59	40.31	14.72	91.27	27.25	38.53	35.00	51.84	37.17	78.19	12.78	48.92	63.04	96.86	10.02	99.04	98.66	8.43	9.29	84.07	66.57	69.59	31.18	57.62	-0.60
BRD-A68281735	CP	REV-5901	leukotriene receptor antagonist, lipoxygenase inhibitor	ALOX5		2.87, 1.64	44.57	0.92, 0.35	1.34	1.80	62.11	32.07	25.34	45.98	29.11	43.17	51.20	84.68	39.44	36.81	62.63	65.97	30.41	48.98	88.39	10.01	37.21	34.83	52.26	70.51	89.43	62.56	85.87	10.17
BRD-K05901394	CP	terguride	adrenergic receptor antagonist, dopamine autoreceptor agonist, dopamine receptor agonist, dopamine receptor partial agonist, platelet aggregation inhibitor, prolactin secretion inhibitor, serotonin receptor antagonist	DRD2, HTR2A, HTR2B, ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD3, DRD4, HTR1A, HTR1B, HTR1D, HTR2C, PRL		2.46, 0.82	44.56	1.16, 0.42	8.19	39.90	71.92	55.38	5.93	70.98	64.11	85.90	27.54	75.15	31.57	67.13	53.07	93.05	17.57	98.17	7.83	16.25	13.78	38.50	34.69	95.30	49.21	25.81	55.41	-8.10
BRD-A88282067	CP	delcorine	ganglioblocking, antiarrhythmic			6.15, 3.28	44.55	1.53, 0.42	5.34	51.80	24.60	49.69	0.93	32.36	65.38	47.61	69.90	11.24	98.84	70.26	20.13	29.69	21.09	45.46	2.71	7.08	95.61	94.04	92.06	51.54	15.71	12.92	43.63	90.98
BRD-K66093087	CP	FGIN-1-43	benzodiazepine receptor ligand	TSPO		6.11, 2.62	44.51	1.50, 0.53	8.09	73.55	15.92	85.37	3.31	77.93	80.09	81.11	27.19	96.92	76.85	82.42	72.06	18.04	51.97	61.24	2.93	20.18	37.05	61.72	6.63	80.90	31.62	13.39	11.72	22.52
BRD-A90311807	CP	cilastatin	dehydropeptidase inhibitor	DPEP1		3.28, 2.05	44.50	0.95, 0.34	-84.24	81.84	73.28	42.85	1.73	74.96	24.60	42.00	31.78	46.16	35.73	90.85	22.54	94.89	19.41	80.05	13.05	53.85	78.40	65.12	61.47	81.17	82.05	42.48	26.25	32.76
BRD-K43796186	CP	benzyl-quinazolin-4-yl-amine	epidermal growth factor receptor (EGFR) inhibitor	EGFR		2.18, 0.44	44.49	0.90, 0.36	-60.56	15.57	23.98	34.11	39.83	31.47	19.19	93.29	52.75	91.57	63.74	34.64	64.76	63.47	68.19	61.25	93.96	13.17	8.46	49.14	-9.36	84.76	85.73	17.03	3.76	60.55
BRD-K41903098	CP	diphenoxylate	opoid receptor agonist	OPRM1, OPRD1		6.28, 2.90	44.48	0.99, 0.19	4.12	15.55	26.98	31.09	3.63	16.78	45.15	43.80	90.28	65.63	78.37	49.78	23.33	29.47	97.64	90.62	64.16	71.21	12.85	49.25	70.55	78.41	55.29	5.88	30.40	0.07
BRD-K70490179	CP	rimcazole	sigma receptor antagonist, dopamine reuptake inhibitor	SIGMAR1		4.92, 2.46	44.47	1.94, 0.53	97.89	45.87	29.21	71.42	97.48	25.72	25.46	14.06	58.38	50.13	46.16	82.60	96.26	24.15	65.30	-81.77	0.78	0.99	94.76	65.37	43.06	4.47	63.24	19.91	34.50	15.05
BRD-K18757346	CP	U-46619	thromboxane receptor agonist	PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R		3.69, 1.64	44.45	0.91, 0.20	4.37	59.02	83.39	83.51	7.21	26.51	21.58	4.92	44.14	29.38	44.77	31.59	23.93	33.95	25.46	63.88	64.13	89.87	87.52	79.28	67.97	27.49	64.29	89.06	55.00	9.26
BRD-K55191674	CP	benzylpenicillin	PBP3 inhibitor			6.97, 4.51	44.45	2.00, 0.72	5.16	99.89	67.66	90.92	4.42	6.93	89.98	2.68	25.63	4.54	65.00	54.88	99.47	14.14	-9.90	50.32	1.94	11.23	89.10	73.38	38.59	82.69	56.57	17.05	7.48	98.76
BRD-A84481105	CP	thioridazine	acetylcholine receptor ligand, dopamine receptor, dopamine receptor antagonist, mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor	DRD1, DRD2, HTR2A, ADRA1A, ADRA1B, CHRNA7, DRD5, HRH1, HTR1A, HTR2C, HTR6, HTR7, KCNH2, MALT1	Dopamine receptor antagonist	6.56, 3.69	44.45	1.84, 0.60	92.26	9.34	41.16	24.14	100.00	68.15	34.35	81.67	77.86	98.17	35.79	32.62	54.94	34.89	97.69	67.85	8.05	25.40	46.77	27.09	29.55	55.86	53.44	16.38	85.66	42.13
BRD-K38615104	CP	A-443644	AKT inhibitor	AKT1, AKT2, AKT3, CDC42BPB, GSK3B, PHKG1, PKIA, PRKACA		6.56, 2.87	44.44	2.41, 0.84	88.73	29.04	99.68	95.26	43.30	0.00	78.22	0.85	-4.79	9.56	98.75	48.49	79.57	8.17	36.70	49.26	45.59	29.94	96.91	94.84	11.19	39.93	75.26	97.67	21.57	6.63
