indication,pert_iname
Rectal Fistula,bupivacaine
Pruritus,bupivacaine
Dyspareunia,bupivacaine
Wrist Injuries,bupivacaine
Finger Injuries,bupivacaine
Cystitis,bupivacaine
"Cystitis, Interstitial",bupivacaine
Urologic Diseases,bupivacaine
Cryptorchidism,bupivacaine
Uterine Prolapse,bupivacaine
Bradycardia,bupivacaine
"Fractures, Multiple",bupivacaine
Lymphedema,bupivacaine
Scoliosis,bupivacaine
Bursitis,bupivacaine
"Blood Loss, Surgical",bupivacaine
Failed Back Surgery Syndrome,bupivacaine
"Fractures, Compression",bupivacaine
Leg Injuries,bupivacaine
Delirium,bupivacaine
Hip Injuries,bupivacaine
"Fractures, Closed",bupivacaine
Apnea,bupivacaine
Sleep Apnea Syndromes,bupivacaine
Neuroma,bupivacaine
Hyperalgesia,bupivacaine
Cervical Intraepithelial Neoplasia,bupivacaine
Gallstones,bupivacaine
Cholelithiasis,bupivacaine
Cholecystolithiasis,bupivacaine
Shoulder Impingement Syndrome,bupivacaine
"Hernia, Hiatal",bupivacaine
Food Addiction,bupropion
Dyssomnias,bupropion
Intestinal Diseases,bupropion
Inflammatory Bowel Diseases,bupropion
Parasomnias,bupropion
"Kidney Failure, Chronic",bupropion
Cognitive Dysfunction,bupropion
"Obesity, Morbid",bupropion
Mental Disorders,bupropion
Seizures,bupropion
Cardiovascular Diseases,bupropion
Disease Susceptibility,bupropion
Genetic Predisposition to Disease,bupropion
Cerebrovascular Disorders,bupropion
Sleep Wake Disorders,bupropion
"Angina, Unstable",bupropion
Psychotic Disorders,bupropion
"Behavior, Addictive",bupropion
Sleep Initiation and Maintenance Disorders,bupropion
Problem Behavior,bupropion
"Lung Diseases, Obstructive",bupropion
"Pulmonary Disease, Chronic Obstructive",bupropion
Acquired Immunodeficiency Syndrome,bupropion
Immunologic Deficiency Syndromes,bupropion
Suicidal Ideation,bupropion
Body Weight,bupropion
Ataxia,bupropion
Cerebellar Ataxia,bupropion
Friedreich Ataxia,bupropion
Williams Syndrome,buspirone
Syndrome,buspirone
Hypothermia,buspirone
"Infertility, Female",cabergoline
Acromegaly,cabergoline
Prostatic Neoplasms,cabergoline
Melanoma,cabergoline
Neuroendocrine Tumors,cabergoline
Dumping Syndrome,cabergoline
Hernia,caffeine
"Hernia, Inguinal",caffeine
Kidney Diseases,caffeine
"Renal Insufficiency, Chronic",caffeine
Scoliosis,caffeine
Bronchopulmonary Dysplasia,caffeine
Post-Dural Puncture Headache,caffeine
"Carcinoma, Renal Cell",caffeine
Gastrointestinal Stromal Tumors,caffeine
Reperfusion Injury,caffeine
Cardiovascular Diseases,caffeine
Brain Injuries,caffeine
Hemorrhage,caffeine
Atherosclerosis,caffeine
Vertigo,caffeine
Vestibular Diseases,caffeine
Anxiety Disorders,caffeine
Hypertension,canagliflozin
Albuminuria,canagliflozin
Weight Loss,canagliflozin
COVID-19,canagliflozin
Insulin Resistance,canagliflozin
Hypersensitivity,canagliflozin
Hyperuricemia,canagliflozin
"Heart Failure, Systolic",canagliflozin
Systolic Murmurs,canagliflozin
Glomerulonephritis,canagliflozin
"Glomerulonephritis, IGA",canagliflozin
Motor Disorders,capsaicin
Syndrome,capsaicin
Diabetes Complications,capsaicin
Alopecia,capsaicin
Alopecia Areata,capsaicin
Renal Insufficiency,capsaicin
"Kidney Failure, Chronic",capsaicin
"Rhinitis, Allergic",capsaicin
Psoriasis,capsaicin
Labor Pain,capsaicin
Erythromelalgia,carbamazepine
"Epilepsy, Rolandic",carbamazepine
Mood Disorders,carbamazepine
Asthma,carbamazepine
Lung Diseases,carvedilol
"Pulmonary Disease, Chronic Obstructive",carvedilol
"Cardiomyopathy, Dilated",carvedilol
Ascites,carvedilol
Peritonitis,carvedilol
Hepatic Encephalopathy,carvedilol
Brain Diseases,carvedilol
Infarction,carvedilol
Sprains and Strains,carvedilol
Univentricular Heart,carvedilol
Varicose Veins,carvedilol
Heart Diseases,carvedilol
Coronary Artery Disease,carvedilol
Myocardial Ischemia,carvedilol
Ischemia,carvedilol
Chagas Cardiomyopathy,carvedilol
"Lung Diseases, Obstructive",carvedilol
Alzheimer Disease,carvedilol
Muscular Dystrophies,carvedilol
"Muscular Dystrophy, Duchenne",carvedilol
Premature Birth,carvedilol
Tachycardia,carvedilol
"Tachycardia, Ventricular",carvedilol
Ventricular Premature Complexes,carvedilol
ST Elevation Myocardial Infarction,carvedilol
Non-ST Elevated Myocardial Infarction,carvedilol
Hypoxia,carvedilol
"Renal Insufficiency, Chronic",carvedilol
"Heart Failure, Diastolic",carvedilol
Acute Coronary Syndrome,carvedilol
Syndrome,carvedilol
Pneumonia,cefdinir
"Bronchitis, Chronic",cefdinir
Adenoma,cefdinir
Pituitary Neoplasms,cefdinir
Pituitary Diseases,cefdinir
Infections,cefdinir
Communicable Diseases,cefdinir
Pancreatitis,cefoperazone
"Pancreatitis, Acute Necrotizing",cefoperazone
Spondylarthropathies,celecoxib
Bile Duct Neoplasms,celecoxib
Cholangiocarcinoma,celecoxib
Wounds and Injuries,celecoxib
Necrosis,celecoxib
Leiomyoma,celecoxib
Sprains and Strains,celecoxib
Crohn Disease,celecoxib
Urethral Stricture,celecoxib
Arteriosclerosis,celecoxib
Coronary Artery Disease,celecoxib
Myocardial Ischemia,celecoxib
Ankle Injuries,celecoxib
Ureteral Calculi,celecoxib
Ureterolithiasis,celecoxib
Calculi,celecoxib
Renal Colic,celecoxib
Radius Fractures,celecoxib
Coronary Disease,celecoxib
Nausea,celecoxib
Constipation,celecoxib
Coronary Restenosis,celecoxib
Heart Diseases,celecoxib
Spinal Stenosis,celecoxib
"Constriction, Pathologic",celecoxib
Kidney Calculi,celecoxib
Nephrolithiasis,celecoxib
Intestinal Diseases,celecoxib
Inflammatory Bowel Diseases,celecoxib
Nasal Polyps,celecoxib
Uveitis,chlorambucil
Asymptomatic Diseases,chloroquine
Hepatitis A,chloroquine
"Hepatitis, Autoimmune",chloroquine
Hepatitis,chloroquine
Rabies,chloroquine
Recurrence,chloroquine
Hepatitis C,chloroquine
Fetal Growth Retardation,chloroquine
Osteoarthritis,chloroquine
"Osteoarthritis, Knee",chloroquine
Bronchitis,chlorphenamine
Hypotension,chlorphenamine
Mania,chlorpromazine
Disease,chlorpromazine
Bipolar Disorder,chlorpromazine
Emergencies,chlorpromazine
Aggression,chlorpromazine
COVID-19,chlorthalidone
Coronavirus Infections,chlorthalidone
Aortic Valve Stenosis,chlorthalidone
"Hypertrophy, Left Ventricular",chlorthalidone
Aortic Valve Insufficiency,chlorthalidone
Hypertrophy,chlorthalidone
Drug-Related Side Effects and Adverse Reactions,chlorthalidone
Obesity,chlorthalidone
Metabolic Syndrome,chlorthalidone
Overweight,chlorthalidone
Carotid Artery Diseases,cilostazol
Diabetes Mellitus,cilostazol
"Diabetes Mellitus, Type 2",cilostazol
Myocardial Infarction,cilostazol
Ischemic Stroke,cilostazol
Intracranial Hemorrhages,cilostazol
Cerebral Hemorrhage,cilostazol
Brain Ischemia,cilostazol
Ischemia,cilostazol
Hemorrhage,cilostazol
Polyneuropathies,cilostazol
Acute Coronary Syndrome,cilostazol
Intracranial Aneurysm,cilostazol
Aneurysm,cilostazol
Raynaud Disease,cilostazol
Myocardial Ischemia,cilostazol
Coronary Disease,cilostazol
Dementia,cilostazol
"Dementia, Vascular",cilostazol
"Constriction, Pathologic",cilostazol
Kidney Diseases,cilostazol
Diabetic Nephropathies,cilostazol
Heart Diseases,cilostazol
Hyperlipidemias,cilostazol
Hyperlipoproteinemias,cilostazol
"Renal Insufficiency, Chronic",cilostazol
"Angina, Stable",cilostazol
Diabetes Complications,cilostazol
Syndrome,cilostazol
Hypercholesterolemia,cilostazol
Metabolic Syndrome,cilostazol
Subarachnoid Hemorrhage,cilostazol
Alzheimer Disease,cilostazol
Arteriosclerosis,cilostazol
Arteriosclerosis Obliterans,cilostazol
Intracranial Arteriosclerosis,cilostazol
Osteoarthritis,cimetidine
Respiratory Aspiration of Gastric Contents,cimetidine
"Meningitis, Meningococcal",ciprofloxacin
Meningitis,ciprofloxacin
Suppuration,ciprofloxacin
"Otitis Media, Suppurative",ciprofloxacin
"Endocarditis, Bacterial",ciprofloxacin
Endocarditis,ciprofloxacin
Respiratory Tract Infections,ciprofloxacin
Hypoglycemia,ciprofloxacin
Hyperglycemia,ciprofloxacin
Appendicitis,ciprofloxacin
Pouchitis,ciprofloxacin
Liver Cirrhosis,ciprofloxacin
Kidney Calculi,ciprofloxacin
Nephrolithiasis,ciprofloxacin
Calculi,ciprofloxacin
Bacteriuria,ciprofloxacin
Asthma,ciprofloxacin
"Angioedemas, Hereditary",ciprofloxacin
Prostatic Hyperplasia,ciprofloxacin
Hyperplasia,ciprofloxacin
"Liver Abscess, Pyogenic",ciprofloxacin
"Colitis, Ulcerative",ciprofloxacin
Cholelithiasis,ciprofloxacin
Cholecystolithiasis,ciprofloxacin
Gallstones,ciprofloxacin
"Dysentery, Bacillary",ciprofloxacin
Periapical Abscess,ciprofloxacin
Surgical Wound Infection,ciprofloxacin
Ascites,ciprofloxacin
Chronic Periodontitis,ciprofloxacin
"Urinary Bladder, Overactive",ciprofloxacin
Wound Infection,ciprofloxacin
Surgical Wound,ciprofloxacin
Ureteral Calculi,ciprofloxacin
Ureterolithiasis,ciprofloxacin
Frailty,citalopram
Amyloidosis,citalopram
Compulsive Behavior,citalopram
Psychotic Disorders,citalopram
Hearing Loss,citalopram
Deafness,citalopram
Epilepsy,citalopram
HIV Seropositivity,citalopram
Facies,citalopram
Sinusitis,citalopram
Facial Pain,citalopram
"Disruptive, Impulse Control, and Conduct Disorders",citalopram
"Pain, Postoperative",citalopram
"Dementia, Vascular",citalopram
Vascular Diseases,citalopram
Coronary Artery Disease,citalopram
Sleep Wake Disorders,citalopram
Panic Disorder,citalopram
"Brain Injuries, Traumatic",citalopram
Brain Injuries,citalopram
Polyneuropathies,citalopram
Diabetes Mellitus,citalopram
Gastroesophageal Reflux,citalopram
Premenstrual Syndrome,citalopram
Head and Neck Neoplasms,citalopram
Ischemia,citalopram
Myocardial Ischemia,citalopram
Frontotemporal Dementia,citalopram
"Aphasia, Primary Progressive",citalopram
Pick Disease of the Brain,citalopram
Asthma,citalopram
Coronary Disease,citalopram
"Depression, Postpartum",citalopram
Polycystic Ovary Syndrome,citalopram
Agoraphobia,citalopram
"Multiple Sclerosis, Relapsing-Remitting",citalopram
Internet Addiction Disorder,citalopram
Inflammation,citalopram
"Epilepsy, Temporal Lobe",citalopram
Heartburn,citalopram
Myocardial Infarction,citalopram
Infarction,citalopram
Chest Pain,citalopram
Ataxia,citalopram
Cerebellar Ataxia,citalopram
Friedreich Ataxia,citalopram
Post-Cardiac Arrest Syndrome,clonazepam
Heart Arrest,clonazepam
Hypothermia,clonazepam
"Stress Disorders, Traumatic",clonazepam
"Stress Disorders, Post-Traumatic",clonazepam
Psychotic Disorders,clonazepam
Phobic Disorders,clonazepam
"Phobia, Social",clonazepam
Agoraphobia,clonazepam
Depression,clonazepam
Depressive Disorder,clonazepam
"Depressive Disorder, Major",clonazepam
Cerebral Palsy,clonazepam
Labor Pain,clonidine
Breakthrough Pain,clonidine
Hip Dislocation,clonidine
Developmental Dysplasia of the Hip,clonidine
"Hip Dislocation, Congenital",clonidine
Femoracetabular Impingement,clonidine
Frailty,clonidine
Cognitive Dysfunction,clonidine
Ataxia,clonidine
Cerebellar Ataxia,clonidine
Ataxia Telangiectasia,clonidine
Telangiectasis,clonidine
Failure to Thrive,clonidine
Pulpitis,clonidine
Catatonia,clonidine
Depressive Disorder,clonidine
"Depressive Disorder, Major",clonidine
Bipolar Disorder,clonidine
Emergencies,clonidine
"Fractures, Closed",clonidine
Osteomyelitis,clonidine
Tarsal Coalition,clonidine
Bursitis,clonidine
Clubfoot,clonidine
Talipes,clonidine
Equinus Deformity,clonidine
Flatfoot,clonidine
Foot Deformities,clonidine
"Foot Deformities, Congenital",clonidine
Exostoses,clonidine
Leg Length Inequality,clonidine
Syndactyly,clonidine
Hand Deformities,clonidine
Polydactyly,clonidine
"Hand Deformities, Congenital",clonidine
Congenital Abnormalities,clonidine
Synovial Cyst,clonidine
Spinal Stenosis,clonidine
Intervertebral Disc Degeneration,clonidine
Intervertebral Disc Displacement,clonidine
Spondylolisthesis,clonidine
Spondylosis,clonidine
"Osteoarthritis, Knee",clonidine
Anterior Cruciate Ligament Injuries,clonidine
Endometriosis,clonidine
Vomiting,clonidine
Tic Disorders,clonidine
Heart Diseases,clonidine
Kidney Diseases,clonidine
Diabetic Nephropathies,clonidine
"Diabetes Mellitus, Type 2",clonidine
Ankle Fractures,clonidine
Osteoarthritis,clonidine
Joint Diseases,clonidine
Arterial Occlusive Diseases,clonidine
Heart Failure,clonidine
Agnosia,clonidine
Retinal Diseases,clonidine
Retinopathy of Prematurity,clonidine
Premature Birth,clonidine
"Infant, Premature, Diseases",clonidine
"Pain, Procedural",clonidine
"Dermatitis, Atopic",clotrimazole
Eczema,clotrimazole
Skin Diseases,clotrimazole
"Skin Diseases, Eczematous",clotrimazole
Recurrence,clotrimazole
Diaper Rash,clotrimazole
Renal Insufficiency,clotrimazole
"Kidney Failure, Chronic",clotrimazole
Depression,clozapine
Depressive Disorder,clozapine
"Depressive Disorder, Major",clozapine
"Schizophrenia, Childhood",clozapine
Substance-Related Disorders,clozapine
Panic Disorder,clozapine
Alcoholism,clozapine
Marijuana Abuse,clozapine
Congenital Abnormalities,clozapine
Metabolic Syndrome,clozapine
HIV-Associated Lipodystrophy Syndrome,cobicistat
Cardiovascular Diseases,cobicistat
Vascular Diseases,cobicistat
Cardiovascular Abnormalities,cobicistat
Congenital Abnormalities,cobicistat
Lipodystrophy,cobicistat
Body Weight,cobicistat
Body Weight Changes,cobicistat
Drug-Related Side Effects and Adverse Reactions,cobicistat
Cognitive Dysfunction,cobicistat
"Hepatitis C, Chronic",cobicistat
Coinfection,cobicistat
Bone Diseases,cobicistat
"Bone Diseases, Metabolic",cobicistat
Metabolic Diseases,cobicistat
Opioid-Related Disorders,cobicistat
Neurotoxicity Syndromes,cobicistat
AIDS Dementia Complex,cobicistat
HIV Seropositivity,cobicistat
Dyspepsia,cromoglicic-acid
Esophagitis,cromoglicic-acid
Eosinophilic Esophagitis,cromoglicic-acid
Prediabetic State,curcumin
Glucose Intolerance,curcumin
Cardiovascular Abnormalities,curcumin
Metrorrhagia,curcumin
Hemorrhage,curcumin
Hypersensitivity,curcumin
Depressive Disorder,curcumin
Irritable Bowel Syndrome,curcumin
Polycystic Kidney Diseases,curcumin
"Polycystic Kidney, Autosomal Dominant",curcumin
Migraine Disorders,curcumin
Alveolar Bone Loss,curcumin
Syndrome,cyclobenzaprine
Somatoform Disorders,cyclobenzaprine
Myalgia,cyclobenzaprine
Hyperkinesis,cyclobenzaprine
Fatigue,cyclobenzaprine
"Obesity, Morbid",cyclobenzaprine
Feeding and Eating Disorders,cyproheptadine
Failure to Thrive,cyproheptadine
Hyperkinesis,cyproheptadine
Disease,cyproheptadine
Attention Deficit Disorder with Hyperactivity,cyproheptadine
Mental Disorders,cyproheptadine
Problem Behavior,cyproheptadine
Attention Deficit and Disruptive Behavior Disorders,cyproheptadine
Neurodevelopmental Disorders,cyproheptadine
Mediastinal Neoplasms,cytarabine
Neoplasm Metastasis,dacarbazine
Optic Nerve Diseases,dalfampridine
"Optic Neuropathy, Ischemic",dalfampridine
Dermatitis,dapsone
Tuberculosis,dapsone
Leprosy,dapsone
Obesity,dapsone
"Vasculitis, Leukocytoclastic, Cutaneous",dapsone
Urticaria,dapsone
Hypersensitivity,dapsone
Nocturia,darifenacin
Urinary Incontinence,darifenacin
Spinal Cord Injuries,darifenacin
Asymptomatic Infections,darunavir
HIV-Associated Lipodystrophy Syndrome,darunavir
Cardiovascular Diseases,darunavir
Vascular Diseases,darunavir
Cardiovascular Abnormalities,darunavir
Congenital Abnormalities,darunavir
Lipodystrophy,darunavir
Body Weight,darunavir
Body Weight Changes,darunavir
Drug-Related Side Effects and Adverse Reactions,darunavir
Papilloma,darunavir
Cytomegalovirus Infections,darunavir
Coinfection,darunavir
Epstein-Barr Virus Infections,darunavir
Inflammation,darunavir
Cognitive Dysfunction,darunavir
Proteinuria,darunavir
Neurotoxicity Syndromes,darunavir
AIDS Dementia Complex,darunavir
HIV Seropositivity,darunavir
Renal Insufficiency,deferiprone
Anemia,deferiprone
Liver Diseases,deferiprone
Lipid Metabolism Disorders,deoxycholic-acid
Candidiasis,dequalinium
"Candidiasis, Vulvovaginal",dequalinium
Anxiety Disorders,desvenlafaxine
"Phobia, Social",desvenlafaxine
Dysthymic Disorder,desvenlafaxine
Anhedonia,desvenlafaxine
Breast Neoplasms,desvenlafaxine
Hot Flashes,desvenlafaxine
Opioid-Related Disorders,desvenlafaxine
Brain Injuries,dextromethorphan
"Brain Injuries, Traumatic",dextromethorphan
Bronchitis,dextromethorphan
Acute Disease,dextromethorphan
"Pain, Postoperative",dextromethorphan
"Anemia, Sickle Cell",dextromethorphan
Atherosclerosis,dextromethorphan
Inflammation,dextromethorphan
Inflammation,diacerein
Gout,diacerein
Psychomotor Agitation,diazepam
Emergencies,diazepam
"Pain, Postoperative",diazepam
Infertility,diazepam
Pain,diazepam
Anus Diseases,diazepam
Crigler-Najjar Syndrome,diazepam
Substance Withdrawal Syndrome,diazepam
"Stress Disorders, Traumatic",diazepam
"Stress Disorders, Post-Traumatic",diazepam
Depression,diazepam
Depressive Disorder,diazepam
Substance-Related Disorders,diazepam
Psychotic Disorders,diazepam
Mental Disorders,diazepam
Shared Paranoid Disorder,diazepam
"Seizures, Febrile",diazepam
Hyperthermia,diazepam
Fever,diazepam
Cerebral Palsy,diazepam
Alcoholism,diazepam
Wounds and Injuries,diazepam
Whiplash Injuries,diazepam
"Diabetes Mellitus, Type 1",diazoxide
Neuroendocrine Tumors,diazoxide
Pure Autonomic Failure,diazoxide
Athletic Injuries,diclofenac
Kidney Calculi,diclofenac
Nephrolithiasis,diclofenac
Infections,diclofenac
Communicable Diseases,diclofenac
Urinary Tract Infections,diclofenac
Migraine Disorders,diclofenac
Migraine without Aura,diclofenac
Migraine with Aura,diclofenac
Facial Pain,diclofenac
Post-Dural Puncture Headache,diclofenac
Hallux Valgus,diclofenac
Bunion,diclofenac
Respiratory Tract Infections,diclofenac
Prostatic Hyperplasia,diclofenac
Hyperplasia,diclofenac
Pericardial Effusion,diclofenac
Graves Disease,diclofenac
Graves Ophthalmopathy,diclofenac
Glaucoma,diclofenac
Hemorrhoids,diclofenac
Rectal Fistula,diclofenac
Fistula,diclofenac
"Infertility, Female",diclofenac
Photosensitivity Disorders,diclofenac
Pericoronitis,diclofenac
Thrombophlebitis,diclofenac
Postoperative Complications,diclofenac
Hypopituitarism,diclofenac
Breakthrough Pain,diclofenac
Multiple Sclerosis,diclofenac
Sclerosis,diclofenac
"Seizures, Febrile",diclofenac
Recurrence,diclofenac
Fever,diclofenac
Seizures,diclofenac
Hyperthermia,diclofenac
Macular Edema,diclofenac
Edema,diclofenac
Rupture,diclofenac
Hyperemia,diclofenac
Paresthesia,diclofenac
Chest Pain,diclofenac
Urinary Calculi,diclofenac
Urolithiasis,diclofenac
Calculi,diclofenac
Opioid-Related Disorders,diclofenac
Drug-Related Side Effects and Adverse Reactions,diclofenac
Delirium,diclofenac
Hip Fractures,diclofenac
"Tooth, Impacted",diclofenac
Shoulder Pain,diclofenac
Respiratory Insufficiency,diclofenac
Lung Neoplasms,diclofenac
Pleural Neoplasms,diclofenac
Pleural Effusion,diclofenac
Pneumothorax,diclofenac
Respiratory Aspiration,diclofenac
Pharyngitis,diclofenac
Laryngitis,diclofenac
"Endocarditis, Bacterial",dicloxacillin
Endocarditis,dicloxacillin
"Dermatitis, Atopic",dicloxacillin
Dermatitis,dicloxacillin
Eczema,dicloxacillin
"Arthritis, Infectious",dicloxacillin
Substance-Related Disorders,dicloxacillin
"Substance Abuse, Intravenous",dicloxacillin
HIV Infections,diflunisal
Postpartum Hemorrhage,dinoprost
Uterine Inertia,dinoprost
Hemorrhage,dinoprost
Ganglion Cysts,diphenidol
Meniere Disease,diphenidol
Endotoxemia,dipyridamole
Arteriosclerosis,dipyridamole
Cardiovascular Diseases,dipyridamole
Reperfusion Injury,dipyridamole
Ischemia,dipyridamole
"Ischemic Attack, Transient",dipyridamole
Brain Ischemia,dipyridamole
Wounds and Injuries,dipyridamole
Atherosclerosis,dipyridamole
"Hypertension, Portal",dipyridamole
Thrombosis,dipyridamole
Venous Thrombosis,dipyridamole
Fibrosis,dipyridamole
Mania,dipyridamole
Coronary Disease,dipyridamole
Hypersplenism,dipyridamole
Alcohol Drinking,disulfiram
Anxiety Disorders,disulfiram
Sleepiness,donepezil
Neurocognitive Disorders,donepezil
Apnea,donepezil
Sleep Apnea Syndromes,donepezil
"Sleep Apnea, Obstructive",donepezil
Kidney Diseases,donepezil
"Kidney Failure, Chronic",donepezil
Mania,donepezil
Bipolar Disorder,donepezil
Depressive Disorder,donepezil
Postoperative Complications,donepezil
Mental Disorders,donepezil
Psychotic Disorders,donepezil
Amnesia,donepezil
"Multiple Sclerosis, Relapsing-Remitting",donepezil
Low Back Pain,donepezil
Diabetic Neuropathies,donepezil
Back Pain,donepezil
"Heart Failure, Diastolic",dopamine
Pituitary Neoplasms,dopamine
Prolactinoma,dopamine
Cardio-Renal Syndrome,dopamine
Acute Kidney Injury,dopamine
Delirium,dopamine
Emergencies,dopamine
"Disruptive, Impulse Control, and Conduct Disorders",dopamine
Sepsis,dopamine
Toxemia,dopamine
Acromegaly,dopamine
Head and Neck Neoplasms,dopamine
Premature Birth,doxapram
Hypoxia,doxapram
Cardiomyopathies,doxazosin
"Cardiomyopathy, Dilated",doxazosin
"Urinary Bladder, Overactive",doxazosin
Essential Hypertension,doxazosin
Kidney Diseases,doxazosin
Diabetic Nephropathies,doxazosin
"Diabetes Mellitus, Type 2",doxazosin
Rhinitis,doxazosin
"Rhinitis, Allergic",doxazosin
Inflammation,doxazosin
"Renal Insufficiency, Chronic",doxazosin
Cardiovascular Diseases,doxazosin
Urinary Bladder Neck Obstruction,doxazosin
Mediastinal Neoplasms,doxorubicin
Obesity,doxorubicin
Fibrosis,dronedarone
Disease Progression,dronedarone
Recurrence,dronedarone
Hallux Valgus,droperidol
Bunion,droperidol
"Pain, Postoperative",droperidol
Cholecystolithiasis,droperidol
Cholelithiasis,droperidol
Gallstones,droperidol
Breast Neoplasms,droperidol
Dysthymic Disorder,duloxetine
Frailty,duloxetine
Acute Pain,duloxetine
Intervertebral Disc Degeneration,duloxetine
Bipolar Disorder,duloxetine
Neck Pain,duloxetine
"Neuralgia, Postherpetic",duloxetine
Hearing Loss,duloxetine
Deafness,duloxetine
Joint Diseases,duloxetine
Psychotic Disorders,duloxetine
Dementia,duloxetine
Irritable Bowel Syndrome,duloxetine
Panic Disorder,duloxetine
Migraine Disorders,duloxetine
Compulsive Personality Disorder,duloxetine
Obsessive-Compulsive Disorder,duloxetine
Feeding and Eating Disorders,duloxetine
Binge-Eating Disorder,duloxetine
Bulimia,duloxetine
Headache,duloxetine
Headache Disorders,duloxetine
Pelvic Pain,duloxetine
Ulcer,ecabet
Nervous System Diseases,efavirenz
Central Nervous System Diseases,efavirenz
Hepatitis B,efavirenz
HIV-Associated Lipodystrophy Syndrome,efavirenz
Cardiovascular Diseases,efavirenz
Fatty Liver,efavirenz
"Meningitis, Cryptococcal",efavirenz
Meningitis,efavirenz
"Hepatitis C, Chronic",efavirenz
Hirsutism,eflornithine
Hepatitis C,elvitegravir
"Hepatitis C, Chronic",elvitegravir
Coinfection,elvitegravir
Bone Diseases,elvitegravir
"Bone Diseases, Metabolic",elvitegravir
Hepatitis,elvitegravir
Metabolic Diseases,elvitegravir
Opioid-Related Disorders,elvitegravir
Crush Injuries,elvitegravir
Rhinitis,emedastine
"Rhinitis, Allergic",emedastine
"Arrhythmias, Cardiac",empagliflozin
Coronary Artery Disease,empagliflozin
Myocardial Ischemia,empagliflozin
Coronary Disease,empagliflozin
Wounds and Injuries,empagliflozin
"Hypertrophy, Left Ventricular",empagliflozin
Dumping Syndrome,empagliflozin
Diabetic Retinopathy,empagliflozin
Albuminuria,empagliflozin
Atrial Fibrillation,empagliflozin
"Obesity, Abdominal",empagliflozin
Amyloidosis,empagliflozin
Hepatitis A,empagliflozin
Hepatitis B,empagliflozin
"Hepatitis B, Chronic",empagliflozin
Hepatitis,empagliflozin
"Hepatitis, Chronic",empagliflozin
Macular Edema,empagliflozin
Overweight,empagliflozin
Diabetes Complications,empagliflozin
Sarcopenia,empagliflozin
Weight Loss,empagliflozin
Frailty,empagliflozin
"Glomerulonephritis, IGA",empagliflozin
Neurocognitive Disorders,emtricitabine
Sexually Transmitted Diseases,emtricitabine
Opportunistic Infections,emtricitabine
AIDS-Related Opportunistic Infections,emtricitabine
Weight Gain,emtricitabine
Cardiovascular Diseases,emtricitabine
Dyslipidemias,emtricitabine
Proteinuria,emtricitabine
"Bone Diseases, Metabolic",emtricitabine
Bone Diseases,emtricitabine
Opioid-Related Disorders,emtricitabine
Neurotoxicity Syndromes,emtricitabine
Syphilis,emtricitabine
Osteoporosis,emtricitabine
Fibrosis,emtricitabine
Coronavirus Infections,enalapril
"Hypertension, Pregnancy-Induced",enalapril
"Kidney Failure, Chronic",enalapril
Chagas Disease,enalapril
"Glomerulonephritis, IGA",enalapril
Metabolic Syndrome,enalapril
Syndrome,enalapril
Hyperhomocysteinemia,enalapril
Atherosclerosis,enalapril
Recurrence,enalapril
Hypotension,enalapril
Inflammation,entecavir
Fatty Liver,entecavir
Nephrotic Syndrome,entecavir
Nephrosis,entecavir
Glomerulonephritis,entecavir
"Hypertension, Portal",entecavir
Hypertension,entecavir
Viremia,entecavir
Tuberculosis,entecavir
"Arthritis, Rheumatoid",entecavir
Acidosis,entecavir
"Acidosis, Lactic",entecavir
Recurrence,entecavir
Hypersensitivity,epinastine
Stomatognathic Diseases,epinephrine
Dental Pulp Diseases,epinephrine
Drug-Related Side Effects and Adverse Reactions,epinephrine
Periodontitis,epinephrine
Hip Dislocation,epinephrine
Developmental Dysplasia of the Hip,epinephrine
"Hip Dislocation, Congenital",epinephrine
Femoracetabular Impingement,epinephrine
Drug Overdose,epinephrine
"Cardiac Output, High",epinephrine
Pulmonary Arterial Hypertension,epinephrine
Familial Primary Pulmonary Hypertension,epinephrine
Brain Neoplasms,epinephrine
"Osteoarthritis, Hip",epinephrine
Acute Pain,epinephrine
"Aneurysm, Dissecting",epinephrine
Varicose Veins,epinephrine
Meningioma,epinephrine
Paralysis,epinephrine
Cerebral Palsy,epinephrine
Acute Coronary Syndrome,epinephrine
Syndrome,epinephrine
No-Reflow Phenomenon,epinephrine
Synovial Cyst,epinephrine
Spinal Stenosis,epinephrine
Spondylosis,epinephrine
Radiculopathy,epinephrine
Cataract,epinephrine
"Tooth, Impacted",epinephrine
Kidney Neoplasms,epinephrine
"Carcinoma, Renal Cell",epinephrine
"Arrhythmias, Cardiac",epinephrine
Nasal Polyps,epinephrine
"Pain, Procedural",epinephrine
Trigger Finger Disorder,epinephrine
Gastrointestinal Neoplasms,epinephrine
Crohn Disease,epinephrine
Intestinal Diseases,epinephrine
Inflammatory Bowel Diseases,epinephrine
Gastrointestinal Diseases,epinephrine
Digestive System Diseases,epinephrine
Neuralgia,epinephrine
Shoulder Pain,epinephrine
Abscess,epinephrine
Rib Fractures,epinephrine
Blepharoptosis,epinephrine
Colonic Polyps,epinephrine
Mouth Neoplasms,epinephrine
Laryngitis,epinephrine
Croup,epinephrine
Joint Diseases,epinephrine
Papilloma,epinephrine
Postoperative Hemorrhage,epinephrine
Shoulder Impingement Syndrome,epinephrine
Liver Diseases,epinephrine
End Stage Liver Disease,epinephrine
